addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
강원도 강릉시 안반데기1길 203,,32,,A02,A0203,A02030100,2930702,12,20221206145801,,,128.7400518871,37.6087932748,6.0,20221206152223,2,1,033-644-5882,강릉안반데기관광농원,25642,"해발1,100m 구름위의 땅, 강릉 안반데기에 위치한 체험형 농장으로 귀농 및 귀산촌 교육과 건달농법교육 등이 가능한 농장이다.
그 밖에 산나물 체험과 넓은 밤하늘에서 만끽하는 별보기 체험등 바쁜 일상에서 벗어나 누리는 많은 힐링 프로그램으로 가득하다."
강원도 강릉시 난설헌로 248,,32,,A02,A0202,A02020600,2930131,12,20221205145311,http://tong.visitkorea.or.kr/cms/resource/08/2930108_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/08/2930108_image3_1.JPG,128.915274858,37.7939030514,6.0,20221205145350,0,1,,원더스카이,25466,"원더스카이는 강릉 경포대 강문해수욕장과 초당마을 입구 사거리에 있는 테마 파크이다. 커피커퍼박물관 바로 옆에 있는 이곳은 어린이를 위한 종합 실내 놀이공원으로 1,2층은 130cm 미만의 어린이들이 이용할 수 있도록 되어 있고, 3.5층은 120cm 이상의 어린이와 청소년을 기준으로 성인들까지 이용할 수 있는 어트렉션존으로 되어 있다. 어린이들이 좋아할 만한 미끄럼틀,짐볼,블록놀이등부터 짚라인과 공중흔들다리같은 어드벤처 시설까지 한 곳에 망라되어 있다. 놀이시설 외에 키즈카페와 전망좋은 식음공간도 마련되어 있다."
강원도 강릉시 솔올로5번길 51,3층,32,,A02,A0203,A0203,2925502,12,20221130133017,http://tong.visitkorea.or.kr/cms/resource/37/2925137_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/37/2925137_image3_1.JPG,128.8770014492,37.7641862993,6.0,20221213134020,0,1,,리고엠,25515,"강릉시의 중심 번화가인 교동 택지지구에 위치한 리고엠을 찾아가면 퀼트 체험 여행이라는 입간판이 반긴다. 퀼트와 여행이라, 어딘가 새롭다. 문을 열고 들어서면 크고 작은 가방부터 쿠션, 소품 등 각양각색의 퀼트 제품이 눈길을 끈다.  관광두레 합류 이후 김 대표는 김주영퀼트라는 상호를 과감히 정리하고 리고엠이라는 새로운 브랜드를 만들었다. 리고엠은 라틴어와 영어를 합성한 단어로 인생은 무한한 순간들 속에서 자신의 길을 끝없이 간다.(Life Is Going On in Etenal Moments)는 의미를 담았다. 영단어의 첫 글자만 연결하면 리고엠(LIGOEM)이 된다. 숨은 뜻을 알고 나면 다시금 되뇌게 되는 이름이다. 리고엠은 퀼트와 관광을 접목시키기 위해 1박 2일 파일럿 프로그램을 운영했다. 프로그램명은 1박 2일 강릉 바느질 여행. 참가자는 퀼트나 바느질을 좋아하는 사람들이 모이는 온라인 카페나 밴드를 통해 모집했다. 프로그램은 리고엠에서 바느질 체험을 한 뒤 강릉 대표 관광지인 경포해수욕장과 안목해변 등을 돌아보는 일정으로 운영됐다. 현재 리고엠은 참가자들이 내놓은 꼼꼼한 평가의견을 기반으로 부족한 부분을 보완해 일반 체험 프로그램과 여행 프로그램을 개발 중이다. 프로그램은 바느질에 관심이 있던 사람부터 아예 관심이 없던 사람까지 누구나 쉽게 즐길 수 있도록 기획 중이다. 단 한 가지 원칙이 있다. 단순히 시간을 때우는 체험이 아니기 때문에 쓸모 있는 물건을 만들어야 한다는 것. 내 손으로 내가 사용할 물건을 직접 만들고, 손을 움직이며 잡념을 떨치고 그 순간에 몰입해 보는 것을 김 대표는 새로운 문화를 만나는 경험이라고 말한다. 일상으로 돌아가서도 가치 있게 사용될 나만의 여행 기념품은 언제 어디서든 함께 할 수 있는 좋은 친구이자 취미로 남을 수 있기 때문이다. 그런 이유로 질 좋은 재료를 사용하는 동시에 작품의 완성도를 위해 김 대표가 꼼꼼하게 가르치고 도와준다."
강원도 강릉시 해안로604번길 16,,32,,A02,A0205,A02050600,2913890,12,20221107192753,http://tong.visitkorea.or.kr/cms/resource/39/2921939_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/39/2921939_image3_1.jpg,128.8988285332,37.8127616594,6.0,20221125174353,0,1,,사근진해중공원 전망대,25459,사근진해변에 있는 탁 트인 바다를 올라가서 볼 수 있는 전망대.
강원도 강릉시 저동,645,32,,A02,A0202,A02020100,2900682,12,20221107170343,http://tong.visitkorea.or.kr/cms/resource/65/2900665_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/65/2900665_image3_1.JPG,128.9002177764,37.7972995865,6.0,20221107170411,0,1,,강릉 3.1운동 기념공원,25461,"경포대 아래 가시연 습지로 가는 길목에 강릉 지역의 독립 만세운동을 기념하는 공원이 조성되어 있다. 경포호 전경을 가장 잘 볼 수 있는 곳에 있는 이 공원은 100년  전 독립만세운동의 함성이 전해지는 곳이다. 강릉의 3.1 만세운동은 신교육을 받은 청년들과 감리교인 들을 중심으로 전개되었고, 1919년 서울에서 만세운동이 시작된 지 한 달 후인 4월 2일을 시작으로 다섯 차례에 걸쳐 6회 이상 일어났다. 공원에는 1999년 만들어진 강릉3.1독립만세운동기념탑이 우뚝 솟아있고 그 뒤로 강릉의 독립투사 십여 명의 얼굴 동상이 진열되어 있다. 또한 일본군 위안부 피해자를 기리기 위하여 건립된 평화비도 조성되어 있다."
강원도 강릉시 해안로604번길 16,,32,,A02,A0205,A02050600,2821072,12,20220523104724,,,128.8988285332,37.8127616594,6.0,20220523104843,1,1,,사근진 해중공원 전망대,25459,"경포해수욕장 근처에 위치한 사근진 해수욕장의 사근진 해중공원 전망대는 언뜻 보면 천사의 날개와 같은 생김새를 하고 있다.
하늘로 올라가는 듯, 한 계단씩 올라가면 에메랄드빛의 사근진 해변이 한눈에 보인다. 전망대가 높지 않은데도 불구하고 멀리까지 한눈에 보여 속이 뻥 뚫리는 느낌을 받는다.
이곳의 포인트는 빨강, 노랑, 파랑의 알록달록 테트라포드. 파란 바다와 알록달록한 색상이 잘 어울리는 포토존으로 전망대 끝 모서리에서 사진을 찍기 위해 줄을 서기도 한다."
강원도 강릉시 주문진읍 해안로 1730,,32,0.0,A02,A0202,A02020800,2781963,12,20211126222926,http://tong.visitkorea.or.kr/cms/resource/01/2785901_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/01/2785901_image2_1.jpg,128.828660257,37.8895791714,6.0,20221101100129,0,1,,해피아워크루즈,25418,"해피아워크루즈는 2015년 주문진항에서 첫 운항을 시작한 대형 유람선이다. 선박 기준법에 따라 안전에 최우선 가치를 두고 건조했으며, 다양한 볼거리와 놀거리가 가득하다. 선박은 총 3개의 층으로 이루어져 있다. 1층은 대연회장으로 호텔급 인테리어가 돋보이며, 디너만찬, 외국인공연, 각종 이벤트가 펼쳐지는 공간이다. 2층 라이브홀에서는 창을 통해 바다 풍경을 감상하며 낭만적인 라이브 공연을 즐길 수 있으며, 최상층인 3층은 야외전망대와 선상카페가 있으며, 불꽃쇼와 선상파티가 펼쳐진다.총 3가지의 크루즈 상품을 운영하고 있는데, 대표적인 상품인 해상관광크루즈는 동해안을 따라 아름답게 펼쳐진 자연 그대로의 풍광을 감상하며 낭만을 느껴볼 수 있는 코스로, 해상관광, 외국인공연, 스낵 및 카페를 이용할 수 있다. 런치패키지와 드링크패키지, 카페패키지를 예약을 통해 할인된 가격에 이용 가능하다.두 번째로 하트음악불꽃크루즈이다. 해가 저물고 나면 해안가를 밝히는 조명이 들어오고, 그 풍경을 따라 항해하며 다채로운 선상파티와 볼꽃놀이가 펼쳐진다. 생일, 기념일을 축하하기 위한 호텔패키지, 주류패키지, 스페셜 데이 패키지를 예약을 통해 이용 가능하다.해피아워 디너크루즈는 라이브 가수들이 펼치는 선상 라이브 공연과 교향악단, 국악 등 실력파 초청 아티스트들이 만드는 무대로 꾸며져 있다. 전문 MC와 함께하는 레크리에이션, 품질 좋은 뷔페와 국내 최장시간을 자랑하는 사랑의 하트음악불꽃축제가 기분 좋은 시간을 선사한다."
강원도 강릉시 남부로 222,(노암동),32,0.0,A02,A0202,A02020100,2776846,12,20211122182223,,,128.9074798939,37.7436587117,6.0,20221021095817,0,1,,강남축구공원,25611,"강릉 지역 주민들의 건강 증진과 생활 체육 활성화 등의 스포츠 복지를 실현하고 축구의 고장인 강릉에서 전국 규모의 축구 대회를 유치하는 등의 목적으로 세워진 체육 시설이다.  「강릉시 문화 체육 시설 관리 및 운영 조례」에 따라 운영되고 있으며, 최신 시설을 갖추고 있다. 시민 누구나 편리하게 이용할 수 있다.  강남축구공원 내 스쿼시장과 볼링장도 있다.  축구장인조 잔디은 유료 이용이고, 사용일 7일 전에 강릉시 체육 시설 관리사무소에 사용신청서를 제출해야 한다. 풋살장, 족구장, 농구장은 무료로 이용할 수 있고 강남축구공원 관리사무실에 사용신청서만 제출하면 된다."
강원도 강릉시 사천면 해안로 741-5,,32,0.0,A01,A0102,A01020100,2775508,12,20211118001717,,,128.8885597849,37.8201661571,6.0,20211122232807,0,1,,순포습지,25459,"강릉시 사천면 산대월리에 있는 석호다. 순포호라는 지명은 '순채(순나물)가 많이 나는 물가'라는 데서 유래했으며 '순개'라고도 불린다. 경포호, 향호, 풍호, 순개, 뒷개 등 강릉 5호 가운데 하나로 옛날엔 축구장 10배가 넘는 넓은 호수였다. 농경지 개간사업으로 인해 훼손되었으나 2011년부터 복원사업을 통해 조류관찰대 등 편의시설을 갖춘 습지공원으로 재탄생되었다.방울새, 개개비, 왜가리, 흰뺨검둥오리, 새매, 황조롱이 등 조류도 습지를 찾는 대표 조류다. 특히 겨울 철새로 강릉의 시조(市鳥)인 고니가 늦은 가을과 겨울에 찾아온다. 어류로는 멸종위기종에서 해제된 잔가시고기, 송사리, 황어, 붕어, 잉어, 가물치 등이 자리를 잡고 산다. 다양한 습지생물들의 서식지로 생태관광은 물론 교육의 장으로 손색없다."
강원도 강릉시 주문진읍 해안로 1993,,32,0.0,A01,A0101,A01011200,2775500,12,20211118000226,,,128.8272654209,37.9062383246,6.0,20221206234414,0,1,,소돌해수욕장,25404,"강릉 주문진해변과 인접해있는 해변이다. 백사장은 타원형으로 길이 500m, 면적 35,000㎡이다. 마을 전체가 소가 누워 있는 모양이라 하여 소돌牛岩이라는 지명이 붙었으며, 주변은 기암으로 덮여 있고, 앞바다에 소를 닮은 바위가 있다. 타원형의 해변은 모래가 희고 경사가 완만하며, 수심이 얕아 조개도 잡을 수 있다. 매년 7월 15일부터 8월 20일까지 해수욕장으로 운영됩니다. 화장실·탈의실·샤워장 등 편의시설이 갖추어져 있고, 면적 1,650㎡의 소나무숲에서는 야영도 할 수 있다. 인근에 주문진항·우암진항·오리진항 등이 있어 싱싱한 해산물을 저렴하게 구입할 수 있으며, 배를 빌려 가자미 낚시도 즐길 수 있다."
강원도 강릉시 사천면 해안로 722,,32,0.0,A01,A0101,A01011200,2775497,12,20211118000027,,,128.8902985428,37.8193190673,6.0,20221206234833,0,1,,순포해변,25459,"강릉 시가지, 경포대 기준으로 약 10분 거리에 있는 해변이다. 모래질이 좋고 수심이 얕아 물놀이하기도 좋고, 해변을 따라 늘어선 송림과 한적한 바다를 느낄 수 있는 곳이다. 전용 주차장은 없으나 순포해변과 순긋해변이 이어져 있어 순긋해변쪽 주차장을 이용할 수 있다. 근처 사천항, 순포습지, 순긋해변 등 여러 관광지도 쉽게 이동할 수 있다."
강원도 강릉시 주문진읍 해안로 1961-2,,32,0.0,A01,A0101,A01011400,2775494,12,20211117235840,http://tong.visitkorea.or.kr/cms/resource/18/2775518_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/18/2775518_image2_1.jpg,128.8290014171,37.9048940699,6.0,20221206161215,0,1,,소돌항,25407,"강릉 주문진에 있는 아들바위와 조개구이 단지로 잘 알려진 작은 어항이다. 수심이 얕고 물이 깨끗하여 가족 단위로  해수욕을 즐길 수 있는 소돌해수욕장과 아들바위, 서낭당, 소돌항 등의 아들바위공원이 명소로 알려져 있다. 특산물로는 문어가 유명하고, 오징어, 꽁치, 성게, 홍합, 우럭 등 활어가 많이 잡힌다. 아들바위공원 내에는 소돌항 어촌계원들이 운영하는 식당과 활어판매장이 있다. 소돌어촌체험마을에서는 다양한 해양체험을 즐길 수 있다."
강원도 강릉시 경강로2021번길 9-1 명주예술마당,,32,0.0,B01,B0101,B01010700,2774721,12,20211116185546,,,128.8903006749,37.7504520359,6.0,20220527095007,0,1,,명주예술마당,25535,"시내 중심과 가까운 곳에 위치한 옛 초등학교 건물을 증축하여 복합문화공간으로 탄생시킨 시설로, 강릉 시민의 문화예술 활동을 지원하기 위한 복합문화 공간이다. 강릉에서 활동하는 문화예술인의 개인 작업과 교육공간을 제공한다. 1층에서 3층까지 문화를 향유하는 모든 시민들에게 문을 열어, 대관 운영한다."
강원도 강릉시 죽헌동 745,(죽헌동),32,0.0,A01,A0101,A01010500,2774703,12,20211116185050,http://tong.visitkorea.or.kr/cms/resource/09/2776909_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/09/2776909_image2_1.jpg,128.8847557936,37.7807456454,6.0,20221208132951,0,1,,경포생태저류지,25465,"오죽헌과 선교장 사이에 조성된 생태 하천이다. 경포호의 하천폭이 좁아 집중호우 때마다 발생하는 제방 유실, 침수피해를 막기 위해 죽헌동 일대 25만 3,000㎡에 70만 톤의 물을 가둬둘 수 있도록 조성했다.  주변에는 꽃향기 낭만길을 조성하여 4 5월은 유채꽃, 5 6월은 양귀비꽃, 89월은 코스모스 꽃이 핀다. 저류지 중심을 가로질러 메타세쿼이아 길을 만들어 꽃을 보며 산책을 즐길 수 있다."
강원 강릉시 강동면 정동진리 50-9,,32,0.0,A02,A0206,A02060300,2774699,12,20211116184834,,,129.0415030057,37.6843376312,6.0,20221205152004,0,1,,정동진조각공원,25631,"정동진역에서 남쪽으로 700m 떨어진 썬크루즈 리조트 내에 위치한 사설 공원이다. 
동해는 물론 해수욕장과 기차역과 해안도로를 한눈에 조망할 수 있다. 최옥영과 원인종, 김희경 등 조각가 10인의 작품 20여 점이 전시되어 있다. 2000년 6월에 개장한 장승공원에는 안동 하회마을의 조각가 김종흥이 제작한 통일 대장군, 해돋이 대장군, 득남 여장군 등 230기의 장승이 있다.  타이타닉 등 포토존이 잘 조성돼 있어서 정동진을 찾는 연인과 가족 단위의 관람객이 많다. 인근에는 드라마 영상관과 모래시계공원 등이 있다."
강원도 강릉시 사천면 송암골길 197-13,,32,0.0,A02,A0203,A02030100,2774696,12,20211116184157,,,128.8294713643,37.7976676101,6.0,20211122232343,1,1,,대관령아기동물농장,25439,"강릉시 사천면, 강릉 운전면허시험장 맞은편에 위치한 체험형 농장이다. 대형 하우스 7개 동에 아기돼지, 타조, 토끼, 병아리, 사슴, 거북이, 양 오리, 말, 소 등 다양한 동물들을 관람하며, 만져보고, 먹이를 주는 체험을 할 수 있다. 동물체험 이외에도 피자 만들기, 초콜릿 만들기 등 만들기 체험도 참여할 수 있다."
강원도 강릉시 주문진읍 주문북로 222-30,,32,0.0,A01,A0101,A01011200,2774689,12,20211116183326,,,128.8177855589,37.9114875314,6.0,20211122235413,0,1,,청시행비치,25404,"강릉 주문진 해수욕장에 있는 서핑 전용 해변은 '청춘의 시작은 여행이다'라는 말에서 시작된 이름이라고 한다. 야자수와 서핑보드가 입구를 만들고, 해변에서는 이국적인 펍이 운영되고, 저녁이면 파티가 벌어진다. 파도가 좋은 해변에는 서핑을 즐기는 여행객들이 모여든다. 서핑을 위한 장비를 대여하거나, 초보자의 경우 안전교육과 함께 서핑 강습도 받을 수 있다."
