addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
강원도 고성군 대진항길 80,,32,,A01,A0101,A01010100,2929449,12,20221205122416,http://tong.visitkorea.or.kr/cms/resource/44/2929444_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/44/2929444_image3_1.JPG,128.4263805057,38.4989615323,6,20221205122448,0,2,,대진항 해상공원,24703.0,"우리나라 최북단 항구인 대진항에 있는 바다위 공원이다. 별빛은하 해상공원라는 별칭이 있는 이곳은 2016년에 조성된 공원으로 어판장 뒤쪽으로 가면 된다. 입구에는 고성에서 많이 잡히는 문어를 테마로 조형물이 서 있다. 그 옆으로 무지개색으로 칠해진 테트라포트가 바다에 떠 있고,  바다를 향해 Y 자 형태로 뻗어나간 해상데크가 있다. 해상데크 입구쪽은 바닥이 뚫린 철망 형태로 아찔한 재미를 선사한다. 중간에 돔 형태의 그늘막 쉼터가 있고 양쪽으로 데크가 갈라진다. 왼쪽으로 가면 빨간 방파제 등대를 마주하게 되고 오른쪽으로 가면 낚시를 즐길 수 있는 잔교를 지나 포토존이 나온다. 포토존에는 파란 바다를 배경으로 떠오르는 해돋이 조형물이 있다. 이곳에서는 조형물뿐만 아니라 뒤로 보이는 대진항과 마을 풍경이 최고의 사진 배경이 되어 준다."
강원도 고성군 거진읍 화진포길 280,,32,,A02,A0201,A02011000,2912222,12,20221107193736,http://tong.visitkorea.or.kr/cms/resource/39/2921739_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/39/2921739_image3_1.jpg,128.4430325955,38.4725343883,6,20221125173851,3,2,,화진포의 성 김일성 별장,24710.0,"강원도 고성군 거진읍 화포리 화진포가 내려다보이는 곳에 있는 별장으로, 외국인 선교사 셔우드 홀이 예배당으로 사용하였던 건물입니다. 김일성은 1948년부터 50년까지 처 김정숙, 아들 김정일, 딸 김경희 등 가족과 함께 하계휴양지로 이 별장을 찾았습니다. 48년 8월 당시 6살이던 김정일이 소련군 정치사령관 레베제프 소장의 아들과 별장입구에서 어깨동무를 하고 찍은 사진이 이를 입증하고 있습니다. 김일성별장은 지상 2층 석조 건물로 지어져 당시 건축물로는 제법 화려함이 엿보입니다.  그러나 이 별장은 한국전쟁을 치르면서 훼손돼 방치되다가 2005년 3월 옛모습으로 복원하여 운영하고 있습니다."
강원도 고성군 해상리 1041,,32,0.0,A02,A0205,A02050100,2702191,12,20211229221517,,,128.4088384086,38.3867298548,6,20221213154236,0,2,,육송정 홍교,,"고성 육송정 홍교는 강원도 고성군 해상리와 탑현리의 경계에 있는 다리이다. 2002년 2월 6일 대한민국의 보물로 지정되었다. 건립연대는 정확히 알 수 없지만 능파교와 함께 을축년(1745년)의 대홍수로 붕괴되었던 점을 고려할 때 능파교(1704년)와 비슷한 시기에 건립된 것으로 추정되며, 1748년에 편찬된 《간성군읍지에 육송정홍교가 언제 만들었는지 알 수 없다고 기록되어 있어 능파교보다 더 오래되었을 가능성도 있다. 고성 건봉사 능파교와 고성 육송정 홍교는 모두 단칸 홍예교로 자연지형을 잘 이용하여 축조하였으며 특히 능파교는 축조연대와 건립자 등을 알려주는 비석을 구비하고 있어 홍예교 연구에 중요한 자료이다. 건봉사 능파교와 육송정 홍교는 보존상태도 양호하고 우리나라 석교의 아름다운 조형미를 잘 보여주는 중요한 유물로서 역사적, 학술적 가치가 뛰어난 작품이다."
강원도 고성군 토성면 원암리 산1,,32,0.0,A01,A0101,A01010500,2790003,12,20211209182532,http://tong.visitkorea.or.kr/cms/resource/56/2792356_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/2792356_image2_1.jpg,128.4660221268,38.2074685296,6,20221110160837,1,2,,미시령옛길 울산바위 은하수,,"미시령은 고성군 토성면과 인제군 북면의 경계를 이루는 고개다. 인제에서 속초로 넘어가는 통로로 사용되었던 미시령은 설악산 울산바위를 한눈에 조망할 수 있는 전망대다. 지난 2006년 미시령터널이 만들어지면서 이용객은 크게 줄었지만, 여전히 이곳에서 바라보는 울산바위의 매력을 찾아오는 이들이 적지 않다. 특히 미시령 옛길이 울산바위 은하수 촬영 포인트로 입소문이 나면서 맑은 날 밤이면 공터 주차장을 가득 채울 만큼 사진 동호인들의 발길이 이어지고 있다. 주차장에서 도로 건너편을 바라보면 작은 오솔길이 보이는데, 이 길을 따라 조금만 걸어 올라가면 오른쪽으로 울산바위가 한눈에 펼쳐진다. 병풍처럼 우뚝 솟은 울산바위만으로도 매우 아름답지만, 그 위로 쏟아지는 신비로운 은하수를 바라보고 있으면 꿈결처럼 느껴질 정도다."
강원도 고성군 거진읍 화진포길 204-25,,32,0.0,A01,A0101,A01010400,2782911,12,20211129234016,,,128.4464213725,38.4662685199,6,20221103153402,0,2,,응봉,24710.0,"걷기 좋은 해파랑길 49코스 중간쯤에 위치한 곳이다. 주변 경관이 수려해 과거 유명인사들의 별장으로 이용한 자취가 근대문화유산으로 남아 있는 화진포의 동쪽 봉우리이다. 옛날부터 화진포 호수 동쪽에 위치한 높은 산이 마치 매가 앉은 형상과 같다고 하여 매 응(鷹)자를 써서 부른다. 높이는 286m이다. 화진포 호수의 북호와 남호, 화진포해수욕장이 한눈에 들어오는 아름다운 풍경을 감상할 수 있다. 인근에는 화진포호수와 해수욕장, 김일성 별장, 이승만 별장, 금강삼사 등 함께 둘러볼 만한 곳이 많다."
강원도 고성군 거진읍 거진리,,32,0.0,A02,A0205,A02050600,2782901,12,20211129233408,http://tong.visitkorea.or.kr/cms/resource/78/2793078_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/78/2793078_image2_1.jpg,128.4536129346,38.4487262643,6,20221114105026,0,2,,백섬해상전망대,24712.0,"거진항 어촌관광체험마을 조성사업의 일환으로 2019년 3월부터 2020년 10월에 걸쳐 조성하였으며, 2020년 10월 30일 관광객에게 개방되었다. 총길이 137m, 높이 425m 규모로 해안도로와 백섬(백암도)을 연결하여, 아름다운 동해바다 위를 걸으며 북쪽으로는 해금강과 금구도를 조망할 수 있으며, 남쪽으로는 거진항구와 거진11리 해변이 펼쳐져 장관을 이룬다. 높이 25m의 전망대 일부에는 투명한 강화유리 바닥이 조성되어있다. 거진 뒷장에 위치한 백섬(백암도)과 해안도로를 연결하는 해상데크로 길이 137m, 폭 2.5m, 높이 425m 규모이다. 해상전망대에 오르면 동해바다와 해금강, 금구도, 거진항구의 아름다운 경치를 관람할 수 있다."
강원도 고성군 토성면 천학정길 39,,32,0.0,A01,A0101,A01011200,2782786,12,20211129223613,http://tong.visitkorea.or.kr/cms/resource/54/2786854_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/54/2786854_image2_1.jpg,128.5465677267,38.2917408308,6,20220627151751,0,2,,교암리해수욕장,24755.0,"교암리 해수욕장은 속초시청에서 북쪽으로 10km 지점에 있는 해변으로 해안도로와 인접해 속초시내에서 접근하기 편리한 곳에 위치해 있다. 백사장 길이는 1km로 금강산 제1 해수욕장으로도 부른다. 경사가 완만하고 모래 질이 좋으며, 곳곳에서 스쿠버다이빙을 즐기는 사람들을 발견할 수 있다. 해수욕장 남쪽으로 선상낚시로 유명한 교암항이 있으며, 뒤편 솔숲에는 동해 최고의 일출 명소로 꼽히는 천학정이 있어, 해수욕과 함께 선상낚시도 즐기고 아름다운 자연경관을 감상할 수 있다. 빼어난 경치에 비해 북적이고 혼잡하지 않아 조용하고 여유로운 바다여행을 즐기고 싶다면 교암리 해수욕장을 추천한다. 바다의 일출과 100년 된 소나무, 천학정의 운치는 마음을 정화하고 심신의 피로를 아픔다운 풍광 속에 풀어내기 좋다. 교암리 해수욕장에서는 스쿠버다이빙을 즐길 수도 있다. 전문적인 스쿠버다이빙을 즐기기도 하지만 경험이 없는 사람도 무리 없이 체험 다이빙을 즐길 수 있고, 입문자도 일주일간 머물며 다이빙 라이선스를 딸 수도 있다."
강원도 고성군 거진읍 화진포길 258-115,,32,0.0,A01,A0101,A01010600,2782565,12,20211129191943,http://tong.visitkorea.or.kr/cms/resource/21/2786621_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/21/2786621_image2_1.jpg,128.4485156639,38.4650603678,6,20221214143628,0,2,,화진포소나무숲산림욕장,24710.0,"화진포소나무숲 산림욕장은 우리나라에서 가장 큰 석호인 화진포 인근에 위치한 트래킹 코스다. 김일성 별장인 화진포의 성에서 시작해 응봉까지 이어지는 소나무 숲 구간이다. 코스의 시작 지점의 둥근 몽돌 외장재로 지어진 독특한 모양의 건물은 화진포의 성이라는 명칭도 있지만 김일성 별장이라는 이름으로도 더 유명하다. 화진포의 성부터 화진포해수욕장의 아름다운 풍경을 시작으로, 소나무숲길을 따라 거진항까지 다양한 테마를 감상하며 걸을 수 있다. 산림테라피원, 관목원, 습지원, 명상숲길 등 다른 산림욕장과 달리 많은 볼거리를 제공한다. 중간중간 지친 발을 쉬어갈 수 있는 쉼터가 조성되어있으며, 화진포 호수 전경을 바라보며 걸을 수 있는 데크길이 좋다.  
해발 122m의 응봉은 그리 높진 않지만 산림욕장과 화진포의 북호와 남호를 모두 볼 수 있으며, 화진포해수욕장이 한 폭의 그림 같은 절경을 자랑한다. 특히 산책로 길목에 위치한 8각 정자는 가장 좋은 경치를 감상할 수 있는 전망대로 손꼽힌다. 이 산림욕장의 가장 큰 장점은 비교적 평탄하고 완만한 길로 남녀노소 힘들지 않게 산림욕을 즐길 수 있다는 것이다. 더불어 빼어난 자연경관을 자랑하는 산책로와 피톤치드를 내뿜는 소나무 숲이 1석2조 이상의 즐거움을 선사한다."
강원도 고성군 죽왕면 문암항3길 26,,32,0.0,A01,A0101,A01011400,2782561,12,20211129191631,http://tong.visitkorea.or.kr/cms/resource/03/2786503_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/03/2786503_image2_1.jpg,128.5495365498,38.3029451382,6,20221102105118,1,2,,백도항/문암1리항,24752.0,"문암리에는 두 개의 항구가 있다. 마을 이름을 그대로 딴 문암항과 하얀 바위가 있어 백도항이라 불리는 문암1리항이 백도해변을 사이에 두고 나란히 자리하고 있다. 문암리의 항구들은 저마다 고유의 운치를 자랑하지만 특히나 인상적인 항구를 꼽으라면 문암1리항인 백도항이 될 것이다. 방파제와 등대가 마을을 감싸듯 아늑하게 항구를 품고 있는 모습이 백도항만의 정겨운 풍경을 만들어낸다. 눈앞에 있는 듯 가까운 등대 옆으로 잔잔한 파도가 밀려들어오고, 항구에 정박된 작은 배들이 옹기종기 모여 부드럽게 일렁이는 모습이 마음을 편안하게 한다.
항구 인근에 갈매기 똥으로 뒤덮인 두 개의 하얀 바위섬이 있어 백도항이라 부른다니 그 이름의 유래가 재미있다. 백도항의 아름다움은 바닷속에서도 확인할 수 있다. 특히 스킨스쿠버를 즐기는 사람들에게 백도항은 최고의 탐험지로, 백도항 수중에 들어갔다 온 사람들은 그 풍경을 설악산 울산바위의 풍경과 같다며 찬사를 보낸다. 수중에서는 다양한 산호초들과 비단멍게, 말미잘, 볼락 등의 어종을 관찰할 수 있다. 특히 백도항에서 양식되는 가리비는 맛이 좋아 일부러 찾아오는 사람들이 있을 정도로 인기다. 가리비 공판장에서 씨알 굵은 가리비를 직접 구입할 수 있고, 인근식당에서 구워 먹을 수도 있다."
강원 고성군 죽왕면 문암진리 134-88,,32,0.0,A01,A0101,A01011400,2782552,12,20211129191459,http://tong.visitkorea.or.kr/cms/resource/91/2786491_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/2786491_image2_1.jpg,128.5507422121,38.2960404108,6,20221102100639,0,2,,문암항,24752.0,"문암항에 들어서면 먼저 흰 등대와 빨간 등대가 눈에 들어온다. 이 등대까지 길게 뻗어 있는 방파제는 바다 끝을 향해 산책하는 신비로운 즐거움을 준다. 작지만 깔끔하게 정비된 항구에는 각자의 배 이름이 적힌 하얀 건물들이 눈길을 끈다. 그물을 손질하고 보관하는 물양장과 더불어 선상낚시를 즐긴 사람들이 회를 먹을 수 있도록 휴게실로 운영되고 있는 건물이다. 문암항은 가자미 배낚시로 유명한 항구다. 문암항 바로 뒤편에 있는 암석지대인 능파대가 바다와 어우러져 아름다운 풍경을 연출한다. 능파대라는 이름은 강원감사로 온 이 씨가 파도가 암석에 부딪쳐 넘어오는 아름다운 광경을 보고 지은 이름이라 전해진다. 바위들이 이리저리 뒤틀린 모양을 하고 있어서 곳곳에 움푹 페인 구멍의 모양이 마치 외계 행성에 온 듯한 독특한 풍경이다. 1.8억1.2억 년 전 때 형성된 복운모 화강암으로 이루어져 있어 다른 지형과 차별화된 분위기를 연출한다.
문암항에서 즐기는 배낚시도 빼놓을 수 없는 재미다. 1인 일정 비용을 내면 릴대와 미끼를 포함한 낚시 장비를 빌려 이용할 수 있고, 고기를 담는 얼음 바구니까지 무료로 제공한다. 동해의 푸른 바다에서 직접 잡은 싱싱한 활어회도 즐기거나, 능파대 바위에서 낚시로 시간을 보내도 좋을 항구가 문암항이다."
