addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
강원도 동해시 삼화로 538 무릉계곡관리사무소,,32,,A01,A0102,A01020200,2820737,12,20220519153340,http://tong.visitkorea.or.kr/cms/resource/54/2676054_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/54/2676054_image3_1.jpg,129.0194173462,37.4635237853,6.0,20220519153355,0,3,,베틀바위,25746.0,"무릉도원 명승지 내에는 능선과 계곡을 사이에 두고 양지쪽은 학소대, 음지쪽은 베틀 바위가 자리하고 있다. 베틀 바위는 높은 산에 가리어 음산한 음지에 기암절벽형이 마치 베틀 같아 보여 베틀 바위라 한다. 베틀 바위와 관련된 전설에 의하면 하늘나라 질서를 위반한 선녀가 벌을 받아 하강하여 이곳 무릉도원 명승지 소금강 골에서 삼베 세필을 짜고 개과한 후 승천했다 전해진다. 베틀 바위를 가는 등산코스로는 무릉도원 명승지 입구에서 무릉반석을 지나 삼화사, 두타산 성을 본 후 두타산을 통해 하산하는 14.9㎞의 코스로, 4시간 20분 정도 소요된다.
(출처: 동해관광 홈페이지)"
강원도 동해시 삼화동,,32,,A02,A0202,A02020600,2820546,12,20220518153654,http://tong.visitkorea.or.kr/cms/resource/08/2804108_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/08/2804108_image3_1.jpg,129.0330712952,37.4760087233,6.0,20220523181923,1,3,,무릉별유천지,25744.0,"무릉별유천지는 1968년 동해시에 문을 연 쌍용CE가 석회석을 채광하던 무릉3지구로 지난 40년 간의 채광 작업을 마치고 다양한 체험시설과 2개의 에메랄드 빛 호수를 품은 이색적인 관광명소가 됐다. 무릉별유천지는 무릉계곡 암각문에 새겨져 있는 글귀로 '하늘 아래 최고 경치가 좋은 곳으로 속세와 떨어져 있는 유토피아' 라는 뜻을 담고 있으며, 웅장한 석회석 절개면과 석회석을 채광한 자리에 형성된 에메랄드 빛 청옥호와 금곡호는 그 의미를 더욱 잘 보여준다. 체험시설로는 스카이글라이더, 알파인코스터, 오프로드 루지, 롤러코스터형 집라인이 있어 스릴과 재미를 느낄 수 있다."
강원도 동해시 일출로 88,(묵호진동),32,0.0,A02,A0205,A02050600,2791139,12,20211210012108,http://tong.visitkorea.or.kr/cms/resource/18/2791218_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/18/2791218_image2_1.jpg,129.1172503105,37.5516099863,6.0,20221108093508,0,3,,전망대활어회센터 (묵호항전망대),25718.0,"묵호항에 도착하면 다채로운 항구 풍경과 함께 수변공원 곁으로 우뚝 솟은 전망시설이 가장 먼저 눈에 들어온다. 항구 주변에서 가장 높아 두드러진 탓에 어렵지 않게 찾아갈 수 있다. 꼭대기 전망 층을 머리에 인 이 건물 1층엔 다양한 활어와 수산물이 활발히 거래되는 수산물유통센터가 있어 또 하나의 볼거리를 제공하며, 건물 최상층으로 올라가면 비로소 은빛으로 일렁이는 광활한 동해를 한눈에 볼 수 있는 전망대에 다다른다. 360도의 넓은 조망 시야를 확보해 동해 뿐 아니라 작은 배가 드나드는 드넓은 묵호항의 풍경과 동해의 도심까지 모두 감상할 수 있다. 묵호 등대와 함께 수변공원, 등대 아래쪽으로 이어지는 논골담길을 파노라마처럼 감상할 수 있어 묵호항을 찾은 관광객들에게 꾸준히 사랑받는 곳이다. 특히 준공된 지 얼마 되지 않아 깔끔한 외관과 내부시설을 자랑한다. 1층 전망대 활어회센터를 통해 묵호항에서 잡아 올린 해산물을 구입해 2층의 전망 좋은 식당에서 먹을 수 있고, 3층에는 야외공연장이 있어 때를 맞춰 가면 다양한 문화예술 공연도 즐길 수 있다. 전망대에 올라 경치를 둘러본 후 수변공원을 산책해도 좋으며 논골담길과 묵호항의 맛집들을 탐방해 보는 것도 좋다."
강원 동해시 묵호진동 13-48,,32,0.0,A02,A0205,A02050600,2776829,12,20211122175354,,,129.1203832815,37.5542514096,6.0,20211122231630,1,3,,도째비골 해랑전망대,,"도째비는 도깨비의 방언이다. 도깨비 방망이를 형상화하여 바다를 조망할 수 있는 85m 길이의 해상보도교랑이다. 해랑은 바다와 태양 그리고 내가 함께 하는 공간을 의미한다고 한다. 입구에는 도깨비 영역으로 들어가는 의미를 가진 파란색 진입 터널이 있고, 가운데 조형물은 도째비골 스카이밸리 전망대의 봉오리 진 슈퍼트리가 도깨비 방망이를 통해 만개했다는 스토리를 조형화했다. 배를 타야만 닿을 수 있는 바다 위 파도를 발아래서 느낄 수 있도록 유리바닥과 메쉬바닥으로 구성한 해상 교량이다."
강원도 동해시 일출로 92-11,(묵호진동),32,0.0,A02,A0202,A02020100,2774728,12,20211116191834,,,129.1174225366,37.5509850617,6.0,20220412163314,0,3,,묵호항수변공원,25718.0,"묵호항 방파제를 따라 조성된 수변공원으로 해돋이 명소로 유명하다. 묵호항과 연결되어 동해바다를 감상할 수 있고 돌계단에서 해돋이를 구경하는 관광객이 많다. 곳곳에 조형물이 설치돼 있어 포토존으로 활용된다. 방파제 반대편에는 도깨비골 해랑 전망대가 있어 바다를 좀 더 가까이 보며 사진을 찍을 수 있다.  수변공원 전망대에서는 360도로 사방을 둘러볼 수 있어 묵호항 일대와 논골담길, 수변공원 경관을 조망할 수 있다."
강원도 동해시 망상동 1-3,(망상동),32,0.0,A01,A0101,A01011200,2774430,12,20211115234313,,,129.1092223282,37.5815397106,6.0,20221207002806,0,3,,대진 해수욕장,25707.0,"어달해변과 망상해수욕장 사이에 위치한다.  수심이 얕고 파도가 일정한 편이라 아이들이 놀기 좋고, 서핑을 처음 배우기에도 좋아 초보 서퍼들이 많은 곳이다. 해수욕뿐만 아니라 소형어선이 드나들며 동해바다에서 갓 잡은 생선을 가져오는 대진항과 싱싱한 활어회를 맛볼 수 있는 수산물센터가 있어 신선한 요리를 맛볼 수 있다.  직접 갯바위에 올라 낚시를 즐기거나 관광낚싯배가 마련되어 있어 바다낚시를 즐길 수도 있어 낚시를 취미로 하는 사람들에게는 꽤 유명한 낚시 포인트로도 알려져 있다."
강원도 동해시 삼화로 584,(삼화동),32,0.0,A01,A0101,A01010400,2773863,12,20211112192131,http://tong.visitkorea.or.kr/cms/resource/18/2773918_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/18/2773918_image2_1.jpg,129.014537225,37.463623679,6.0,20221205101219,0,3,,두타산협곡마천루,25746.0,"2021년 06월 10일 두타산의 새로운 비경, 두타산 협곡 마천루가 세상에 아름다운 자태를 드러냈다. 두타산의 베틀 바위 일원부터 박달령 구간은 험준한 지형으로 인해 일반 등산객의 접근이 어려웠는데, 동해시와 동부지방산림청이 베틀 바위와 수도골, 박달령, 용추폭포를 잇는 5.34km의 안전한 등산로 코스를 정비한 것. 자연 친화적으로 조성된 이들 등산로에는 자연을 훼손하지 않는 재료를 활용한 안전 밧줄과 계단이 설치됐다. 전망대도 만들어져 하늘 높이 솟은 협곡 마천루를 한눈에 담을 수 있다. 특히 사람의 옆모습을 닮은 독특한 형태의 암석은 등산객들의 눈길을 사로잡는다. 싱그러운 초록빛 수목과 청명한 하늘빛 사이로 웅장히 흐르는 쌍폭포와 용추폭포도 한 폭의 동양화처럼 아름답다. 청년 의병들이 왜군에 맞서 싸웠던 두타산성과 백곰바위, 고매한 정취를 더하는 소나무도 놓치면 안 될 볼거리다."
강원도 동해시 삼화동 산267,(삼화동),32,0.0,A01,A0101,A01010500,2773848,12,20211112191345,http://tong.visitkorea.or.kr/cms/resource/21/2773921_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/21/2773921_image2_1.jpg,128.9986583707,37.4545438603,6.0,20221205110852,0,3,,무릉 달빛 호암소,25746.0,"무릉 달빛 호암소는 동해 무릉 건강 숲에서 무릉계곡 힐링 캠프장을 지나 상가 주차장까지 이어지는 1.82km의 계곡 탐방로다. 출발점이 되는 동해 무릉 건강 숲은 다양한 건강 체험을 즐길 수 있는 힐링 명소다. 이곳에서 청아한 물소리를 따라 걷다 보면 맑은 공기를 마시며 자연 속에서 편안한 휴식을 취할 수 있는 무릉계곡 힐링캠핑장을 만날 수 있다. 캠핑을 즐기는 이용객의 활기찬 웃음소리와 생기 있는 수목의 향연이 걸음에 활력을 불어넣는다. 호암정에선 잠시 걸음을 멈추고 선선한 바람을 느껴봐도 좋겠다. 탐방로의 하이라이트라고 할 수 있는 호암소에 이르면 시원스레 쏟아지는 호암 폭포를 만날 수 있다. 경쾌한 낙수 소리가 무릉 달빛 호암소의 운치를 더한다. 호암교에 오르면 호암소 계곡을 한눈에 조망할 수 있는데, 해가 저물면 암벽에 오색 경관조명도 화려하게 연출된다."
강원도 동해시 해안로 120,,32,0.0,A02,A0201,A02010800,2735620,12,20210820185711,,,129.1265089534,37.5146783131,6.0,20220929095604,0,3,,감추사,25779.0,"감추사는 동해시 용정동에 위치한 한국불교태고종에 속하는 사찰이다. 감추산과 감추해수욕장 사이에 위치하고 있다. 건물은 관음전과 삼성각, 용왕각, 요사채로 구성되어 있다. 창건 당시의 절터는 찾기 힘들 정도였고, 선화공주의 전설이 서린 석굴만 남아 있다. 바로 아래 감추해수욕장이 있어 많은 관광객들이 찾는 명소로 유명하다. (출처 : 강원도청)"
강원도 동해시 삼화로 538,(삼화동),32,0.0,A02,A0201,A02010700,2735607,12,20210820184635,,,129.019411792,37.463493233,6.0,20210820184635,0,3,,금란정,25746.0,"동해시 삼화동에 위치한 금란정은 무릉계곡 매표소 출발점을 지나자마자 우측에서 보이는 정자이다. 둥근 화강석 초석 위에 목조 원기둥을 세운 정면 3칸, 측면 2칸의 아담한 규모로, 겹처마 팔작 기와 지붕양식의 건축물이다. 주변 산새와 함께 무릉계곡에서 흐르는 소리와 함께 정자에 여유있게 앉아서 휴식을 취하다보면 도심에서 벗어난 자연의 정취를 흠뻑 느낄 수 있다. (출처 : 강원도청)"
