addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
강원도 삼척시 정하동 41-282,,32,,A02,A0202,A02020100,2922700,12,20221125114415,http://tong.visitkorea.or.kr/cms/resource/88/2922588_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/88/2922588_image3_1.JPG,129.1921525959,37.4400854117,6,20221205112348,0,4,,이사부광장,25925,이사부광장은 삼척항 활어센터 옆에 있다. 항구 옆 해변을 길게 감싸고 있는 정라진 방파제와 연결되어 산책을 즐길 수 있도록 조성해 놓은 테마공원이다. 공원에는 각종 공연과 행사가 열리는 잔디마당을 중간에 두고 야외공연무대와 게이트볼장이 양쪽에 자리 잡고 있다. 특히 광장의 핵심시설은 스카이 데크로 데크를 통해 해변 방파제와 연결되어 있다. 데크에서는 삼척항의 모습과 동해의 풍경이 한눈에 들어온다. 그래서 이곳이 일출 보기 좋은 곳으로 알려져 있다. 광장에서 300미터 지점에는 이사부사자바위가 있다.
강원도 삼척시 전두남1길 33-20,,32,,A02,A0201,A02010700,2820769,12,20220519165439,http://tong.visitkorea.or.kr/cms/resource/57/2820757_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/57/2820757_image2_1.jpg,129.0435390639,37.2268403735,6,20220531110542,0,4,,도계역 급수탑,25947,"삼척시 도계역 급수탑은 도계역 내에 있는 옛 증기기관차 급수시설이다. 1940년 설치된 급수탑으로 원주역 급수탑과 함께 당시의 전형적인 급수탑 형식을 보여주고 있다. 물탱크 용량은 26t, 바닥 면적은 16㎡, 하부 둘레는 14.2m이다. 높이는 8m로 다른 급수탑에 비해 낮은 편인데, 이는 철로 면보다 4m 높은 곳에 설치하여 적정 수압을 얻어낼 수 있도록 높이를 조절한 것으로 지형을 고려하여 급수탑의 높이를 조절한 독특한 사례이다. 도계역 급수탑은 물탱크를 받치고 있는 하부와, 물탱크 시설인 상부로 나뉜다. 하부는 급배수를 하기 위한 기계실로 바닥은 원형이고, 기계실 내부 천정은 돔 형식으로 되어 있으며, 하부의 기계실 출입구는 아치형 문틀로 이루어져 있다. 상부는 물탱크 시설로 돔 형식으로 4개의 반원형 도머 창문을 설치하여 환기구로 이용하고 있다. 2003년 국가등록문화재로 등록되었다.
(출처: 삼척문화관광 홈페이지)"
강원도 삼척시 소달길 12-52,,32,,A02,A0201,A02010700,2820765,12,20220519164830,http://tong.visitkorea.or.kr/cms/resource/61/2820761_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/61/2820761_image2_1.jpg,129.0626801892,37.2798290999,6,20220531110359,0,4,,하고사리역,25945,"하고사리역은 영동선로의 역사(驛舍)로 1966년 건립되어, 1967년 9월 1일 간이역 영업을 개시하였다. 마을 주민들이 역사 건립의 필요성을 느껴 자발적으로 건립한 역이다. 현재는 열차가 서지 않는 폐역이다. 구조는 맞배형태의 지붕에 벽체는 비닐 판벽이다. 대합실의 내부가 고미반자로 되어 있어 다른 간이역과 차별되며, 출입 또한 전면 진입이 아닌 이 지역의 민가 진입 방식인 측면 진입 방식을 띄고 있는 것이 특징이다. 등록문화재로 지정된 간이역 중 팔당역과 함께 규모가 가장 작은 역 중 하나이다. 2007년 국가등록문화재로 등록되었다.
(출처: 삼척문화관광 홈페이지)"
강원도 삼척시 성당길 34-84 천주교성내동성당,,32,,A02,A0201,A02010900,2820743,12,20220519152803,,,129.1616552058,37.4439454815,6,20220523175432,0,4,,성내동 성당,25917,"성내동 성당 (옛 삼척 성당)은 1949년 설립되었으며, 현재의 성당은 1957년 삼척 시내를 굽어보는 동산 위에 건립되었다. 
대한민국 근대 문화유산 등록 문화재로 지정된 성내동 성당은 여느 성당들과 달리 뒤쪽으로 들어와서 성당을 돌아야 종탑이 있는 정면 출입구에 들어사게 되는것이 특징이다. 이는 종탑이 성당 입구가 아닌 시내쪽을 바라보게 하여 멀리서도 사람들이 성당을 쉽게 찾을 수 있게 한것이다. 
초대 주임 신부인 성 골롬반 외방선교회의 진 야고보 신부 (James Maggin, 19111950)는 근현대 신앙의 증인 '하느님의 종 홍용호 프란치스코 보르지아 주교와 동료 80위' 가운데 한명이다. 
그는 1936년 한국에 와서 제 2차 세계 대전 중 투옥과 연금을 당했고, 해방 뒤에는 홍천 본당 주임을 거쳐 1949년 성내동 성당에 부임하였다. 
한국 전쟁이 일어나자 성당을 지키기 위해 피난을 거부하다가 공산군에 체포되어 1950년 7월 4일 삼척 오십천 변에서 피살되었다. 인근에 가매장되었던 그의 시 신은 1951년 춘천 죽림동 성당 성직자 묘역에 안치되었다. 
출처 : 천주교 원주교구 홈페이지 (http:www.wjcatholic.o.k)"
강원도 삼척시 정하동,,32,,A02,A0203,A02030600,2820721,12,20220519135815,http://tong.visitkorea.or.kr/cms/resource/73/2751773_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/73/2751773_image3_1.jpg,129.1881280674,37.4364524178,6,20220520091646,0,4,,삼척항 대게거리,25925,"조선시대 허균 선생의 ""도문대작""에 소개되었을 만큼 삼척의 대게는 예로부터 유명했다고 한다. 삼척항 대게거리는 대게거리인 만큼 싱싱하고 맛있는 대게가 가득하다.  대게 직판장, 회 센터 등 다양한 음식점이 있어 대게뿐만 아니라 싱싱한 동해의 해산물을 먹을 수 있다."
강원도 삼척시 대학로 9-1 마스터컷,,32,,A02,A0203,A02030600,2820184,12,20220517144326,http://tong.visitkorea.or.kr/cms/resource/70/2820170_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/70/2820170_image2_1.jpg,129.163341226,37.4419901843,6,20220614140758,0,4,,감성공작소,25917,"감성공작소는 친환경과 상생을 중시하는 삼척의 경력 단절 여성들이 모여서 만든 사업체이다. 
감성공작소를 방문 하면 첫 번째로, 삼척 바다의 푸른 모습을 지킬 수 있는 비치코밍이 스며든 체험 상품을 만날 수 있다. 바다에 버려진 유리 조각이나 조개 껍데기등을 활용해 그립톡을 직접 만들어 볼 수 있으며, 재료들을 체험객이 직접 바다에서 주어오면 체험비를 할인해주고 있다. 비치 코밍을 통해 관광객들이 환경에 대한 의미를 생각해 볼 수 있도록 하며 지구를 아끼고 바다를 생각하는 마음들을 공유하고자 한다. 두 번째로 감성공작소만의 유니크한 기념품들. 조합원들이 자체적으로 개발해 디자인을 적용한 오랍드리꽃, 이사부사자 테마를 적용한 기념품들과 직접 수공예로 만든 유니크한 제품들을 만날 수 있다. 이외에도 지역 주민과 관광객을 대상으로 다양한 예술 교육 수업도 운영하고 있는데 모든 체험과 교육은 예약제로 운영되고 있다."
강원 삼척시 도계읍 무건리 산 58,,32,0.0,A01,A0101,A01010900,2789629,12,20211208235919,http://tong.visitkorea.or.kr/cms/resource/11/2789711_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/11/2789711_image2_1.JPG,129.1031382723,37.2605265486,6,20221108155542,0,4,,이끼계곡,26248,"강원도 삼척시 육백산은 오래전 옛날 산 정상이 평평해 조 600석을 뿌려도 될 만하다고 하여 얻은 이름이다. 첩첩산중 육백산 능선을 돌아 두리봉과 삿갓봉 줄기사이로 태고의 신비를 간직한 도계 무건리 이끼폭포가 있다. 무건리 이끼폭포는 1960년대까지만 해도 호랑이가 출몰할 정도로 깊고 우거진 숲속에 숨어 그 비경이 감춰져 알려지지 않았으며, 특히 여름철에는 바위마다 짙게 뒤덮은 초록의 신비로운 이끼는 물론이고, 세찬 물소리와 골짜기에서 불어오는 시원한 바람이 일품이다."
강원도 삼척시 새천년도로 460,(교동),32,0.0,A01,A0101,A01011400,2776847,12,20211122182604,,,129.1773031919,37.4638573841,6,20221209144711,0,4,,후진항,25909,"대한민국 강원도 삼척시 교동에 있는 어항이다. 삼척시에서 어촌정주어항으로 지정하여 관리하고 있다.  수로부인 공원(해가사의 터)에서 1.7Km 정도 해안도로를 따라 삼척 쪽으로 달리다 보면 만날 수 있는 작은 항구로, 드라이브하다가 잠깐 차를 세우고 바다 구경하기 좋은 곳이다.  항구로 들어가는 입구에는 '후진항'이라는 표지판이 세워져 있다. 작은 모래 해변은 규모는 작지만, 사람의 흔적도 거의 없고 물이 맑고 깨끗하다. 북측 갯바위와 방파제에서는 낚시하는 사람들을 쉽게 찾아볼 수 있다."
강원도 삼척시 미로면 동안로 540,,32,0.0,A01,A0101,A01010700,2776835,12,20211122181101,http://tong.visitkorea.or.kr/cms/resource/43/2776843_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/43/2776843_image2_1.JPG,129.070707789,37.4441270181,6,20221209105845,0,4,,삼척미로정원,25903,"폐교된 미로초등학교 두타분교에 꽃과 나무를 심고 가꿔 싱그러움이 가득한 정원으로 탈바꿈시킨 곳이다.  크게 1·2권역과 탐방코스로 구성되어 있다. 1권역에는 두부체험장, 야생화 체험실, 주막식당, 카페 등이 운영 중이며, 운동장에는 야생화 정원, 사계절 풀장, 야영장 4동, 방갈로 6동 등이 조성되어 있다.  2권역에는 통방아 정원, 주차장 등의 편의시설을 갖추고 있으며, 1권역에서 2권역으로 이어지는 약 2.2km의 마을 안길을 통하여 도시에서 느낄 수 없는 정겨운 농촌의 정서를 담아갈 수 있는 힐링 탐방코스로 구성되어 있다. 홈페이지에서 사전 예약하면 숙박도 가능하다."
강원도 삼척시 근덕면 대진길 120,,32,0.0,A01,A0101,A01011400,2776834,12,20211122180620,,,129.2604798776,37.3479140193,6,20220816092052,1,4,,대진항 (삼척),25936,"삼척 대진항은 삼척시 근덕면에 위치한 조용한 항구다.
큰길에서 멀리 떨어져 있어 인지도가 낮은 편이지만 다양한 고기가 잡혀 낚시꾼들에게는 입소문이 자자한 곳이다.
어촌계 자율관리 공동체로 어패류 보관장, 수산물 저온저장시설, 어업인 휴게소 등 어업인들을 위한 다양한 편의시설이 잘 갖추어진 곳이다."
