addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
강원도 속초시 영랑호반길 329-1(장사동),,32,,A02,A0202,A02020700,2913909,12,20221107193323,http://tong.visitkorea.or.kr/cms/resource/86/2922286_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/86/2922286_image3_1.jpg,128.5699457931,38.2145502761,6.0,20221209105944,0,5,,속초시 반려견놀이터,24805.0,영랑호 옆 속초시 반려견놀이터입니다.
강원도 속초시 해오름로 186,-1,32,,A02,A0203,A02030600,2814180,12,20220329105334,,,128.6039879141,38.1899288046,6.0,20220429101507,1,5,,속초해수욕장 대관람차(속초아이),24887.0,국내 유일하게 해변에 위치해 속초의 푸른 바다를 한눈에 감상할 수 있으며 설악산의 절경도 감상할 수 있다.  속초아이는 아파트 22층 높이로 정원 6명인 관람차가 36대로 최대 216명이 동시에 이용할 수 있다.
강원도 속초시 영랑호반길 329-1,(장사동),32,0.0,A02,A0202,A02020100,2788935,12,20211208190042,http://tong.visitkorea.or.kr/cms/resource/88/2792788_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/88/2792788_image2_1.jpg,128.569831915,38.2145391649,6.0,20220407172040,1,5,,영랑호 설화공원,24805.0,"범바위를 지나 영랑호 둘레길을 따라 걷다 보면 영랑호 습지 생태공원을 만날 수 있다. 가을이면 은빛 억새가 낭만적인 풍광을 자아내는 곳으로, 그 입구에 영랑호 설화 공원이 있다. 영랑호 설화 공원은 영랑호에 얽힌 설화를 조각상으로 재현한 공간이다. 공원에 들어서면 파도 위에 솟아오른 두 마리 용이 보인다. 용 주변으로 네 명의 화랑이 보이는데, 이곳 호수에서 수련했다고 하는 화랑 영랑의 모습을 형상화 한 것이다. 영랑은 이곳 호수에서 수련하다가 불교의 관음보살을 직접 만났고, 관음 바위로 불리는 이곳에서 마침내 승천했다는 이야기가 전해진다."
강원도 속초시 영랑로7길 10-5,(동명동),32,0.0,A02,A0201,A02010900,2788927,12,20211208185555,http://tong.visitkorea.or.kr/cms/resource/98/2792798_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/98/2792798_image2_1.jpg,128.5958129203,38.2135064568,6.0,20211213214242,0,5,,동명동성당,24823.0,"강원도 속초시 동명동에 있는 춘천교구 소속의 가톨릭 천주교회이다. 동명동 성당의 전신인 속초성당은 한국전쟁 중에 지어진 유일한 성당이다. 미사 때마다 옥수수가루나 우유, 의약품 등을 나눠주었기 때문에 전쟁이라는 긴박한 상황에서도 많은 피난민이 성당에 와 신도가 되었다. 동명동 성당은 해맞이 장소로도 유명하다. 성당 앞마당에서 아름다운 속초 앞바다와 옹기종기 모인 집들이 한눈에 들어오기 때문이다."
강원도 속초시 조양동 1529,,32,0.0,A02,A0201,A02010700,2782196,12,20211126234142,http://tong.visitkorea.or.kr/cms/resource/17/2785917_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/17/2785917_image2_1.jpg,128.590533637,38.1881120878,6.0,20221101160457,2,5,,조양동 선사유적지,24890.0,"조양동 선사 유적은 동해안 청초호수 근처에 있는 청동기시대 유적이다. 특이하게도 주택가 한가운데 언덕에 있어 입구를 찾기가 쉽지는 않지만, 조양동 행정복지센터 뒤편 길로 가면 찾을 수 있다. 이곳은 주택단지로 조성될 예정이 있었으나 유적의 중요성이 인정되어 유적지를 조성하고 1992년 10월 사적 제376호로 지정되었다. 기원전 8세기경에 사람이 살았던 집터와 무덤들이 있으며, 당시 사람들의 주거환경과 생활상을 엿볼 수 있다. 집터는 풍화암반층 지반을 4060m 길이로 파내고 고운 진흙을 바닥에 깔아 처리했다. 또 평면은 네모꼴로, 23㎡∼76㎡ 규모로 밝혀져 당시 사람들이 723평가량의 움집에서 생활하였음을 알 수 있다. 움집터 서쪽 고인돌에서 발견된 부채꼴 모양의 청동도끼는 동해지역에서 발견된 사례가 없어 이 지역 선사 문화 연구를 새롭게 하는 계기가 되었다. 유적지 공원에는 청동기시대 사람들의 집터를 복원해놓아 당시의 움집에 들어가 관찰하며 생생한 체험을 할 수 있고, 주변에 산책로가 조성되어 있어 한적하게 산책을 즐길 수도 있다."
강원도 속초시 엑스포로 140,(교동),32,0.0,A02,A0202,A02020100,2776859,12,20211122183706,,,128.5820424661,38.1969414507,6.0,20221206224807,0,5,,청초호 호수공원,24854.0,"자연석호인 청초호변에 있는 호수공원으로 1999년 국제관광 엑스포가 개최된 곳이다. 호수를 바라보며 잘 조성된 공원은 테마별로 다양한 모습을 보여준다. 나무 그늘 밑에서 잠시 쉬어갈 수 있도록 벤치가 놓여 있는 휴식공간도 잘 마련되어 있다. 호변 테크길을 따라 산책하기 좋고, 봄에는 튤립, 여름에는 마리나, 가을에는 국화, 겨울에는 설경을 볼 수 있는 아름다운 호수이다. 공원 내에 있는 속초 엑스포타워 위로 올라가면 청초호, 청초호 호수공원 그리고 동해 바다와 조도까지 볼 수 있다. 반대편으로는 설악산의 울산바위와 달마봉을 볼 수 있다."
강원도 속초시 영랑호반길 140,(금호동),32,0.0,A01,A0102,A01020200,2776855,12,20211122183258,,,128.5808225913,38.2142727422,6.0,20211125004730,1,5,,범바위,24806.0,"강원도 속초시 영랑호반길 140에 있는 호수로, 둘레가 8km, 넓이가 1,190,000㎡나 되는 거대한 자연 석호인 영랑호 중간 지점 서남쪽에 잠겨 있는 큰 바위이다.  위엄이 당당하며 마치 범이 웅크리고 있는 것과 같다 하여 이름 붙여졌다. 속초 8경의 하나로 웅장함과 보는 위치에 따라 다양한 모습으로 변한다. 크고 작은 바위들이 모여 아름다운 형상을 만들어 낸 자연적인 바위 군이다. 경관이 뛰어나 영랑호를 찾는 이들이 이 바위에 오르곤 하였으며 옛날에는 범이 출몰할 정도로 산림이 울창하고 인적이 드문 곳이었다. ﻿범바위가 있는 곳까지는 그리 멀지는 않지만 오르는 길이 조금은 경사가 심하고 바위로 되어 있어 미끄러워 위험할 수 있으니 조심해야 한다.  바위 위로 오르면 동해와 설악산, 울산바위와 영랑호가 한눈에 들어온다.  맞은편에서 보면 마치 여자가 누워 있는 듯한 형상으로 보이기도 한다."
강원도 속초시 관광로 277,,32,0.0,A01,A0101,A01010500,2715993,12,20210511223807,,,128.5423075246,38.1860974964,6.0,20221213135524,0,5,,척산족욕공원,24867.0,"척산온천수는 지하 450m에서 43도에서 53도 정도로 용출되며, 1일 용출량 4000여 톤으로 수질의 감촉이 매끄럽고 물빛은 푸른빛을 띤다. 소화기질환, 신경통, 피부질환에 특효가 있는 것으로 알려져 있고, 불소도 함유되어 있어 충치 및 각종 눈병과 외상에 효과가 좋다. 족욕의 효능은 널리 알려져 있는 바다. 조선시대 명의 허준의 동의보감에 쓰여있는 두한족열과 일치하는 건강관리법으로 족욕을 하면 발끝부터 시작해 몸 전체가 따뜻해지고 좁아진 혈관이 확장되어 혈액순환이 좋아진다. 이로 인해 말초부분에 정체돼 있던 어혈이 풀어지고 혈액의 흐름이 좋아지면서 마음 심신을 편안하게 해준다.속초시의 자랑, 척산 온천수로 족욕을 통해 여행의 묵은 피로를 달랠 수 있어 좋다. 운영시간은 오전 9시부터 오후 6시까지 운영되고 수건과 방석은 아주 저렴한 가격에 대여하고 있다. (출처 : 강원도청)"
강원도 속초시 도문동 33-1,,32,0.0,A02,A0201,A02010700,2715992,12,20210511223056,,,128.549790855,38.1643751699,6.0,20220520100509,0,5,,학무정,,"강원도 속초시 도문동 한옥마을에 위치한 정자이다. 속초 8경의 하나로서, 설악산 대청봉에 발원하여 흐르는 쌍천 옆 소나무 숲 사이에 있다. 조선후기 유학자 매곡 오윤환 선생이 제자 양성 등을 위해 설립하여 지금까지 이어져 오고 있다. 학문과 효의 정신이 담겨있는 의미 깊은 정자이다. 

정자가 있는 한옥마을은 수려한 설악의 풍경이 펼쳐진 설악산 자락에 위치해 있다. 마을의 동쪽으로는 푸르고 깊은 동해바다가 보이고, 설악산에서 굽이쳐 흘러내리는 쌍천이 마을 앞을 지나가는 경관을 자랑하는 곳이다. 조선후기 한학자 오윤환 선생이 1934년에 세운 정자 학무정에서는 향긋한 솔향이 가득히 퍼진다. 소나무 숲속에서 선비들은 글을 짓고 시를 읊으며 학문을 쌓았다. 학무정의 특징으로는 정자 4면에 모두 현편이 걸려있다는 점이다. 남쪽에는 학무정, 북쪽에는 영모재, 북동쪽에는 인지당, 남서쪽에는 경의재라고 쓰여있다. 또 정자 안쪽에는 학무정에서 읊은 시들을 담아 11개의 시판과 학무정기가 걸려 있다.

(출처 : 강원도청)"
강원도 속초시 장사동 517-13,,32,0.0,A01,A0101,A01010500,2714833,12,20210429024215,,,128.5886826997,38.2234968217,6.0,20220520103452,0,5,,속초해안로,,"속초해안로는 가장 위의 장사항, 등대해수욕장, 속초전망대, 속초항을 거쳐 설악대교를 지나 속초해수욕장, 외옹치항 그리고 대포항까지 이어지는 길이다. 해안로에는 앞서 말한 다양한 관광지들과 항구, 해수욕장을 거쳐가고 있으며 주변에 다양한 음식점과 카페들이 자리하고 있다.

속초해안로는 동해 바다의 청명함을 느끼며 드라이브할 수 있고 해변가에 위치한 다양한 관광지들을 쉽고 빠르게 접근할 수 있도록 돕고 있다. 영랑동에는 바다 전망 쉼터가 있어 무료로 동해의 경치를 감상하며 휴식을 취할 수 있도록 하였다. 

(출처 : 강원도청)"
