addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
강원도 양구군 양구읍 한반도섬길 76,,32,,A01,A0102,A01020100,2913879,12,20221107192507,http://tong.visitkorea.or.kr/cms/resource/37/2921437_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/37/2921437_image3_1.jpg,127.9828295908,38.1306932194,6.0,20221125174551,0,6,,한반도섬 자연습지,24514,"한반도의 배꼽이라고 불리는 국토 정중앙 양구, 파로호 상류에 위치한 국내 최대 규모의 인공습지.양구 한반도섬은 국내 최대 규모의 인공 습지로 파로호 상류에 위치한 인공 섬입니다. 오랫동안 방치돼 있어 오염이 심각했던 땅을 생태계 복원과 수질 정화를 위해 조성한 곳으로, 탁 트인 전망을 자랑합니다. 호수 반대편 동수리에 위치한 한반도섬 전망대에서는 섬의 모습을 한눈에 바라볼 수 있습니다. 짜릿한 스릴을 즐길 수 있는 짚라인을 타고 한반도섬으로 가보는 것도 즐거운 경험을 선사합니다. 잔잔한 호수와 푸르른 숲을 동시에 누릴 수 있고 전국8도의 모습을 형상화한 한반도섬은 시원하게 쭉 뻗은 나무 데크 길을 따라 걷는 코스가 인상 깊습니다. 반려견과 함께 백두에서 한라까지, 국토 종주를 하는 기분으로 천천히 호흡하며 한반도섬을 즐겨보세요."
강원도 양구군 양구읍 함춘로 116,,32,,A01,A0101,A01011300,2913878,12,20221107192416,http://tong.visitkorea.or.kr/cms/resource/02/2921402_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/02/2921402_image3_1.jpg,127.9890349552,38.1183725506,6.0,20221125174650,2,6,,양구꽃섬,24520,"양구 꽃섬은 메타세쿼이아 길, 상록원, 계절원, 아이리스원, 중앙정원으로 나뉘어져 섬 하나가 식물원인 듯 꾸며져 있는 곳으로 반려견과 함께 산책하기 좋은 곳입니다."
강원도 양구군 국토정중앙면 두무리 산12,,32,0.0,A02,A0203,A02030100,2788932,12,20211208185903,http://tong.visitkorea.or.kr/cms/resource/23/2793223_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/2793223_image2_1.jpg,128.067671284,38.0582782644,6.0,20221117142041,0,6,,두무리산촌생태마을,,"양구군 남면 두무리는 두무동 고개와 소양강 상류에 둘러싸여 있는 전형적인 산촌마을이다. 40년 전인 1973년 소양강댐이 건설되면서 두무리와 붙어있는 인제군 남면 관대리 일원에 물이 차게 됐고 두무리는 산과 강으로 둘러싸인 오지 중의 오지로 손꼽히게 됐다. 청정 자연이 마을을 품고 있다 보니 이곳에서 생산되는 모든 농산물과 산채 등도 전국 최고의 맛과 품질을 자랑한다. 두무리에서는 주로 고추, 수박, 곰취, 오이 등이 생산 판매하고 있다."
강원도 양구군 양구읍 동수리 산1-1,,32,0.0,A02,A0205,A02050600,2778091,12,20211123195643,,,127.9711307128,38.1288682106,6.0,20211124224802,0,6,,한반도섬전망대,,"한반도의 배꼽이라고 불리는 한반도의 정중앙 양구에 떠 있는 한반도섬은, 파로호 상류에 있는 한반도 모양을 한 국내 최대 규모의 인공습지다. 전망대 주차장이 따로 있고 주차장 건너편의 나무데크로 조성된 계단을 오르면 팔각정 형태의 전망대가 나온다.  전망대에 오르면 망원경이 설치되어있고, 파로호의 한반도섬을 조망할 수 있다.  물이 가득한 계절에 가야 뚜렷한 한반도 모양을 볼 수 있다고 한다. 전망대에서 내려와 백두에서 한라까지 한반도섬을 전체 둘러보는데는 한 시간 정도 소요된다."
강원도 양구군 동면 숨골로310번길 131,,32,0.0,A01,A0101,A01010700,2714550,12,20210427003809,,,128.0740222459,38.1900297009,6.0,20220718135548,1,6,,양구 수목원,24511,"양구 수목원은 DMZ 휴전선 인근 신비의 자연생태가 펼쳐진 곳으로 희귀식물을 관찰 할 수 있다. 특히, 식물원이 있는 대암산에는 우리나라가 람사르협약에 가입하면서 최초로 등록한 습지, 용늪이 있어 식물원의 가치를 더욱 높여 주고 있다. 식물원은 149천㎡의 부지에 다양하고 많은 종의 식물들을 보유하고 있으며, 우리지역에 자생하는 희귀멸종위기식물의 보전과 증식을 통해 생태학습장으로 활용되고 있다."
강원도 양구군 동면 펀치볼로 266-60,,32,0.0,A01,A0101,A01010500,2714534,12,20210426202744,,,128.0748794087,38.2257255543,6.0,20221213153143,0,6,,산양증식복원센터,24506,"2007년 6월28일 개장한 양구산양증식복원센터는 양구군 동면 팔랑리 일대 17만5237㎡의 자연 암벽지대에 사육장과 그늘막, 치료센터 등을 갖추어 생태계 파괴와 밀렵 등으로 멸종위기에 처한 천연기념물산양 복원기술을 자체 개발하고 산양의 유전자원 보호, 증식기술 확보, 야생동물 생장모델 및 사료개발 등의 추진으로 산양의 개체수를 늘리기 위해 건립되었다. 자연 속에 있는 산양들의 모습을 만날 수 있는 산양증식복원센터에서는 환경 보호의 중요성과 생태계의 신비에 대해 다시금 한 번 생각할 수 있는 계기를 제공한다. 물 한 모금을 마시면서도 사람들을 경계하며 야생성을 잃지 않은 그들의 모습에 감탄하며, 아이들에게 자연의 소중함을 일깨워 줄 수 있는 특별한 공간이다. 철장이 아닌 들에서, 바위 위에서 살아가고 있는 산양을 바라보며 자연으로 돌아가기까지의 과정을 둘러 볼 수 있다.  (출처 : 강원도청)"
강원도 양구군 양구읍 박수근로 366-24,,32,0.0,A02,A0202,A02020100,2714079,12,20210420012845,,,127.982835919,38.1052211879,6.0,20220818111043,0,6,,청춘양구레포츠공원,24519,"이 야영장은 물놀이, 공놀이, 자전거를 좋아하는 사람들이 행복한 시간을 보낼 수 있는 장소다. 2002년부터 청소년야영장으로 이용되던 곳인데 최근 캠핑인구 급증과 함께 캠퍼들의 입소문을 타고 유명해졌다. 야영장 관리자 말에 의하면 봄이 시작되는 45월 연휴 기간부터 총 95면에 이르는 모든 사이트가 꽉 찰 정도란다. 깨끗한 시설에서 부모, 아이, 어른 모두가 자신에게 맞는 레포츠를 즐기며 캠핑을 할 수 있는 전국적으로도 흔치 않은 캠핑 공간이다.   양구 레포츠공원 야영장은 양구읍내 바로 옆을 흐르는 양구서천 변을 따라 물놀이 테마파크, 야외 수영장, 풋살장 2면, 게이트볼장, 그리고 실내 수영장이 있는 양구국민체육센터 등의 최신시설을 갖추고 남북으로 길게 자리 잡고 있다. 양구군시설관리사업단 카페(cafe.daum.netygsisul)를 방문하면 꾸준하게 이뤄지고 있는 관리 현황을 생생한 사진과 함께 파악할 수 있다. 양구 레포츠공원 야영장은 양구읍내와 가깝기 때문에 전통시장이나 대형마트를 이용하기 좋다. 서울에서 양구까지 서울춘천고속도로를 이용하면 자가용으로 1시간 30분쯤 걸린다. 그래서 양구 레포츠공원 야영장은 서울에서 찾아가기에도 부담 없는 입지조건을 갖추고 있다."
강원도 양구군 양구읍 한반도섬길 76,,32,0.0,A01,A0101,A01011300,2713392,12,20210408222417,,,127.9828295908,38.1306932194,,20220322112357,0,6,,한반도섬,24514,"파로호 한반도 섬은 파로호 상류에 163만 평방미터의 국내 최대의 습지를 조성하고 호수 한가운데에 한반도 모습으로 만들어진 인공 섬으로 섬까지 나무 데크길로 연결이 되어 있어 강변 바람을 맞으며 걷기에 좋은 산책로가 조성이 되어있다.
호수 반대편 동수리쪽에 위치한 한반도섬 전망대에 들러 전체적인 섬의 모습을 바라볼 수 있다. 전망대에 도착해서 계단을 조금만 오르면 파로호와 한반도섬을 한눈에 담을 수 있다. 하늘과 호수와 푸르른 숲을 눈에 담을 기회가 드문 요즘 눈은 물론 마음까지 탁 트이게 하는 시원함을 느낄 수 있을 것이다."
강원도 양구군 남면,,32,0.0,A02,A0205,A02050200,2702469,12,20201230223954,,,127.9877535893,38.0573185282,6.0,20220503103729,0,6,,필리핀군 전투전적비,24558,"철원평강김화를 잇는 철의 삼각지대에서 치열한 전투가 있었다. 1952년 05.18  21일과 1952.06.18.  21일 두 차례에 걸쳐 중공군과 의용군을 필리핀군 제 19, 20 전투단이 힘껏 싸웠다. 제 1차 전투 3일 동안 고지의 주인이 9차례나 바뀔 정도로 치열하였다. 험난했던 제 1차 전투는 몇 차례의 공방 끝에 고지를 탈환함으로써 종료되었다. 제 2차 전투에선 강력한 화력 지원 하에 중공군을 마주하였으나 끝끝내 고지를 사수하였다. 중공군과 의용군은 탱크 2대를 비롯한 많은 장비와 전사자를 유기한 채 퇴각하였다. 전투 이후 양구지역으로 이동하여 심포리 일대에 주둔하였고 그 기간 동안 필리핀군 전투 전적비를 세운 것으로 추정된다."
강원도 양구군 남면,,32,0.0,A02,A0205,A02050200,2702467,12,20201230220925,,,128.0465733173,38.1459232091,6.0,20220419141044,0,6,,전기필불망비,24552,흉년이 심해 마을주민들이 끼니를 잇지 못했다. 이때 전기필이라는 부자가 자신의 곡식 수백석을 구휼미로 나눠 기근을 무사히 넘겼다. 조정에서 가선대부 벼슬을 내렸으며 주민들은 공로를 기리기 위해 1840년 비석을 세웠다. 이후 1942년 목공의 후손인 전승한씨에 의해 비각이 세워졌다. 불망비란 후세 사람들이 잊지 않도록 어떤 사실을 적어 세우는 비석이다. 마을 사람들에게 많은 은덕을 베풀고 목숨을 구해주었기에 이렇게 감사의 표시로 전기필 불망비가 세워졌을 것이다. 오늘 날 전기필 불망비는 우리에게 많은 것을 시사한다. 무엇인지는 구태여 적지 않을 것이다. 직접 비석을 바라보고 주변 풍경을 보면서 스스로가 정답을 찾으면 되기 때문이다.
