addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
강원도 양양군 현남면 남애리,,32,,A01,A0101,A01011200,2916001,12,20221123122339,http://tong.visitkorea.or.kr/cms/resource/96/2915996_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/96/2915996_image3_1.JPG,128.7786270987,37.940055678,6.0,20221123122357,0,7,,남애1리해수욕장,25057.0,"양양을 대표하는 항구가 남애항이다. 이를 중심으로 위쪽이 3리 해변, 전망대와 항구가 있는 곳이 2리, 항구방파제 남쪽 해변이 1리 해변이다. 1리 해변은 2, 3리와 달리 특별한 유흥시설이나 레저시설이 없어 아주 조용하고 작은 어촌의 풍경을 보여준다. 여기서부터 아래쪽으로 원포해변과 지경해수욕장, 주문진해수욕장까지 길게 해변이 이어진다. 여름에는 해당화가 해변 가득 피어 볼거리를 주고, 해변 중간에는 차박을 할 수 있는 야영장도 마련되어 있다."
강원도 양양군 양양읍 송암리,505-3,32,,A02,A0202,A02020700,2915995,12,20221123121752,http://tong.visitkorea.or.kr/cms/resource/90/2915990_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/90/2915990_image3_1.JPG,128.6350549791,38.0867330773,6.0,20221123121808,1,7,,양양송이조각공원,25020.0,"남대천 수변에 조성된 어린이놀이공원이다. 바로 아래에 연어생태공원이 있어 함께 둘러보기 좋다. 우선 강변에 넓게 잔디밭이 조성되어 있고, 잔디밭 옆에 초등학생들이 즐길 수 있는 십여 가지의 놀이시설이 갖춰져 있다. 공원에 들어서면 가장 먼저 송이조각공원의 자음과 모음을 일렬로 나열하고 무지개색으로 칠해놓은 조형물이 눈에 띄는데 포토존으로 인기다. 놀이시설들은 미끄럼틀, 시소, 작은 집라인, 그물타기, 나무 징검다리 건너기 등이 있는데, 전부 나무와 흙, 모래를 가지고 놀 수 있게 되어 있어 자연 친화적이다."
강원도 양양군 현북면 하륜길 54,,32,,A02,A0205,A02050600,2913906,12,20221107193156,http://tong.visitkorea.or.kr/cms/resource/00/2922200_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/2922200_image3_1.jpg,128.7285401922,38.021992417,6.0,20221125174214,3,7,,하조대전망대,25047.0,하조대해수욕장 우측에 위치한 양양의 바다가 한눈에 내려다보이는 전망대입니다.
강원도 양양군 현남면 매바위길 138,,32,,A02,A0205,A02050600,2913903,12,20221107193114,http://tong.visitkorea.or.kr/cms/resource/50/2922150_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/50/2922150_image3_1.jpg,128.7868845282,37.9451191407,6.0,20221125174242,3,7,,남애항 스카이워크 전망대,25057.0,수산물의 집산지 역할을 톡톡히 해내며 강원도 3대 미항으로 불리는 남애항에 있는 스카이워크 전망대
강원도 양양군 현남면 매바위길 167,,32,,A01,A0101,A01011200,2913902,12,20221107193031,http://tong.visitkorea.or.kr/cms/resource/30/2922130_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/30/2922130_image3_1.jpg,128.7845708299,37.9457079159,6.0,20221125174254,1,7,,남애3리해수욕장,25057.0,"아름다운 석호인 매호를 끼고 있는 남애리에는 세 곳의 해변이 있습니다. 그 중 맨 북쪽에 위치한 남애해변이 가장 규모가 큽니다. 백사장은 길이 2km에 폭 100m쯤 되며, 평균 수심 12m로 경사가 완만하고 모래질도 좋은 편이고 바다로 흘러드는 매호의 물길 양쪽에는 광활한 갈대밭이 펼쳐져 있어 가을철이면 햇살 아래 금빛으로 일렁이는 갈대밭의 풍경이 그림처럼 아름답습니다. 남애3리 해변은 길이 1.3km에 폭 100m 가량 되는데, 남애항과 가까워서 싱싱한 해산물을 손쉽게 맛볼 수 있습니다. 남애항은 동해시 추암해변, 양양 낙산 해변과 함께 동해안의 일출 명소로도 이름 나 있습니다. 가장 남쪽의 남애1리해변은 길이 0.6km의 아담한 해변입니다. 매호 부근에는 천연기념물 제229호로 지정된 백로·왜가리 번식지가 있습니다."
강원도 양양군 현남면 광진리,78-20,32,,A01,A0101,A01011200,2398943,12,20220308172529,http://tong.visitkorea.or.kr/cms/resource/27/2738627_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/27/2738627_image3_1.jpg,128.7650638871,37.9577061444,6.0,20220308172537,685,7,,광진해수욕장,,"강원도 양양군 현남면 광진리에 있는 해수욕장이다. 7번 국도변을 따라 인구해수욕장과 갯마을해수욕장 사이에 위치한다. 일반인에게 개방되지 않았기에 지금도 청정해역으로 남아있다. 광진해수욕장은 수질이 깨끗해 바다 밑이 훤히 들여다보일 정도다. 스노클링으로 바닷속 절경을 즐기려는 사람들을 흔히 볼 수 있다. 해변 암초 사이에 성게가 많이 서식한다고 알려졌고, 바다 조개를 채취할 수도 있다. 수심이 얕아 아이들이 물놀이하기에도 좋다. 걸어서 10분 거리에 양양의 관광 명소 휴휴암이 있다. 양양군에서 가장 남쪽에 있는 석호, 포매호 일대는 백로와 왜가리 번식지로 천연기념물 229호다."
강원도 양양군 서면 송어길 38,,32,0.0,A02,A0204,A02040800,2790709,12,20211209233851,http://tong.visitkorea.or.kr/cms/resource/54/2790754_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/54/2790754_image2_1.jpg,128.538719788,38.0700720342,6.0,20221108095123,0,7,,오색허브농원,25033.0,"세상의 모든 향기가 다 모여 있다고 자랑할 정도로 잘 가꾼 정원이 실내에도 실외에도 향기를 뽐내며 방문객들의 시선을 기다리고 있다. 향기의 여왕 라벤더, 젊음을 주는 로즈마리, 머리를 맑게 하는 캐모마일, 시원한 페퍼민트와 달콤한 사과향 번지는 세이지가 허브식물원과 야외식물원을 가득 채우고 있다. 오색허브농원에서는 실내외 식물원을 통해 허브의 생태를 관찰할 수 있을 뿐만 아니라 허브 기르기부터 공예, 음식, 차 만들기 등 허브를 활용한 체험도 즐길 수 있다. 또 허브제품을 구매할 수 있는 허브샵이 함께 있어 일상에서 아로마 테라피를 할 수 있는 허브 입욕제와 방향제, 화장품 등을 구입할 수 있다. 농원에서 운영하는 펜션형 민박과 야영장은 혼자만 누리고 싶은 아늑한 나만의 여행지로 제격이다. 농원 앞으로 흐르는 오색천은 농원에 머무는 민박객들의 훌륭한 물놀이장이 되어주고, 농장 한켠에 당나귀체험장이 있어 어린이들의 호기심을 자극한다. 다양한 놀이시설과 함께 바비큐장, 식당 등 부대시설이 완비되어 있어 가족 단위 여행객들이 편리하게 이용하기 좋다."
강원도 양양군 손양면 동명로 119,,32,0.0,A02,A0203,A02030100,2789055,12,20211208193232,http://tong.visitkorea.or.kr/cms/resource/92/2793292_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/2793292_image2_1.jpg,128.6388992529,38.0810143726,6.0,20221118092851,0,7,,동해생명자원센터 / 내수면생명자원센터,25041.0,"국내 연어의 70가 회귀하는 양양의 남대천에는 연어를 연구하는 동해 생명 자원센터가 있다. 연어 자원조성과 보존을 위해 연어를 연구하고 개체수를 늘리는 사업을 하고 있다. 동해 생명 자원센터 바로 앞에는 남대천에 올라온 연어들이 자연스럽게 센터 안으로 들어올 수 있도록 물길이 나 있다. 인공수정을 통해 국내 연어의 개체 수를 늘려주기 위한 장치로, 연어를 포획해 인공수정을 해서 방류하면 연어의 회귀율이 더 높아지기 때문이다. 동해 생명 자원센터는 인공수정을 통해 얻은 치어를 키워서 다시 방류하는 일을 하는데, 23월에는 방류행사, 10월 말과 11월 초에 있는 연어 축제와 연계해 연어 포획부터 알 채취 과정, 방류 같은 체험행사도 운영한다. 이 기간에 동해 생명 자원센터에 문의하면 연어 치어를 구경할 수도 있다."
강원도 양양군 현남면 개매길 215-33,,32,0.0,A01,A0101,A01010500,2789008,12,20211208192204,http://tong.visitkorea.or.kr/cms/resource/47/2793447_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/47/2793447_image2_1.jpg,128.7644282112,37.9455464316,6.0,20221116142231,0,7,,포매리 백로와 왜가리 번식지,25056.0,"현남면 포매리에 가면 백로와 왜가리가 소나무 위에서 유유히 날개짓 하는 모습을 볼 수 있다. 포매리는 동해안에서 대표적인 백로와 왜가리의 번식지로 유명하다. 백로와 왜가리는 주로 논과 하천, 해안과 갯벌에서 살면서 개구리와 뱀, 물고기 등을 잡아먹는데, 때문에 1990년에 포매호도 함께 보호구역으로 지정되었다. 포매리 번식지는 해안으로부터 700m 떨어진 구릉 위에 적송림이 울창하게 숲을 이룬 곳이다. 이 소나무 숲에서 백로와 왜가리가 번식하는데 소나무 약 500주 가운데 반 정도인 250주에서 살아가고 있다."
강원도 양양군 현남면 개매길 215-5,,32,0.0,A02,A0201,A02010400,2789002,12,20211208192026,http://tong.visitkorea.or.kr/cms/resource/81/2793381_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/81/2793381_image2_1.jpg,128.7653420593,37.9441993833,6.0,20221117143925,0,7,,조규승가옥,25056.0,"백로와 왜가리의 집단 서식지인 포매리마을에 위치한 가옥이다. 조규승 가옥은 1985년에 강원도 문화재 제80호로 지정되었다. 담이 없고 집 주변으로 대나무와 소나무가 집을 감싸고 있어 오는 사람을 반기는 듯한 모습이다. 이 고택은 현 소유자의 10대조가 세운 집으로 300년 전쯤 건립한 것으로 추정되는데, 안채는 앞면 5칸에 옆면이 2칸이고, 지붕은 한자 여덟 팔자(八) 모양을 한 팔작지붕입니다. 조규승 가옥에는 현재 후손이 살고 있어 집안이 늘 공개되지는 않지만, 전체적으로 한옥의 형태를 둘러보고, 바로 앞 북카페에 들러 책 한 권과 커피 한 잔의 여유를 누려보는 것도 좋겠다."
