addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
강원도 영월군 청령포로 126-3,,32,,A01,A0101,A01010500,2911420,12,20221117140925,http://tong.visitkorea.or.kr/cms/resource/75/2517675_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/75/2517675_image3_1.jpg,128.4463217149,37.1796565918,6,20221117140943,0,8,,운탄고도 1330 1~3길,26226.0," 운탄고도 1330은 과거 석탄을 싣고 달리던 차들이 오가던 폐광지역 4개 시군을 연결한 트레킹 길로, 영월에서부터 정선, 태백, 삼척까지 이어진다. 구간 중 최고 높이인 정선 만항재의 1,330m를 따서 운탄고도 1330이라 지어진 이 길은 평균고도 546m, 총 길이는 173.2km에 달하며, 2022년 10월 1일에 길 개통식을 열어 현재 많은 관광객이 찾고 있다.

 그 중 13길은 영월군 구간으로 시점인 운탄고도 1330 통합안내센터(청령포)에서부터 김삿갓면 모운동을 지나 정선 예미역까지 이어지는 길이다. 1길은 단종의 유배지였던 청령포를 거쳐 동강을 따라 걸으며 여유를 찾고, 2길은 방랑시인 김삿갓의 흔적을 따라 걸으며, 모운동에서 시작하는 3길은 광부들의 흔적을 느낄수 있는 광부의 길로 이어져 한때 대한민국의 부흥을 이끌었던 탄광의 흔적을 마주할 수 있다.

 또한 영월 구간에서는 조선 6대 임금의 단종의 능 장릉과 천연기념물인 고씨굴, 김삿갓 문학관과 예밀 와인 체험 등 주변 관광자원 및 체험과 연계해 여유로운 트레킹과 함께 영월 그대로를 즐기고 느낄 수 있다.

 운탄고도 1330 트레킹 길은 폐광지역 4개 시군이 가진 관광지와 숲길, 임도 등 국유림 구간을 통과하며 환경훼손 방지를 위해 자연의 길과 기존의 길을 활용하고 최소한의 시설만 설치함으로서 자연 길을 최대한 보존하고 훼손을 최소화 하는 친환경적 걷는 길로 조성되었다.

 운탄고도 트레킹 코스 인근 걷기 여행길인 산꼬라데이길, 외씨버선길 등이 조성되어있어 트레킹 관광객들로 하여금 자연스럽게 친환경적 걷기운동 참여를 유도하고 있으며, 모운동 숲길을 따라 걷다보면 템플스테이가 가능한 망경산사가 있어 고지대의 아름다운 자연환경 속에서 사찰의 일상을 체험할 수 있다.

 모운동 벽화마을에서는 2022년 10월 1일 운탄고도 1330 개통식과 함께 운탄고도 1330 느리게 걷기 행사를 개최하는 등 다양한 친환경 걷기 행사와 이벤트를 제공 및 추진 계획 중이다."
강원도 영월군 남면 연당로 61,,32,,A02,A0202,A02020100,2913913,12,20221107193451,http://tong.visitkorea.or.kr/cms/resource/13/2922313_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/13/2922313_image3_1.jpg,128.4063306679,37.1861106486,6,20221125174003,1,8,,별빛반려견 놀이터,26216.0,"영월 남면 별빛어울림센터에 있는 반려견이 리드줄 없이 뛰어놀 수 있는 운동장, 별빛반려견놀이터입니다."
강원도 영월군 강변로 1462-17 영월각동학생수련장,,32,,A03,A0303,A03030800,2891338,12,20221031100311,http://tong.visitkorea.or.kr/cms/resource/13/2861113_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/13/2861113_image3_1.JPG,128.5385930905,37.1164128337,6,20221108093230,0,8,,동강리버버깅,26245.0,None
강원도 영월군 망경대산길 135-6,,32,,A02,A0201,A02010800,2818132,12,20220425113317,http://tong.visitkorea.or.kr/cms/resource/21/2818121_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/21/2818121_image2_1.jpg,128.6098605535,37.1554041486,6,20220428130429,0,8,033-374-8007,망경산사,26246.0,"대한불교조계종 망경산사는 강원도 영월군 김삿갓면 망경대산 기슭 해발고도 800m 청정 지대에 위치한 사찰로서 200여 가지 이상의 각종 산나물과 산약초가 도량을 장엄하고 있다. 종류와 규모 면에서 전문 농장을 방불케하는 그야말로 산나물 자연박물관으로 유명하며 청정한 고지대에 풍광이 아름다운 사찰이다. 망경산사에서는 한국의 사찰에서 머물며 한국불교의 전통문화, 수행정신, 사찰 내외의 문화관광적 자원과 자연환경 및 사찰의 일상생활을 체험하는 템플스테이를 운영중이다."
강원도 영월군 동강로 812,,32,,A02,A0203,A02030600,2816894,12,20220420161155,,,128.5087034245,37.233132173,6,20220425085327,0,8,,영월산악바이크,26223.0,"하늘길코스의 해발 500m의 60년전 신작로, 240그루의 매실나무길에서 즐기는 진정한 산악바이크와  강변코스의 천혜의 비경 동강 따라 달리는 자유로운 산악바이크로
탁 트인 전망과 높은 지대위의 자연과 휴식을 선사하며, 천해의 비경 동강 강변코스의 자유로운 주행으로 추억을 만들 수 있다."
강원도 영월군 태백산로 1566-1 녹전2리마을회관,,32,,A02,A0203,A02030100,2816669,12,20220419105750,,,128.7043329671,37.1448043886,6,20220419110023,0,8,,산솔마을,26243.0,"산솔마을은 영월 녹전2리에 위치한 마을로 500년 이상 마을을 지켜온 소나무와 운치있는 전경, 기분 좋은 산행길 등이 위치한 힐링의 메카이다. 산솔 마을에는 영월의 명산 중 하나인 단풍산이 자리하고 있으며 솔고개 단풍산은 계절마다 자태를 달리하는 아름다운 모습을 보기위해 등산객들의 발길이 끊이지 않고 있다. 특히 소나무 공원이 조성되어 있어 산자수려한 지역의 모습과 훈훈한 정을 느낄 수 있음은 물론 영월군의 보호수목인 수령300년이 된 소나무가 자태를 뽐내고 있다. 또한 아이들이 물놀이하기 가장 낮은 수심과 깨끗함을 자랑하는 옥동천이 있어 매년 여름 피서객들로부터 큰 인기를 얻고 있다."
강원도 영월군 청령포로 126-3,,32,,A02,A0202,A02020200,2812256,12,20220323165647,,,128.4463217149,37.1796565918,6,20220412174128,0,8,,영월관광센터,26226.0,"영월 폐광지역 통합관광을 위해 건립된 센터로, 탄광지역의 관광루트를 설계하고 로컬푸드,카페 ,영상 및 전시,등을 즐길 수 있는 복합문화센터이다."
강원도 영월군 남면 원골길 170-9,,32,0.0,A02,A0201,A02010400,2702475,12,20211230230436,,,128.3868966548,37.1740949988,6,20221213164433,0,8,,고진하 가옥,26217.0,"고진하가옥은 1985년 강원도문화재자료로 지정되었다. 뒤로 병풍처럼 산을 등지고 있으며, 영서와 중부 지방의 민가 형태를 보이고 있다. 가옥의 평면구조는 외형상 서로 붙어 있는 안채와 사랑채가 ㄷ자 형태를 이루고 있으며, 헛간채가 일자형으로 배치되어 중정형의 마당을 갖고 있다. 영월 남면에 원골다리를 지나 도동마을과 원골마을 지나 위치한 고진하가옥은 뒤로는 푸른 산자락을 등지고 앞으로는 밭을 두고 있으며, 마을길 방향으로는 사랑채가 전면을 드러내고 있다. 사랑채의 지붕은 팔작지붕으로 약간 낮은 물매의 차분하면서도 경쾌한 느낌을 가져 주변 산새와 잘 어우러지고 있다."
강원도 영월군 북면 하늘샘1길 42,,32,0.0,A02,A0203,A02030100,2789619,12,20211208235520,http://tong.visitkorea.or.kr/cms/resource/02/2793502_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/02/2793502_image2_1.jpg,128.4247496275,37.2405963899,6,20220720150635,0,8,,하늘샘한촌생태마을,26210.0,"하늘샘산촌생태마을은 영월, 평창, 정선으로 갈라지는 삼거리에 있다. 산촌생태마을 체험관은 마을 앞을 흐르는 문곡천 너머 하늘샘마을숲 위쪽 언덕에 자리잡고 있다. 체험관에서 단체교육을 비롯한 체험장으로 사용하고 있는 하늘샘마을숲은 수령 200년 이상 된 나무들이 즐비한 보호림이다. 가장 오래된 나무의 수령을 450년이 넘는다. 주민들은 이 숲을 서낭당 숲이라 불러왔는데, 해마다 정월에는 날을 받아 서낭제도 지낸다. 하늘샘마을은 피자두나무가 가로수로 심어져 있고, 여름이면 이를 이용해 수확 체험과 요리 체험등을 진행한다. 이외에도 봄이면 옥수수 심기, 고구마 심기 가을이면 두부 만들기 겨울이면 얼음 썰매 체험도 진행한다."
강원도 영월군 무릉도원면 엄둔길 145,,32,0.0,A01,A0101,A01010900,2785628,12,20211203191217,,,128.2773110527,37.3023753765,6,20221102110736,0,8,,엄둔계곡,26201.0,"영월군 무릉도원면 무릉리에 위치한 계곡으로 폭이 넓어 물놀이 하기에 좋다. 계곡 중간에 계단식으로 물길을 막아 물놀이 하는 여름 피서지로 유명하다. 마치 넓은 풀장과 같은 장소들이 여러 군데 있으며 그 깊이 역시 장소마다 다양해 어린아이, 어른 모두 물놀이를 즐길 수 있다. 양옆으로 높게 자란 울창한 숲이 그늘을 만들어 줘 여름이면 피서를 즐길 수 있고, 가을에는 울긋불긋 새로운 옷을 입는 계곡의 모습을 볼 수 있다. 계곡에서는 야영과 취사가 금지되어 있다."
