addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
강원도 원주시 흥업면 자재기길 85,,32,,A02,A0202,A02020700,2913881,12,20221107192556,http://tong.visitkorea.or.kr/cms/resource/69/2921469_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/69/2921469_image3_1.jpg,127.9251068553,37.2958945407,6.0,20221209110114,0,9,,아름들 반려견쉼터,26403,반려견 쉼터 아름들은 반려인과 반려동물의 복지 증진을 도모하고 성숙한 반려동물 문화 조성을 위해 조성됐었습니다.
강원도 원주시 소금산길 12,,32,,A02,A0203,A02030600,2814485,12,20220330171922,http://tong.visitkorea.or.kr/cms/resource/78/2814478_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/78/2814478_image2_1.jpg,127.8340575195,37.3646293574,6.0,20220503145125,4,9,,원주 소금산 울렁다리,26359,"소금산 출렁다리보다 2배 더 긴 총길이 404m, 폭 2m의 보행현수교로 2020년에 착공하여 2년여의 대장정 끝에 완공되어 출렁다리의 이미지를 계승하고, 건너가는 사람이 아찔하여 마음이 울렁거린다는 의미로 '울렁다리'라고 명명되었다. 다리 중간중간에 조성된 유리바닥 구간은 울렁다리의 하이라이트 구간으로, 아찔하고 스릴 넘치게 섬강의 빼어난 풍광을 감상할 수 있다."
"강원도 원주시 흥업면 금산길 42, 외 2필지",,32,0.0,A01,A0102,A01020100,2702540,12,20211231015939,,,127.8819441321,37.294160608,6.0,20221213145016,0,9,,대안리느티나무,26492,"대안리 느티나무는 천연기념물로 지정되었으며, 강원도 원주시 흥업면에 위치하고 있다. 마을 앞에 우뚝 솟아 있는 대안리 느티나무는 나이는 350년 정도 되며 높이 24m, 둘레 8.1m이다. 이 나무는 오랜 세월 동안 조상님들의 쉼터로써 문화적, 생물학적으로 높은 가치를 지닌다."
강원도 원주시 태장동,,32,0.0,A02,A0205,A02050200,2702534,12,20211231005543,,,127.9484328151,37.3813489921,6.0,20221213163614,0,9,,태장동왕녀복란태실비,26318,"1982년 11월 3일 강원도유형문화재로 지정되었다. 조선시대인 1486년(성종 17)에 왕녀 복란의 장수를 빌기 위하여 세운 태실비이다.  조선시대에는 왕자나 공주를 낳으면 오래 살기를 비는 뜻으로 이름난 산을 찾아 명당을 잡고 그곳에 태를 묻었다. 태가 묻힌 곳을 태봉이라 불렀다. 태장동 왕녀 복란태실비는 태장2동 우성 제2차 아파트단지 안에 있다. 아파트 신축 공사를 하면서 해체하였다가 다시 복원하였다. 이때 토기·백자기·돌함 등 24점의 유물이 함께 출토되었는데, 태호와 태지는 동국대학교 박물관에 옮겨 보관하고 있다."
강원도 원주시 소초면 황골로 707,,32,0.0,A02,A0201,A02010700,2702530,12,20211231004214,,,128.0362949423,37.3604863733,6.0,20221213165208,0,9,,원주 흥양리 마애불좌상,26310,"원주 치악산 입석사에 있는 입석대에서 서북쪽으로 30m쯤 위로 올라간 지점의 한 암벽에 새겨져 있는 1구의 마애불좌상이다. 1998년 9월 5일 강원도 유형문화재로 지정되었다. 불상의 왼쪽 아래에 원우오년경오삼월일이라는 명문이 있어 1090년(선종 7)에 조성된 불상임을 알 수 있다. 원주 흥양리 마애불좌상은 9세기 이후 통일신라 불상의 전통을 계승하고 있으면서도 고려시대의 지방 조각에서 나타나는 지방색 대신 세련되고 수준 높은 조형미를 보여주고 있다. 이는 원주지역 불상에서 공통적으로 나타나는 양상으로, 이 시기 불상 연구에 좋은 자료가 된다."
강원도 원주시 호저면,,32,0.0,A02,A0205,A02050200,2702489,12,20211230235728,,,127.8903884773,37.4620330265,6.0,20221020093934,0,9,,용운사지 삼층석탑,26300,"용운사터에 석불과 나란히 서있는 고려시대 3층 석탑이다. 1973년 7월 31일 강원유형문화재 제43호로 지정되었다. 탑 주변에서 용운사라 새긴 기와가 발견되어 절 이름을 알게 되었다. 신라 말기의 단아하고 섬세함과 고려 초기의 화려한 특징을 고루 갖추었다. 탑은 2층 기단에 3층의 탑신을 올리고 머리장식을 얹은 모습이다. 기단 맨 윗돌 위에는 연꽃을 두른 두툼한 괴임돌을 두어 탑신의 1층 몸돌을 받치도록 하였다. 탑신의 몸돌은 모서리마다 기둥모양을 새겼다. 지붕돌은 밑면에 4단의 받침을 두었으며, 낙수면의 경사는 느리고, 수평을 이루던 처마는 네 귀퉁이에서 살짝 들려 있다. 꼭대기에는 노반 위로 복발, 앙화, 보륜이 차례로 올려져 머리장식을 하고 있다."
강원도 원주시 소초면 흥양리,,32,0.0,A02,A0205,A02050200,2702481,12,20211230232559,,,127.9855406924,37.3774029167,6.0,20221213170240,0,9,,부흥사지 석탑재,26310,"탑신에는 양우주가 있으며 옥개받침은 4단이다. 기단 갑석의 상면은 합각선이 뚜렷하다. 이 탑재의 신상 조각과 탑신의 짜임으로 보아 고려 초에 세운 것으로 짐작된다.  탑신석의 높이가 17㎝인 점으로 보아 상층부의 탑신으로 추측되며, 특히 상층 기단 면석에 있는 신상이 원형 두광을 갖추고 있어 눈길을 끈다.  비록 석탑이 완전하지 않고 부재 몇 개에 불과하지만, 기단부의 조각이 눈길을 끄는 탑으로서 원주 지역의 불교유적을 연구하는 데 중요한 구실을 한다. 즉, 이 팔부신중상은 각 면에 양우주와 1탱주가 있어 1면에 2구씩의 신상을 배치한 것이다."
강원도 원주시 지정면 소금산길 12,,32,0.0,A02,A0202,A02020100,2800692,12,20211216195129,,,127.8340575195,37.3646293574,6.0,20221005134025,1,9,,소금산그랜드밸리,26359,"원주의 떠오르는 핫플레이스 소금산 그랜드밸리는 소금산 출렁다리를 포함한 간현관광지의 주간코스를 말한다. 한국관광 100선에 이름을 올리며 많은 여행객들로 부터 각광을 받고 있다. 소금산 그랜드밸리의 시작은 소금산 두 봉우리를 연결한 소금산 출렁다리다. 소금산 출렁다리는 길이 200m, 높이100m, 폭 1.5m 로 스릴과 힐링을 즐기기에 좋다. 출렁다리와 이어지는 데크 산책로는 피톤치드를 만끽하며 걷기 좋다. 소금잔도는 지상 200m 높이의 절벽에 조성되어 있으며, 360m 길이를 걸으며 아찔한 스릴을 즐길 수 있다. 스카이타워즌 가파른 절벽을 따라 지상 150m 높이에 만들어어 졌으며, 소금산의 기암절벽과 아름다운 자연을 한눈에 담아 볼 수 있다."
강원도 원주시 양지로 20,(반곡동),32,0.0,A05,A0502,A05020900,2783027,12,20211130003226,,,127.9810426439,37.3245061658,6.0,20221101105118,0,9,,해피주,26465,"원주시 반곡동 혁신도시에 위치한 해피주는 실내 동물원이다. 강아지 고양이는 물론 프레리독, 기니피그, 거북이, 미니돼지 등과 앵무새를 비롯 다양한 조류를 만나볼 수 있다. 입장하면 안전하게 동물을 만질 수 있는 장갑과 먹이가 제공되며, 방문객이 마실 음료도 선택 가능하다. 단, 동물 먹이 세트는 어린이 방문객에만 제공된다. 다양한 소동물들과 교감하고 체험할 수 있어, 어린아이들과 방문하기 좋다. 평일엔 120분, 주말에는 90분 동안 체험이 가능하고 10분 추가당 추가 요금이 발생한다."
강원도 원주시 소초면 검엉터길 7-20,,32,0.0,A01,A0101,A01010500,2778050,12,20211123193732,,,127.9611889609,37.4167451378,6.0,20221021100824,0,9,,원주자연생태원,26306,"강원도 원주시 소초면 장양리 888,  횡성과 원주를 잇는 원주 순환도로 종점에 위치하며 또한 원주IC 부근이라 쉽게 접근할 수 있다. 살아있는 곤충을 비롯한 다양한 생물들을 전시하여 생생한 자연의 모습을 보여주고 있으며 직접 생물을 오감으로 체험할 수 있는 공간이다.  매표소에서 동물 먹이를 구매하면, 기니피그, 돼지, 토끼, 앵무새, 타조, 오리 등 동물들에게 직접 먹이를 주는 체험도 할 수 있다.  표본실에서는 여러 가지 곤충들의 성장 과정도 확인할 수 있다."
