addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
강원도 인제군 남면 갑둔리 산 122-3,,32,0.0,A01,A0101,A01010500,2785632,12,20211203192138,http://tong.visitkorea.or.kr/cms/resource/87/2801787_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/87/2801787_image2_1.jpg,128.1328195237,37.9209399214,6,20221025102929,0,10,,비밀의정원,,"군사작전 지역이라 일반인은 접근할 수 없었기에 비밀의 정원이라고 이름 붙여진 곳이다. 예전에는 군사작전 지역에서 사진을 찍을 수 없었지만, 지금은 도로변에서 사진 찍는 것까지는 허용되었다. 아침 일찍 가면 서리 낀 모습, 안개 낀 모습을 볼 수 있는데 그 모든 풍경이 아름답게 느껴지며 특히 풍경 사진이 잘 나오기로 소문난 장소이다. 출사지로 유명하기 때문에 새벽에 도착해도 이미 많은 삼각대가 가득하다. 그러나 군사작전 지역이기 때문에 오랫동안 찍고 있을 수는 없다. 근무병들이 아침마다 올라와 교통정리 요청을 하면 바로 따라야 한다."
강원도 인제군 남면 남전리,,32,0.0,A01,A0101,A01010900,2778005,12,20211123191757,,,128.1556231557,38.007655272,6,20221209155526,0,10,,동아실계곡,,"인제군 남전리와 원대리 사이에 있는 계곡이다. 굽이굽이 기암절벽 사이로 작은 폭포와 소를 이루는 풍광이 아름답다. 이무기가 살았다는 전설이 있는 턱걸이 폭포가 유명하다. 노지캠핑과 차박, 취사도 가능해 캠퍼들에게 인기가 많다. 계곡을 걷다 보면 초롱꽃, 매발톱꽃, 나리꽃 등 도심에서는 보기 어려운 야생화를 쉽게 만날 수 있고, 근처의 자작나무 숲도 가볼 만 하다. 차량 통행이 가능하지만, 숲 향기를 맡으며 천천히 트레킹 하기에 최적의 조건을 갖추고 있다. 물맛이 좋기로 유명한 남전약수도 가까이에 있다."
강원 인제군 상남면 상남리 산357-1,,32,0.0,A01,A0101,A01010800,2774544,12,20211116003650,,,128.247451952,37.8825354513,6,20211122232014,1,10,,용소폭포,24606,인제 비밀의 정원에서 삼남면 방향으로 차량으로 20분 정도 거리에 있다. 가을 단풍 출사지로도 유명하다. 주차장에서 폭포까지 가는 길은 평탄한 숲길로 남녀노소 모두 걷기 좋은 산책로이다. 용소폭포는 폭포를 감싸고 있는 하트 모양의 바위틈으로 폭포가 떨어지는 모습에서 하트 폭포로도 잘 알려져 있다.
강원도 인제군 인제읍 필례약수길 72,,32,0.0,A02,A0202,A02020300,2774534,12,20211116003026,http://tong.visitkorea.or.kr/cms/resource/59/2776959_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/59/2776959_image2_1.jpeg,128.3698182524,38.0765541332,6,20221205153117,0,10,,필례GE온천,24643,"1995년 처음 온천수를 발견해 2015년 오픈한 게르마늄 중탄산 온천이다. 연한 레몬 녹차 빛깔의 온천수는 톡 쏘는 탄산과 짭짤한 맛을 느낄 수 있다. 시설은 동네 목욕탕보다 작을 정도로 아담하지만, 게르마늄 중탄산 입소문이나 많은 사람들이 찾는다고 한다. 실내 온천과 한겨울 설악산을 바라보며 분위기를 즐길 수 있는 노천온천이 있다."
강원도 인제군 인제읍 하추로 686,,32,0.0,A01,A0101,A01010600,2774513,12,20211116002011,http://tong.visitkorea.or.kr/cms/resource/82/2800782_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/82/2800782_image2_1.JPG,128.3193324547,38.0347496922,6,20220720150151,1,10,,하추자연휴양림,24642,"하추리 마을에 있는 휴양림이다. 최근 지속적인 시설 개선으로 야영장과 등산로, 트래킹 코스가 확장됐다. 숲 속의 집, 산림문화휴양관 등 11동의 콘도식 객실과 회의실, 식당, 야영시설 등 부대시설로 등산로 6km, 웰빙 트래킹 코스 4km가 있으며, 트래킹 코스에는 원추리, 꼬리풀, 노랑꽃창포, 용머리 등 50여 종 3만 본의 야생화 단지가 조성돼 자연학습장과 병행해 즐길 수 있다. 산림욕을 즐길 수 있는 등산로와 함께 내린천에서 래프팅, 리버 버깅, 카약 등 모험 레포츠를 동시에 할 수 있다."
강원도 인제군 남면 설악로 10,,32,0.0,A02,A0206,A02060300,2774505,12,20211116001547,,,128.0592568934,37.9165418164,6,20211122232102,1,10,,청정조각공원,24652,"춘천에서 인제로 넘어가는 길목, 인제의 시작점에 위치하고 있다. 공원 산책로는 데크로 포장되어 있고, 자작나무 숲길을 따라 걷다 보면 다양한 조각상들을 만날 수 있다. 공원이 끝나가는 부근에는 남근을 테마로 한 조각상이 많은 휴게소가 있다. 지역토산품과 수공예품이 판매되고 있다."
강원도 인제군 북면 용대리 182-16,,32,0.0,A02,A0205,A02050200,2773567,12,20211111230643,,,128.3694193758,38.2212483908,6,20221205113844,0,10,,백골병단전적비,24605,강원도 인제군 북면 용대리에 위치한 백골병단 전적비는 한국 최초의 유격대로 창설된 640명의 백골병단 대원들은 설악산에서 적을 교란함으로써 아군 작전에 기여하는 전공을 세워 이들을 기리고 순국 산화한 장병의 명복을 빌고자 비를 건립하였다. 백골병단 전적비가 세워진 입구에는 전적비뿐만 아니라 백골병단 장병들의 숭고한 희생정신과 빛나는 위훈을 기린다는 건립 취지문이 세워져있어 눈길을 끈다. 또한 왼편에는 백골병단 기념사업회에서 세운 형성비와 백골병단 참전개선 52주년인 2003년에 세운 백골병단 무명용사 추모비가 세워져있다. (출처 : 강원도청)
강원도 인제군 기린면,,32,0.0,A01,A0101,A01010900,2728424,12,20210729015542,,,128.437518038,37.9740173543,6,20221213155747,0,10,,연가리계곡,24653,"연가리계곡은 대자연 심장부 전설속의 삼둔, 사가리(연가리, 아침가리,적가리, 명지가리)중의 하나인 인제 연가리 진동계곡에 위치하고 있으며 천연기념물인 열목어, 퉁가리, 동자개, 쉬리, 수달, 도롱뇽, 반딧불이 등 1급수 어종과 생물이 서식하고 있는 우리나라 최고의 청정지역 이다.  연가리 계곡 백두대간인 조침령과 갈전곡봉 중간에 위치한 오지의 작은 계곡이다. 인적이 드물어 원시림이 살아있는 곳에 있어 계곡 트레킹 명소로도 안성맞춤인 곳이다. 또한 진동리 적암마을에서 시작하는 연가리골 산행은 방태천에서 백두대간이 지나가는 능선까지는 유순한 골짜기를 따라 7km 이상 이어진다. 이후 조침령이나 구룡령 방향으로 백두대간을 진행하거나 아침가리골, 갈천리 등으로 산행할 수 있다."
강원도 인제군 기린면 조침령로 1071-1,,32,0.0,A02,A0203,A02030100,2726885,12,20210724023218,,,128.4063572975,37.9634902,6,20210724023218,0,10,,진동 계곡마을,24653,"강원도 인제군의 기린면 진동리에 위치하고있는 자연그대로의 모습을 간직한 곳 진동계곡마을이다. 진동계곡마을은 유네스코 지정 생물권 보호지역으로서 원시림이 울창하고 평소 보기 힘든 희귀동물들이 서식하고 있으며 아름다운 생태계를 가지고 있다. 이곳은 여름철에 휴가지로도 유명하다. 깊지 않은 계곡물은 아이들이 물놀이하기에도 적당하고 주변에 방태산 자연휴양림도 함께 위치하고 최근 숙박전문시설들이 갖추어져있어 자연과 함께 대화하며 마음 편히 쉴 수 있는 공간들이 많이 제공되고 있는 곳이다. 민물고기잡기, 천연염색 등 자양한 체험프로그램과 모노레일의 짜릿함, 곰취 및 각종 산나물의 향긋함 등 오감을 충족시킬 수 있다."
강원도 인제군 인제읍 합강리,,32,0.0,A02,A0201,A02010700,2701771,12,20201229010712,,,128.181623885,38.0884352562,6,20211118223603,0,10,,리빙스턴교,24627,"소양강에 설치된 리빙스턴교는 전쟁의 아픈 역사가 서려 있다. 1951년 6월 10일, 한국전쟁 당시 이곳에서 북한군과 교전 중이던 리빙스턴 소위가 이끄는 유엔군 제3군단이 맹공격에 의해 후퇴하게 되었는데 강을 건너야만 기린면으로 갈 수 있었다. 하지만 강을 건널 수 있는 교량이 없었고 홍수로 인해 강물이 불어 도강하던 와중 북한군의 공격에 의해 많은 중대원들이 희생당하고 말았다. 한미 합동 작전을 이끌다 사망한 리빙스턴 중위는 '이곳에 다리를 놓아 달라'고 유언을 남겼고, 그 후 리빙스턴 부인이 사비를 털어 이곳에 다리를 만들었다. 이 다리는 리빙스턴교라고 불리게 되었으며 다리를 붉게 칠하여 붉은다리라고도 불린다."
