addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
강원도 정선군 정선읍 정선로 1368-10,,32,,A02,A0202,A02020700,2913887,12,20221107192650,http://tong.visitkorea.or.kr/cms/resource/43/2921543_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/43/2921543_image3_1.jpg,128.6660154929,37.3793683263,6.0,20221125174421,0,11,,아라리공원,26130.0,"아라리공원은 강원도 정선군 정선읍 봉양리에 위치한 조양강 풍경을 볼 수 있는 공원입니다. 아라리공원에는 소나무와 자작나무가 가득해 맑은 공기를 마실 수 있으며 한여름에도 나무들이 시원한 그늘을 제공해 주고 있어 편안하게 쉬어갈 수 있습니다. 또한, 전통주막 체험을 할 수 있고 물레방아를 가까이에서 감상해볼 수 있으며 근처에 정선 아리랑 시장이 있습니다."
강원도 정선군 여량면 구절리,,32,0.0,A01,A0101,A01010800,2785719,12,20211203221009,http://tong.visitkorea.or.kr/cms/resource/20/2785720_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/20/2785720_image2_1.jpg,128.7574275948,37.5342522182,6.0,20221101093508,1,11,,오장폭포,26104.0,"강원도 정선군 여량면 구절리에 있는 인공폭포이다.  높이 1,332m의 노추산 남서쪽 줄기인 오장산에서 발원한 물로 조성되었다. 폭포의 경사길은 209m이고 수직 높이는 127m로 전국에서 가장 큰 규모이다.  폭포의 계곡물이 노추산의 수려한 계곡을 가르고 송천으로 떨어져 내린다. 폭포 주위로 봄에는 철쭉이 만발하여 장관을 이루며 여름에는 양쪽 봉우리의 푸르른 나무들이 더욱더 멋진 풍경을 연출한다. 인근에 레일바이크, 아우라지, 노추산 이성대, 자개골 등 많은 명소가 있어 연계 여행이 수월하다."
강원도 정선군 북평면 오대천로 412,,32,0.0,A01,A0101,A01010800,2785612,12,20211203190108,http://tong.visitkorea.or.kr/cms/resource/52/2785652_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/52/2785652_image2_1.jpeg,128.6281079829,37.4651160442,6.0,20221031112020,0,11,,백석폭포,26100.0,"정선군 북평면과 평창군 진부면에 걸쳐 있는 백석폭포는 해발 1,170m의 백석봉 정상에서부터 내려오는 인공폭포이다. 길이 약 600m의 관을 매설하여 주변의 계곡물을 끌어다 오대천으로 떨어지게 만들어졌으며 폭포의 높이는 116m이다. 펌프로 물을 억지로 끌어 올린 것이 아닌 계곡의 물줄기를 돌려 만든 폭포여서 한결 자연스러운 모습으로 사시사철 물줄기가 흘러내린다. 100m가 넘는 높이에서 떨어지는 폭포의 모습은 장관을 이룬다. 59번 국도의 백석폭포 휴게소에도 폭포를 감상할 수 있다."
강원도 정선군 고한읍 하이원길 424,,32,0.0,A03,A0302,A03022700,2783068,12,20211130004138,http://tong.visitkorea.or.kr/cms/resource/63/2785663_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/63/2785663_image2_1.jpg,128.837724737,37.2067220484,6.0,20221101093227,1,11,,하이원리조트 알파인코스터,26154.0,"정선의 하이원리조트 내의 알파인코스터는 국내 최장의 코스를 자랑한다. 알파인 코스터는 스키장이 운영되지 않는 봄가을에만 운영되는 시설이다. 작동 속도는 최대 시속 40km이나 체감상은 시속 80km가 느껴지는 스릴감 넘치는 놀이 기구이다. 1인 또는 2인이 탑승 가능하며, 어린아이들의 경우 보호자와 함께 탑승하도록 되어 있다. 총 2.2km의 길이의 코스로 이뤄져 있고, 10곳의 업다운, 뒤틀림, 회오리 코스로 이루어졌다. 안전 교육 및 간단한 조작법만 익히고도 바로 탈 수 있다. 아이들은 물론 어른들도 좋아하는 놀이 기구이다."
강원도 정선군 북평면 어도원길 12,,32,0.0,A01,A0101,A01010700,2778965,12,20211125001120,http://tong.visitkorea.or.kr/cms/resource/04/2733704_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/04/2733704_image3_1.jpg,128.6412630305,37.4427466552,6.0,20221005163703,2,11,,로미지안 가든,26100.0,"정선 가리왕산 화봉에 위치한 약 33만㎡ 규모의 정원이다. 엘베스트 그룹 손진익 회장이 건강이 좋지 않던 아내를 위해 2011년부터 조성했다. 지안은 손 회장의 호고 로미는 그가 아내를 부르는 애칭이다. 이후 더 많은 사람에게 따뜻한 위로와 깨달음을 주는 공간으로 만들고자 2017년 개방했다. 가든 안에는 로미와 지안의 치유와 성찰 그리고 사색의 순간들이 차례로 펼쳐진다. 첫 관문인 인생2경은 참 나를 보는 시간으로 로미지안가든이 방문객에게 전하는 첫 메시지다. 첫 갈림길에서 마주하는 생애의 탑은 500600년 수령의 캐나다산 삼나무로 만들었다.  각각 탄생(초록), 청춘(빨강), 완생(검정)의 생애주기를 상징한다. 가시버시성은 로미지안가든의 랜드마크다. 가시버시는 부부를 뜻하는 순우리말로 일대의 산세가 한눈에 들어와 전망대 역할도 한다. 4시간 30분 코스의 아라한밸리순례길이나 금강송이 무리지은 금강송산림욕장 또한 자신을 돌아볼 수 있는 사색의 시간을 제공한다. 1억5000만년의 세월을 간직한 석회암 군락, 천공의아우라도 볼거리다. 그밖에 커피 한 잔을 하며 쉬어갈 수 있는 카페와 숙박이 가능한 객실동 등을 갖췄다.숙박 예약 가능, 산책 및 트레킹 정도의 옷차림과 신발"
강원도 정선군 사북읍 사북리 산 155-3,,32,0.0,A01,A0101,A01010500,2774006,12,20211112200707,http://tong.visitkorea.or.kr/cms/resource/50/2774050_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/50/2774050_image2_1.jpg,128.8145409803,37.1973782328,6.0,20211112213140,0,11,,도롱이연못,26154.0,"도롱이 연못은 1970년대 석탄을 캐던 갱도가 지반 침하로 주저앉으면서 만들어진 생태연못이다. 도롱이란 이름은 화절령 일대에 살고 있던 광부 아내들이 이곳 연못의 도롱뇽이 살아있으면 남편도 무사할 거라는 믿음으로 기도했던 데서 유래했다. 고지대에 자리해 더욱더 신비로운 풍경을 간직한 도롱이 연못은 노루와 멧돼지 같은 야생동물들의 쉼터이자, 계절마다 갖가지 야생화가 만발하는 천상의 화원이기도 하다. 연못 둘레에는 키가 큰 나무들이 즐비해 때 묻지 않은 자연과 상쾌한 숲의 공기까지 함께 즐길 수 있다. 도롱이 연못은 구름 위로 걷는 길, 운탄고도와도 연결된다. 운탄고도는 석탄 산업이 활발했던 당시 채굴한 석탄을 나르기 위해 트럭들이 지나던 길로 해발 1,100m의 고지와 능선을 걷는 색다른 경험을 즐겨볼 수 있다."
강원도 정선군 정선읍 5일장길 38-4,,32,0.0,A02,A0203,A02030600,2725123,12,20210709235605,,,128.6644600451,37.3804320633,6.0,20210719192131,0,11,,운기석9020(운기석9020협동조합),26130.0,"운기석9020은 우리나라 정선에서만 채광되는 천연광물질인 운기석을 활용한 쥬얼리, 생활용품, 인테리어 소품 등을 제작 판매 및 체험을 하는 곳이다.운기석의 시작은 1990년 아버지께서 운영하시던 사업을 물려받아 순수 운기석만을 좋아하는 친구들과 2020년 관광두레 사업을 함께 하며 재시작되었다.운기석은 수억 년 전 바다였던 정선 땅이 돌출하여 육지로 변하였고, 그 깊은 바닷속 이암과 해초 등이 오랜 세월 지나면서 우리 몸에 유익한 화석으로 뭉쳐 운기석이 되었다. 천혜의 아름다운 나무무늬와 게르마늄 및 미네랄 성분 등을 지닌 건강한 보석이다.현재 정선만이 가질 수 있는 디자인을 담은 기념품과 체험을 개발 중이며, 향후 보유하고 있는 광산을 활용하여 다양한 체험프로그램을 통해 휴식공간을 마련할 계획이다. 체험 프로그램 : 운기석을 활용한 마스크스트랩, 팔찌, 목걸이 등  스스로 습도조절을 하는 아트액자 만들기"
강원도 정선군 임계면 미락동길 21-62,,32,0.0,A02,A0203,A02030600,2717289,12,20210515003354,,,128.8453162474,37.4651257792,,20221013092511,0,11,033-563-4712,정선아라리한과농원 영농조합법인,26113.0,"지역 농가와 상생 및 신선한 원료를 추구하는 아라리한과농원은 2013년부터 지역 특산물을 활용한 다양한 가공식품을 선보이고 있다. 도라지, 생강 등 직접 재배하고 수확한 최상급 재료로 순수 영양이 가득한 원액, 한과, 약과, 조청류 등 전통식품 가공을 중점으로 한다. 정선 약도라지 및 수제 생강 등 착즙 원액 2종과 찐 약도라지 및 찐 생강 등이 주력상품이며 최근 약도라지 원액을 스틱형으로 개발했다. 황기 조청 제조 등에 대한 특허를 보유하고 있다. 직접 만든 조청을 사용해 건강한 맛이 일품인 옛날 약과와 호두 정과가 인기다.

 상품명 : 정선 약도라지 착즙원액 스틱 (29,900원)
정선에서 직접 재배한 도라지를 100 착즙하여 48시간 이상 저온 숙성
프락토올리고당과 배합하여 맛과 향은 살리고 아린 맛 감소 
외출이 잦은 분들을 위한 편리하게 먹을 수 있는 스틱형 제품 

 상품명 : 정선 옛날약과 set (12,000원)
강옥연 한과 장인의 오랜 전통을 이어 받아 추억의 맛을 되살리려 투박한 모양을 내었으며 설탕 대신 직접 만든 쌀 조청과 함께 만들었습니다. 물엿이 아닌 직접 만든 쌀조청으로 만들어 건강한 단맛과 부드러운 식감이 일품인 제품

 상품명 : 강옥연 유자오란다 set (11,000원)
50년의 전통을 이어받은 추억의 간식 오란다
기존 오란다 과자의 딱딱함이 아닌 부드러운 식감이 특징
유자와 직접 만든 조청을 사용하여 건강한 단맛과 상큼함을 느낄 수 있다."
강원도 정선군 정선읍 대촌길 10,,32,0.0,A02,A0203,A02030600,2717288,12,20210515002635,,,128.7127451855,37.3609713422,,20220418150229,0,11,010-4746-5486,맹글(레몬트리협동조합),26124.0,"레몬트리 협동조합은 정선 엄마들이 숨은 재능을 찾아 공예품 제작을 도우며 살림에 지친 주부들 간 교류를 돕는 동시에 일터를 제공한다. 회원 대다수는 육아로 인해 경력이 단절된 3040대 여성들로, 함께 지역 평생교육시설에서 수업을 듣고 각자의 재능을 공유하며 그 기술을 기반으로 정선지역 캐릭터 기념품 제작 등 다양한 공예품을 제작하고 있다. 지역 내 각종 행사와 축제장에서 공예 체험을 진행하거나 정선지역 민간 최초로 플리마켓을 개최하기도 했다. 함께 익힌 공예기술로 공방을 창업하고 제품을 판매하거나 다양한 지역행사 등에 강사로 참여하여 수익을 올리는 등 정선지역 주부들의 새로운 경제 활동 창구가 되고 있다.

 상품명 : 라탄바구니  라탄 스텐드 조명 (15,000원  60,000원)
라탄을 활용하여 다용도 바구니 만들기(바닥 자작나무 판)
라탄을 활용하여 스텐드 조명 만들기(높이 22cm)

 상품명 : 퀼트파우치  프랑스자수 (15,000  50,000원)
기본 원단에 프랑스자수를배워 수를 놓고 다용도 파우치로 재단하여 퀼트로 마무리한다.
퀼트파우치 별도 , 프랑스자수 별도 가능 

 상품명 : 목공예(우드버닝) (30,000150,000원)
생활에 필요한 쟁반, 티코스터, 책꽂이, 야채박스, 좌탁 등 목공예를 직접 하고 
우드버닝으로 세상에 하나뿐인 나만의 보물 만들기"
강원도 정선군 북평면 북평8길 38,,32,0.0,A05,A0502,A05020900,2717287,12,20210515002140,,,128.6683381599,37.4498769075,,20221013091641,0,11,033-563-3646,카페나전역(나전카니발농업회사법인주식회사),26101.0,"나전 카니발은 정선 지역 교회를 기반으로 한 신앙 공동체로 시작되었고, 로컬 자원을 이용한 관광 사업을 위해 관광두레 사업에 선정됐다. 
도 경제진흥원의 폐광지역 창업지원 및 기차역 공간 활용을 위한 정선군과 코레일의 적극적인 지원과 함께 2020년 11월에 문을 열었다. 
특산품인 곤드레를 이용하여 곤드레 파이, 곤드레 크림 커피 등을 카페 메뉴로 개발했고, 나전을 찾는 관광객을 축제의 장으로 초대의 의미가 담긴 나전 카니발이란 이름에 걸맞게 매월 다양한 이벤트를 열어 온 가족이 즐길 수 있는 공간으로 거듭나기 위해 노력한다. 
향후 인근 관광자원을 활용해 나전 8경을 선정하고 나전 카니발과 함께하는 패키지 상품을 개발할 계획도 갖고 있다.

 상품명 : 나전역크림커피 (6,000원)
정선특산물인 곤드레를 활용한 시그니처 메뉴
곤드레가루로 크림을 만들어 커피, 우유, 크림을 담아낸 음료

상품명 : 곤드레떡 (6개 세트 10,000원  12개 세트 20,000원)
정선의 나물인 곤드레에 찹쌀을 섞은 오직 정선의 나전역카페에서만 맛볼 수 있다.
제조후 급냉시켜 택배배송도 가능

 상품명 : 곤드레아란치니 (2개 40,000원)
정선 곤드레와 이탈리아 대표 음식인 아란치니의 만남으로 어우러진 퓨전 음식"
