addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
강원도 철원군 철원읍 홍원리,,32,,A01,A0101,A01010500,2932028,12,20221128185938,,,127.2302181078,38.309441598,6,20221212181243,0,12,,샘통,24001.0,"민간인통제구역 내에 위치한 지하수가 지표로 솟아 나오는 용출수 지역으로, 사계절 약 15℃ 지하수가 솟아나 야생조류 서식에 좋은 입지조건을 갖춘 곳이다. 샘통의 지하수를 활용하여 수경고추냉이 재배를 하는데, 샘통의 고추냉이는 전국에서 유일하게 수경 재배되는 고추냉이로 고추냉이를 활용한 음식, 화장품 등을 개발 및 판매하고 있다.
  출처 : 국가지질공원"
강원도 철원군 한탄강길 208,,32,,A01,A0101,A01010500,2932026,12,20221128185913,,,127.2699815016,38.2029853449,6,20221212181155,0,12,,고 석,24023.0,"한탄강 협곡내에서 관찰되는 높이 약 15m의 화강암 바위로 주변에 고석정이라는 누각이 있어 이 일대를 고석정이라고 칭한다. 고석정은 약 1억 1천 만년 전 형성된 기반암인 화강암이 현무암 용암류에 덮였다가 한탄강의 침식작용으로인해 다시 드러나게 되었다.
  출처 : 국가지질공원"
강원도 철원군 김화읍 청양리,산1,32,,A02,A0202,A02020700,2915983,12,20221123120653,http://tong.visitkorea.or.kr/cms/resource/78/2915978_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/78/2915978_image3_1.JPG,127.4161223623,38.2464801827,6,20221123120709,0,12,,쉬리공원,24055.0,"철원군 김화읍 화강 수변에 조성된 공원이다. 매년 여름 철원화강다슬기축제가 열리는 곳이다. 쉬리조형물로 유명한 화강 김화교 아래에 수변수영장, 워터 슬라이드, 수상레저체험장, 물썰매장 등 물놀이 시설을 비롯해 공연장과 생태체험장 등을 갖추고 있다. 또한 공원 옆에는 캠핑장도 조성되어 있다. 철원 평화누리길 3구간이 이곳을 지나 좋은 쉼터 겸 이정표가 되어주기도 한다."
강원도 철원군 갈말읍 내대리,산147-1,32,,A02,A0202,A02020700,2900623,12,20221107164821,http://tong.visitkorea.or.kr/cms/resource/02/2900602_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/02/2900602_image3_1.JPG,127.3014791031,38.1864295282,6,20221107165220,0,12,,철원승일공원,24028.0,"철원승일공원은 강원도 철원군 갈말읍 내대리에 있는 근린공원으로 나란히 놓여 있는 승일교와 최근 새로 지은 한탄대교 바로 옆에 있다. 승일교는 철원이 북한의 관할이던 1948년 공사가 시작되어 절반쯤 지었으나 전쟁으로 중단되었고 10년이 지난 1958년 대한민국 정부가 못다 지었던 다리의 반쪽을 완공했다. 한국의 콰이강의 다리라는 별명을 가진 승일교 옆에 있는 철원승일공원은 큰길 옆으로 넓은 주차장이 있어 진입이 쉽다. 공원에서 한탄강에 나란히 걸린 옛 다리 승일교와 새로 생긴 한탄대교를 한 번에 볼 수 있고, 한탄강 래프팅이 출발하는 장소로도 활용되고 있어 여름철에는 많은 사람이 찾는다. 초입에 철원이 태봉의 도읍지였음을 알리는 태봉 구문 조형물이 있고, 구문을 통해 들어가면 한탄강 주상절리를 표현한 조형물과 한탄강 풍경을 한눈에 굽어볼 수 있는 승일정이 있다. 공원 위쪽에는 승일교까지 걸을 수 있는 탐방로가 갖춰져 있다."
강원도 철원군 갈말읍 토성길 98,,32,0.0,A02,A0201,A02010600,2702546,12,20211231021456,,,127.3430679949,38.2450178894,6,20221004112117,0,12,,토성민속마을,24029.0,"철원군 갈말읍에 위치한 토성민속마을은 마을의 뒤쪽에 덕령산을, 마을의 앞쪽에 화강을 둔 전형적인 배산임수 지형의 조용한 마을이다. 약 160여 가구 500여명이 농업에 종사하는 농촌마을이며, 청정오대쌀과 무공해 채소, 인삼 등을 재배한다. 토성민속마을은 농경지 한가운데 토성이 있다. 점토를 재료로 정사각형으로 축성되었다. 현재 성벽의 삼면은 없어졌고 일면의 성곽만이 남아 있다. 성곽의 크기는 길이 70m, 높이 6m, 위폭 4m이다. 삼한시대에 만들어진 것으로 강원도 지방기념물로 지정되었다. 성내에서 당시 주거했던 흔적과 선사시대 유물들인 민무늬토기와 석기류 등 생활 용구들이 출토된바 있는 귀중한 문화자산이다. 청동기시대의 고인돌인 지석묘 역시 이 마을 내에 있다. 우리나라의 고인돌은 탁자식과 바둑판식으로 구분하는데, 지석묘는 탁자식으로, 화강의 강변을 따라 덕령산 협곡의 소분지 등에 같은 형, 같은 방향, 일정한 간격으로 일직선상에 분포되어 있다. 본래 7기였던 것으로 추정되나 현재는 2기만 남아있다. 
토성민속마을에는 마을의 문화적 특성이자 자랑거리인 토성농악이 있다. 철원 토성농악은 두레농악으로까지 발전해온 곳이기도 하다. 명절 때는 오락농악으로, 마을 행사 때는 연희농악으로 발전해온 전통이 뚜렷한 농악이며, 가락이 변형되지 않은 강원농악의 특징이 고스란히 남아 있다. 일제식민지 시절, 탄압으로 인해 두레공동체가 무너지면서 토성농악이 겨레의 문화로 성장할 기회를 잃어버렸다. 이후 규모는 축소되고 변형되었으나 아직도 토성민속마을에서는 정월대보름날 온 마을 사람들이 모여 농악놀이를 하면서 마을의 안녕을 기원하고 주민의 농사가 부디 풍년이기를 기원한다."
강원 철원군 동송읍 장흥리,,32,0.0,A01,A0101,A01011100,2785713,12,20211203215959,http://tong.visitkorea.or.kr/cms/resource/25/2785725_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/25/2785725_image2_1.JPG,127.2600796871,38.2011326017,6,20221208171158,0,12,,송대소주상절리,24023.0,"주상절리는 뜨거운 용암이 식으면서 부피가 줄어 수직으로 쪼개짐이 발생하여 만들어지는 현상으로 대체로 56각형의 기둥 형태가 흔하다.  송대소 주상절리는 한탄강 물줄기가 심하게 꺾이는 곳에 있어 강의 양 벽에 물의 침식작용이 활발하게 일어났다. 그 결과 수직 현무암 절벽, 다양한 주상절리 등이 노출되었는데, 기둥 모양의 주상절리뿐 아니라 부채꼴 모양과 민들레꽃 모양의 주상절리를 만나볼 수 있다. 높이 30m의 위용을 자랑하는 수직 적벽은 그 절벽 높이보다 더 깊어 보이는 비취색 한탄강물과 조화되어 장관을 이룬다."
강원도 철원군 갈말읍 내대리,,32,0.0,A02,A0205,A02050100,2777847,12,20211123182116,http://tong.visitkorea.or.kr/cms/resource/61/2777861_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/61/2777861_image2_1.jpg,127.3023923787,38.20430801,6,20221208171806,2,12,,승일교,24032.0,"1948년 8월부터 공산당 치하에서 철원 및 김화지역 주민들이 노력공작대라는 명목 하에 총동원되어 다리를 시공해 오다가 6·25 한국전쟁으로 공사가 중단되었다. 그 후 1958년 우리 정부에 의해 완공되었다. 아치의 크기 등 교각의 구조체가 외관상으로 구별될 정도로 다리의 중심부에서 남북으로 각각 다르게 시공되어있으며, 남북분단과 전쟁의 독특한 상황으로 인해 만들어진 역사적 사실뿐만 아니라 아름다운 형태를 갖춘 조형미가 돋보이는 교량이다."
강원 철원군 동송읍 장흥리 1-3,,32,0.0,A01,A0101,A01010500,2774495,12,20211116001046,http://tong.visitkorea.or.kr/cms/resource/34/2776934_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/34/2776934_image2_1.jpg,127.2969128593,38.1862933488,6,20221208153909,0,12,,고석정코스모스십리길,24023.0,"철원의 고석정 관광지에서 승일교 방향으로 내려오면 한탄 교차로에 고석정 코스모스 십리길이 있다. 이곳은 옛 군부대 훈련장의 일부로 무료 24Ha의 드넓은 평지에 다양한 꽃밭을 조성한 곳으로 봄에는 밀밭길, 가을이면 거대한 코스모스 밭이 장관을 이룬다. 버베나, 맨드라미, 해바라기, 핑크 뮬리, 코키아, 가우라, 메밀꽃, 백일홍, 천일홍, 억새 등 다양한 꽃밭이 조성되어 있어, 촬영 명소로도 인기가 높다. 개화시기에 따라 개방 일정에 변동이 있으니 철원군청 홈페이지의 공지를 미리 확인하고 방문하는 것이 좋다."
강원도 철원군 태봉로 1769,,32,0.0,A01,A0101,A01010500,2749319,12,20210924234448,http://tong.visitkorea.or.kr/cms/resource/89/2749189_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/89/2749189_image2_1.JPG,127.2955240388,38.1882847569,6,20220816172536,4,12,,고석정 꽃밭,24023.0,"철원의 대표 관광지인 고석정 근처에 조성된 꽃밭이다. 맨드라미, 해바라기, 코키아(댑싸리), 구절초, 메밀꽃, 백일홍, 천일홍 등 빨강, 노랑, 보라색의 다채로운 꽃들이 각자의 아름다움을 뽐내고 있다. 어느곳에서 사진을 찍어도 선명하고 예쁜 사진을 찍을 수 있다."
강원도 철원군 철원읍 화지리 산 1-1,,32,0.0,A02,A0201,A02010700,2715375,12,20210507005839,,,127.2067088907,38.2246205386,6,20220420104542,0,12,,김응하장군 묘비,,"강원도 철원군 철원읍 화지리에 위치한 동백 김응하 장군 묘비는 명나라에서 건주위가 반란을 일으켰을 때, 조선에 원군을 요청하자 좌영장이 되어 참전하였다가 전공을 세우고 이듬해 3월에 전사한 김응하 장군을 기리기 위한 묘이다. 철원의 대표적인 지정 문화재로 손꼽히는 동백 김응하 장군 묘비는 6,25전란으로 포충 사우는 소실되고 비만 남아 있었지만 철원의 유생 및 철원군수의 노력으로 다시 봉안하였다고 알려져 있다. 아이들과 함께 찾아와 조상들의 묘를 관광하는 것은 좋은 교육이 될 것 이다. 

(출처 : 강원도청)"
