addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
강원도 춘천시 금촌로 84-56,,32,,A02,A0202,A02020500,2932103,12,20221209145210,,,127.7875501974,37.8517581283,6.0,20221209155639,0,13,033-261-8870,클랑포레스트,24399,"클랑 포레스트는 소음에서 벗어나 조용히 쉴 수 있는 공간을 찾아 춘천의 작은 숲 속에 자리를 잡게 된 독일공인음악치료사의 치료실이다.
독일에서 뇌손상환자를 위한 음악치료를 제공하다 2020년부터 일반인을 대상으로 하는 소리치유프로그램을 열고 있다.
소리치유뿐만 아니라 자연 속에서 스트레스를 해소하고 온전히 몰입하며 할 수 있는 프로그램들을 기획, 운영하는 공간이다.
클랑 포레스트 주변의 티룸(블래터), 로컬양조장(디스틸러브루어), 치유농원(산들산들)과 함께 치유와 휴식이라는 테마를 가지고 특별 프로그램을 열기도 한다."
강원도 춘천시 신북읍 유포리,산52-10,32,,A01,A0101,A01010400,2914353,12,20221122094738,http://tong.visitkorea.or.kr/cms/resource/39/2914339_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/39/2914339_image3_1.JPG,127.7880797332,37.9775351697,6.0,20221122094754,0,13,,배후령고개,24203,배후령고개는 춘천과 화천을 경계하는 해발 600미터의 산길로 1973년 소양강댐 건설과 함께 소양강변을 끼고 다니던 옛길을 대체해 만들었다. 한때는 이 고갯길을 넘어야만 화천군 오음리를 지나 양구로 갈 수 있었다. 반대로 고개에서 춘천쪽으로 내려오면 소양강댐 아래 신북 닭갈비 거리로 연결되어 주말이면 차들로 붐비는 길이었다. 그러나 현재는 고개 아래 터널이 생기면서 배후령은  자전거와 오토바이의 라이딩 명소가 되었다. 지도에서 보면 오봉산을 기준으로 청평사와 마주하고 있다. 때문에 오봉산을 오르는 가장 빠른 들머리가 배후령 정상이다. 이로 인해 평일에도 많은 사람들이 찾는다. 또한 배후령 정상이 북위 38도여서 38선 경계석이 서 있다.
강원도 춘천시 남산면 남이섬길 1,,32,,A02,A0202,A02020100,2911314,12,20221107193634,http://tong.visitkorea.or.kr/cms/resource/84/2920284_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/84/2920284_image3_1.jpg,127.5255090138,37.7963208193,6.0,20221125173947,1,13,,남이섬 투개더파크,24464,투개더파크는 남이섬 안에 위치한 무인·무료·자율 이용시설로써. 마음껏 뛰놀고 싶은 우리집 댕댕이를 위한 1000m²(약 300평) 규모의 전용 놀이터입니다. 다양한 어질리티(놀이시설)를 갖추고 있으며 10kg 미만 반려견을 위한 공간입니다. (투개더파크 내 4kg 미만 경형견을 위한 공간도 별도로 마련되어 있습니다)
강원도 춘천시 하중도길 128,,32,,A02,A0202,A02020600,2815362,12,20220406173938,,,127.6967853303,37.8822251139,6.0,20220506090636,2,13,,레고랜드 코리아 리조트,24240,레고랜드 코리아 리조트는 2022년 5월 5일 오픈 예정이다. 레고랜드 테마파크와 호텔이 있어 어린이를 동반한 가족에게 특별한 경험과 추억을 만들어 줄 예정이다.
강원도 춘천시 스포츠타운길 245,,32,,A02,A0203,A02030600,2814588,12,20220331142938,,,127.6913807924,37.8644965197,6.0,20220818102639,1,13,,춘천 삼악산 호수케이블카,24239,"삼천동에서 의암호를 가로질러 삼악산을 연결하는 3.61km의 국내 최장 케이블카이며 산, 호수, 도시 그리고 문화가 함께하는 춘천의 새로운 랜드마크 춘천 삼악산 호수케이블카이다."
강원도 춘천시 서면 명월길 410,,32,0.0,A02,A0203,A02030100,2789885,12,20211209020751,http://tong.visitkorea.or.kr/cms/resource/79/2792979_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/79/2792979_image2_1.jpg,127.6370130548,37.8802464537,6.0,20221118095100,0,13,,명월리산촌생태마을,24462,"명월마을은 삼악산 줄기에 위치하고, 계관산으로 둘러싸여 있으며, 맑은 계곡과 산림청 채종림이 가까이 있다. 여름철에는 민박, 바비큐장, 족구장, 수영장을 이용할 수 있다. 겨울에는 절임 배추, 김장 체험, 얼음낚시, 썰매체험이 가능하다. 마을에서는 1년 내내 떡메 체험도 운영하고 있다. 명월마을 근거리에 의암댐, 스카이워크, 애니메이션 박물관, 레일바이크 역이 가까이 있어 다양하게 재미를 느낄 수 있다."
강원도 춘천시 서면 금산리 산64,,32,0.0,A02,A0201,A02010700,2788128,12,20211208012659,http://tong.visitkorea.or.kr/cms/resource/86/2788186_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/86/2788186_image2_1.jpg,127.6822250153,37.9000977626,6.0,20221209173153,3,13,,춘천한백록묘역,,충장공 한백록 묘역은 한백록 장군이 잠든 곳으로 강원도문화재자료이다. 한백록 장군의 묘 앞에는 그의 사내종이었던 득충의 묘도 함께 자리 잡고 있다. 임진왜란 때 38세의 젊은 나이로 전사한 한백록 장군의 시신은 사내종이었던 득충이 수습했다. 득충은 홀로 한백록 장군의 시신을 지게에 지고 남해에서 춘천까지 걸어서 올라가 장사를 지냈다. 득충의 충정에 감탄한 한백록 장군의 후손들은 득층이 죽자 그의 묘를 한백록 장군 묘 앞에 만들었다.
강원도 춘천시 소양로2가 162-2,,32,0.0,A02,A0205,A02050200,2788118,12,20211208012424,http://tong.visitkorea.or.kr/cms/resource/73/2788173_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/73/2788173_image2_1.jpg,127.7246077044,37.885375266,6.0,20221102135130,3,13,,춘천칠층석탑,,"명동거리에서 춘천역으로 향하는 길목인 소양로2가에는 작은 공원이 있는데, 이곳에 보물 제77호 춘천 칠층석탑이 있다. 춘천 칠층석탑이 자리한 위치는 왕복 4차선 도로와 대단위 아파트단지 사이라서 과거와 현재가 공존하는 듯한 분위기다. 한국전쟁 당시 춘천 칠층석탑은 총탄에 맞고 불에 그을리며 심한 손상을 입었다. 하지만 2000년에 진행된 전면적인 보수공사로 춘천 칠층석탑은 어느 정도 본모습을 되찾았다. 2018년에는 지금의 자리로 옮겨졌다."
강원도 춘천시 소양정길42번길 24,(소양로1가),32,0.0,A02,A0201,A02010700,2787575,12,20211207224747,http://tong.visitkorea.or.kr/cms/resource/87/2788287_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/87/2788287_image2_1.jpg,127.7315096527,37.8921329413,6.0,20221103102452,0,13,,소양정,24249,"소양정은 춘천을 대표하는 정자이자 강원도문화재자료 제1호이다. 소양정은 봉의산 기슭에 자리 잡고 있으며, 등산로 입구에서 잘 정비된 계단을 따라 5분만 걸어가면 도착할 수 있다.
소양정에 올라 아래를 내려다보면 소양강과 북한강의 물줄기가 만나 소양호를 형성한 모습을 볼 수 있다. 그래서 소양정에서 보이는 풍경을 배경으로 기념사진을 남기는 사람도 많다.
역사서에 따르면 소양정은 약 1,500년 전인 삼국시대에 세워진 것으로 한국에서 가장 오래된 정자다."
강원도 춘천시 서면 신숭겸로 272-21,,32,0.0,A02,A0201,A02010700,2787559,12,20211207224139,http://tong.visitkorea.or.kr/cms/resource/08/2788308_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/08/2788308_image2_1.jpg,127.6619378797,37.9032942352,6.0,20211208020516,0,13,,장절공신숭겸장군묘역,24460,"춘천 서면에는 한국 8대 명당 중 하나로 꼽히는 자리가 있고, 이 자리에는 신숭겸 장군 묘역이 있다. 신숭겸 장군은 고려의 개국공신으로 태조 왕건을 대신해 죽음을 택한 충신이다.
태조 왕건은 목이 없는 신숭겸 장군의 시신을 수습해 춘천으로 갔다. 춘천에는 도선국사가 명당이라며 점지해준 태조 왕건의 묫자리가 있었기 때문이다. 태조 왕건은 황금으로 신숭겸 장군의 머리를 만들어 시신과 함께 매장했고, 도굴을 방지하기 위해 3개의 봉분을 만들었다."
