addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
강원도 태백시 금천길 93-24,,32,,A01,A0101,A01010500,2931992,12,20221128184043,http://tong.visitkorea.or.kr/cms/resource/05/2917605_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/05/2917605_image3_1.jpg,128.9969915276,37.0988152834,6,20221213173336,1,14,,금천골 석탄층,26053.0,"1928년 일본인 지질기사에 의해 태백시에 가장 먼저 석탄이 발견된 지역으로 석탄이 지표면에 노출되어 있어 비가오면 개천물이 검게 되어 거무내 또는 검천이라 불리었다. 금천골 지역은 고생대 석탄기의 만항층, 만항층을 정합으로 덮고 있는 금천층, 금천층을 부정합으로 덮고 있고생대 페름기의 장성층, 장성층을 정합 또는 부정합으로 덮고 있는 함백산층으로 구성되어 있다. 금천골 도로 절개면에는 고생대의 석탄층과 식물화석, 당시에 생성된 퇴적암의 지질상을 관찰할 수 있다.
  출처 : 국가지질공원"
강원도 태백시 원동,(원동),32,0.0,A01,A0101,A01011900,2702607,12,20211231223537,,,128.9442803768,37.2563572835,6,20221012152116,0,14,,월둔동굴,26001.0,"월둔동굴은 1986년 강원도 기념물로 지정된 길이 약 700m의 동굴이다. 강원도 삼척시 하장면 원동리에 있는 석회동굴로, 원동리 월둔마을 북쪽 산의 해발 980m 지점에 있어 우리나라에서는 가장 높은 지대에 있는 흡인형의 수직동굴이다. 지질은 고생대의 대석회암통에 속하는 두무동층에 속한다. 세로로 땅속 깊이 뻗은 원통 모양을 하고 있으며, 크고 작은 7개의 빈웅덩이와 넓은 공간으로 구성되어 있다. 동굴 안에는 고드름처럼 생긴 종유석과 동굴 바닥에서 돌출되어 올라온 석순들이 열을 지어 만든 석순책이 펼쳐져 있으며, 동굴의 벽에는 산호 모양을 한 생성물들과 폭포 모양의 종유석이 있다. 7,850㎡의 넓은 면적의 자연유산이자 천연기념물이다."
강원도 태백시 상투바우길 3,(철암동),32,0.0,A02,A0201,A02010700,2702606,12,20211231223002,,,129.0386650078,37.1180694341,6,20221213144032,0,14,,태백 철암역 두선탄시설,26045.0,"태백 철암역두 선탄시설은 태백시 철암동에 자리하고 있는 선탄시설로, 2002년 등록문화재로 지정되었다. 현재까지 가동하고 있는 국내 최초의 무연탄 선탄시설로, 탄광에서 채굴한 원탄을 선별하고 가공 처리하는 시설이다. 근대의 재료와 공법을 적용하고 있는 산업시설의 대표적인 사례이다. 일제시대 만들어진 국내 최초 무연탄 선탄시설로서 지금까지 사용하고 있는 태백 철암역두 선탄시설은  일제 강점기 석탄산업 시설의 원형이 그대로 남아 현재에도 그 시절의 산업시설을 보여주고 있다. 우리나라 석탄산업의 발자취를 느낄 수 있으며 태백 지역의 발전과 함께한 무연탄시설물로서, 시대와 지역을 상징하는 중요시설물로 자리매김하고 있다."
강원도 태백시 소도동,,32,0.0,A02,A0201,A02010700,2702605,12,20211231222346,,,128.9486869624,37.1168789466,6,20221213161821,0,14,,태백산 석장승,26043.0,"''태백산 석장승은 태백산맥으로 오르는 길 양쪽에 서 있는 2기의 돌장승으로, 1995년 강원도 민속문화재로 지정된 민간신앙 석조조각이자 유물이다. 화강암으로 만들어진 태백산 석장승은 주위에 세 마리의 오리를 형상화 해 놓은 솟대가 같이 자리하며 마을의 수호신 역할을 하고 있다. 태백산 석장승 중 길 왼쪽에 있는 천장은 50㎝ 높이의 넓직한 받침돌 위에 서 있는 길이 170㎝, 둘레 130㎝ 크기이고, 반대편의 지장은 높이 80㎝의 뭉툭한 받침돌 위에 길이 155㎝, 둘레 135㎝의 크기로 서 있다. 둘 다 화강암 재질로 많이 닳아있어서 지장의 얼굴 모습은 알아볼 수 없는 상태이지만 보존상태는 양호한 편이다."
강원도 태백시 통리길 72,,32,0.0,A02,A0202,A02020600,2773843,12,20211112191139,http://tong.visitkorea.or.kr/cms/resource/54/2773954_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/54/2773954_image2_1.jpg,129.0385133447,37.1736324984,6,20220816170818,1,14,,오로라파크,26029.0,"오로라 파크는 철도 유휴부지 활용 관광 자원화 사업의 일환으로 폐역인 통리역에 조성된 문화체험공원이다. 약 2km 떨어진 통리 탄탄파크와 통합으로 운영된다. 파크 내에선 갱차도 체험할 수 있는데, 두 사람이 번갈아 가며 손잡이를 위아래로 움직이면서 이동한다. 백두대간 및 동해안 지역의 산세를 조망할 수 있는 눈꽃 전망대는 높이 49.2m로 태백시 유일의 타워 전망대다. 태백의 밤하늘을 주제로 꾸며져 있으며 해발 680m에 지어진 통리역의 특성에 맞춰 미국 파이크스 피크역, 호주 쿠란다역, 중국 탕구라역 등 세계 5국의 고원 역사를 소개하는 콘텐츠도 소개한다. 전망대는 걸어서 혹은 엘리베이터로 이용할 수 있다. 눈꽃 전망대를 제외한 고원 역사 콘텐츠와 공원은 무료로 이용할 수 있으며, 색색깔 조명이 켜지는 오로라 파크의 야경도 아름답다."
강원도 태백시 효자1길 27-2,(화전동),32,0.0,A02,A0203,A02030100,2767553,12,20211103185316,,,128.9641280683,37.1820273198,6,20220826131049,2,14,,몽토랑 산양목장,26003.0,"몽토랑 산양목장몽토랑목장은 해발 800m의 고원청정도시 태백에 위치해 있으며, 약 14,776,859m²(447만 평) 규모의 유산양 목장이다. 태백의 푸른 자연 속에서 타조, 사슴, 흑염소, 유산양 등 다양한 동물들을 사육하고 있으며, 먹이주기 체험, 아이스크림 만들기, 비누 만들기 등 다양한 체험도 즐길 수 있는 곳이다."
강원도 태백시 태백산로 4834-31,(소도동),32,0.0,A02,A0205,A02050200,2735338,12,20210819234650,,,128.9685876538,37.1271948124,6,20221130140421,0,14,,단종대왕비,26043.0,"단종대왕비는 1698년 숙종 24년에 노산묘를 장릉으로 추봉함과 동시에 세워진 비각으로, 태백산 용정에서 천제단 쪽으로 100m 정도 거리에 위치한다. 비각의 전면에는 탄허스님의 친필로 알려져 있는 단종비각이라 쓴 현판이 걸려있으며, 단종대왕비에 관한 전설도 구전되어 내려오고 있다. (출처 : 강원도청)"
강원도 태백시 통동 산 67-1,(통동),32,0.0,A02,A0202,A02020600,2720995,12,20210615024716,http://tong.visitkorea.or.kr/cms/resource/87/2836787_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/87/2836787_image3_1.jpg,129.0626754553,37.1611038486,6,20220826131510,4,14,,통리탄탄파크,26029.0,"통리탄탄파크 본관에서는 구문소의 용궁 설화를 모티브로 한 라이브스케치, 여섯 대륙의 대표 동물들을 만날 수 있는 증강현실(AR) 체험 포토존, 수호천사가 되어 태백을 구하는 건슬레이어즈(슈팅게임) 등 다양한 체험을 즐길 수 있다. 그리고 폐갱도를 활용한 기억을 품은 길과 빛을 찾는 길에서 가족의 이야기를 찾고, 미디어아트 등 다양한 테마의 디지털콘텐츠와 어우러진 음악을 듣고 보고 즐기는 것도 큰 재미를 주며 색다른 경험이 될 것이다. 또 두 갱도를 잇는 산책로와 곳곳에 있는 포토존을 통해 힐링타임을 가져보는 것도 좋다. 특히, 기억을 품은 길을 나가면 확 트인 풍경이 색다른 감동을 주며 카트라이딩을 하거나 산책로를 걸으며 맞는 시원한 백두대간의 바람은 잊을 수 없는 추억을 만들어준다."
강원도 태백시 태백산로 5088,(황지동),32,0.0,A02,A0201,A02010800,2718059,12,20210525223106,,,128.9879243136,37.1439043783,6,20220520112609,0,14,,선광사,26041.0,1967년 절이 창건되었다. 창건주가 백일기도를 하던 중 사모관대를 쓴 노인과 노스님 한 분이 박귀란의 이름을 부르며 중생제도를 생의 천직으로 삼으라며 큰 책 한권을 하사하였다. 이어 종소리가 두번 울리며 불법으로 중생을 인도하였다는 이야기가 전해진다.(출처 : 강원도청)
강원도 태백시 문곡소도동 산50,,32,0.0,A02,A0201,A02010800,2716221,12,20210512013537,,,128.9013021309,37.122680147,6,20220520112156,0,14,,등광사,,"태백산과 함백산을 잇는 등산로 중간에 자리하고 있다. 화방재 바로 근처이기도 하다. 등광사 근처에는 등산으로 유명한 함백산, 태백산, 장산이 있다. 운동화나 등산화를 신고 가는 것을 추천한다.

산으로 둘러싸여 있다 보니 올라가는 길이 가파르다. 그러나 함백산과 태백산이 대표적인 겨울철 산행지인만큼 날을 잡고 등산코스로 다녀오는 것도 나쁘지 않다. 특히나 함백산의 설경은 태백 8경에 해당하며 우리나라에서 신성시 되는 산이기도 하다. 그래서 등광사 말고도 곳곳에 많은 절들이 있다. 

(출처 : 강원도청)"
