addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
강원도 평창군 송정길 110,,32,,A02,A0203,A02030600,2850703,12,20220907111107,http://tong.visitkorea.or.kr/cms/resource/01/2850701_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/01/2850701_image3_1.png,128.5740269334,37.6423584197,6.0,20221014164233,1,15,,평창관광택시(관광택시 플랫폼),25328.0,"관광택시는 평창군의 지원으로 넓은 평창의 자연을 즐기기에 더욱 효율적인 여행이될 수 있도록 기획된 상품이다. 패키지형 관광상품이며, 전담여행사의 사전예약제를 통해 운영되고 있다. 홈페이지를 통해 다양한 상품을 만나볼 수 있으며, 평창의 유명 관광지와 다양한 장소로 떠나 편안한 여행을 보내기에 좋은 플랫폼이다. 
 온라인 사전예약 상품으로 현장 구매 불가"
강원도 평창군 대관령면 용산리,,32,,A01,A0101,A01010500,2822727,12,20220603150121,,,128.6792257187,37.6445546346,6.0,20220603150136,0,15,,발왕수 가든,25352.0,발왕산은 강원도에 위치한 산으로 해발 1458m의 높은 산이다. 국내에서 12번째로 높은 산이지만 케이블카가 설치되어 있어서 쉽게 정상 등반이 가능하다. 발왕산의 정상에는 기 스카이워크가 자리하고 있다. 스카이워크에 올라 주변 산세를 감상하면 정말 자연이 주는 기운을 받고 있는듯한 느낌을 준다. 숲길을 따라 발왕산 정상까지 올라가면 나무데크로 깔끔하게 조성된 산책로가 있어서 풍경을 따라 걸으며 여유를 느낄 수 있다. 중간에는 발왕수 가든이 위치해있는데 걷다가 중간에 목을 축일 수 있는 천연암반수를 마셔볼 기회를 가질 수 있다.
강원도 평창군 문화택지길 41-12,,32,,A02,A0203,A02030600,2820893,12,20220520141611,http://tong.visitkorea.or.kr/cms/resource/65/2820865_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/65/2820865_image2_1.jpg,128.4535784664,37.4909569494,6.0,20220928132420,6,15,,천지애농원(평창사랑),25356.0,"평창사랑은 귀농귀촌을 꿈꾸는 사람들에게 다양한 귀농인들의 삶을 모델로 제시하며 여러 가지 체험과 숙박, 농산물 꾸러미 판매 등 모듈형 투어 프로그램을 제공한다. 체험 예약은 전화(01049303855)로 가능하다."
강원도 평창군 마하길 41-5,,32,,A02,A0203,A02030600,2820892,12,20220520140819,http://tong.visitkorea.or.kr/cms/resource/49/2820849_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/49/2820849_image2_1.jpg,128.5410709995,37.2917399274,6.0,20220614171727,0,15,,와우미탄(WOW:미탄),25384.0,"와우미탄은 평창군 미탄면에 거주하고 있는 5명의 청년이 구성한 협동조합이다. 산너미목장, 어름치마을, 옐로우트리 카페, 평창연화농원을 운영하고 있는 청년들은 미탄면의 잘 보존된 자연과 건강한 농특산물을 기반으로 주민여행사를 운영하고 있다."
강원도 평창군 태기로 228-33 한화리조트,,32,,A02,A0203,A02030600,2820838,12,20220520110322,http://tong.visitkorea.or.kr/cms/resource/37/2820837_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/37/2820837_image2_1.JPG,128.331753482,37.5788278091,6.0,20220921152647,2,15,,평창캠프닉,25309.0,"평창캠프닉(주식회사 아이평창유)는 소풍 개념의 먹거리 관광 특화상품을 체험하는 청정지역 평창의 유휴공간에서 우리만의 가족, 연인들이 즐길 수 있는 프로그램을 제공하는 주민 여행 기업이다.
청정지역 강원도 평창에서의 평창캠프닉은 특별한 장비가 필요 없고 빈 몸으로 혹은 대중교통을 이용하여 즐기는 체험 프로그램으로 전화(0333366449) 또는 홈페이지(a hef""https:campnickoea.modoo.at"" taget""_lank"" title""새창 : 평창캠프닉 홈페이지로 이동""https:campnickoea.modoo.ata)로 예약이 가능하며 이외에도 다양한 감성 체험 상품들을 운영하고 있다."
강원도 평창군 진부면 오대산로 374-8,,32,0.0,A02,A0205,A02050200,2702536,12,20211231011750,,,128.5931613749,37.7317317795,6.0,20220928142842,0,15,,밀부와 밀부주머니,25318.0,"강원도 문화재자료인 밀부와 밀부주머니는 조선 예조에서 월정사 주지에게 사여한 유물로 사슴가죽 주머니와 띠로 구성되어 있다. 작은 원형 동판에 명문을 앞뒤로 새기고 나무 상자에 넣었으며, 이것을 가죽 주머니에 넣었다.  앞면에는 강원도오대산중대적멸궁수호선교병팔도석품제일도원장밀부자, 뒷면에는 예조판하 경신정월일국신교시시상언내신주급신도의 명문이 새겨져 있다. 월정사성보박물관은 강원도 남부 60여개의 사찰의 불상, 불화, 불교장엄구, 불교의식구 및 경전류의 성보를 전시, 연구, 보존, 관리를 하고 있는 불교전문박물관으로 장대한 역사를 말해주듯 국보 상원사중창권선문, 보물 월정사석조보살좌상, 보물 월정사 팔각구층석탑에서 출토 된 사리구 12점, 보물 상원사 문수동자좌상 복장유물 23점, 밀부와 밀부주머니, 강원도 유형문화재 등 620여점의 우수한 성보문화재를 소장 하고 있다."
강원도 평창군 평창읍 평창강로 1267-4,,32,0.0,A02,A0205,A02050200,2701876,12,20211229015605,,,128.3851971678,37.3497775017,6.0,20220719173301,0,15,,유동리오층석탑,25373.0,"평창읍 유동리에 있는 고려시대의 석탑으로 강원도문화재자료 제30호 지정되었다. 오층석탑은 1층 기단위에 쌓아 올린 5층의 탑신부로 구성되었고, 옥개석과 탑신이 얇고 평판적이어 전체적으로 안정감이 있으면서 경쾌한 아름다움을 보여주는 탑이다. 오층석탑은 1층 기단위에 쌓아 올린 5층의 탑신부로 구성되었는데 상당히 큼직한 기단부와 이위의 적당히 체감된 옥개석과 탑신이 얇고 평판적이어서 전체적으로 안정감이 있으면서 경쾌한 아름다움을 보여주고 있다. 단층의 기단 위에 세워진 석탑으로 장대석으로 쌓은 지대석 위에 하대석을 올렸다. 하대석은 1매의 판석으로 윗면에 복련이 각변에 6판씩 24엽이 새겨진 연화대를 놓고 그 위에 중대석을 받치고 있는 형태이다."
강원도 평창군 평창읍 고길천로 123,,32,0.0,A02,A0203,A02030100,2801724,12,20211220181405,http://tong.visitkorea.or.kr/cms/resource/46/2801346_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/46/2801346_image2_1.png,128.4392722592,37.3699678646,6.0,20221208150126,0,15,,해락촌,25370.0,"노로리,이곡리,조동리,고길리,지동리의 5개의 마을로 이뤄진 해발 700m의 고산마을이다. 해락은 여러 사람이 함께 즐기다 라는 뜻인데 마을 이름처럼 이곳에서는 여러 사람이 함꼐 즐길 거리가 가득하다. 농어촌 인성학교로 지정받아 청소년들에게 다양한 농촌 체험활동을 선사한다."
강원도 평창군 진부면 오대산로 374-8,,32,0.0,A02,A0205,A02050200,2799214,12,20211215235048,http://tong.visitkorea.or.kr/cms/resource/74/2799174_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/74/2799174_image2_1.JPG,128.5931613749,37.7317317795,6.0,20221205165113,1,15,,월정사팔각구층석탑,25318.0,"고려시대가 되면 4각형 평면에서 벗어난 다각형의 다층(多層)석탑이 우리나라 북쪽지방에서 주로 유행하게 되는데, 이 탑도 그러한 흐름 속에서 만들어진 것으로, 고려 전기 석탑을 대표하는 작품이다. 당시 불교문화 특유의 화려하고 귀족적인 면모를 잘 보여주고 있으며, 전체적인 비례와 조각수법이 착실하여 다각다층석탑을 대표할 만하다. 정영호교수는 월정사 팔각구층석탑이 지니는 특수한 양식을부재별로 다음과 같이 정리하였다. 첫째 전체적으로 석탑의 평면이 8각형을 이루고 있어 선대의 방형 평면에서 벗어났다는 것,둘째 다각이고 다층인데 그 특징이 있다. 셋째 기단부에 있어서 하층기단에 안상을 조각하고 연화대를 마련한 데에서 화사하고 장식적인 의장이었음을 알 수 있게 하고, 상단괴임대와   탑신괴임석이 끼어져 있는 것도 한 특색이라 하겠다. 넷째 탑신부에 있어서 각 옥개석 하면의 처리가 각형과 호형받침으로 특이하게 이루어져 있으며 각층의 체감률이 적으나 기단부가 안정되어 오히려 경쾌한 느낌을 주고 있다. 그리고 상륜부재의 장식은 마치 공예탑의 일면에 보이는 것으로 나아가 석탑 전체를 장식적인 형태로 보이도록 하고 있으니 이것 또한 이 석탑만의 특이성이라 하겠다.또한 청동으로 만들어진 풍경과 금동으로 만들어진 머리장식을 통해 금속공예의 수법을 살필 수 있어 중요한 자료가 되고 있다. 현재 국보 제481호로 지정 보호되고 있으며 전체 높이는 15.2m이다.기단부는 4매로 결구된 팔각형의 지대석 위에 놓였는데 하층기단의 면석도 4매의 돌로 짜여졌으며, 8각의 각 면에는 2구씩의 안상이 음각되고 하층기단의 갑석 또한 4석으로 짜여졌는데 위에는 복판의 복연이 조각되었다. 그 위에는 상층기단 중석과의 사이에 별석이 삽입되었고, 별석의 윗면에는 괴임이 얕게 마련되었다. 탑신부는 위층으로 올라 갈수록 서서히 줄어들었으나 급격히 줄지 않고 2층 옥신부터 거의 같은 높이의 옥신을 유지하고 있는데 옥신석 또는 옥개석의 크기에 따라 2개 내지 3개의 석재를 사용하였고 상층부는 1석씩이다. 상륜부는 완전한 형태를 보이고 있는데, 노반복발앙화보륜까지는 석재이고, 그 이상의 보개수연용차보주 등은 금동제로 조성되었다. 찰주는 수철제(水鐵製)로 전체길이 4.3m인데 하부는 굵으며상부로 갈수록 가늘어지는 형상으로 9층에서 8층 옥개석까지 박혀있으며, 하부는 철편으로 고정시켰다. 중적된 상륜부재는 처음 석탑을 건립하였을 때의 것으로 보여지는데, 보개만은 여러차례 수리가 가해진 것으로 보인다.1970년 10월 해체 복원시 5층 옥개석에서는 완형의 은제도금아미타여래입상(銀製鍍金阿彌陀如來立像, 높이 : 9.7㎝) 1구가, 1층 탑신 상면의 사리공에서는 각종 사리 장엄구가 발견되었다. 1층 탑신석에서 청동거울 4점, 청동합과 담홍색 사리 4과가 봉안된수정사리병, 전신사리경(全身舍利經), 금동방형향갑(金銅方形香匣), 황라니금연화수향(黃羅泥金蓮花繡香), 쌈지, 자색비단향주머니, 향초금보(香草錦褓) 및 향나무편과 향편(香片)이 출토되었다.그리고 1269층의 옥개석은 새로 조성되었다. 한편 이 석탑의 앞에는 한쪽 무릎을 꿇은 석조보살상 1구가 배치되어 있는데 이것은 강릉 신복사지 삼층석탑과 같은 형식이다. 이 석탑은 여러차례의 화재로 인하여 각 부재의 손상이 심하지만, 우수한 균형미를 구비하고 있어 고려시대 다각다층의 대표적 석탑이며, 분포면에 있어 팔각다층석탑으로는 가장 남쪽에 건립되었다는데 의의가 있다."
강원도 평창군 진부면 오대산로 182,월정사 성보박물관,32,0.0,A02,A0205,A02050200,2799166,12,20211215234356,http://tong.visitkorea.or.kr/cms/resource/47/2799147_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/47/2799147_image2_1.JPG,128.6019970878,37.718655686,6.0,20211215234356,1,15,,월정사 육수관음상,25318.0,"신라 선덕여왕 12년(643)에 자장율사가 창건한 월정사에 모셔진 보살상으로, 현세에서 자비로 중생을 구제한다는 의미를 지닌 관음보살을 표현한 작품이다. 손이 왼쪽과 오른쪽 어깨에 각각 3개씩 모두 6개가 달려 있어 육수관음보살로 불리며 금동으로 주조되어있다. 머리에는 삼면화관(三面花冠)을 썼는데 꽃무늬와 불꽃 모양의 구슬이 새겨져 있으며, 양어깨에는 땋은 것 같은 두 가닥의 머리카락이 늘어져 있고, 노출된 가슴에는 구슬장식이 달린 목걸이가 길게 표현되었다. 6개의 손목에는 정교한 팔찌가 끼워져 있다.상체는 나형(裸形)이나 천의(天衣)가 걸려 있으며 목과 가슴에는 영락(瓔珞)이 늘어져 있다. 불상(佛像)은 양어깨에서 3개씩의 팔이 뻗어 나와 6개의 손을 만들었으며 모든 손에는 정교(精巧)한 팔찌가 조식(調飾)되어 있다. 불신(佛身)은 가냘픈 모양이며 상체에 비해 하체가 비만하여 무릎 폭이 넓고 무릎을 덮고 있는 옷 주름의 표현은 투박하고 형식화되었다. 결가부좌(結跏趺坐)한 무릎 밑에 놓인 대좌(臺座)는 불신(佛身)의 윤곽을 따라 타원형이 되었고, 윗부분에는 단판연화(單瓣蓮花)를 앙련(仰蓮)으로 아랫부분은 복련(伏蓮)으로 연결되었다. 상하 끝에 각각 연주문(聯珠紋)이 있다. 불신이 가냘프고 불상의 주조법이 빼어나다고 볼 수는 없으나 전체적으로 균형미가 있고, 6개의 손이 돌출되었지만 어색한 점이 발견되지 않는다는 점에서 조선시대의 작품으로는 걸작품이라 할 수 있다. 전체 높이는 45㎝이다."
