addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
강원도 홍천군 북방면 홍천로 (196-43),,32,,A01,A0101,A01010700,2806196,12,20220207153724,,,127.8686643478,37.6881203157,6.0,20220315164011,0,16,,홍천 무궁화테마파크,25115,"홍천군이 대한민국 무궁화 메카도시에 선정됨에 따라 대한민국의 꽃 무궁화의 위상을 높이고 무궁화의 아름다움을 널리 알리고자 2010년2011년에 조성하였다. 2019년 10월 18일 홍천군의 2호 무궁화 명소로 선정된 무궁화테마파크는 총 면적 19,559㎡에 5,769본의 무궁화가 식재되어 지역주민들을 비롯한 관광객들이 편안한 시간을 보낼 수 있도록 조성한 공원이다. 무궁화를 비롯한 다수의 식물들이 식재되어 있으며 연못, 관찰데크, 파고라, 운동기구 등의 편의시설이 설치되어있다. 무장애체험길, 터미널, 주변 무궁화 관련 시설과 인접하여 무궁화 관광지로서의 역할을 충실히 수행하고 있으며 연중무휴 개방하여 운영하고있다."
강원도 홍천군 서면 한서로 667,,32,0.0,A02,A0206,A02060200,2702589,12,20211231184444,,,127.5987832728,37.6888457742,6.0,20220719170442,0,16,,한서남궁억유적지,25100,"한서남궁억유적지는 기념관과 예배당 및 묘소(한서초등학교 뒤 유리봉)가 있다. 기념관에는 남궁억선생의 약력 및 업적에 대한 자료와 사진자료를 소개하고 있으며, 전시실 옆에는 일제에 의해 강제 폐쇄되었던 예배당을 복원해 놓았다. 국사 교과서에서 한 번쯤은 보고 배웠을 인물을 살아생전에는 만나보지 못했지만 그를 조금 더 알아가고 싶다면 들러보기에 좋은 곳이다. 또한 이곳은 휴식을 할 수 있는 공간도 많고 그늘진 푸른 나무들이 많아 여름에 잠시 쉬어가기 안성맞춤이다.p"
강원도 홍천군 서면 두미리 624-1,,32,0.0,A02,A0203,A02030100,2774589,12,20211116011654,,,127.6585256469,37.6690491776,6.0,20211122235305,2,16,,휘바핀란드,25101,"양떼목장과 펜션을 함께 운영하는 곳으로 양떼목장은 예약 없이 입장할 수 있고 펜션 투숙객은 양떼목장을 무료로 이용할 수 있다. 울타리 없는 방목형 양떼목장으로 먹이 주기 체험도 할 수 있고 날씨가 따뜻한 계절에는 양들이 풀을 뜯는 모습을 보면서 예쁜 풍경도 즐길 수 있다.  양 외에도 토끼, 칠면조, 돼지, 개 등 여러 동물을 만날 수 있고, 전망대에 오르면 아름다운 홍천의 풍경을 즐길 수 있다. 곳곳에 사진을 찍을 수 있는 포토존도 마련되어 있다. 어린이들과 함께 온 가족이 자연 속에서 힐링할 수 있는 공간이다."
강원도 홍천군 서면 개야리 154-9,,32,0.0,A02,A0202,A02020700,2774540,12,20211116003507,,,127.624741994,37.6898877996,6.0,20221208135247,0,16,,개야리유원지,,"홍천군 서면 개야리에 위치한 개야 강변 유원지이다. 총 8km 길이의  '개야 강변 에움 녹색 길'이 조성되어 있고, 여행자 센터, 인도교, 쉼터 등의 편의시설을 갖춘 트레킹 코스가 있다.  밤나무길, 처녀 뱃사공길, 강물소리길 등 지역 문화를 살린 스토리텔링 형 코스로 조성했다. 인근의 폐교를 여행자 숙소 및 직거래 장터로 리모델링하여 관광객들에게 개방하고 있다. 강변을 따라 너른 자갈밭이 펼쳐져 있어서, 낚시 및 물놀이 하기에 좋고, 특히 노지 캠핑의 명소로 인기가 많다."
강원도 홍천군 북방면 영서로 2937-12,,32,0.0,A01,A0101,A01010700,2774013,12,20211112201322,http://tong.visitkorea.or.kr/cms/resource/65/2774065_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/65/2774065_image2_1.jpg,127.8350191968,37.721296393,6.0,20211116020623,0,16,,무궁화수목원,25112,"홍천에 자리한 무궁화수목원은 국내 최초의 무궁화 테마 수목원이다. 우리나라 국화인 무궁화를 보존하고, 평생 무궁화를 아꼈던 독립운동가 한서 남궁억(18631939) 선생의 업적을 기리는 공간으로 지난 2017년 처음 문을 열었다. 수목원 내에는 무궁화 조형물과 무궁화 미로원을 비롯해 억새원, 배나무원 등 16개 주제원과 숲속 산책로인 무궁 누리길, 어린이 놀이터 등 다양한 즐길 거리가 방문객들을 맞아준다. 무궁화수목원에서 이어지는 등산로 '힐링 숲길'도 가리산을 한눈에 담을 수 있는 숨은 비경으로 꼽힌다. 무궁화에 얽힌 흥미로운 이야기를 들을 수 있는 해설프로그램도 운영 중이며, 무궁화 꺾꽂이 체험과 무궁화 열쇠고리 만들기 등 체험프로그램도 알차다."
강원도 홍천군 서면 개야마을길 73,,32,0.0,A02,A0203,A02030100,2718833,12,20210528200609,,,127.6298747217,37.6946762273,6.0,20220420103820,0,16,,복주머니마을,25100,"복주머니 마을은 주변을 맑고 푸른 홍천강이 감싸고 있고 강으로 감싸진 마을은 푸른숲과 함께 자리해 그림같은 풍경을 가지고 있다. 복주머니 마을에는 홍천군 관광지 에움녹색길이 있는데 강을 따라 울창한 숲을 만나며 걷는 길은 모두에게 인기 있다. 힐링과 전통놀이, 농촌 체험을 즐길 수 있다.복주머니 마을은 위에서 바라보는 절경이 꼭 사진으로 담아야 아쉽지 않을 것 같은 아름다운 강으로 둘러싸여 있는 동네이다. 들릴 때는 작은 카메라나 핸드폰으로 꼭 촬영을 하길 바라고 가게 되면 특산물이나 산지재배 농산물을 값싼 가격에 판매하니 비교해 보는 것도 좋다.(출처 : 강원도청)"
강원도 홍천군 내면 원자운길 38,,32,0.0,A02,A0202,A02020100,2715272,12,20210504201646,,,128.3606601431,37.7321800501,6.0,20220503141845,0,16,,故박정렬여사 추모공원,25171,"故박정렬여사 추모공원은 매서운 추위 속에 친정으로 돌아오던 길, 어린 딸을 살리기 위해 당신의 생명을 희생하였던 故박정렬여사를 추모하기 위해 조성되었다. 홍천군 여성단체협의회에서 헌사를 담은 위령비를 세웠으며, 여사의 동상과 함께 다양한 나무들로 아늑한 공원을 조성해 놓았다. 

(출처 : 강원도청)"
강원도 홍천군 두촌면 군유동길 361-19,,32,0.0,A02,A0203,A02030100,2715249,12,20210504190517,,,128.0726406788,37.8611735035,6.0,20220419153733,0,16,,바회마을,25160,"홍천 괘석리 바회마을은 두촌면 동쪽에 위치한 마을로 많은 바위들이 층을 이루고 괴어 있는 것 같다 하여 괘석이라 하였는데 1961년 행정구역 폐합에 따라 다름재, 범의터, 샛골, 영수터, 탑거리를 병합해 괘석리라 하였다. 같이 가볼 장소는 소름산, 소리봉, 독바위, 용소계곡이다.

바회마을에서 둘러 볼 수 있는 관광지는 천연자원인 용소계곡이다. 우거진 숲과 곳곳에 펼쳐지는 소와 너레바위들이 어우러져 비경을 자랑하는 곳으로 내설악에 버금가는 아름다운 계곡이다. 또한 당간지주, 괘석리 회다지 소리, 괘석리 삼층 석탑 등 다양한 문화유산도 있다. 

(출처 : 강원도청)"
강원도 홍천군 내촌면 동창로 282,,32,0.0,A01,A0101,A01010700,2715231,12,20210504024040,,,128.1584075026,37.7820176498,,20220419141308,0,16,,척야산 문화수목원,25162,"척야산 문화수목원은 척야산 일대에 조성되어 있는 수목원이다. 척야산 문화수목원이 다른 수목원과 다른 점이 있다면 수목원으로 구성되어 있지만 우리나라 역사에 대해 생각해 볼 수 있는 기회를 만들어 준다는 것이다. 고구려시대의 광개토대왕비, 발해시대의 석등 및 요망대기 및 이순신장군과 안중근의사의 말씀 비석이 자리 잡고 있다.

척야산 문화수목원에 들린다면 수많은 꽃과 나무를 자연의 상태로 만나볼 수 있다. 또한 피톤치드가 가득한 곳이어서 음이온이 나오고 건강해지는 느낌을 받을 수 있어 좋다. 나무와 꽃만 구경하다 지루할때 쯤이면 우리나라 역사에 관한 다양한 문화재도 함께 있으니 꼭 들려서 자연 속에서 상쾌함을 맛보고 가길 바란다. 

(출처 : 강원도청)"
강원도 홍천군 서면 오도치길 6,,32,0.0,A02,A0203,A02030100,2715230,12,20210504022548,,,127.6981521857,37.6833204766,,20220519180000,0,16,,팔봉참살이마을,25101,"팔봉참살이마을은 홍천군의 서쪽에 위치하고 있으며 동쪽은 북방면 노일리, 서쪽은 두미리, 남쪽은 굴업리, 북쪽은 북방면 구만리가 있는 마을이다. 여덟개의 봉우리를 갖추고 있는 팔봉산은 전국적으로 유명한 산이다. 팔봉참살이마을은 대다수의 주민들이 농업에 종사하는 전형적인 농촌마을이다. 팔봉참살이마을은 깨끗한 공기와 자연 속에서 많은 사람들이 방문할 수 있는 곳이다. 특산품도 판매 중이니 집까지 이 마을의 정성과 인심을 담아가길 바란다. 

(출처 : 강원도청)"
