addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode
강원도 화천군 화천읍 풍산리,산 269번지,32,,A02,A0203,A02030600,2816347,12,20220415104810,,,127.7613197665,38.2055553037,6,20221024180612,0,17,,백암산 케이블카,24109
강원도 화천군 화천읍 평화로 685,,32,0,A02,A0201,A02010700,2702470,12,20211230224552,,,127.7619282638,38.1060946985,6,20221206233631,0,17,,꺼먹다리,24132
강원 화천군 사내면 삼일리 196,,32,0,A01,A0101,A01010900,2789876,12,20211209020543,http://tong.visitkorea.or.kr/cms/resource/51/2797051_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/51/2797051_image2_1.jpg,127.5298426374,38.0555351518,6,20211215023324,0,17,,삼일계곡,
강원도 화천군 사내면 수피령로 75,,32,0,A02,A0206,A02060300,2789872,12,20211209020414,http://tong.visitkorea.or.kr/cms/resource/03/2795703_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/03/2795703_image2_1.jpg,127.5210206779,38.0738300758,6,20220701151325,0,17,,토마토조각공원,24154
강원 화천군 사내면 삼일리 1097-21,,32,0,A02,A0201,A02010700,2789860,12,20211209015907,http://tong.visitkorea.or.kr/cms/resource/16/2795716_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/16/2795716_image2_1.jpg,127.5177385494,38.0433474598,6,20221130093820,0,17,,화음동정사지,
강원도 화천군 사내면 사창리 산52,,32,0,A01,A0101,A01010600,2789822,12,20211209015106,http://tong.visitkorea.or.kr/cms/resource/80/2795680_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/80/2795680_image2_1.jpg,127.5269452127,38.0712638185,6,20211214212050,0,17,,창안산산림욕장,
강원도 화천군 하남면 거례리 484-2,,32,0,A01,A0101,A01010500,2774598,12,20211116013259,,,127.6885470236,38.0744192401,6,20211122235523,1,17,,화천사랑나무,24142
강원도 화천군 하남면 건넌들길 97,,32,0,A01,A0101,A01010500,2774593,12,20211116012813,http://tong.visitkorea.or.kr/cms/resource/78/2785678_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/78/2785678_image2_1.jpg,127.6542983499,38.0417001927,6,20221206233216,0,17,,연꽃단지,24147
강원도 화천군 간동면 파로호로 208,,32,0,A02,A0205,A02050600,2774590,12,20211116012303,http://tong.visitkorea.or.kr/cms/resource/26/2776926_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/26/2776926_image2_1.JPG,127.7715499397,38.0950489454,6,20221208135505,0,17,,파로호전망대,24132
강원도 화천군 화천읍 대이리 산1-1,,32,0,A02,A0202,A02020100,2774567,12,20211116010303,http://tong.visitkorea.or.kr/cms/resource/73/2785673_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/73/2785673_image2_1.JPG,127.7588419198,38.1232037563,6,20221031103620,0,17,,딴산유원지,24132
강원도 화천군 화천읍 평화로 3518,,32,0,A02,A0202,A02020100,2764833,12,20211029181521,,,127.8510752840,38.2111480088,6,20221206233555,0,17,,국제평화아트파크,24110
강원도 화천군 하남면 건넌들길 97,,32,0,A02,A0203,A02030600,2650097,12,20200318015801,,,127.6542983499,38.0417001927,6,20220914145648,0,17,,서오지리,24147
강원도 화천군 화천읍 평화로 2393,,32,0,A01,A0101,A01010500,2616559,12,20190827004843,http://tong.visitkorea.or.kr/cms/resource/55/2616555_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/55/2616555_image2_1.bmp,127.7993306558,38.1898634065,6,20221208162417,0,17,,화천 백립암복합체 (강원평화지역 국가지질공원),24110
강원도 화천군 화천읍 풍산리,,32,0,A01,A0101,A01011800,2616530,12,20190827002104,http://tong.visitkorea.or.kr/cms/resource/25/2616525_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/25/2616525_image2_1.bmp,127.8032004706,38.2576666735,6,20221208162442,0,17,,양의대 하천습지 (강원평화지역 국가지질공원),24110
강원도 화천군 상서면 구운리,,32,0,A01,A0102,A01020200,2616514,12,20190827000356,http://tong.visitkorea.or.kr/cms/resource/08/2616508_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/08/2616508_image2_1.bmp,127.5801103308,38.1465143583,6,20221208162406,0,17,,비래암 (강원평화지역 국가지질공원),24105
강원도 화천군 간동면 어룡동길 366,,32,0,A02,A0202,A02020600,2570346,12,20181127233501,http://tong.visitkorea.or.kr/cms/resource/66/2548666_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/66/2548666_image3_1.jpg,127.7637386292,38.1253980367,6,20220310130623,61,17,,화천 토속어류생태체험관,24132
강원도 화천군 하남면 거례리 514-1,,32,0,A02,A0202,A02020100,2570295,12,20181127221854,,,127.6897357562,38.0760051882,6,20221206233149,76,17,,화천 반지교&아를테마수목공원,24142
강원도 화천군 화천읍 상승로2길 21,,32,0,A02,A0206,A02060100,2569517,12,20181125015421,http://tong.visitkorea.or.kr/cms/resource/71/2566371_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/2566371_image3_1.jpg,127.7037224706,38.1059630671,6,20220913104546,111,17,,산천어커피박물관,24121
강원도 화천군 화천읍 상승로2길 25-10,,32,0,A02,A0206,A02061200,2569516,12,20181125015349,http://tong.visitkorea.or.kr/cms/resource/62/2566362_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/62/2566362_image3_1.jpg,127.7028780980,38.1061491407,6,20220421155817,83,17,,산천어시네마,24121
