addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode
강원도 횡성군 청일면 청일로 1241,,32,0,A02,A0203,A02030100,2790500,12,20211209200944,http://tong.visitkorea.or.kr/cms/resource/20/2793020_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/20/2793020_image2_1.jpg,128.2489880554,37.6014569547,6,20221118094729,0,18,,신대리산촌생태마을,25255
강원도 횡성군 둔내면 청태산로466번길 33,,32,0,A01,A0101,A01010600,2789625,12,20211208235928,http://tong.visitkorea.or.kr/cms/resource/90/2795290_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/90/2795290_image2_1.jpg,128.2727383333,37.5203445653,6,20211214194405,0,18,,둔내자연휴양림,25261
강원도 횡성군 둔내면 경강로 6013,,32,0,A02,A0205,A02050600,2774609,12,20211116013403,,,128.2662419335,37.6054262668,6,20221207161310,0,18,,태기산 전망대,25305
강원도 횡성군 횡성읍 덕고로 410,,32,0,A02,A0203,A02030100,2715219,12,20210504012549,,,128.0208735692,37.4735424620,6,20220503134120,0,18,,덕고마을,25243
강원도 횡성군 공근면 학담서로 137,,32,0,A02,A0203,A02030100,2715218,12,20210504011349,,,127.9465342150,37.5288818916,6,20220419154723,0,18,,성바위자연마을,25208
강원도 횡성군 서원면 옥계리 921,,32,0,A01,A0101,A01010900,2714778,12,20210428232344,,,127.8540787410,37.4322496866,6,20220414154641,0,18,,대산계곡,
강원도 횡성군 둔내면 고원로 451,,32,0,A02,A0202,A02020600,2714198,12,20210421194850,,,128.2492886569,37.4872340609,6,20221014154028,0,18,,웰리힐리파크 워터플래닛,25263
강원도 횡성군 갑천면 정포로 327,,32,0,A02,A0202,A02020400,2614901,12,20190810012708,http://tong.visitkorea.or.kr/cms/resource/46/2519246_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/46/2519246_image2_1.JPG,128.1016118529,37.5292236459,6,20220927154808,0,18,,강원참숯,25258
강원도 횡성군 청일면 청일로779번길 117,,32,0,A01,A0101,A01010900,2613677,12,20190731021726,http://tong.visitkorea.or.kr/cms/resource/96/2519296_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/96/2519296_image2_1.JPG,128.2184021926,37.5926518399,6,20220926182151,1,18,,신대계곡,25255
강원도 횡성군 횡성읍 태기로개전4길 14-16,,32,0,A02,A0203,A02030100,2524174,12,20170831090049,http://tong.visitkorea.or.kr/cms/resource/67/2374867_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/67/2374867_image2_1.jpg,128.0148122322,37.4997976446,6,20220707172104,442,18,,횡성 휴선체험원,25212
