addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경기도 가평군 설악면 묵안로 182,,31,0,A02,A0203,A02030100,2789689,12,20211209003610,http://tong.visitkorea.or.kr/cms/resource/22/2792822_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/22/2792822_image2_1.jpg,127.4972409104,37.6481375192,6.0,20221114140657,0,1,,반딧불마을,12470,"가평군의 남쪽 설악면 엄소리에 있는 전형적인 산촌으로 천연 그대로의 수려한 자연의 경관을 자랑하면서도, 면 소재지로부터 5km, 서울 잠실에서 고속도로 35분 소요, 청량리에서 1시간 거리로 수도권 1일 지역으로서 인근에 유명산, 어비계곡, 청평호반이 있어 관광객의 왕래가 빈번해 찾아가기 편한 지역이다. 또한 비옥한 토양과 풍부한 농업용수로 우수한 농산물을 생산하고 있는 마을이다. 주민 대부분이 상업이 아닌 농업에 종사하며 우리 산촌의 훈훈한 인심을 지켜가고 있다."
경기도 가평군 설악면 묵안로654번길 33-13,,31,0,A02,A0203,A02030100,2789687,12,20211209003330,http://tong.visitkorea.or.kr/cms/resource/62/2794762_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/62/2794762_image2_1.jpg,127.5134985859,37.6199549792,6.0,20221115133630,0,1,,설곡옻샘마을,12471,경기도 가평군 설악면에 있으며 주변에는 900m에 달하는 고산들로 둘러싸인 원시림의 자연생태계가 보전되고 있는 가평군의 최남쪽 산촌마을이다. 지명에서 느껴지듯이 눈이 많이 내리고 깊은 골짜기로 형성되어 있어 높은 산과 맑은 계곡으로 자연경관이 빼어난 곳이기도 하며 서울춘천 간 고속도로의 개통으로 수도권 시민을 유치하여 도시민에게는 산림 체험과 자연에서 생산되는 무공해 임산물과 특산물을 제공할 수 있는 임산물 가공공장의 시설을 갖추고 있으며 봉미산 일대의 등산로 개발에도 힘쓰고 있다.
경기도 가평군 상면 축령로45번길 24,,31,0,A02,A0203,A02030100,2789685,12,20211209003058,http://tong.visitkorea.or.kr/cms/resource/45/2794645_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/45/2794645_image2_1.jpg,127.3633383403,37.7735815934,6.0,20211214032519,0,1,,잣향기푸른마을,12448,"남쪽으로 축령산, 서쪽으로 서리산이 있다. 낮은 구릉이 있는 산지지형이다. 경기도 잣향기푸른숲은 수령(樹齡) 80년 이상의 잣나무림이 국내 최대로 분포하고 있으며, 피톤치드 가득한 쾌적한 잣나무숲에서 숲체험과 산림치유 프로그램을 복합적으로 체험할 수 있는 특별한 산림 휴양 공간이다. 축령산과 서리산 자락 해발 450600m에 있는 경기도 잣향기푸른숲은 수령 80년 이상의 잣나무가 국내 최대로 분포하고 있는 곳이다."
경기도 가평군 북면 백둔로 417-11,,31,0,A02,A0203,A02030100,2789681,12,20211209002702,http://tong.visitkorea.or.kr/cms/resource/29/2799229_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/29/2799229_image2_1.jpg,127.4626144389,37.9014324249,6.0,20221201151327,0,1,,백둔리산촌생태마을(연인산마을),12406,"남쪽으로 백둔천이 흐르고 있고, 북동쪽으로 명지산이 있다. 산자락에 있는 산지 지형이다.  자연마을로는 깊은돌, 붉은덕, 죽터, 양짓마르, 천리밀 등이 있다. 깊은돌은 남쪽에 있는 마을인데 앞에 깊은 계곡이 있어서 붙여진 이름이다.  붉은덕은 마을의 흙빛이 붉다는 데서 유래되었다. 죽터는 마을에 대나무가 많아서 유래되었다. 백둔리는 마을에 잣나무가 많아서 잣둔지 또는 백둔이라 부리던 것에서 유래된 지명이다. 좁은 협곡으로 둘려 흐르는 계곡이 아름다운 경관을 자아낸다."
경기도 가평군 북면 논남기길 520,,31,0,A01,A0101,A01010600,2774103,12,20211112215922,http://tong.visitkorea.or.kr/cms/resource/28/2774128_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/28/2774128_image2_1.jpg,127.4083868175,37.9700067673,6.0,20221202173014,0,1,,강씨봉 자연휴양림,12400,"980Ha 의 울창한 천연림의 아름다운 경관을 가진 가평군 북면 적목리에 위치한다. 경기도 소유의 도유림으로 20062011년 조성되었으며 주요 시설물로는 단독형 숲속의집 7동, 산림휴양관 1동 (9실), 공중화장실 1동, 관리사무소 (회의실) 1동, 기타 산책로, 주차장 등 각종 편의시설을 갖추고 있다. 어린이를 위한 모험 놀이시설과 간이 물놀이 시설과 함께 숲 해설, 숲 체험을 할 수 있다. 가족단위 산림 휴양에 최적의 조건을 갖추고 있다."
경기도 가평군 가평읍 승안리 산 223,,31,0,A01,A0101,A01010900,2773864,12,20211112192021,http://tong.visitkorea.or.kr/cms/resource/25/2773925_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/25/2773925_image2_1.jpg,127.480533482,37.8594737524,6.0,20220519170228,0,1,,용추계곡,12408,"경기도 가평군 가평읍 승안리에 있는 계곡이다. 칼봉산 (900m) 에서 발원하여 옥녀봉을 감싸듯이 흐른다. 24km에 걸쳐 와룡추, 무송암, 고실탄, 일사대, 추월담, 권유연, 농원계 등 9개의 절경이 이어진다. 그래서 옥계9곡 또는 용추9곡이라고도 부른다. 용추계곡은 잣나무 숲이 우거져 있고, 암벽과 능선을 끼고 굽이쳐 흐르는 물줄기는 곳곳에 천연 수영장 같은 탕을 만든다. 계곡을 따라 6km 정도 올라간 곳에 높이 5m 용추폭포가 있다. 용이 승천했다는 전설이 전하며, 폭포 옆 경사진 바위에 깊게 파인 자국은 용이 누웠던 자리라고 한다. 유명산과 중미산, 어비산으로 둘러싸인 계곡은 한나절 짧은 등산 코스로 손색이 없다."
경기도 가평군 북면 화악산로 1550,,31,0,A02,A0202,A02020700,2765594,12,20211102010052,http://tong.visitkorea.or.kr/cms/resource/16/2766316_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/16/2766316_image2_1.png,127.5226395951,37.9929506491,6.0,20221122180145,1,1,,화악터널쌈지공원,12402,"경기도 가평군 화악산에 위치한 공원으로, 낮에는 겹겹이 산으로 둘러 싸인 전망을 볼 수 있고 밤에 별을 구경할 수 있는 공원이다. 깊은 산속 공기 맑은 곳이라 밤에 별을 선명하게 볼 수 있다. 별구경을 위해서는 일기예보를 미리 확인하고, 날씨가 좋은 날에 가야 한다. 산 높은 곳에 있어 온도가 평지보다 낮고 바람이 많이 불기 때문에 따뜻한 방한용품 등을 미리 챙겨야 한다. 2021년 쌈지공원에서 '별빛공원'으로 이름을 바꾸고 시설을 정비했다. 자라섬에서 391국도를 따라 차량으로 이동하면 약 40분 거리에 있다."
경기도 가평군 청평면 에덴벚꽃길 139,,31,0,A02,A0202,A02020600,2763795,12,20211027232443,http://tong.visitkorea.or.kr/cms/resource/11/2932211_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/11/2932211_image3_1.jpg,127.4770887402,37.7855156283,6.0,20221212104805,0,1,,꿈의동산,12449,"꿈의 동산은 청정 가평에 위치하여 최고의 녹지 공간 속에 어린이를 위한 다양한 놀이시설과 휴식공간을 갖추고 있다. 매년 봄에는 벚꽃 축제가 열리는 명소이기도 하다. 숲 속 놀이동산에 극장, 라운지, 음식점 등이 복합적으로 운영되고 있다. 쾌적한 전망대와 환상적인 자연경관 아래에서 알차고 신나는 하루를 보낼 수 있다. 맛있는 음식이 다양하게 구비되어 있어 지루하지 않게 놀이시설을 즐길 수 있다.  평균적으로 100cm 미만 어린이는 이용에 제약이 있다. 별도의 입장료는 없고 각각 기구별 이용 요금을 내면 즐길 수 있다."
경기도 가평군 상면 축령로 289-146,,31,0,A01,A0101,A01010400,2763785,12,20211027232012,http://tong.visitkorea.or.kr/cms/resource/32/2764032_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/32/2764032_image2_1.jpg,127.336560307,37.7707592092,6.0,20221124161755,2,1,,가평 잣향기푸른숲,12448,"가평 하면 떠오르는 게 잣일 만큼 가평은 잣의 고장이다. 특히 축령산과 서리산 일대에는 우리나라 최대의 잣나무 숲이 자리 잡고 있는데, 이곳에 잣향기푸른숲이 둥지를 틀었다. 잣향기푸른숲은 산림치유 프로그램과 숲체험을 즐길 수 있는 산림휴양공간이다. 아침고요수목원 가는 갈림길에서 우측으로 난 길을 따라 약 3.5km를 더 올라가면 잣향기푸른숲에 이른다. 주차장에서 매표소를 지나 200m 정도 오르면 잣향기푸른숲의 중심이자 시작점인 축령백림관에 이른다.  잣향기푸른숲은 축령산과 서리산의 해발 450600m 사이에 조성되었다. 잣나무가 조림된 것은 일제강점기인 1924년 도유림사업소가 문을 연 이후다. 가평은 산이 많은 고장으로 잣나무가 자라기 좋은 자연 환경을 가지고 있다. 일본인들은 그 점을 간파하고 잣나무의 종자를 생산하기 위한 채종지로 조성한 것이다. 잣향기푸른숲에는 유치원생부터 가족, 연인들이 즐길 수 있는 다양한 코스가 마련되어 있다. 탐방로는 축령백림관을 시작해 잣향기목공방, 출렁다리, 화전민마을, 힐링센터, 기체조장, 풍욕장, 사방댐과 전망대까지 이어진다. 사방댐에서 절고개를 거쳐 축령산이나 서리산까지 등산도 가능하다."
경기도 가평군 가평읍 경반안로 454,,31,0,A01,A0101,A01010900,2763773,12,20211027231626,http://tong.visitkorea.or.kr/cms/resource/51/2764051_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/51/2764051_image2_1.jpg,127.4655438717,37.8359289942,6.0,20221124173036,2,1,,경반계곡,12415,None
