addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경기도 고양시 일산서구 주엽동,77,31,,A02,A0202,A02020700,2903911,12,20221109184425,http://tong.visitkorea.or.kr/cms/resource/08/2903908_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/08/2903908_image3_1.jpg,126.7649179934,37.6754099834,6.0,20221109184455,1,2,,문화공원,10365.0,"일산문화공원은 일산동구 장항동에 있는 광장 겸 공원으로 일산호수공원과 정발산역을 접하고 있다. 웨스턴돔에서 라페스타로 가려면 이 광장을 가로질러야 해서 항상 사람들로 북적인다. 도심 속 공원으로 공영 주차장은 따로 없다. 공원 내에 설치된 육교를 통해 호수 공원으로 갈 수 있다. 공원이 조성된 이후 시간이 많이 흘러 나무 그늘이 풍성한 편이다. 쉴 수 있는 벤치도 많이 설치되어 있다. 산책로가 잘 조성되어 있어 산책하거나 가족 나들이를 하고 주변 식당에 들러 식사하기도 좋다.
 반려동물 동반 가능 (단, 개목줄 착용, 배설물 처리를 위한 비닐봉지 등을 구비한 이용객에 한하여 허용)"
경기도 고양시 일산서구 대화동 2316,,31,,A02,A0202,A02020700,2891598,12,20221031144350,http://tong.visitkorea.or.kr/cms/resource/90/2891590_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/90/2891590_image3_1.jpg,126.7387454039,37.6747845901,6.0,20221104104833,0,2,,대화농업체험공원,10216.0,"대화농업체험공원은 고양시 대화동에 있는 주말 가족농장이다. 공원 주변에 숲이 조성돼 있고 곳곳에 쉼터를 비롯한 벤치가 마련돼 있는 소공원이다. 공원 내에 논 갈기, 벼 베기, 탈곡하기, 연자방아돌리기 등 농촌 생활의 벼농사 과정을 공부할 수 있게 밀랍 인형으로 재현해 두어 어린이들의 호기심을 자극할 수 있게 해 놓았다. 텃밭은 유치원이나 개인들이 맡아서 농작물을 가꾸고 키워서 수확하는 체험을 통해 간접 농사의 기쁨을 누릴 수 있다. 공원 주변으로는 산책로와 휴게시설이 조성되어 가족 단위 나들이나 소풍을 가기 좋은 공원이다.
 반려동물 동반 가능 (단, 개목줄 착용, 배설물 처리를 위한 비닐봉지 등을 구비한 이용객에 한하여 허용)"
경기도 고양시 일산서구 대화로 166 송포치안센터,,31,,A02,A0202,A02020700,2891579,12,20221031143553,http://tong.visitkorea.or.kr/cms/resource/77/2891577_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/77/2891577_image3_1.jpg,126.7378872352,37.6717210428,6.0,20221202160938,0,2,,대화동레포츠공원,10223.0,"대화레포츠공원은 일산에서 호수공원 다음으로 규모가 큰 레포츠공원이다. 공원 안에는 인조잔디축구장 1면, 테니스장 4면, 배드민턴장 8면, 농구장 1면, 스케이트보드 파크, 역기, 허리돌리기 등 체력단련시설과 어린이 놀이터도 설치되어 있다. 인조 잔디 축구장 둘레에는 달리기, 산책을 할 수 있는 트랙이 깔려 있어서, 주변으로 공이 넘어오지 않도록 담장이 설치되어 있다. 주변에 주거 시설이 가깝고 접근성이 좋아서 아이를 데리고 산책하거나 트랙에서 걷고 달리기 좋다. 범죄 예방을 위한 CCTV도 설치되어 있고 인조잔디축구장은 대관도 가능하다.
 반려동물 동반 가능 (단, 개목줄 착용, 배설물 처리를 위한 비닐봉지 등을 구비한 이용객에 한하여 허용)"
경기도 고양시 일산동구 강송로 14 고양시 어린이교통공원,,31,,A02,A0202,A02020700,2891556,12,20221031142218,http://tong.visitkorea.or.kr/cms/resource/50/2891550_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/50/2891550_image3_1.jpg,126.795388359,37.6425310214,6.0,20221031142312,0,2,,백석어린이교통공원,10443.0,"백석어린이공원은 백석동에 있는 어린이 교통공원이다. 어린이들의 교통사고 예방은 물론 교통사고에 스스로 대처할 수 있는 능력을 키워주고자 설립되었다. 실내 교육장인 안전 체험관에서는 어린이 눈높이에 맞춘 다양한 이론 및 실습 프로그램이 운영되고 있고 야외 교통공원에서는 실제 도로와 똑같은 도로를 만들어 횡단보도 이용 시 주의사항, 신호등 건너기, 교통표지판 이해하기 같은 실제 생활에 꼭 필요한 체험 교육이 이루어지고 있다. 공원 구석구석에 교통안전과 관련된 시설이 잘 설치되어 있어서 아이와 방문하여 생활 속 교통안전을 익히는 배움터로 활용하기 좋다.
 반려동물 동반 가능 (단, 개목줄 착용, 배설물 처리를 위한 비닐봉지 등을 구비한 이용객에 한하여 허용)"
경기도 고양시 일산동구 중앙로 1087-2 얄미공원개방화장실,,31,,A02,A0202,A02020700,2891543,12,20221031141325,http://tong.visitkorea.or.kr/cms/resource/33/2891533_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/33/2891533_image3_1.jpg,126.7839559846,37.6455526879,6.0,20221031142353,0,2,,알미공원,10421.0,"알미공원은 일산 백석역과 마두역 중간쯤에 있는 근린공원이다. 알미라는 이름은 일산 신도시가 만들어질 때 붙여졌는데, 신도시 개발 이전의 동네 이름을 따왔다. 소공원이라서 한적하게 산책하고 조용히 쉬기 좋다. 곳곳에 벤치가 마련되어 있고 체육 기구가 종류별로 설치되어 있어서 동네 주민들이 걷고 운동하기에도 적합한 공원이다. 공원 중앙쯤에 백석정이라는 정자가 있어서 여러 사람이 앉아 쉴 수 있고, 공연장도 설치되어 있다. 수령이 오래된 나무들이 잘 관리되어 있어서 아이와 함께 가을 나들이를 하거나 데이트하기에도 손색이 없다.
 반려동물 동반 가능 (단, 개목줄 착용, 배설물 처리를 위한 비닐봉지 등을 구비한 이용객에 한하여 허용)"
경기도 고양시 일산동구 일산로380번길 20-2 밤가시1어린이공원개방화장실,,31,,A02,A0202,A02020700,2874966,12,20221025151758,http://tong.visitkorea.or.kr/cms/resource/57/2874957_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/57/2874957_image3_1.jpg,126.782644317,37.669533206,6.0,20221025151809,0,2,,밤가시공원,10406.0,"밤가시공원은 경의중앙선 풍산역 1번 출구 인근에 있는 정발산동 근린공원이다. 공원 입구는 여러 곳에 있어서 찾기 편리하다. 공원 안에 놀이터와 벤치, 쉴만한 공간이 곳곳에 있고 사람들이 붐비지 않아 여유롭게 산책하고 휴식할 수 있는 곳이다. 주차장은 따로 없고 공원 근처 길가에 주차할 수 있다. 가운데에 모래 놀이터가 넓게 펼쳐져 있고 나무로 만들어진 그네도 설치되어 있어서 어린이와 함께 산책하고 놀아주기 좋은 장소다. 산책길 주위로 코스모스밭이 있고 경로당 옆쪽으로는 운동시설이 다양하게 설치되어 있다. 공원 근처에 밤리단길 예쁜 카페들이 많아서 테이크아웃하여 공원에서 커피를 마셔도 좋다. 축구장도 조성되어 있고 화장실과 수도 시설도 설치되어 있다. 전 구역 금연 구역이고, 반려동물 동반 시에 목줄 착용과 배설물 수거는 필수다.
 반려동물 동반가능(목줄, 배변봉투 지참)"
경기도 고양시 일산서구 일산로 663,,31,,A02,A0202,A02020700,2872502,12,20221021141840,http://tong.visitkorea.or.kr/cms/resource/95/2872495_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/95/2872495_image3_1.jpg,126.7554047896,37.6819590517,6.0,20221205153603,0,2,,성저공원,10370.0,"일산 성저마을 입주민을 위해 한국 토지개발공사에서 정성을 기울여 조성한 산림공원이다. 입구에 20여 대 정도 무료 주차할 수 있으며 고양시에서 운영하는 자전거 주차장이 있다. 공원 산책로에는 미끄럼방지 시설이 설치되어 있고, 벌레들을 퇴치하기 위한 태양열 해충 방지기가 있다. 산수국, 개망초, 맥문동 등의 식물을 보며 산책로를 올라가면 돌과 나무로 만든 계단이 곳곳에 설치되어 있어 지루하지 않게 트레킹할 수 있다. 공원 정상에는 운동기구들이 있는 체력단련장이 있고 시원한 약수가 나오는 수돗가도 있다. 공원 내에는 공연장, 축구장, 농구코트 등의 시설이 있고 체육시설은 09:0022:00까지만 이용할 수 있다. 공원 곳곳에 범죄 예방을 위한 CCTV와 인근 파출소로 연결된 비상벨 등이 설치되어 있다. 출구에는 고압 먼지떨이가 있고 이 공원의 자랑인 시원한 약수터도 있다. 
 반려동물 동반 가능(목줄, 배변 봉투 지참)"
경기도 고양시 일산동구 중앙로 1205,(장항동),31,0.0,A02,A0203,A02030600,2782688,12,20211129200218,http://tong.visitkorea.or.kr/cms/resource/83/2782983_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/2782983_image2_1.jpg,126.7757509354,37.6541848701,6.0,20220725180137,2,2,,와글아이,10414.0,"신개념 프리미엄 키즈 플레이 라운지 와글아이는 아이를 동반한 온 가족이 즐겁고 재미있는 경험을 할 수 있는 공간이다. 단순한 키즈 카페가 아닌 새로운 복합 문화 콘텐츠 공간으로  프리미엄 키즈 플레이 라운지가 있다.  키즈 카페 바닥에 매트가 깔려 있어 안전하고, 코로나19에 대비하여 매일 소독을 하고 있다. 내외부 공기 정화 시스템도 갖춰 깨끗하게 관리되고 있다. 쉬는 날 없이 1년 365일 운영하고 있어 아이들과 안심하고 즐길 수 있는 공간이다."
경기도 고양시 일산동구 장대길 229-30,(장항동),31,0.0,A02,A0203,A02030100,2782653,12,20211129195107,http://tong.visitkorea.or.kr/cms/resource/91/2782991_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/2782991_image2_1.jpg,126.7540642868,37.6450022197,6.0,20221027133412,0,2,,이한농원,10398.0,"경기도 일산시 동구 장항동에 위치한 딸기 체험농장으로 12월 초부터 6월 초까지 운영한다, 개장 기간 중에는 쉬는 날이 없으며 체험비를 따로 받지 않는 것도 특징이다.  1주일에 2회씩 친환경 약을 뿌리는 GAP 인증 농원으로 수경재배한 딸기를 따서 계산이 완료되면 시식할 수 있다.  체험 시간은 제한을 두지 않는다."
경기도 고양시 덕양구 고골길 49-5,(관산동),31,0.0,A02,A0201,A02010800,2772240,12,20211110220524,http://tong.visitkorea.or.kr/cms/resource/13/2772513_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/13/2772513_image2_1.jpg,126.8581945427,37.7120379394,6.0,20221202141858,0,2,,여래사,10265.0,"여래사는 대지면적 2,400여㎡(730여 평), 연면적 9.917㎡(3000평)에 지하 4층, 지상 5층(높이 27.15m) 건물로 지어진 통도사 포교당이다. 지상 4, 5층의 만불보전은 통층방 형식으로 된 법당으로 만(萬) 부처님이 계시며, 5층에는 인등기도 참회실이 있고 3층에는 극락전과 반야샘터가 있다. 2층에는 방송실, 1층에는 종무소와 청소년회관, 지하 1층에는 소극장과 서점, 식당이 있으며, 지하 2, 3층에 주차장이 있다."
