addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경기도 과천시 장군마을길 62-1,(주암동),31,0,A02,A0202,A02020700,2773719,12,20211112182639,,,127.0323468587,37.4617479378,6,20221206155819,0,3,,주암체육소공원,13819,"주암체육소공원은 경기도 과천시 장군마을에 위치한 공원이다. 크기는 9,820㎡이며, 공원 내에 풋살구장, 테니스장, 농구장, 다목적구장 등이 있어 다양한 구기종목을 즐길 수 있다. 또한 공원에 설치된 운동기구도 많아서 여러 가지 다양한 운동을 할 수도 있다. 쉼터에는 장미 넝쿨이 장식되어 있는데, 장미가 개화하는 시기가 되면 향긋한 꽃 향기를 맡으며 휴식을 취할 수 있으며, 여유롭게 산책을 즐길 수 있다."
경기도 과천시 과천대로 599,(과천동),31,0,A02,A0202,A02020700,2749064,12,20210924195903,http://tong.visitkorea.or.kr/cms/resource/04/2768904_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/04/2768904_image3_1.jpg,126.9915954477,37.4462517834,6,20221129150501,0,3,,용마골소공원,13812,용마골소공원은 경기도 과천시 과천동에 있는 산책하기 좋은 코스를 가진 소공원이다. 관악산 자락의 둘레길과 이어진다.
경기도 과천시 문원로 56,(문원동),31,0,A02,A0202,A02020100,2748995,12,20210924193402,,,127.0036837514,37.4279680109,6,20220412152417,0,3,,문원체육공원,13828,"문원체육공원은 경기도 과천시 문원동 22번지 일대에 있는 체육공원이다. 생활체육공간 확충 사업의 일환으로 시민 체육 향상, 휴식공간 제공, 시민 정서함양을 위해 설립되었다. 총면적은 36,794㎡이며, 축구장, 농구장, 테니스장, 게이트볼장, 체력단련장, 조깅 코스, 지압길, 어린이놀이터, 물놀이 연못, 자연 체험장 등의 시설을 갖추고 있다. 체육시설의 기능 외에 주민화합의 기능을 수행하기 위해 2005년부터 문원 매봉골 축제가 열리고 있다."
경기도 과천시 중앙로 294,(관문동),31,0,A02,A0202,A02020100,2748990,12,20210924193044,,,126.9963618169,37.4414163194,6,20220412152258,0,3,,관문체육공원,13830,"시민의 건강·휴식 및 체육활동의 대중화에 기여하고 일상에서의 푸름을 만끽할 수 있는 관문체육공원은 5,000여 명을 수용할 수 있는 운동장을 비롯한 각종 체육시설을 갖춘 전문 체육공원이다. 학교와 인접해있어 청소년들의 체력 향상에도 기여하고 있다."
경기도 과천시 대공원광장로 102,(막계동),31,0,A01,A0101,A01010600,2748983,12,20210924192138,http://tong.visitkorea.or.kr/cms/resource/95/2764495_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/95/2764495_image2_1.jpg,127.0159882703,37.4250491254,6,20211029182618,1,3,,서울대공원산림욕장,13829,"서울대공원 산림욕장 산책로는 총 7km로 약 2시간 30분 정도 소요된다.산림욕장은 선녀 못이 있는 숲, 아까시나무숲, 자연과 함께하는 숲, 얼음골 숲, 전망대, 생각하는 숲, 쉬어가는 숲, 원 아이 숲, 독서하는 숲, 밤나무 숲, 사귐의 숲, 소나무 숲 등 12개의 테마 숲으로 구성돼 있다.산림욕장 산책로에는 중간중간 피크닉 테이블이 있는 데크 쉼터와 정자를 설치해 땀을 식히며 다과나 담소를 즐길 수 있도록 하였다 . 자연과 함께 하는 숲과 쉬어가는 숲에는 약수터가 있어 시원한 약수도 맛볼 수 있다."
경기도 과천시 대공원광장로 80,(막계동),31,0,A02,A0203,A02030600,2747760,12,20210923224535,http://tong.visitkorea.or.kr/cms/resource/29/2747829_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/29/2747829_image2_1.jpg,127.0111412395,37.4339007896,6,20221107134832,3,3,,과천서울대공원기린나라키즈체험,13829,"기린 나라는 부모님과 아이들이 행복한 시간을 보낼 수 있도록 기획, 구성된 '신나는 멀티 체험랜드'이다. 아이들에게는 신나는 놀이터가, 아이의 부모들에게는 쉼터가 되는, 복합 가족문화 공간으로 놀이를 통한 교육, 공감각적 체험 프로그램을 지향한다."
경기도 과천시 경마공원대로 107,(주암동),31,0,A02,A0202,A02020700,2747752,12,20210923223825,http://tong.visitkorea.or.kr/cms/resource/40/2747840_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/40/2747840_image2_1.jpg,127.0157237676,37.4476881606,6,20221108173739,1,3,,레츠런파크서울포니랜드,13822,"포니 랜드는 과천시 렛츠런파크 서울 안에 위치한 약 86,700㎡ 부지의 공원으로, 말 체험을 비롯한 다양한 체험 프로그램들 제공함으로써 모두를 위한 도심 속 공원으로 운영되고 있다."
경기도 과천시 교육원로 86,(중앙동),31,0,A01,A0101,A01010500,2615457,12,20190816224526,,,126.9797304785,37.4242763437,6,20220526100541,0,3,,과천 은행나무길,13809,"과천 정부종합청사 옆에는 은행나무 가로수 길이 자리잡고 있다. 그래서 과천 관문 은행나무길 또는 과천 청사 은행나무길이라고 불리기도 한다. 그 중 중앙선거관리위원회 가는 왕복 4차선 도로변, 과천 정부종합청사에서 래미안에코팰리스까지의 길이 은행나무길 명소로 손꼽히고 있다. 은행나무길에는 메타쉐콰이어길도 있어 더욱 깊은 운치를 자아낸다."
경기도 과천시 교육원로 118,(중앙동),31,0,A01,A0101,A01010700,2615455,12,20190816223802,,,126.9736144071,37.4228847293,6,20220824163015,0,3,,과천야생화자연학습장,13811,"과천종합청사 뒤쪽에 위치한 과천야생화자연학습장은 과천시에서 자연과의 조화와 학습을 목적으로 조성한 곳이다. 면적 6,900㎡에 약 112종의 야생화와 수목들이 식재되어 있다. 학습장은 원추리단지, 나리단지, 초화류, 약용식물, 음용식물, 사계절야생화 등의 구역으로 나뉘어져 있다."
경기도 과천시 광명로 181,(막계동),31,0,A03,A0302,A03022100,2602750,12,20190522014615,http://tong.visitkorea.or.kr/cms/resource/43/2602743_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/43/2602743_image2_1.jpg,127.0169239697,37.4366477965,6,20220518162228,6,3,,쥬라기랜드,13829,"쥬라기랜드는 100여종이 넘는 다양한 종류의 공룡, 화석, 알 등을 볼 수 있는 공룡 전시관이다. 어디에서도 쉽게 볼 수 없는 18m 크기의 거대한 공룡 브라키오사우루스와 티라노사우루스는 쥬라기랜드의 포토존으로 자리매김했다. 18m 공룡을 포함한 모든 공룡은 소리를 내며 움직여 실제 공룡을 만난듯한 분위기를 연출한다. 또한, 공룡 화석 발굴 체험도 가능해 어린이들의 오감을 자극하는 교육 체험 장소로 최적이다."
경기도 과천시 막계동,,31,0,A01,A0101,A01010800,2363553,12,20160121175317,http://tong.visitkorea.or.kr/cms/resource/89/2363489_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/89/2363489_image2_1.jpg,127.0355334318,37.4351066425,6,20221017165340,9926,3,,갱매폭포,13829,"청계산(淸溪山) 매봉(582m)계곡 옥녀봉(376m) 기슭에 있는 폭포로, 옛 경기도 시흥군 과천읍 막계리에서 가장 큰 동네 갱맹이(光明)의 준말로 갱매마을이라고 불렀다. 이 마을 골짜기 위에 위치하여 자연스럽게 갱매폭포로 불려졌다. 이 폭포의 길이는 13m, 폭은 8m이다. 과천 서울대공원이 들어서면서 갱매마을이 없어지면서 지명도 경기도 과천시 막계동으로 변경되었다. 청계산 매봉계곡에서 갱매폭포를 거쳐 서울대공원안에 있는 과천저수지(옛 막계저수지)를 경유한 물은 양재천으로 흘러 탄천과 합류 한강에 이른다."
경기도 과천시 관악산길 58,,31,0,A02,A0201,A02010700,128579,12,20050914090000,http://tong.visitkorea.or.kr/cms/resource/55/734355_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/55/734355_image3_1.jpg,126.9923289981,37.4361668563,6,20220923145341,19744,3,,온온사,13801,"과천의 객사였던 온온사가 축조된 것은 조선 인조 27년(1649년)이었으나 현재의 온온사라는 명칭을 얻게 된 것은 정조 때였다. 정조대왕은 1790년 2월 11일 아버지 사도세자의 능행 중에 과천 객사에 경숙하면서 경치가 좋고 쉬어가기가 편한다하여 객사  서헌에 온온사를, 객사동헌에 옛 과천의 별호인 부림헌이라는 친필 현판을 하사한 것을 계기로 온온사라 부르게 되었다.1980년 6월 2일 경기도 유형문화재로 지정된 온온사는 1986년 12월 2일 해체 복원되었다. 하지만 옛 온온사의 건물 형태를 알 수 없어 전남 승주군의 낙안객사를 본떠 정면 9칸, 측면 2칸 규모로 팔작지붕 중앙에 맞배지붕을 얹어 놓은 형태로 복원했다."
