addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경기도 광명시 소하동,1384-1,31,,A02,A0202,A02020700,2830827,12,20220801173707,http://tong.visitkorea.or.kr/cms/resource/25/2830825_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/25/2830825_image3_1.JPG,126.8788144385,37.4322513951,6,20221014174210,0,4,,충현역사공원,14333.0,"'충현역사공원'은 경기도 광명시 소하 2동에 있는 근린공원이다. 광명동굴 동쪽 주차장, 소하 2동 주민센터 인근에 있다. 조선시대 정승을 지낸 오리 이원익 선생의 역사기록을 테마로 하는 주제공원으로 4,600m²(약 1,400여 평) 크기다. 이원익 선생의 정치가로서의 사상과 철학을 공원 곳곳에서 살펴볼 수 있다. 50m 떨어진 곳에 오리 이원익선생 유적지가 있고, 5분 거리에 충현박물관과 충현서원이 있다. 또한, 공원 안에 지역주민을 위한 휴식 공간과 운동 기구들도 있다. 공원 뒤편은 가학산으로 광명동굴과 가깝고, 공원과 연계된 문화유적 산책로(선비의 길)도 있어 역사 체험장으로 이용할 수도 있다."
경기 광명시 일직동 293,"(일직동,광명역파크자이)",31,0.0,A02,A0202,A02020700,2787092,12,20211207182133,,,126.8884001363,37.4158340268,6,20220407172439,0,4,,새빛공원,14349.0,"경기 광명시 일직동에 위치한 공원이다. 소규모에 단조로운 공원이었으나 공원 내 자경 저류지를 단장하여 시민 휴식공간으로 조성하였다. 총 35억 원의 예산을 투입하여 자경 저류지 9333㎡의 공간에 철쭉, 코스모스, 왕벚나무, 억새 등 다양한 꽃과 나무를 심고 물 위의 데크로드, 지하수를 활용한 수변공원을 조성하였다. 이외에도 벤치와 그늘막을 설치해 시민에게 휴식공간을 제공하고 분수와 조명을 설치해 다양한 볼거리를 제공하고 있다. 지하철 1호선 광명역과 가까이 있으며 안양 새물공원과는 서로 맞닿아 있다."
경기도 광명시 도덕로 79,,31,0.0,A01,A0101,A01010500,2736048,12,20210823185702,http://tong.visitkorea.or.kr/cms/resource/16/2774016_image2_1.gif,http://tong.visitkorea.or.kr/cms/resource/16/2774016_image2_1.gif,126.8577236837,37.4682496177,6,20211112202623,1,4,,도덕산공원,14277.0,"광명시의 북쪽 중심에 있는 도덕산 자연공원은 도심과 접근이 용이하다. 도덕산 지형을 바탕으로 삼아 만든 공원으로. 오르막 내리막길이 이어지지만, 공원과 연결된 등산로를 따라 올라가다 보면 어느새 정상으로 시민들에게 편안한 휴식처를 제공한다. 공원 일대에는 인공폭포, 벽천, 광장 등 쉼터를 조성하여 사람들이 즐겨 찾고 있다. 이곳에선 시기에 따라 시민들을 위한 다채로운 행사가 진행되기도 한다."
경기 광명시 하안1동,,31,0.0,A02,A0203,A02030600,2733422,12,20210812190910,http://tong.visitkorea.or.kr/cms/resource/97/2773997_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/97/2773997_image2_1.jpg,126.8691588387,37.4651807336,6,20221205100907,0,4,,밤일마을,,"밤일마을은 도덕산 남단과 구름산 사이에 위치해 있으며 쾌적하고 아늑한 주거환경으로 살기 좋은 마을이다. 예로부터 밤나무가 많아 밤일이라는 이름으로 불리게 되었다. 밤일마을의 음식문화거리는 남은 음식 재사용 안 하기 등 음식문화개선에 힘쓰고 있다. 이에 대한 자율실천 정착과 함께 올바른 식생활 개선을 유도하는 한편, 친절하고 위생적인 분위기 조성 및 식량자원 낭비방지를 위한 친환경 음식문화를 조성하고 있다. 2013년 3월 26일 광명시 최초로 경기도 음식문화개선 특화거리로 지정되었다. 부천, 안양, 시흥 등 도심과 인접하고 교통이 편리하여 많은 이용객들이 방문한다."
경기도 광명시 오리로619번길 27,(하안동),31,0.0,A01,A0101,A01010600,2733419,12,20210812190350,http://tong.visitkorea.or.kr/cms/resource/14/2774014_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/14/2774014_image2_1.jpg,126.8760613097,37.4537238531,6,20211112202540,2,4,,구름산 산림욕장(구름산 도시자연공원),14303.0,"구름산 내에 위치한 산림욕장은 높이 20m가량의 나무숲으로 울창하게 조성되어 있다. 주요시설로는 종합놀이시설, 시냇물 건너기, 평상, 벤치 등을 갖추고 있으며 경기도 내 13개 산림욕장 중 피톤치드 농도가 가장 높다. 전나무 356그루를 식재하고 184m 황톳길이 조성되어 있어, 등산로를 맨발로 체험할 수 있는 등 시민과 관광객의 휴식을 돕는 힐링 공간으로 각광받고 있다. 특히 산림욕장 구석구석을 잇는 숲속 길 대부분에 우드 칩을 깔아놓아 걷기가 편하다."
경기도 광명시 안재로1번길 27,(하안동),31,0.0,A01,A0101,A01010500,2733412,12,20210812190203,http://tong.visitkorea.or.kr/cms/resource/75/2773975_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/75/2773975_image2_1.jpg,126.8698367177,37.4593758638,6,20211112194951,0,4,,안터생태공원,14259.0,"안터생태공원은 환경부의 생태계 보전 협력금 사업으로 금개구리의 서식처를 보호하기 위해 복원된 도심 속의 내륙 습지이다. 생태적 수질정화시스템을 통해 점 비점오염원을 처리하여 수질환경을 개선하고, 건강한 생태계로 유도한다. 안터생태공원에는 금개구리를 포함해 7종의 양서파충류가 서식하고 있고, 애기부들 등 식물66종, 버들붕어 등 어류 6종, 쇠물닭 등 조류 27종을 비롯해 각종 동식물이 풍부하게 서식하고 있다. 주변에는 자생초 화원이 조성되어 있으며, 우리 곁에 살고 있는 다양한 생물의 소중함을 직접 몸으로 느끼고 체험할 수 있는 다양한 생태교육프로그램을 운영하고 있다."
경기도 광명시 가학로85번길 142,(가학동),31,0.0,A01,A0101,A01011900,2649975,12,20200317021650,http://tong.visitkorea.or.kr/cms/resource/73/2649973_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/73/2649973_image3_1.jpg,126.8634438258,37.4247381044,6,20221027142833,0,4,,광명동굴,14341.0,1912년 일제가 자원수탈을 목적으로 개발을 시작한 광명동굴(구.시흥광산)은 일제강점기 징용과 수탈의 현장이자 해방 후 근대화산업화의 흔적을 고스란히 간직한 산업유산이다. 1972년 폐광된 후 40여 년간 새우젓 창고로 쓰이며 잠들어 있던 광명동굴을 2011년 광명시가 매입하여 역사문화 관광명소로 탈바꿈시켰다. 광명동굴은 산업유산으로서의 가치와 문화적 가치가 결합된 대한민국 최고의 동굴테마파크라는 평가를 받고 있으며 연간 100만 명 이상의 관광객이 찾는 세계가 놀란 폐광의 기적을 이루었다.  출처 : 광명동굴
경기도 광명시 설월로 58,(소하동),31,0.0,A02,A0201,A02010800,2404923,12,20160722130050,,,126.8727952718,37.4418807256,6,20221018132507,4871,4,,금강정사,14332.0,"금강정사는 이 시대가 요구하는 신행공동체를 만들기 위하여 회주스님이신 벽암(지홍)스님과 재가불자님들의 원력으로 불기 2535년(1991년) 1월 개원하였다.부처님과 조사스님들의 가르침을 이어받아 우리모두는 불성생명으로 무한 가능성을 갖고 있음을 믿고,보살행으로서 그 불성생명을 가꾸어 자신의 생활을 밝히고 이웃을 밝혀 사회에 평화의 횃불을 밝히기 위한 신행공동체이다."
경기도 광명시 노은사동,,31,0.0,A02,A0201,A02010700,736607,12,20090520194801,http://tong.visitkorea.or.kr/cms/resource/70/734370_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/70/734370_image3_1.jpg,126.8619046579,37.439705784,6,20220516163537,20476,4,,광명 영회원(민회빈),14334.0,"이 묘소는 조선조 제16대 인조의 원자인 소현세자의 부인 민회빈 강씨(민회빈)가 잠든 농원이다. 세자빈 강씨는 우의정을 지낸 문정공 강석기의 딸로 인조5년(1627년) 에 세자빈이 되었으나 병자호란의 여파로 소현세자와 함께 청나라 심양에 볼모로 가서 많은 고생을 하고 귀국하였다. 심양에서의 볼모생활 동안 소현세자를 도와 조정을 대표하여 진취적인 태도로 조선 백성의 구제 및 양국간의 관계 조정에 노력을 기울였다.그러나 귀국 후 두달만에 소현세자가 세상을 떠나자 봉림대군이 세자가 되어 귁국하게 되었다. 이 후 평소 민희빈과 사이가 좋지 않았던 인조의 후궁 조씨 등이 민회빈이 소현세자를 독살 하였고 왕실을 저주 한다고 무고하여 인조23년(1645년)에 폐빈되고 그 다음해 사약을 받고 죽임을 당하였다. 그 뒤 숙종 44년(1718년)에 세자빈 강씨의 결백함이 밝혀져 민회빈으로 복위되고 고종7년에는 이 묘를 영회원이라 개칭하였다. 현재 능원의 봉분앞에는 혼유석, 장명등이 있고 봉분의 좌우에는 문인석, 망주석, 석양, 석마, 석호등이 남아 있다."
경기도 광명시 가학동,,31,0.0,A02,A0201,A02010700,736597,12,20090520194046,http://tong.visitkorea.or.kr/cms/resource/67/734367_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/67/734367_image3_1.jpg,126.8568365465,37.4085426445,6,20220902144647,17576,4,,가학동지석묘,14339.0,거석숭배 신앙의 흔적을 나타내고 있는 청동기 시대의 묘제 또는 제천단으로서 벌말마을의 산 정상부에 위치하고 있다.지석묘는 총6기로 서쪽 끝에 탁자식 지석묘가 있고 동쪽으로 5기의 지석묘가 거의 동서방향으로 놓여져 있다.
