addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경기도 광주시 신대길 139-22,,31,,A02,A0203,A02030600,2867659,12,20221014151035,http://tong.visitkorea.or.kr/cms/resource/48/2867648_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/48/2867648_image3_1.jpg,127.3309530804,37.3635230446,6,20221202153129,0,5,,곤지암반디숲,12801,"경기 광주시 곤지암읍 신대리에 있는 숲 체험 문화공간이다. 산책로, 피크닉 타운과 캐빈, 물놀이장, 북카페가 있어 다양한 볼거리와 즐길 거리가 있다. 비양산(231.7m) 동편에 생태계가 잘 보존되어 있어 서어나무가 군락을 이루고, 반딧불이 밤하늘을 밝게 비추는 청정지역이기도 하다. 입장료에 음료수 가격이 포함되어 있다. 여름철에는 어린이 물놀이장을 무료로 이용할 수 있어 인기다. 본관 2층은 카페와 물놀이장이 있고 1층은 북카페와 예술문화 공간으로 운영되고 있다. 카페에는 커피와 주스, 약초차 등의 메뉴가 있다. 숲 곳곳에 캐빈과 피크닉 타운이 있으며 예약할 수 있다. 날씨가 좋은 계절에 피크닉 하기 좋다. 50년 이상 된 전나무 숲에서의 힐링은 지쳐있는 현대인들에게 잠시 쉼을 제공한다. 약 3040분 산책코스와 약12시간의 약용, 특용작물 탐방로 및 무갑산(경기 8 경중 5경, 해발 580m)으로 이어지는 등산로가 있다. 어린이들의 자연 체험학습 및 공동생활 교육을 위한 잔디 쉼터 공간도 있다."
경기도 광주시 곤지암로 72,,31,,A01,A0102,A01020200,2862208,12,20220929155201,http://tong.visitkorea.or.kr/cms/resource/93/2862193_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/93/2862193_image3_1.jpg,127.3387611019,37.349594243,6,20220929155212,1,5,,곤지바위,12804,곤지암 바위는 경기도 광주시 곤지암읍 곤지암로 72에 있다. 옛날에는 고양이 모양으로 생겼다 하여 묘(猫) 바위라고도 불렸다고 한다. 전설에 의하면 이 바위에서부터 동북쪽 약 1km 지점에 임진왜란 초기 도순변사(都巡邊使)로 충주(忠州) 달천(達川) 탄금대에서 순사(殉死)한 신립(申砬) 장군의 묘가 있는데 이 바위 앞을 말을 타고 지나려 하면 말굽이 땅에 붙어 움직이지 않으므로 말에서 내려 걸어서 다녔다고 한다. 그러던 어느 날 지나가던 어떤 선비의 말이 이 바위 앞에서 말굽이 떨어지지 않자 이 선비는 말에서 내려 바위를 향하여 장군의 원통함이 아무리 크고 영력이 대단하다 할지라도 무고한 행인들의 말발굽을 움직이지 못하게 함은 온당치 못하니 영력을 거두어야 한다고 핀잔하자 뇌성벽력과 함께 폭우가 쏟아지며 벼락이 바위 윗부분을 내리쳐 정상부가 땅에 떨어진 후부터는 말을 타고 다니는 행인의 통행이 자유롭게 되었다는 전설이 내려오고 있다. 예전에는 주위에 연못이 있고 도로변에 있었으나 도시개발에 밀려 지금은 쪼개진 바위와 400년 된 향나무만이 철책에 둘려 곤지암 초등학교 옆 뒤안길에 가려져 있다.
경기도 광주시 남한산성로 240-28,,31,,A02,A0203,A02030600,2820966,12,20220520160835,http://tong.visitkorea.or.kr/cms/resource/30/2820830_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/30/2820830_image2_1.jpg,127.2263376898,37.4570436453,6,20220614171330,0,5,,남한산성 전통무예,12703,"""무예도보통지"" 남한산성전통무예는 경기도 광주시 남한산성면에 있으며 옛 역사가 살아 숨 쉬는 곳으로 선조들 전통의 숨결을 보유한 곳이다. 한양을 지키던 남한산성 안에서 조선 후기의 무예 훈련 교범인 ""무예도보통지""와 남한산성 유네스코 지정 홍보 및 무예 체험, 의상체험, 국궁체험 등 우리나라의 유구한 역사인 전통 무예의 발전을 알리기 위해 노력하고 있다. 남한산성(유네스코 지정), 남한산성전통무예, 둘레길 체험 등 서비스를 제공하여 경쟁력 강화와 지역관광에 기여하고 있다."
경기도 광주시 경안천로 126,1층,31,,A02,A0203,A02030600,2820602,12,20220519105128,http://tong.visitkorea.or.kr/cms/resource/00/2820600_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/2820600_image2_1.jpg,127.2734345658,37.4165630791,6,20220519105147,0,5,,도자누리,12740,"도자누리는 지역 장애인 가정들이 모여 관광 기념품을 개발 및 판매하는 특수한 마을 공동체 기업이다. 틀림이 아닌 다른 관점으로 장애인 가정의 섬세한 손길과 뜨거운 열정을 감동으로 체험할 수 있는 의미 있는 기념품을 구매할 수 있다. 체험 공방 또한 운영하고 있어, 남녀노소, 장애인비장애인 누구나 쉽게 배울 수 있는 도자기 프로그램으로 멀게만 느껴졌던 도자기와 가까워 질 수 있다."
경기도 광주시 초월읍 산수로 38-3,,31,0.0,A02,A0202,A02020100,2751295,12,20210929225542,http://tong.visitkorea.or.kr/cms/resource/95/2764295_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/95/2764295_image2_1.png,127.3166348757,37.3655642149,6,20220412162321,0,5,,초월생활체육공원,12737,"경기도 광주시 초월읍에 위치한 체육공원이다. 옆으로 곤지암천이 흐르고 자전거길과 산책로가 있다. 관람석과 함께 씨름장, 축구장, 농구장, 배드민턴장, 족구장 등이 있고 다양한 운동기구를 설치해 개인과 단체 누구나 손쉽게 이용이 가능하다. 곤지암천을 따라 화장실, 음수대, 벤치, 주차장이 있어 산책과 운동을 병행할 수 있다.애완동물도 함께 할 수 있지만 목줄 착용과 배변봉투 지참은 의무이다. 중부고속도로 곤지암 나들목에서 가까워 접근성이 좋다."
경기도 광주시 파발로 38,(쌍령동),31,0.0,A02,A0202,A02020700,2751292,12,20210929225346,http://tong.visitkorea.or.kr/cms/resource/42/2764242_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/42/2764242_image2_1.png,127.2620830075,37.4099247548,6,20220411111856,0,5,,청석공원,12757,"광주시민들의 여가와 휴식을 위해 쌍령동에 건립한 근린공원으로 체육공원과 잔디공원으로 구성되어 있다. 체육공원은 면적 4만 3,999㎡로서 족구장 2개소와 농구장 2개소, 인라인스케이트장, 미니축구장 등을 갖추고 있으며 1.4km에 이르는 산책로와 지압로가 있다. 잔디공원은 면적 약 4만㎡로 잔디광장과 야구장이 들어서 있다. 간이공연장, 급수대, 벤치, 주차장, 화장실 등 편리시설이 있어 개인이나 단체가 모두 찾을 수 있고 반려견 출입도 허용돼 산책코스로도 좋다"
경기도 광주시 오포읍 마루들길 20,,31,0.0,A01,A0101,A01010500,2751284,12,20210929224846,http://tong.visitkorea.or.kr/cms/resource/01/2764301_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/01/2764301_image2_1.png,127.2518789309,37.3904601589,6,20211028182317,0,5,,자전거생태공원,12795,"경기도 광주시 오포읍에 위치한 자전거공원이다.  경안천 천변에 조성되어 자전거를 처음 접하는 이들이 연습할 수 있는 자전거 연습장과 교육할 수 있는 야외교육장이 있다. 운동할 수 있는 배드민턴장과 농구장, 반려견과 산책할 수 있는 산책로를 갖추고 있으며 휴식 공간과 쉼터도 있다. 단, 자전거 공원답게 차량을 주차할 수 있는 주차장은 없다. 대형견과 중소형견이 구분되어 놀 수 있는 반려견 놀이가 있고 안전을 위해 이중 철제문을 설치했다. 쾌적한 환경을 위해 배변봉투도 준비해 두었다."
경기도 광주시 오포읍 양촌길 77,,31,0.0,A02,A0202,A02020100,2751280,12,20210929224512,http://tong.visitkorea.or.kr/cms/resource/02/2764302_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/02/2764302_image2_1.png,127.2426581059,37.3706900607,6,20221118153352,0,5,,오포생활체육공원,12798,"경기도 광주시 오포대교와 양벌대교 사이 경안천 변에 위치한 생활체육공원이다. 축구장으로 사용되던 오포공설운동장 자리에 2018년 완공했다. 세 개의 건물과 다목적 운동장으로 이뤄져 있으며 게이트볼 체육관 건물, 농구와 배드민턴이 가능한 실내 스포츠 시설 건물, 사무 건물이다. 탈의실과 샤워시설이 갖춰져 있고 주차는 건물 지하에 할 수 있다. 다목적운동장은 축구장을 겸하고 있다."
경기도 광주시 남한산성면 남한산성로780번길 105,,31,0.0,A02,A0201,A02010300,2751272,12,20210929223656,http://tong.visitkorea.or.kr/cms/resource/17/2764217_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/17/2764217_image2_1.png,127.177369147,37.4841312848,6,20221129170329,0,5,,서문,12700,"국가 사적 남한산성 서쪽에 위치한 문이다. 1637년 인조가 세자와 함께 청에 항복할 때 통과한 문으로 산성 4개 문 중 가장 작고 오래된 문이다. 경사가 급해 물자 수송은 힘들었지만 광나루와 송파나루 방면으로 통하는 가장 빠른 길이었다. 나무로 숯을 만들던 매탄 터와 국청사가 가까이에 있다. 저녁 무렵 노을이 아름답고 서문에서 바라보는 남산타워, 롯데월드타워, 위례 신도시 등을 촬영하여 작품 사진으로 만들려는 사진작가들 많이 찾을 만큼 야경의 명소이다."
경기도 광주시 퇴촌면 천진암로 1142,,31,0.0,A01,A0101,A01010900,2751263,12,20210929201103,http://tong.visitkorea.or.kr/cms/resource/13/2764213_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/13/2764213_image2_1.png,127.3702810181,37.4276329989,6,20221122144009,0,5,,천진암계곡,12716,"한국 천주교 발상지로 알려진 경기도 광주시 천진암 길목에 있는 계곡이다. 무릎 높이의 물이 흐르지만 곳에 따라 깊은 곳도 있으니 어린이를 동반할 경우 지도가 필요하다. 바위와 산으로 둘러싸여 있어 한여름에도 시원한 물놀이를 즐길 수 있고 계곡을 따라 음식점과 카페가 많다. 앵자산, 무갑산, 관산으로 이어지는 등산로가 있다. 주차는 관산 등산로 공용주차장(우산5교로 검색)에서 무료 주차가 가능하지만 만차일 경우 주차장 건너편 길가에 주차할 수 있다."
