addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경기도 구리시 안골로 79,(수택동),31,0,A02,A0202,A02020300,2782126,12,20211126231248,http://tong.visitkorea.or.kr/cms/resource/15/2782315_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/15/2782315_image2_1.jpg,127.1400331992,37.5976063224,6,20220304090513,0,6,,보원장탄산천,11928,"1998년 온천 개발 도중 알칼리탄산수가 용출되어 생긴 탄산천이다. 알칼리 성분은 산성화된 인체를 중화시켜 피부미용에 좋고, 피로회복, 신진대사 증진, 빈혈, 신경통, 만성습진등에 좋다. 또한, 탄산천은 탄산가스가 피부에 깊숙이 흡수되어 피부를 자극함으로써 모세혈관이 확장되기 때문에 혈액순환에 좋은데 이는, 일반 대중목욕탕과의 차이점이다. 전용 주차장이 있으며, 걸어서 3분 거리에 구리 재래시장이 있어 먹거리를 즐길 수도 있다."
경기도 구리시 왕숙천로 507,(인창동),31,0,A02,A0202,A02020700,2767686,12,20211103222236,http://tong.visitkorea.or.kr/cms/resource/68/2776968_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/68/2776968_image2_1.jpg,127.1422906911,37.619870443,6,20211122193747,0,6,,왕숙천둔치공원,11907,"왕숙천의 발원지는 경기도 포천시 내촌면 신팔리 수원산 계곡이다. 남서쪽으로 흘러 경기도 남양주시를 지나 구리시에서 한강으로 흘러든다. 길이 37km로 한강으로 흘러드는 제1지류이다. 이성계가 상왕으로 있을 때 8일을 머물렀다고 해서 '왕숙천'이라 부르게 되었다. 1861년 편찬된 대동여지도에는 왕상천으로 표기되어 있다. 왕산은 왕의 무덤이다. 세조의 광릉이 하천 상류에 있고 태조 이성계의 건원릉이 있는 동구릉도 왕숙천 서쪽 검안산 자락에 있어 '왕들이 잠든 하천'이라는 의미로 왕숙천이라 부르게 되었다는 설도 있다. 바로 이 왕숙천 둔치에 공원을 조성한 것이다. 산책로, 자전거도로, 물놀이장 등이 있다. 겨울에는 얼음 썰매장을 운영하고 주변에 낚시가 가능한 장소도 있다. 누구나 가벼운 운동과 산책, 휴식, 힐링 등을 즐길 수 있는 시민 편의 시설이다."
경기도 구리시 왕숙천로 701,(사노동),31,0,A02,A0202,A02020100,2767677,12,20211103221953,http://tong.visitkorea.or.kr/cms/resource/54/2772554_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/54/2772554_image2_1.jpg,127.1471731288,37.6356103685,6,20220412162604,0,6,,구리 왕숙체육공원,11906,"구리 왕숙 체육공원은 시민의 휴식과 체력 증진을 위하여 조성된 공원으로, 각종 운동 기구와 축구장 및 테니스장 등의 시설을 갖춘 복합 체육 문화 공간이다. 원래 쓰레기 매립장이었던 곳으로 10여 년을 안정화한 후, 생활 체육 활성화 및 시민 여가 활용을 위하여 57,479㎡ 부지에 115억 원을 투입하여 체육공원 시설 및 각종 부대시설을 조성하였다. 지역 주민의 기초 체력 증진을 위해 인조 잔디 축구장 1면6,262㎡, 테니스장 17면11,027㎡, 야외 운동 기구를 갖춘 체육공원과 산책로, 조명 분수, 조형물, 드넓은 녹지 공간, 매점 등의 편의시설과 휴식 공간이 조성되어 있다."
경기도 구리시 우미내길 41,,31,0,A02,A0204,A02040800,2462674,12,20161219182157,,,127.1109257882,37.5607989622,6,20220308143413,6224,6,,고구려대장간마을 (태왕사신기 촬영장),11958,"stong우리가 몰랐던 고구려의 모습stong  이곳은 고구려 유적 공원 조성 사업의 일환으로 조성되었고 드라마 태왕사신기의 세트장이기도 하다. 고구려 벽화의 대장장이 장면 촬영을 위해 조성한 간이 대장간터 등이 흥미롭고, 아찬산에서 출토 된 고구려 토기와 철기류 350여 점의 유물을 전시하고 있다. 마당놀이, 탈 만들기 등 체험 프로그램도 진행한다."
경기도 구리시 왕숙천로 49,(토평동),31,0,A02,A0204,A02040800,2462631,12,20161219180953,,,127.1608982186,37.5887521734,6,20211216184202,1416,6,,구리 자원회수시설,11960,"stong모두 함께 잘 살자는 마음stong   주요 업무는 하루 140톤의 생활폐기물을 소각, 처리하는 것인데 집단 이기주의를 극복한 사례로 국내외에 알려지기도 했다. 소각시설과 재활용 선별장을 견학할 수 있으며 명물인 구리타워에 올라가 주변 경관을 감상할 수 있다. 타워 2층에는 레스토랑이 있고, 부지 안에 실내수영장, 축구장, 풋살장 등 주민을 위해 개방된 시설이 있다"
경기도 구리시 인창동,,31,0,A02,A0202,A02020700,753768,12,20090617005832,http://tong.visitkorea.or.kr/cms/resource/57/755057_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/57/755057_image3_1.jpg,127.1416551384,37.6023474674,6,20211015004906,25143,6,,구리역공원,11922,구리역공원은 구리역 바로 앞에 위치한 공원으로 주변 돌다리공원과 함께 도심 한가운데 녹지공간을 조성함으로써 쾌적한 휴식공간을 제공하고 있다. 특히 아름다운 공원의 야경은 구리시 도심의 명소 중 하나로 꼽힌다. 
경기도 구리시 장자대로 34,,31,0,A02,A0205,A02050400,753747,12,20090617005233,http://tong.visitkorea.or.kr/cms/resource/15/2480715_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/15/2480715_image2_1.jpg,127.1309204428,37.5870296093,6,20220722111928,28266,6,,광개토태왕비ㆍ동상,11949," 광개토태왕비  국강상광개토경평안호태왕비(國岡上廣開土境平安好太王碑)는 태왕이 붕어하신 뒤 2년째 되는 장수왕 3년(414년;甲寅年) 9월에 국내성 고도인 집안에 태왕릉과 함께 세워진 기념비이다. 높이 6.39m, 너비 1.35  2m에 달하는 동양 최대 크기의 사면석비이기도 하다.태왕비는 방주형의 안산암질 응회암에 약간의 인공을 가한 것으로 여기에 예서(隸書)를 바탕으로 한 고구려 특유의 웅혼한 필체로 44행 1,775자의 문자가 음각되어 있고 당대 고구려사를 밝혀주는 최고의 금석문으로 평가된다.    광개토태왕 동상  고구려의 국력을 동아시아 일대에 크게 떨친 광개토태왕의 얼굴 모습을 복원하여 만든 동상으로 구리시 교문동 경관광장에 세워졌다. 우리나라에서는 최초로 세워진 이 동상은 높이가 4.05m, 너비가 2.7m인 청동입상으로 2002년 3월 2일 세워졌으며 동상의 얼굴은 30대 모습이고 머리에는 관모를 쓰고 오른손에는 태양을 상징하는 세발까마귀(삼족오)가 새겨진 알을 들고 있다. "
경기도 구리시 안골로103번길 41,(수택동),31,0,A02,A0203,A02030600,612862,12,20080821180731,http://tong.visitkorea.or.kr/cms/resource/13/1797713_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/13/1797713_image3_1.jpg,127.1414552464,37.5991922757,6,20220818153535,20618,6,,돌다리 곱창골목,11928,"온달장군의 기상이 서려있는 아차산으로 둘러싸여 있는 구리시 재래시장 안에 위치한 돌다리 곱창골목은 1998년부터 조성된 대표적인 명물거리이다. 도심속에서 사람의 온기를 느낄 수 있고, 저렴한 가격으로 다양한 물품을 구매할 수 있다."
경기도 구리시 토평동,,31,0,A02,A0202,A02020700,228874,12,20070910090000,http://tong.visitkorea.or.kr/cms/resource/22/1963222_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/22/1963222_image3_1.jpg,127.1416614541,37.5757005638,6,20220223104014,50119,6,,구리시민한강공원(코스모스공원),11962,"구리한강시민공원에 조성된 꽃단지는 시민들이 즐거운 시간을 함께 나눌 수 있는 곳이다. 시원한 강바람이 초록의 싱그러움을 더하는 구리한강시민공원에서 어린이는 자연의 소중함을 배우고, 어른은 도심을 벗어나 휴식을 취할 수 있다. 5월에는 유채꽃이 10월에는 코스모스가 피어 드넓은 꽃단지가 소개되면서 이제는 구리 시민뿐만 아니라 서울 시민들도 함께 와서 즐길 수 있는 수도권의 명소가 되고 있다.
 면적  399,900㎡"
경기도 구리시 검배로 200,(수택동),31,0,A02,A0206,A02060300,129549,12,20070514090000,http://tong.visitkorea.or.kr/cms/resource/84/1860084_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/84/1860084_image3_1.jpg,127.1612786485,37.5919629185,6,20220613135509,31411,6,"031-550-2586, 2903",곤충생태관,11960," 겨울에도 살아있는 나비를 볼 수 있는 곳 '곤충생태관' 
구리 하수처리장에 위치하고 있는 곤충생태관은 사계절 곤충이 서식할 수 있는 100여평의 유리 온실과 70평 규모의 표본전시실 및 영상실로 되어 있다. 
각양각색의 나무와 꽃이 있고 나비류, 수서곤충류, 장수풍뎅이를 비롯한 육상곤충류가 서식하고 있으며, 수질오염의 지표가 되는 각종 민물 고기와 수생식물, 식충식물 등이 서로 어우러져 있다."
