addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경기도 김포시 고촌읍 신곡리,680-4,31,,A01,A0101,A01010500,2855216,12,20220919153012,http://tong.visitkorea.or.kr/cms/resource/02/2855202_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/02/2855202_image3_1.jpg,126.774958503,37.5852539893,6,20220919153023,0,8,,뱃길조각공원,10133.0,뱃길조각공원은 김포에서 인천 정서진을 잇는 경인아라뱃길 남쪽 길에 조성된 조각공원이다. 공원에는 국민과 함께하는 아라뱃길 문화 만들기 라는 취지로 서울시립대성신여대중앙대 학생들이 참여하여 제작한 작품들이 전시되어 있다. 탁 트인 잔디밭에 친근하고 상상력 가득한 작품들을 통해 아라뱃길을 찾는 사람에게 문화예술을 즐길 수 있는 여유를 제공하기 위해 2013년 8월에 김포시가 조성한 공간이다. 조각공원에는 작품명 '로봇'을 비롯하여 Revival Goilla아라바이크물길바람 등 다양한 작품들이 전시되어 있어 멋진 일몰과 함께 예술 작품을 감상할 수 있다.
경기도 김포시 전원로 43 김포시 주제공원5호(모담공원) 공중화장실,,31,,A02,A0202,A02020700,2854739,12,20220916133127,http://tong.visitkorea.or.kr/cms/resource/30/2854730_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/30/2854730_image3_1.jpg,126.6847344276,37.6480117482,6,20220916133138,0,8,,모담공원,10077.0,"모담공원은 운양동에 신도시를 조성하며 모담산을 중심으로 개발한 공원이다. 김포시에서 가장 큰 규모의 공원으로 북쪽으론 운양역과 남쪽에는 운양동 카페거리, 동쪽으로는 김포한옥마을과 김포아트빌리지가 있다. 공원 서쪽에는 여름 더위를 식혀주는 유명한 모담폭포가 있고 곳곳에 체력장이 설치되어 있다. 테마를 따라 소소한 즐길 거리가 많은 모담공원은 숲길 산책로를 따라 향토 유적 '심응사당'을 지나 전망대까지 가족과 함께 천천히 걷기며 즐길 수 있다. 심응사당은 조선 중기 무신인 양호공 심응 선생의 위패를 모신 사당으로 모담산에 묘소와 신도비가 있다.  
 반려동물 동반가능(목줄, 배변봉투 지참)"
"경기도 김포시 마송공원길 50 토탄농경유물전시관,김포마송제1공원화장실",,31,,A02,A0202,A02020700,2853109,12,20220914112006,http://tong.visitkorea.or.kr/cms/resource/91/2853091_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/2853091_image3_1.jpg,126.5983995606,37.6871584355,6,20221025174924,0,8,,마송중앙공원,10031.0,"마송공원은 김포 마송아파트 단지 중앙에 있는 근린공원이다. 마송공원은 입구가 따로 정해져 있지 않아 가까운 곳으로 들어가면 된다. 공원에 들어서면 커다란 나무들이 꽤 많이 보이고 잔디와 분수 등이 잘 갖추어져 있어 애견과 함께 산책하기 좋은 곳이다. 공원에는 다양한 꽃들과 특이한 조형물들, 그리고 곳곳에 설치된 분수가 매시간 가동되며 운치를 더한다. 벼농사가 발달했던 김포 지역의 농경문화와 생활을 알 수 있는 관련 유물들이 토탄 농경유물전시관에 전시되어 있다. 여름에는 한시적으로 아이들이 신나게 뛰어놀며 즐길 수 있도록 공원 내 물놀이장도 운영된다. 김포마송공원은 분수 시설과 수경시설이 많은 근린공원으로 아이들과 산책하며 소풍을 즐겨도 좋다.
반려동물 동반 가능 (목줄, 배변봉투 지참한 이용객에 한하여 허용)"
경기도 김포시 초당로 40,(장기동),31,0.0,A02,A0202,A02020700,2781620,12,20211126200224,http://tong.visitkorea.or.kr/cms/resource/83/2781983_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/83/2781983_image2_1.jpeg,126.6738994706,37.6421816793,6,20221212170742,1,8,,한강중앙공원,10079.0,"김포 신도시를 대표하는 장기동의 한강중앙공원은 자생식물을 테마로 한 야생화 정원이 있고 산책로와 함께 다양한 봄꽃들이 만개한 초화원이 조성되어 있다. 넓은 잔디광장에 이어 라베니체 수변공원으로 이어지는 김포신도시 주민들의 쉼터가 된다, 금빛수로를 달리다 보면 김포시의 또 다른 자랑, 먹을거리 즐길 거리 살 거리가 풍부한 라베니체까지 이어진다. 조깅, 자전거, 걷기 운동도 즐길 수 있다."
경기 김포시 월곶면 조강리,,31,0.0,A01,A0101,A01011800,2781615,12,20211126195902,http://tong.visitkorea.or.kr/cms/resource/47/2781947_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/47/2781947_image2_1.jpg,126.5785134547,37.7518866487,6,20221027100102,0,8,,조강저수지,,"김포의 숨겨진 명소인 조강 저수지는 월곶면 조강리에 위치하며 북한과 가까운 애기봉과 가깝다. ""조강 랜드""로 불리며 낚시 마니아들이 즐겨 찾는 곳이기도 하다. 문수산이 둘러 있어 편안하고 아늑한 분위기를 자아내는 곳이며 애기봉과 철책선 넘어 이북의 산야를 조망할 수 있다. 저수지 시설을 이용하기 위한 목적이 아니라도 방문 가치가 충분한 곳이다. 저수지를 한 바퀴 도는 산책길도 좋다."
경기도 김포시 김포한강8로 302,(마산동),31,0.0,A02,A0202,A02020100,2781590,12,20211126194038,http://tong.visitkorea.or.kr/cms/resource/59/2781959_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/59/2781959_image2_1.jpeg,126.6350251616,37.6452417448,6,20220411101120,1,8,,한강신도시호수공원,10066.0,"구래동 한강 신도시에 위치한 산책하기 좋은 호수공원이다.  남녀노소 누구나 산책, 운동, 가족 나들이하기 좋은 곳으로 시민을 배려한 공간들이 많다. 산책길 뿐만아니라 그늘막 텐트를 치고 쉴 수 있는 피크닉 존(허용 기간이 4월에서 10월까지)이 있으며 호숫가에는 억새와 바위들이 운치를 더하고 통나무 세모 집은 휴식공간을 제공한다."
경기도 김포시 김포한강8로 97,(마산동),31,0.0,A02,A0202,A02020700,2781584,12,20211126193553,http://tong.visitkorea.or.kr/cms/resource/02/2781802_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/02/2781802_image2_1.jpeg,126.6387529158,37.6339209074,6,20221213144203,0,8,,은여울공원,10068.0,"김포 한강신도시의 3대 공원 중 하나인 은여울공원은 대형 아파트 사이에 자리 잡고 있는 근린공원으로 조깅트랙, 파크볼장, 잔디마당 등이 있어 산책이나 생활체육을 즐기거나 피크닉을 하기에 좋은 공원이다. 체육을 즐길 수 있는 운동장, 가족들과 오붓한 시간을 보낼 수 있는 피크닉장이 되기도 하며 훌륭한  쉼터가 된다. 특히 모험 놀이터와 모래놀이장 등 아이들을 위한 시설이 특별하다."
경기도 김포시 태장로 810,(장기동),31,0.0,A02,A0202,A02020700,2781577,12,20211126193159,http://tong.visitkorea.or.kr/cms/resource/75/2781775_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/75/2781775_image2_1.jpeg,126.6773548379,37.6376183829,6,20221213142638,0,8,,라베니체광장,10089.0,"김포 한강신도시가 개발되며 조성된 한강중앙공원은 수변산책길의 금빛수로와 라베니체 상가까지 멋진 산책길로 이어진다. 총 길이 2.68km 산책길로 이어지는 금빛수로 라베니체는 남단과 북단까지 다양한 풍경이 펼쳐진다. 물의 도시 베니스를 모티브로 조성하였다는 라베니체는 왕복 1.7km 수변을 따라 다양한 상점들이 이어진다. 센트럴플라자 중앙광장을 중심으로 수변 좌우로 생활소품과 음식점, 맥줏집 등으로 가벼운 산책 후에 쇼핑과 함께 힐링타임을 즐기기에 최적인 곳이다."
경기도 김포시 고촌읍 아라육로270번길 74,,31,0.0,A02,A0202,A02020800,2781566,12,20211126192915,http://tong.visitkorea.or.kr/cms/resource/92/2781792_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/2781792_image2_1.jpg,126.7869848326,37.5977083101,6,20221026092209,0,8,,아라김포여객터미널,10135.0,"아라김포여객터미널은 한강과 서해를 이어주는 관문으로 김포공항, 인천국제공항과 인접하고 서울 외곽 순환 도로와 올림픽 대로를 끼고 있어 국제적, 광역적으로 우수한 접근성을 갖고 있다. 인공으로 만든 운하가 지나는 멋진 곳으로 아라뱃길의 시작이다. 아라뱃길의 'Wate Walk'에 해당하는 곳으로 볼거리와 즐길 거리가 다양하게 준비되어 있으며, 스트리트 몰에서는 프리미엄 아웃렛 등 쇼핑을 즐길 수 있고, 요트를 비롯한 수상 레저스포츠를 즐길 수 있는 아라마리나가 있다."
경기도 김포시 통진읍 검암2로 55,,31,0.0,A02,A0202,A02020100,2768062,12,20211104183825,http://tong.visitkorea.or.kr/cms/resource/52/2773852_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/52/2773852_image2_1.png,126.5959326332,37.70450637,6,20211112192157,0,8,,서암체육공원,10016.0,"경기도 김포시 통진읍에 있는 생활체육 공원이다. 2019년 6월 착공하여 2020년 공식 운영을 시작했다. 통진읍 서암리 주민들을 위한 생활 체육공원으로 부지면적은 약 48,000여㎡이며 테니스장 5면, 풋살장 2면, 족구장 3면, 게이트볼장 1면 등으로 구성되어 있어 남녀노소 상관없이 모든 주민이 편하게 이용할 수 있다. 또한, 샤워장 등의 부대시설 마련되어 있어 운동 후 쾌적함까지 챙길 수 있다. 족구장, 풋살장 등 공원 내 시설은 김포 시청을 통해 대여 및 대관이 가능하다."
