addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경기도 남양주시 다산중앙로146번길 62,(다산동),31,0,A02,A0202,A02020100,2772196,12,20211110201835,http://tong.visitkorea.or.kr/cms/resource/23/2772623_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/2772623_image2_1.jpg,127.1597833908,37.6251562566,6,20220412163200,0,9,,다산중앙공원,12285,"다산중앙공원은 남양주시 다산중앙로에 있는 공원이다. 공영주차장을 이용할 수 있고, 다목적 잔디마당 너른 뜰과 석천계류, 등성이숲센터, 운동마당(배드민턴장), 조형마당과 진입마당 등이 있다. 어린이가 놀 수 있는 놀이터 시설과 쉼터, 의자와 산책로와 전망데크가 있다. 또한 랜드마크인 열상산수폭포가 있어 사계절 즐기기 좋은 공원이다. 열상산수 폭포는 열상산수도라는 다산 정약용 그림을 모티브로 너럭바위 형태로 조성한 시설이다. 물과 암석이 부각된 주야간 명소이기도 하다."
경기도 남양주시 조안면 북한강로626번길 82-25,,31,0,A02,A0203,A02030100,2772187,12,20211110201750,http://tong.visitkorea.or.kr/cms/resource/38/2772638_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/38/2772638_image2_1.jpg,127.3315440432,37.5804173508,6,20221201172818,5,9,,더드림딸기체험농장,12278,"더드림딸기체험농장은 남양주시 조안면에 있는 딸기농장이다. 
제1농장은 6,611m2(2천 평)으로 대형 딸기밭, 키즈룸, 수유실을 갖추었으며, 북한강변산책로, 자전거도로 옆에 위치하고 있다. 제2농장은 키즈룸, 수유실, 대형공기청정기 등을 갖추었으며, 유아숲체험장, 물의 정원 안에 위치하고 있다. 1,2농장 트램펄린은 8세이상 이용이 가능하다. 
딸기쨈 체험과 철판 딸기아이스크림 만들기, 컵케이크 만들기가 가능하며, 24개월 미만은 무료입장할 수 있고, 체험 전 미리 예약 해야 한다."
남양주시 별내면 청학리 566번지,,31,0,A01,A0101,A01010900,2766639,12,20211102223640,http://tong.visitkorea.or.kr/cms/resource/52/2765552_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/52/2765552_image2_1.jpg,127.1020642391,37.7016546494,6,20220405144158,0,9,,청학비치 (청학밸리리조트),,"오랫동안 불법 시설물이 장악했던 청학계곡을 2018년부터 하천정원화사업을 추진하여 대대적인 철거 작업과 정비를 통해 계곡과 비치를 결합한 콘셉트 아래 바다까지 멀리 가지 않고 내 집 앞, 가까이에서 즐길 수 있는 '청학비치'를 오픈하였다.또한 이용객의 편의를 위해 시설을 더 확충하고, 쾌적함과 안정성을 갖춘 뒤 2021년 6월 1일 청학밸리리조트로 재개장하였다.자릿세, 바가지요금 없이 누구나 무료로 이용할 수 있으며 취사는 할 수 없다.  리조트 내 푸드트럭, 배달 음식 이용이 가능하다. 리조트 내에서 발생한 쓰레기는 가지고 가야 한다. 음식 배달문화 정착을 위해 배달존 설치 및 쓰레기 '삼색존' 을 만들었으며, 1,040㎡청학비치A(400㎡), B(640㎡)의 모래사장, 그늘 휴식공간, 데크 숲길 등이 있다."
경기도 남양주시 오남읍 팔현로 177,,31,0,A01,A0101,A01010900,2766617,12,20211102222939,http://tong.visitkorea.or.kr/cms/resource/69/2765469_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/69/2765469_image2_1.jpg,127.2329275888,37.6918887143,6,20221130110454,0,9,,팔현계곡,12038,"팔현계곡은 경기 남양주시 오남읍 팔현로에 있는 계곡이다. 기존의 계곡에 있던 불법 구조물을 철거하고, 새롭게 단장 중이다. 팔현 마을과 천마산 자락에 접하고 있다. 오남호수공원의 상수원인 팔현계곡은 오남호수공원에서 도보로 이동할 수 있을 정도로 가까운 곳이다. 또 길을 따라 계속 올라가면 등산로를 통해 천마산 정상에 도착할 수 있다."
경기도 남양주시 조안면 북한강로433번길 37,,31,0,A02,A0203,A02030600,2765534,12,20211102004249,http://tong.visitkorea.or.kr/cms/resource/99/2766399_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/99/2766399_image2_1.jpg,127.3098549165,37.5606442512,6,20221123110211,1,9,,카페도자기마을,12281,"우리동네 숨은공방, 경기도 남양주 '카페도자기마을'은 나만의 도자기 만들기 체험을 할 수 있는 공방이다. 도예가 신현문, 장영희 부부의 도자기공방에서 커플, 친구, 동료, 가족이 함께 도자기를 만들며 추억을 쌓을 수 있으며 회사 워크샵으로도 신청할 수 있다."
경기도 남양주시 순화궁로 449,(별내동),31,0,A02,A0202,A02020100,2765504,12,20211102003435,http://tong.visitkorea.or.kr/cms/resource/35/2766335_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/35/2766335_image2_1.jpg,127.1198914239,37.6656119422,6,20220412161225,0,9,,별내체육공원,12098,"별내체육공원은 별내동에 자리하고 있다. 부속 시설들이 여러 개 있어 이용객들이 많이 찾는 곳이다. 부속 시설로는 별내체육공원 물놀이장, 축구장, 테니스장, 산책로, 농구장, 배구장, 배드민턴장, 인공암장, 휴게 쉼터, 광장 등이 있어 주민 생활에 편리함을 주고 있다. 
운동 시설이 많고 덕송천이 바로 옆에 있어 산책하기도 좋은 곳이다."
경기도 남양주시 와부읍 수레로661번길 17-2,,31,0,A01,A0101,A01010900,2765241,12,20211101190424,http://tong.visitkorea.or.kr/cms/resource/91/2765291_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/91/2765291_image2_1.JPG,127.2719567119,37.6181563281,6,20211101200555,0,9,,묘적사계곡,12202,"백봉산은 해발 589m로 산세가 아름답고 동쪽으로 한강을 끼고 있어 전망이 뛰어난 곳으로 백봉산의 남쪽 골짜기에 신라 문무왕 때 원효대사가 창건하였다 전해지는 묘적사가 있다. 그 아래 길게 이어진 계곡을 묘적사계곡이라 부른다. 
묘적사계곡은 경기도 남양주시 와부읍 월문리에서 묘적사 사찰에 이르는 산길을 따라 이어진다. 묘적교를 지나면서 본격적으로 계곡이 시작된다. 구불구불한 산길을 따라 구간에 따라 길이 좁았다, 넓어졌다가 반복되고 곳곳에 시원한 물줄기가 흘러내리는 폭포도 형성되어 있어 찾는 이들이 많다. 2018년부터 시작된 하천 정원화 사업으로 묘적사 계곡도 변화하는 중이다.묘적사 계곡은 수심이 깊지 않아 누구나 안전하게 물놀이를 즐길 수 있으며, 시원한 물줄기의 폭포 아래 수심이 성인 무릎 정도이다. 가족 단위의 물놀이를 즐기기에 좋다."
경기도 남양주시 조안면 북한강로 881,,31,0,A02,A0202,A02020600,2736396,12,20210825192219,http://tong.visitkorea.or.kr/cms/resource/66/2789566_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/66/2789566_image2_1.jpg,127.3384735287,37.5957073683,6,20221122174811,1,9,,코코몽팜빌리지,12278,"남양주 유기농테마파크 내에 자리한 코코몽 팜 빌리지는 아이들이 좋아하는 캐릭터인 코코몽과 아롱이, 케로 등을 활용해 건강한 먹거리에 대한 다양한 정보를 쉽고 친근하게 접할 수 있도록 꾸며진 공간이다.  팜 빌리지를 왕복 운행하는 코코몽 기차도 아이들의 눈과 마음을 사로잡는다. 캐릭터 쿠키와 목걸이 등을 만들어볼 수 있는 체험 프로그램도 운영한다."
경기도 남양주시 강변북로632번길 41-9,(수석동),31,0,A02,A0202,A02020100,2735280,12,20210819230358,http://tong.visitkorea.or.kr/cms/resource/74/2735374_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/74/2735374_image2_1.jpeg,127.1736221229,37.5865721013,6,20211216233745,0,9,,남양주한강체육공원(남양주 수석동 체육공원),12268,"가슴이 뻥 뚫리는 듯 시원하고 멋진 한강 뷰를 보면서 한적한 산책할 수 있는 장소이다. 체육공원이 한강 둔치에 자리하고 있다. 강가를 따라 산책로와 자전거도로가 있고, 그 옆에 체육공원은 축구장, 족구장, 농구장, 테니스장 등 운동장 시설이 있어서 각종 스포츠를 즐기는 사람들이 많다. 한강 바로 옆에 쭉 뻗은 강변 풍경이 아름다운데 일몰 풍경이 특히 좋다. 체육시설은 유료이므로 미리 전화 예약을 해야 한다. 주변에 맛집과 카페가 많아 서울근교 나들이 드라이브 코스로 좋다."
경기도 남양주시 다산순환로 149,(다산동),31,0,A02,A0202,A02020100,2734937,12,20210818230810,http://tong.visitkorea.or.kr/cms/resource/09/2735009_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/09/2735009_image2_1.jpg,127.1442237502,37.6232950799,6,20211216233707,0,9,,다산수변공원,12248,"다산신도시에 조성된 공원으로 가족과 함께 산책하기에 적합하다. 공원 내에는 물결 놀이터, 버들 쉼터, 버들못, 물방울 놀이터, 조망 언덕, 쟁기발테크 산책로, 관찰테크, 휴게쉼터, 운동마당(농구장), 조류 전망대 등의 시설이 갖춰져 있어 산책하며 여러 곳을 둘러볼 수 있다. 또한 신도시 아파트 밀집 지역에 자리잡고 있어 접근성이 용이하다."
