addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경기도 부천시 고강동,190-11,31,,A02,A0202,A02020700,2869027,12,20221018104826,http://tong.visitkorea.or.kr/cms/resource/23/2869023_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/2869023_image3_1.jpg,126.8125232917,37.5300805175,6,20221205144304,0,11,,수주근린공원,14405.0,"부천시 고강동에 있는 공원으로 총 9,837㎡의 규모를 갖췄다. 산책로 주변으로 쉴 수 있는 시설과 화장실 등 편의 시설이 잘되어있다. 여름엔 물놀이터로도 이용되는 놀이터와 운동시설 등도 갖추어져 있다. 주요 시설로는 녹지 공간, 산책로, 농구장, 배드민턴장, 편의시설 등이 있다. 또 무장애 산책로, 경계석 모서리 가공 처리 강화, 보안등 확충을 통한 범죄 예방 등 사회적 약자를 위해 세심한 노력을 기울였다.
 다양한 운동기구들이 있어 산책과 운동이 가능하다. 태양광 스마트 벤치와 조명시설이 설치되어 있어 편리하다. 이는 항공기소음 피해 지역 주민의 편의 제공을 위해 한국공항공사에서 사업비를 지원받아 2020년에 건립한 시설이다. 벤치에 무선 충전이 가능하게 되어 있다. 금연 공원이며, 반려동물을 동반할 수 있다. 반려동물 동반 시 배변 봉투를 지참하고 배설물을 수거해야 하며, 목줄 착용해야 한다. 어른과 아이들이 함께 어울릴 수 있는 복합공간으로 사람들이 많이 찾는다.
 반려동물 동반 가능 (단, 개목줄 착용, 배설물 처리를 위한 비닐봉지 등을 구비한 이용객에 한하여 허용)"
경기도 부천시 오정로 312,(오정동),31,0.0,A02,A0203,A02030100,2782723,12,20211129213325,http://tong.visitkorea.or.kr/cms/resource/80/2783080_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/80/2783080_image2_1.jpg,126.7916612219,37.5330575784,6,20221027093733,0,11,,슈퍼팜,14401.0,"슈퍼 팜은 5000여㎡(1500여 평) 규모에 최신식 재배 시설을 갖춘 체험농장이다.
밭에서 기르는 전통 방식이 아니라 수경재배를 통해 딸기를 키운다.
레일처럼 생긴 긴 베드(이랑에 해당하는 시설)에 상토를 채워서 모종을 심고 양액(비료를 물에 녹인 것) 공급 장치로 17가지 영양소를 공급하며 재배한다. 12월 초부터 5월 말까지 운영되고 있으며 개장 기간 중에는 휴무 없이 운영한다. 자녀와 딸기 수확 체험과 아이스크림 만들기, 케이크 만들기 체험을 즐길 수 있다."
경기 부천시 춘의동 387-3,,31,0.0,A01,A0101,A01010700,2781609,12,20211126195508,http://tong.visitkorea.or.kr/cms/resource/00/2782000_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/2782000_image2_1.jpg,126.8186068216,37.5032809627,6,20220526151643,0,11,,무릉도원수목원,,"2012년 10월 개원하였으며, 총 면적은 210,298㎡에 1,334종의 수목을 보유하고 있다. 수목원 입구에 있는 오리연못에는 무릉도원수목원의 상징인 절리석의 기암절벽과 폭포가 있다. 수목원 중앙을 흐르는 계류에서는 꽃창포 등 다양한 수생식물을 관찰할 수 있으며, 좀더 상류쪽으로 가면 산부추, 단양쑥부쟁이, 도라지 등 600여 종의 숙근초 등이 있는 숙근초화원을 볼수 있다."
경기도 부천시 조마루로 2,(상동),31,0.0,A02,A0202,A02020600,2767538,12,20211103184524,http://tong.visitkorea.or.kr/cms/resource/59/2767659_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/59/2767659_image2_1.jpeg,126.744249804,37.5000216869,6,20211208223557,4,11,,볼베어파크,14592.0,"볼 베어 파크는 경기도 부천시에 있는 국내 최대의 테마파크이다. 어린이들이 좋아하며 가족들과 함께 즐기기에 좋은 다양한 체험 프로그램과 놀이 기구가 있다. 스포츠존, 챌린저존, 디지털존, 영유아존으로 구성되어 있으며 주말 및 공휴일에만 운영되는 볼 베어 파크 톨앤핏이 있다. 스포츠존은 스포츠 테마파크로 온 가족이 함께 즐길 수 있는 스포츠 활동으로 구성되어 있으며, 챌린저존, 디지털존은 대형 볼풀장, 카레이싱뿐만 아니라 디지털 AR, VR 등을 즐길 수 있다. 수도권에서 멀지 않으며 경기도 부천뿐만 아니라 서울에도 있어 나들이 장소로 좋다."
경기도 부천시 계남로301번길 5,(춘의동),31,0.0,A02,A0201,A02010800,2767527,12,20211103183902,http://tong.visitkorea.or.kr/cms/resource/61/2767661_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/61/2767661_image2_1.jpeg,126.7816101709,37.5041302063,6,20221124152717,0,11,,천화사,14527.0,"천화사는 경기도 부천시 계남로에 있는 대한불교 천태종 소속 사찰이다. 1981년 창립되었으며 1993년 승려 마갈에 의해 설립되었다. 매해 부천시에서 열리고 있는 '부처님 오신 날' 행사에도 참여하고 있으며 지장회, 합창단 등 다양한 활동을 하고 있다. 천화사는 사회활동에도 관심이 많아 김장김치를 담가 독거노인, 소년소녀가장, 장애인 등 소외계층의 이웃들에게 전달하는 활동을 하기도 한다. 천화사는 부천 시내의 5층 건물에 있으며, 맨 위층에 법당인 관음전이 있다."
경기도 부천시 벌말로 220,(대장동),31,0.0,A01,A0101,A01010500,2764942,12,20211029195647,,,126.7686795986,37.5468389006,6,20211125020406,0,11,,북부수자원생태공원,14400.0,"수질 개선을 목적으로 하수종말처리장을 건립하고, 수자원 생태공원이라는 개념을 도입하여 혐오시설이 아닌 시민들을 위한 쉼터 공간으로 활용 하수처리시설과 체육시설, 공원시설로 구성되어 있다. 하수처리시설에는 수처리시설, 슬러지처리시설, 재이용 처리시설, 분뇨처리 시설이 있고, 체육시설로는 축구장·농구장·인라인스케이트장·잔디광장·파크골프장 1개소가 있다."
경기도 부천시 대장로 111,(대장동),31,0.0,A02,A0204,A02040800,2742252,12,20210909224339,http://tong.visitkorea.or.kr/cms/resource/35/2742435_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/35/2742435_image2_1.jpg,126.7883474127,37.540992708,6,20210910002423,0,11,,나눔농장,14400.0,"서울 근교에 있어 접근성이 좋으며 동물들에 직접 먹이를 줄 수 있는 체험활동이 가능한 동물 친화적인 농장이다. 직접 부화하는 병아리를  관찰할 수도 있으며 강아지는 물론, 양, 염소, 칠면조, 닭, 오리 등 다양한 동물들을 직접 만날 수 있고, 먹이 주기, 젖 먹이기 등의 다양한 체험을 통해 자연학습을 경험할 수 있다."
경기도 부천시 지봉로51번길 77,(역곡동),31,0.0,A02,A0202,A02020700,2741601,12,20210908223911,,,126.8019615339,37.4883851753,6,20221213145019,0,11,,역곡공원,14663.0,"가톨릭대학교 옆에 위치한 역곡공원은 여가공간이 부족했던 역곡동 주민을 위해 조성되었다. 2013년 고향동산 조성을 시작으로 배드민턴장, 생태연못, 휴게공간이 먼저 조성되었고, 다음으로는 축구장, 풋살장, 배드민턴장 등 다양한 체육시설물이 들어섰다. 거기에 산림 친화형 쉼터 공간까지 들어서면서 공원이 완성되었다. 2018년 역곡 도서관까지 추가로 지어지면서, 현재는 부족함 없는 시설을 자랑하고 있다. 도서관과 체육시설, 숲 속 쉼터까지 갖춘 공원이다."
경기도 부천시 부천로 3,(심곡동),31,0.0,A02,A0202,A02020100,2741597,12,20210908223640,,,126.7823328711,37.4846908118,6,20211125013108,0,11,,부천역마루광장,14637.0,문화창의도시 부천에 걸맞은 창의와 실용의 정신으로 문화도시를 이루자는 뜻으로 조성한 광장이다. 다채로운 문화행사를 개최하거나 시민들의 안락한 공간이 되고 있다.  문화시민들의 휴식처로써 역할을 톡톡히 하고 있다.
경기도 부천시 송내대로 59-1,(상동),31,0.0,A02,A0202,A02020100,2741593,12,20210908223158,,,126.7532992864,37.4890064612,6,20221025094312,0,11,,둘리광장,14598.0,"송내역 2번 출구로 나오면 송내 로데오 거리 입구에 있는 아담한 규모의 광장이다. 이곳은 다양한 노선들의 버스 환승이 이루어지는 곳으로 주민들의 휴식공간이 되고 있다. 자전거로 만드는 친환경 도시 부천인 만큼 자전거 공기주입기도 설치되어 있으며, 꽃과 간식을 판매하는 소규모 판매시설도 있다. 이전엔 둘리 동상이 있었는데 확장공사로 길이 넓혀지면서 둘리동상이 없어졌다."
