addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경기도 성남시 분당구 야탑동,271,31,,A02,A0202,A02020700,2914491,12,20221122101643,http://tong.visitkorea.or.kr/cms/resource/71/2914471_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/71/2914471_image3_1.JPG,127.1411856228,37.4109418991,6.0,20221205113243,0,12,,상희공원,13509,"상희공원은 경기도 성남시 야탑3동에 있는 근린공원이다. 중앙광장을 비롯해 어린이 놀이터, 산책로, 운동 시설들을 두루 갖추고 있다. 1992년 광주광역시에서 비행 훈련 중 민가를 피해 추락한 공군 전투기 조종사 이상희대위의 희생정신을 기리고자 1995년에  조성돠었다. 이상희대위는 이 지역 출신이다. 공원 주변으로 아파트를 비롯하여 주택, 빌라, 오피스텔 등이 들어서 있어 주민들의 이용이 많은 곳이다. 또한 성남 시니어산업혁신센터, YWCA 은학의 집, 성남세관 등이 근처에 있어 직장인들의 방문도 많다. 공원 중앙 광장을 중심으로 사방으로 출입구가 있어 편리하게 이용할 수 있다.
 반려동물 동반 가능 (단, 개목줄 착용, 배설물 처리를 위한 비닐봉지 등을 구비한 이용객에 한하여 허용)"
경기도 성남시 분당구 분당동,88,31,,A02,A0202,A02020700,2907381,12,20221114141253,http://tong.visitkorea.or.kr/cms/resource/77/2907377_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/77/2907377_image3_1.jpg,127.1436893439,37.369507858,6.0,20221114141308,0,12,,태현공원,13583,"경기도 성남시 분당동에 있는 공원이다. 여러 시설을 갖추고 있어 주민들이 편리하게 이용하는 시설이다. 입구에서 계단을 따라 올라가면 소규모 공연이 가능한 광장이 있고, 광장 좌우로는 물놀이장을 비롯하여 게이트볼장, 농구장, 족구장, 물놀이장 등 다양한 체육 시설을 갖추고 있다. 여름철에는 바닥 분수를 가동한다. 공원 주변으로는 울창한 숲길을 따라 조용한 산책로가 있다. 물놀이장은 매년 여름에만 운영한다. 수심이 3040cm 정도로 깊지 않아 어린이들이 놀기에 적합한 시설이다. 6월에서 8월 사이에 이용할 수 있으며 운영 시간은 오전 10시부터 오후 5시까지이다. 정확한 운영 일정은 성남시 공원과에 문의하면 확인할 수 있다.
 반려동물 동반가능 (목줄, 배변봉투 지참)"
경기도 성남시 분당구 금곡로 298,,31,,A02,A0202,A02020700,2871985,12,20221020151132,http://tong.visitkorea.or.kr/cms/resource/72/2871972_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/2871972_image3_1.jpg,127.1092178288,37.3569503604,6.0,20221020151230,0,12,,금곡공원,13563,"지하철 분당선 정자역 2번 출구에서 900미터에 거리에 있는 공원이다. 미금역과 정자역 사이에 있고, 탄천을 조망할 수 있다. 잠실종합운동장 부근의 한강 둔치까지 이어진 산책로와 자전거 전용도로가 있다. 총 18,148㎡ (5,489여 평) 의 면적에 산책로와 운동시설이 조성되어 있다. 봄에는 벚꽃이, 가을에는 단풍이 아름다운 공원이다. 금곡공원에서 탄천을 건너면 바로 분당 주택공원과 정자공원으로 연결되어 있다. 분당 대부분은 성남공항 관제권에 속해 비행 승인이 없으면 드론을 날릴 수 없으나, 금곡공원은 관제권 밖이라 촬영 승인만 받으면 드론 촬영이 가능하다. 지하 1층, 지상 3층 규모로 수영장과 다목적체육관, 헬스장 등이 있는 국민체육센터가 2023년 준공 예정이다.
 반려동물 동반 가능 (단, 개목줄 착용, 배설물 처리를 위한 비닐봉지 등을 구비한 이용객에 한하여 허용)"
경기도 성남시 중원구 순환로 357,(은행동),31,0.0,A02,A0202,A02020700,2766149,12,20211102181046,http://tong.visitkorea.or.kr/cms/resource/73/2766873_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/73/2766873_image2_1.jpg,127.1697706839,37.4543623787,6.0,20221123110536,0,12,,은행공원,13155,"은행공원은 경기도 성남시 중원구 순환로에 있는 근린공원으로 면적은 200,832㎡이다. 기존 지형을 이용하고 자연 수림대를 보존 및 불법 훼손지에는 시설물을 설치하였다. 다목적 운동장, 배드민턴장, 게이트볼장, 농구장 등 각종 운동 시설과 운동 기구를 설치하여 주민의 건강 증진에 기여하고 있다. 공원 내 수목관찰원, 야생화원 조성으로 어린이, 학생 등 주민들의 자연관찰 학습장으로 활용하고 있으며, 산책로와 그늘 시렁, 정자, 파고라, 야외탁자, 의자, 놀이터, 조합놀이터, 발지압장, 약수터, 자전거보관소 등의 편의 시설이 있어 주민들이 많이 찾는 곳이다."
경기도 성남시 분당구 구미로 193,(구미동),31,0.0,A02,A0201,A02010800,2765232,12,20211101185428,http://tong.visitkorea.or.kr/cms/resource/53/2765353_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/53/2765353_image2_1.jpg,127.1305467924,37.34470494,6.0,20211209010353,0,12,,골안사,13621,"골안사는 성남 분당구 구미로에 있는 사찰이다. 불곡산 입구에 있어 규모는 작지만, 기도 도량으로 유명한 절이다. 본래 불곡산은 이름이 없는 산이었으나 불곡사라는 절이 있어 불곡산이라 부르게 되었다. 이후 불곡사는 분당 신도시가 개발되면서 해당 지역의 원래 명칭인 ''골안''이 사라지는 것을 아쉬워한 성오스님에 의해 골안사로 개명되었다. 창건된 지 250여 년으로 알려져 있으나 따로 창건기가 전하지 않는다. 대웅전은 정면 3칸, 측면 2칸의 팔작지붕 2공익계 주심포 양식 건물로 조선 후기에 지어진 것으로 추정된다. 대웅전 내부에는 석불좌상이 봉안되어 있는데 한복을 입고 왼쪽 가슴에 꽃장식을 달고 있는 독특한 형상을 하고 있다. 높이 344m로 왕복 2시간 거리의 불곡산 등산로 입구에 있으며 따로 문이 없이 열려있어 등산객은 산에 올라가다 자연스럽게 참배할 수 있다. 참고로 대웅전은 24시간 열려있다."
경기도 성남시 수정구 태평로 79,(태평동),31,0.0,A02,A0202,A02020700,2762750,12,20211026225952,http://tong.visitkorea.or.kr/cms/resource/03/2763003_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/03/2763003_image2_1.jpg,127.1350767135,37.4508760468,6.0,20221118130354,0,12,,영장공원,13283,"영장공원은 기존의 자연지형을 그대로 살리면서 자연 수림대를 최대한 보존한 생태적 공원이다. 넓이는 53만 8,022m²에 이르며 이 중 15만 3,489m²가 공원으로 조성되어 있다. 배드민턴장, 게이트볼장, 파크골프장 등 각종 체력단련 시설과 어린이 놀이터, 광장 등 편의시설이 있다.어린이, 어른, 노약자 등이 고루 이용할 수 있는 시설 설치 및 맨발 지압장 설치로 시민의 건강한 삶에 기여하고 있다. 시민에게 마당 형태의 공연장을 제공하고 파크 골프장에서 시민이 자유롭게 파크 골프를 즐길 수 있다."
경기도 성남시 분당구 황새울로 287,(수내동),31,0.0,A02,A0202,A02020700,2761279,12,20211022200414,http://tong.visitkorea.or.kr/cms/resource/34/2761334_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/34/2761334_image2_1.jpg,127.1181551626,37.3832974672,6.0,20220411173001,0,12,,황새울공원,13594,"황새울공원은 분당구 황새울로에 있는 근린공원으로 면적은 37,957㎡(11,502평)이다. 봄이면 벚꽃이 만개해 많은 사람이 찾는다. 파고라, 의자, 야외탁자, 정자 등의 휴식 시설을 갖추었고, 게이트볼장과 풋살장, 운동기구 등의 운동 시설이 다수 설치되어 있으며 포토존도 있다. 공원 내에 2020년에 황새울 국민체육센터가 준공되었다. 지하 1층 지상 2층 규모의 종합체육 문화시설에는 실내 게이트볼장과 수영장, 다목적체육관, 헬스장, GX룸 등이 있어 다양한 체육시설을 이용할 수 있다."
경기도 성남시 중원구 황송로 6,"(금광동,황송마을아파트)",31,0.0,A02,A0202,A02020700,2761275,12,20211022200221,http://tong.visitkorea.or.kr/cms/resource/35/2761335_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/35/2761335_image2_1.jpg,127.1694404212,37.4450967807,6.0,20221123151809,2,12,,황송공원,13186,"황송공원은 39만 731㎡ 규모에 축구장과 농구장, 배구장, 테니스장, 배드민턴장, 게이트볼장, 파크 발리볼장 등의 체육시설을 갖추고 있어 다양한 운동을 즐길 수 있다. 특히 남한산성이 가까워 등산을 겸해 이곳을 찾는 시민이 많다. 공원에서 산성 남문으로 이르는 등산로는 울창한 숲을 이루고 있으며 다양한 수목과 야생화가 자라고 있다. 또한, 이곳엔 교통체험학습장이 있어 어린이들의 교통안전교육 및 체험이 가능하다. 먼저 실내교육장에서 교육 비디오를 관람한 뒤 교통신호등과 표지판, 횡단보도, 육교, 놀이터 등이 설치된 야외교육장에서 직접 걷거나 자전거를 타면서 각종 교통 상황을 체험할 수 있다. 단체로 신청하면 누구나 이용이 가능하다. 그 밖에 분수와 피크닉장, 야생화단지, 어린이놀이터 3개소, 성남시 출신 국군의 해외 참전을 기념하는 해외 참전용사비가 있다. 발 지압장도 있는데 목재와 금속, 돌 등 다양한 재료와 규격을 조합·시공하여 발바닥을 자극하는 효과가 높다. 공원 내에 사곡천 약수터·정암 약수터·망덕 약수터·성천 약수터·검단산 약수터가 있으며, 승용차 181대를 주차할 수 있는 주차장 3개소를 갖추었다. 운동장은 2주일 전에 신청하면 사용할 수 있다. 인근에 자혜공원이 있다."
경기도 성남시 분당구 방아로46번길 26,(이매동),31,0.0,A02,A0201,A02010800,2760918,12,20211021233348,http://tong.visitkorea.or.kr/cms/resource/05/2760905_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/05/2760905_image2_1.JPG,127.1337894751,37.3966989726,6.0,20211021233348,0,12,,하얀마음선원관음사,13569,"하얀마음선원관음사는 경기도 성남시 분당구 방아로에 있는 사찰이다. 대중교통 방문 시 분당선 이매역 하차하여 1번 출구로 나와서  SK주유소 옆길로 800m 걸어가면 찾을 수 있다. 영지산 아래 있어 관세음보살의 맑고 하얀 마음을 닮은 세상 만들기를 실천하고자 하는 선원이다. 하얀마음선원은 최고의 선은 바로 착한 것이고, 진정 착한 것은 마음이 하얀 것이라고 포교 철학을 담고 있다. 사찰은 24시간 열려있어 언제든지 편한 시간에 사찰을 찾을 수 있다."
경기도 성남시 분당구 대왕판교로 609,(삼평동),31,0.0,A02,A0202,A02020700,2760891,12,20211021232738,http://tong.visitkorea.or.kr/cms/resource/67/2760867_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/67/2760867_image2_1.jpg,127.1063169558,37.3972178626,6.0,20211021232738,2,12,,화랑공원,13487,"화랑공원은 분당구 대왕판교로에 있는 근린공원으로 면적은 118,923.6㎡이다. 각종 문화행사를 할 수 있는 야외공연장 시설과 대규모 잔디광장이 조성되어 있으며, 생태학습관이 조성되어 있다. 각종 운동 시설과 운동기구를 배치하여 주민의 건강 증진에 기여하고 있다. 잔디광장, 연못 2개, 바닥분수, 벽천, 계류, 파고라, 의자, 지붕평의자 등 쉴 수 있는 공간이 있다. 운동 시설로는 배드민턴장과 다목적운동장, 풋살장, 인라인스케이트장이 있다."
