addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경기도 수원시 영통구 망포동,동탄지성로 549-15,31,,A02,A0202,A02020700,2872885,12,20221021161027,http://tong.visitkorea.or.kr/cms/resource/77/2872877_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/77/2872877_image3_1.jpg,127.0444825187,37.2407598803,6,20221104104148,0,13,,글빛누리공원,16686.0,"글빛누리공원은 경기도 수원시 망포동에 있는 근린공원이다. 공원 내에 있는 망포글빛도서관 앞에 주차장이 있지만 협소한 편이다. 이곳은 45,103㎡ 부지에 자연의 바람과 문화의 바람을 콘셉트로 조성된 공원이다. 곳곳에 소나무, 사철나무, 화초류 등을 심어 계절의 변화에 따른 다채로운 풍경을 감상할 수 있다. 공원 내 기둥식 지붕 시설물과 초지 데크 탐방로 등 조형미를 가미한 편의시설이 설치되어 있다. 공원에 어린이들을 위한 체험장은 친환경 소재를 활용한 체험시설로 미끄럼틀, 통나무 넘기 등의 놀이기구가 다양하게 구비되어 있으며 흙 놀이공간과 다목적 운동장도 마련되어 있다."
경기 수원시 영통구 영통1동 1012-4,(영통동),31,0.0,A02,A0202,A02020700,2781864,12,20211126215927,http://tong.visitkorea.or.kr/cms/resource/19/2781919_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/2781919_image2_1.jpg,127.0783152888,37.2505232437,6,20220701155927,0,13,,반달공원,16705.0,"번화가인 영통구에 있다. 산책하기에도 좋고 여러 운동시설이 설치되어 있어 운동 하기도 좋다. 조형분수, 농구장, 야외무대, 화장실, 휴게쉼터가 마련되어 있어 언제든 이용할 수 있는 편리한 공원이다."
경기 수원시 영통구 이의동 1311-2,(이의동),31,0.0,A05,A0502,A05020100,2781860,12,20211126215717,http://tong.visitkorea.or.kr/cms/resource/10/2781910_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/10/2781910_image2_1.jpg,127.0539107246,37.2941677539,6,20221213145538,0,13,,물봉선공원(어린이),16506.0,"어린이 물놀이 공원으로 여름철에 운영된다. 시설마다 안전요원 2명이 배치되며, 물놀이 시설은 수돗물을 사용하며 매일 새로운 물로 교체한다. 운영시간동안 지속적인 염소소독 및 주 1회 수질 검사를 시행하고 있다. 40분씩 가동이 되고 20분간의 휴식시간이 주어지며 가동시간은 기상여건에 따라 조정될 수도 있다."
경기 수원시 팔달구 화서동 436-1,(화서동),31,0.0,A02,A0202,A02020700,2781854,12,20211126215456,http://tong.visitkorea.or.kr/cms/resource/99/2781999_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/99/2781999_image2_1.jpg,126.9888031917,37.2782156608,6,20220701160057,0,13,,서호공원,16432.0,서호저수지가 있는 공원이다. 수원팔경 중 하나인 서호 낙조가 아름답다. 서호저수지 둘레길로 수원 팔색길이 있어 산책하기 좋다. 저수지에는 정조 때 축조된 축만제가 있다.
경기도 수원시 영통구 덕영대로1484번길 10-25,(망포동),31,0.0,A02,A0202,A02020700,2781847,12,20211126215241,http://tong.visitkorea.or.kr/cms/resource/50/2781950_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/50/2781950_image2_1.jpg,127.0514956599,37.244753988,6,20220701160300,3,13,,방죽공원,16685.0,"여름에는 물놀이장이 있다. 산책로와 아이들이 뛰어놀수 있는 곳곳의 어린이놀이시설이 있으며, 팔각정도 있어 주민들이 편하게 쉴수 있는 공간이다."
경기 수원시 장안구 율전동 124-1,,31,0.0,A02,A0202,A02020700,2781841,12,20211126215030,http://tong.visitkorea.or.kr/cms/resource/37/2781937_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/37/2781937_image2_1.jpg,126.9709901076,37.3072980848,6,20221025111205,0,13,,밤밭청개구리공원,16354.0,"생태공원으로 연꽃이 멋스럽게 피는 곳이다. 율전동은 조선시대 밤나무가 많아 율전이라 부른데서 유래된 장소이다. 밤향기 간직한 공원이라 할수 있다. 연못과 생태습지, 숲속놀이시설, 관찰학습장이 있어 어린아이들의 자연체험학습장이기도 하다."
경기도 수원시 권선구 동수원로 114,(곡반정동),31,0.0,A02,A0202,A02020700,2754720,12,20211007233550,http://tong.visitkorea.or.kr/cms/resource/81/2768281_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/81/2768281_image2_1.jpg,127.0292311266,37.2406790621,6,20221205134722,0,13,,고렴공원,16670.0,"고렴 근린공원은 곡반정동에 있어서 곡반정 고렴 근린공원이라고 불린다. 큰 대로와 아파트 사이에 있어 규모는 크지 않지만, 동네 주민들이 많이 찾는 공원이다. 공원 둘레를 가볍게 산책하거나 조깅할 수 있는 길이 있고, 벤치도 있어 쉼터 공간도 충분하다.또한 다양한 운동기구와 배드민턴장, 게이트볼장이 있어 주민들이 여가생활을 즐기기에도 적합하다. 여름철에는 바닥분수가 있어 분수대 위에서 뛰어노는 아이들을 종종 볼 수 있다. 정자와 화장실이 있어 편리함을 더한다. 가족 단위로 피크닉 하기에 좋다."
수원시 장안구 하광교동 400-10,,31,0.0,A01,A0101,A01010500,2747097,12,20210917195014,http://tong.visitkorea.or.kr/cms/resource/07/2747107_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/07/2747107_image2_1.jpg,127.0311736602,37.3027052472,6,20221103155144,1,13,,광교마루길,,"광교 마루길은 봄꽃 명소와 단풍 명소에 이어 눈꽃이 아름다운 장소로 선정된 길이다. 산책길이 잘 조성돼 있어 가족이나 연인과 함께 담소 나누며 걷기 좋다. 봄 코스는 광교 반딧불이에서 광교쉼터로 1.7Km이며 왕벚나무, 조팝나무, 진달래 등이 피어 산책하기 좋다. 가을 코스는 광교공원광교 마루길광교수변 산책로까지 3.6Km의 거리로 왕벚, 단풍, 중국단풍 , 플라타너스, 붉나무, 참나무 등 단풍이 아름답다.  겨울 코스는 광교 제방광교 마루길까지 이어진 길로 수원시 장안구 하광교동 40010일대이다. 광교산 설경은 수원 팔경 중 하나로 겨울이면 사방댐과 수변 산책로에 눈꽃이 장관을 이룬다."
경기도 수원시 권선구 칠보로88번길 260,(호매실동),31,0.0,A02,A0201,A02010800,2746031,12,20210916185129,http://tong.visitkorea.or.kr/cms/resource/45/2746245_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/45/2746245_image2_1.jpg,126.9372611242,37.2611500527,6,20210916222502,0,13,,용화사,16386.0,"용화사는 해발 240m의 칠보산 아래 위치해 있다. 칠보산은 수원시와 화성시 경계에 있는 산으로 원래는 여덞 개의 보물이 있다 하여 팔보산으로 불렸으나 산삼, 맷돌, 잣나무, 황금 수닭, 호랑이, 절, 힘이 센 장사, 금의 여덞 가지 중에 도둑이 황금 수탉을 훔쳐가는 바람에 일곱가지 보물이 있다는 뜻의 칠보산으로 바꿔 부르게 됐다고 한다. 사찰 바로 아래 주차장이 있어 접근성이 좋고 대자비전(大慈悲殿)과 대웅전이 나란히 있다. 용화사는 특히 석불로 유명한데 대웅전 안에 모셔진 석불은 기울어진 미륵불을 보기 위해 많은 불자와 일반인들이 찾는다. 대웅전 뒤쪽으로 산신각이 있고 대자비전 오른쪽으로 범종과 전각이 있다. 사찰 규모는 그리 크지 않지만 역사를 품고 있는 사찰로 도심 가까이에서 깊은 산속 사찰을 찾는 기분을 느낄 수 있는 곳이다."
경기도 수원시 팔달구 화서문로72번길 9-6,(북수동),31,0.0,A02,A0203,A02030600,2745995,12,20210916183004,http://tong.visitkorea.or.kr/cms/resource/43/2746143_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/43/2746143_image2_1.jpg,127.0165338018,37.2855791918,6,20221025150744,1,13,,행궁동 벽화마을,16253.0,"수원 행궁동은 수원 화성 일대의 장안동, 신풍동, 북수동, 남창동, 매향동, 남수동, 지수동 등 12개 동네를 일컫는 이름이다. 220여 년 전 화성이 축성될 당시부터 불과 수십 년 전까지 수원에서 가장 번화한 곳이었지만, 수원 화성이 유네스코 세계유산으로 지정되면서 엄격한 개발 규제로 시간이 멈춘 듯한 곳이다. 그런 행궁동에 주민과 시민 단체, 예술가들이 뜻을 모아 벽화를 그리면서 벽화마을을 완성, 지금은 수원 화성만큼이나 많은 사람이 찾는 관광 명소로 떠올라 골목에 생기가 도는 곳이다. 행궁동 골목은 벽화마을과 공방거리, 수원 통닭거리, 지동시장 등 특색에 따라 다양하게 이어져 있고 벽화마을은 행복하 길, 사랑하다 길, 눈으로 가는 길 처음 아침 길, 로맨스 길, 뒤로 가는 길 등 테마별로 여섯 갈래의 골목길로 나뉘어 있다. 벽화 앞엔 포토존을 마련했고 벽화뿐 아니라 벽면과 지붕, 담장에도 다양한 조형물과 그림으로 가득하다. 예쁜 공방과 카페들이  많고 갤러리 카페들의 경우 수익금을 창작자들을 위해 사용하고 있다
수원 화성을 중심으로 데이트 코스로 가장 좋은 곳이다."
