addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경기도 시흥시 군자천로131번길 64,,31,,A02,A0202,A02020700,2870248,12,20221019112402,http://tong.visitkorea.or.kr/cms/resource/34/2870234_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/34/2870234_image3_1.JPG,126.7150598026,37.3359846636,6,20221019112429,0,14,,희망공원,15092.0,"희망공원은 경기도 시흥시 정왕동의 시화 산업단지 내에 있는 근린공원이다. 산책길이 조성되어 있으며 곳곳에 쉼터와 의자가 있다. 주요 시설로는 천연잔디 구장과 인조잔디축구장이 있다. 인조잔디축구장은 넓은 편이다. 사용일 기준 3일 전까지 대관 신청할 수 있다. 또한, 테니스장이 있어 테니스를 칠 수도 있다. 주차장과 개방화장실이 있어 편하게 이용할 수 있다. 반려동물과 함께 입장할 수 있다. 단, 목줄 착용, 오물처리 봉투 지참, 배설물 수거를 준수해야 한다. 상행위, 야영행위, 취사 행위 및 불을 피우는 행위는 절대 불가하다.
 반려동물 동반가능(목줄, 배변봉투 지참)"
경기도 시흥시 오이도로 332,,31,,A02,A0202,A02020700,2870223,12,20221019111905,http://tong.visitkorea.or.kr/cms/resource/86/2870186_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/86/2870186_image3_1.JPG,126.6917702916,37.3347094008,6,20221019111919,0,14,,오이도기념공원,15016.0,"오이도기념공원은 경기도 시흥시 정왕동 입구에 있는 근린공원이다. 2003년 7월 시화방조제 입구에 면적 19,569㎡ 규모로 조성되었다. 탁 트인 서해를 보며 산책을 즐기기 좋다. 시화방조제 기념 조형물, 전망대, 갯벌 체험광장, 인라인 연습장, 자전거 대여점 등의 편의시설이 있다. 주차장이 있어 편하게 이용할 수 있다. 또한, 공원 내에 오이도 박물관이 있다. 2층의 어린이 체험실과 3층의 상설전시실로 운영된다. 시흥 출토 유물 전시 및 선사 문화 체험을 할 수 있다.
 반려동물 동반가능(목줄, 배변봉투 지참)"
경기 시흥시 정왕동 2724,(정왕동),31,0.0,A01,A0101,A01011300,2781820,12,20211126213924,http://tong.visitkorea.or.kr/cms/resource/50/2782050_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/50/2782050_image2_1.jpg,126.6794356593,37.3218273446,6,20221212175152,1,14,,거북섬,15119.0,"거북섬은 경기도 시흥시 시화 MTV(Multi Techno Valley)에 조성된 거북이 모양으로 생긴 인공섬이다. 시흥시에서는 거북섬 일원에 세계적인 해양레저 복합단지를 조성하여 지역관광산업 부흥을 도모하고 일자리 창출 등 지역경제 활성화에 기여하는 개발사업을 진행하고 있다. 현재 거북섬에는 세계 최대 규모의 아시아 최초 인공서핑장인 웨이브파크가 있고, 근처에 다양한 카페와 식당이 있어 여름휴양지로 부상하고 있다."
경기도 시흥시 시흥대로268번길 50-65,(능곡동),31,0.0,A02,A0201,A02010800,2751707,12,20210930024909,,,126.8111977003,37.3567256245,6,20221202163732,0,14,,진덕사,14992.0,"'진덕사'는 경기도 시흥시 능곡동에 있는 사찰이다. 사찰에서 가장 오래된 유물로는 약사전 석조약사여래좌상이 있다. 1940년대 진덕사를 중창할 때에 출토되었다고 한다. 약사불은 왼손에 약병이나 약합을 들고 있는 것이 일반적인 형태인데 진덕사 약사여래는 양손을 중앙으로 가지런히 모아 약합을 들고 있는 독특한 모양을 취하고 있다. 전체적으로 불교와 민간신앙이 결합한 양식을 보이는데, 조선 말기에 제작된 것으로 추정한다. 석조약사여래좌상은 현재 시흥시 향토유적 제19호로 지정되어 있다."
경기도 시흥시 옥구천동로374번길 88,(정왕동),31,0.0,A02,A0202,A02020700,2751706,12,20210930024558,,,126.7354214607,37.3496084423,6,20211111184018,0,14,,중앙공원 (시흥),15035.0,"'중앙공원'은 경기도 시흥시 정왕동에 자리 잡고 있으며, 공원 옆에는 중앙도서관이 있다. 공원에는 인라인 전용 트랙, 농구장, 풋살 경기장, 야외 무대, 분수대 등이 있어 휴식을 취하거나 운동을 할 수 있다. 주차장이 따로 마련되어 주차를 할 수 있다."
경기도 시흥시 은계중앙로 220,(은행동),31,0.0,A02,A0202,A02020100,2751564,12,20210930012303,http://tong.visitkorea.or.kr/cms/resource/27/2762627_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/27/2762627_image2_1.jpg,126.8072678348,37.444454261,6,20211026211250,1,14,,은계호수공원,14923.0,"'은계호수공원'은 경기도 시흥시 은행동에 있는 소래저수지를 이용한 호수공원으로, 2021년 12월말 완공 예정이다. 산책로와 휴계형 카페, 이벤트 광장, 수변 무대, 쉼터, 분수 등이 설치될 예정이다."
경기도 시흥시 영각사길 52,(군자동),31,0.0,A02,A0201,A02010800,2751476,12,20210930003829,,,126.7987404794,37.357478094,6,20211102015416,0,14,,영각사,14997.0,"'영각사'는 경기도 시흥시 군자산에 있는 사찰이다. 1590년에 일영사라는 이름으로 창건이 되었지만 임진왜란 시 화재로 소실되어 조선 말기에 중건되었으며, 해방 후 재차 소실, 재건 되었다. 영각사의 자랑인 무량수전은 하나의 예술작품으로 단청이 아름다운 10대 사찰에 선정되었으며, 2003년 4월 문화관광부로부터 전국 최우수 법당으로 선정되었다. 이 사찰에서는 군자추모공원을 운영하고 있다."
경기도 시흥시 소래산길 11,(대야동),31,0.0,A02,A0203,A02030600,2751455,12,20210930002814,http://tong.visitkorea.or.kr/cms/resource/36/2751536_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/36/2751536_image2_1.jpg,126.7848725351,37.4486644855,6,20221115145826,0,14,,시흥ABC행복학습타운,14902.0,"시흥ABC행복학습타운은 전국 최초·최대 3세대가 소통하고, 학습하고, 공동체를 만들어 성장해가는 학습·문화·예술의 복합공간으로써 학습을 통한 배움과 성장의 공간, 문화 예술을 통한 소통과 공감의 공간, 3세대가 함께 어울리는 커뮤니티 공간이다. 도심에서 접근이 편리하고 소래산과 가까워 주변 환경이 쾌적하다. 문화시설, 체육시설, 산림욕장 등을 갖추고 다양한 학습 프로그램을 제공한다."
경기도 시흥시 오이도로 156,(정왕동),31,0.0,A01,A0101,A01011400,2751392,12,20210929235628,http://tong.visitkorea.or.kr/cms/resource/44/2751544_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/44/2751544_image2_1.jpeg,126.6857566607,37.3451636371,6,20210930012811,0,14,,오이도선착장,15015.0,'오이도 선착장'은 경기도 시흥시 오이도의 오이도해양단지 내에 있는 선착장이다. 오이도의 상징인 빨간 등대를 볼 수 있으며 바로 앞에 오이도종합어시장이 있다. 또한 횟집과 칼국수집 등 관광객을 위한 식당이 다양하다. 주변 산책로에선 서해의 아름다운 낙조를 감상할 수 있다.
경기도 시흥시 서해안로 1541-15,(신천동),31,0.0,A02,A0201,A02010800,2751282,12,20210929224728,http://tong.visitkorea.or.kr/cms/resource/87/2763287_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/87/2763287_image2_1.JPG,126.7815506959,37.4457814289,6,20221122132119,0,14,,소래산 내원사,14903.0,소림산 내원사는 경기도 시흥시 신천동에 있는 한국불교태고종 소속의 사찰이다. 1973년 창건되었으며 내원사 근처에는 2001년 국가 보물로 지정된 고려 시대의 소래산 마애보살 입상이 있다. 휴일이면 인근에서 찾아올 정도로 자연경관이 빼어나다.
