addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경기도 안산시 단원구 대부황금로 1480-7,,31,,A01,A0102,A01020100,2863990,12,20221005160419,http://tong.visitkorea.or.kr/cms/resource/84/2863984_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/84/2863984_image3_1.JPG,126.5745656285,37.2863268431,6.0,20221005160445,2,15,,대부도 메타세콰이어길,15638.0,"대부도 메타세콰이어길은 경기도 안산시 단원구 대부북동에 있다. 대부바다향기 테마파크 외곽도로에 약 3.5km 구간에 1,200주의 메타세콰이어가 길게 이어진 산책로 양옆으로 심겨 있다. 메타세콰이어는 나무에서 뿜어져 나오는 산소와 피톤치드가 풍부하다. 여유롭게 산책을 할 수도 있고 자전거, 스쿠터, 전동카트 등을 빌려 둘러볼 수도 있다. 메타세콰이어길 옆으로 대부바다향기 테마파크의 화훼단지가 보인다. 대부바다향기 테마파크를 함께 둘러보기 좋다. 무료 주차장이 있어 편하게 이용할 수 있다. 대부도 여행지로 유명하다. 
반려동물 동반 가능 (단, 개목줄 착용, 배설물 처리를 위한 비닐봉지 등을 구비한 이용객에 한하여 허용)"
경기도 안산시 상록구 본오동,45-6,31,,A02,A0202,A02020700,2863978,12,20221005155738,http://tong.visitkorea.or.kr/cms/resource/69/2863969_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/69/2863969_image3_1.JPG,126.8741021292,37.2914704176,6.0,20221005155753,0,15,,각골공원,15557.0,"각골공원은 경기도 안산시 상록구 본오동에 있는 근린공원이다. 다양한 운동기구가 있어 간단한 운동을 즐길 수 있다. 산책로가 있고, 곳곳에 정자와 쉼터가 있어 산책을 즐기기 좋다. 산책코스를 따라 올라가면 데크 전망대 겸 쉼터가 있다. 데크 전망대부터는 산 능선 길로 이어진다. 주요 시설로는 테니스장, 체육관, 주차장이 있다. 체육관에서는 배드민턴교실, 탁구교실, 라인댄스, 다이어트댄스, 일일 배드민턴, 일일 탁구 프로그램을 운영하고 있다. 공원 내 주차장이 있어 편하게 방문할 수 있다. 
반려동물 동반 가능 (단, 개목줄 착용, 배설물 처리를 위한 비닐봉지 등을 구비한 이용객에 한하여 허용)"
경기도 안산시 단원구 대부황금로 1546 경기도 해양안전체험관,,31,,A02,A0202,A02020700,2863955,12,20221005154330,http://tong.visitkorea.or.kr/cms/resource/53/2863953_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/53/2863953_image3_1.JPG,126.5806788449,37.2905347955,6.0,20221005154343,1,15,,대부도공원,15638.0,"방아머리공원은 경기도 안산시 단원구에 있는 공원이다. 시화호 환경 문화관이 있는 곳에 있다. 공원 내 경기해양안전체험관이 있다. 산책로와 축구장, 족구장과 같은 체육 시설이 있다. 넓은 무료 주차장이 있어 편하게 이용할 수 있다. 근처에 시화방조제와 대부도, 방아머리 해수욕장이 있어 함께 둘러보기 좋다. 도시공원 및 녹지 등에 관한 법률에 따라 취사, 야영(텐트), 불을 피우는 행위가 금지다. 대부도 관광지역을 대표하는 유리 상징물인 '하트 투 하트(Heat to Heat)'가 있다. 각양각색 사랑의 모습을 거대한 유리알 집합체로 나타냈으며, 수많은 유리구슬은 사랑하는 이와 함께 한 행복한 순간을 표현한 조형물이다. 
반려동물 동반 가능 (단, 개목줄 착용, 배설물 처리를 위한 비닐봉지 등을 구비한 이용객에 한하여 허용)"
경기도 안산시 상록구 용하공원로 44,,31,,A02,A0202,A02020700,2863833,12,20221005145348,http://tong.visitkorea.or.kr/cms/resource/29/2863829_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/29/2863829_image3_1.JPG,126.8554589869,37.3055462332,6.0,20221005145359,0,15,,용하공원,15501.0,"용하공원은 경기도 안산시 상록구 사동에 있는 근린공원이다. 주요시설로 게이트볼장, 농구대, 풋살장, 인라인스케이트장, 어린이 놀이시설, 화장실, 주차장, 휴게쉼터가 있다. 어린이 놀이시설 주변에는 그늘과 벤치가 많아 가족이 함께 이용하기 좋다. 풋살장 이용 가능 시간은 06:0020:00이며 시간당 사용료가 있다. 인라인스케이트장에서는 인라인스케이트와 스케이트보드를 탈 수 있다. 인라인 스케이트장 옆으로는 다양한 운동기구가 있어 간단한 운동을 즐길 수 있다. 지하철 4호선, 수인분당선 한대앞역 2번 출구에서 428m 떨어져 있어 도보로도 이용할 수 있다. 공원 내 주차장이 있어 편하게 방문할 수 있다.
반려동물 동반 가능 (단, 개목줄 착용, 배설물 처리를 위한 비닐봉지 등을 구비한 이용객에 한하여 허용)"
경기도 안산시 상록구 반월천북길 139-18 안산이풀식물박물관,,31,,A01,A0101,A01010700,2863813,12,20221005144644,http://tong.visitkorea.or.kr/cms/resource/01/2863801_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/01/2863801_image3_1.JPG,126.8892835463,37.3107295662,6.0,20221005144656,0,15,,이풀실내정원,15519.0,"이풀실내정원은 경기도 안산시 상록구 팔곡이동에 있는 식물원이다. 공기 정화 식물이 가득한 실내·외 정원을 사계절 즐길 수 있는 국내 최초 실내 식물 특화 식물원이다. 지그재그 관람로를 따라 다채롭게 꾸며진 실내 정원과 쉽고 재미있는 실내 가드닝 방법을 제시하는 전시를 함께 즐길 수 있다. 다양한 실내 식물의 보존 및 연구 활동, 교육체험 프로그램 운영 등을 통하여 원예문화의 확산과 발전에 기여하기 위해 노력하고 있다. 전시와 체험 프로그램 이외에도 다양한 식물을 판매한다. 주요시설로는 식물전시관, 야외정원, 산책로, 베이커리 카페, 가든센터, 식물공방, 레스토랑이 있다. 입장료는 무료이다. 넓은 주차장이 있어 편하게 이용할 수 있다."
경기도 안산시 단원구 광덕1로 276 시아테마파크,,31,,A02,A0202,A02020600,2863011,12,20221004140352,http://tong.visitkorea.or.kr/cms/resource/02/2863002_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/02/2863002_image3_1.JPG,126.8403408826,37.3067736006,6.0,20221004140404,1,15,,시아테마파크,15481.0,"시아테마파크는 경기도 안산시 단원구 고잔동에 있는 도심 속 패밀리스포츠파크몰이다. 다양한 테마가 있는 놀이시설에서 운동과 오락을 함께 즐길 수 있다. 지하 2층부터 지상 7층까지 총 9층 건물로 이루어져 있다. 지하에는 약 400여 대 주차할 수 있는 주차장이 있어 편하게 이용할 수 있다. 1층에는 근린생활시설 및 대형마트가 있고, 2층에는 골프존 및 근린생활시설이 있다. 3층에는 더킹볼 볼링센터가 있다. 4층부터 6층은 자이언트 플레이파크가 있다. 7층에는 옥상정원이 있다. 운동, 오락, 문화, 휴식을 모두 즐길 수 있다."
경기도 안산시 단원구 대부동동,,31,,A02,A0202,A02020700,2862693,12,20221004101235,http://tong.visitkorea.or.kr/cms/resource/75/2862675_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/75/2862675_image3_1.JPG,126.6070119726,37.3118522283,6.0,20221213094622,0,15,,시화나래조력공원,15637.0,"시화나래조력공원은 경기도 안산시 단원구에 있는 해상공원이다. 시화방조제 중간에 있다. 대부도 바닷물을 이용하여 만든 빛을 상징하는 의미의 공원이다. 서해바다의 물결과 신재생에너지의 순환을 주제로, 조력발전소 건설과정에서 발생한 토사를 이용하여 친환경적으로 조성되었다. 공원은 크게 여가공간, 휴식공간, 편의공간으로 이루어져 있다. 수문, 발전소, 관리동, 조력문화관, 달전망대, 이야기산책로, 잔디마당, 빛의 오벨리스크, 파도소리쉼터, 휴게소, 바다계단, 제1주차장, 제2주차장, 제3주차장이 있다. 대부도나 제부도, 영흥도 가는 길에 들러볼 만하다.
 반려동물 동반가능(목줄, 배변봉투 지참)"
경기도 안산시 단원구 구봉길 6,(대부북동),31,0.0,A02,A0203,A02030600,2785868,12,20211206183110,http://tong.visitkorea.or.kr/cms/resource/82/2791882_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/82/2791882_image2_1.jpg,126.5690109146,37.2740615019,6.0,20221110154825,0,15,,대부도칼국수거리,15638.0,"수도권 여러 도시와 인접한 안산 대부도는 해산물이 풍부하고 넓은 갯벌이 있어 언제든 가볍게 떠나기 좋은 관광지로 꼽힌다. 특히 대부도에서 나는 바지락은 알이 굵고 맛도 좋다. 우리나라 사람들이 가장 즐겨 먹는 조개류인 바지락은 국이나 탕에 넣으면 특유의 시원한 맛이 잘 우러난다. 대부도에서는 이 같은 바지락으로 만든 칼국수가 유명해서 칼국수거리가 형성될 정도다. 집마다 버섯이나 야채를 더하는 레시피는 조금씩 다르지만, 대부도에서 나는 생바지락을 푸짐하게 넣는 건 모두 똑같다. 바다향을 가득 품은 바지락으로 맛을 낸 칼국수는 든든하면서도 깊은 여운을 남긴다."
경기도 안산시 단원구 대부황금로 7,(선감동),31,0.0,A01,A0101,A01011300,2782627,12,20211129193639,http://tong.visitkorea.or.kr/cms/resource/34/2793734_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/34/2793734_image2_1.jpg,126.6461283553,37.1925695221,6.0,20221110112447,0,15,,탄도항누에섬,15652.0,"탄도에서 1.2km 떨어진 작은 무인도이다. 바닷길이 열리면 1km 거리를 걸어서 들어갈 수 있다. 등대 겸 전망대가 있다. 1층에는 등대전망대, 탄도항, 대부도 풍경 관련 사진들이 전시되어 있다. 2층은 실내전망대이고 3층은 망원경이 있는 야외전망대이다. 하루 두 번 4시간씩 썰물 때는 탄도와 누에섬 사이에 갯벌이 드러나서 자동차나 도보로 갯벌을 탐험할 수 있다. 탄도바닷길로 누에섬으로 이동해 전망대에 오르면 바다 경치와 함께 탄도항, 대부도 옆 제부도도 볼 수 있다. 누에섬은 밀물 때 탄도항으로 이동하지 않으면 섬에 고립될 수 있으니 주의해야 한다."
경기도 안산시 단원구 쪽박섬길 102,(대부남동),31,0.0,A01,A0101,A01011300,2764322,12,20211028182822,http://tong.visitkorea.or.kr/cms/resource/33/2764433_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/33/2764433_image2_1.jpg,126.5480757658,37.2069939125,6.0,20221122134933,0,15,,쪽박섬,15653.0,"쪽박섬은 경기도 안산시 단원구 대부남동에 위치한 작은 바위섬이다. 섬의 모양이 쪽박처럼 생겼다고 하여 쪽박섬이라는 이름이 붙여졌고 소나무가 자라고 있어 쪽박솔섬이라고도 불린다. 이곳에서 바라보는 낙조는 매우 아름답기로 유명하다. 2002년 안산시는 주변 경관의 특성을 적극 활용하여 독특하고 쾌적한 자연환경을 조성하고자 하였다. 현재는 횟집과 펜션 등 숙박시설과 식당이 들어서 있다. 보통 서울 근교의 관광객이 이곳을 찾으며, 낚시를 하기 위해 찾기도 한다."
