addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경기도 안성시 만세로 891,,31,,A02,A0201,A02010700,2892937,12,20221101113545,http://tong.visitkorea.or.kr/cms/resource/33/2892933_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/33/2892933_image3_1.JPG,127.1733508567,37.0612634907,6.0,20221101154707,1,16,,만세고개,17555,"만세고개는 경기도 안성시 원곡면과 양성면 사이의 고개이다. 1919년 4월 1일 원곡면 주민들이 만세 시위를 벌인 곳이다. 원래의 이름은 성은고개 또는 양성고개이다. 3.1 독립운동이 한창이던 1919년 4월 1일 밤 원곡면민 1,000여명이 만세고개에 이르러 태극기를 들고 독립 만세를 외치며 결의한 뒤 양성으로 돌진하였다. 양성 주민 1,000여 명과 합류하여 일본의 기관들을 불태우고 이 지역을 2일간 해방시켰다. 독립항쟁 운동을 기리기 위해 만세고개로 불리고 있다. 또한, 2001년 이곳에 안성 3.1운동 기념관이 세워졌다. 기념관 뒤로 백련봉으로 오르는 등산로가 있다. 창진산장휴게소가 있다. 안성 3.1운동 기념관 주차장과 창진산장휴게소 주차장을 이용할 수 있다."
경기도 안성시 삼죽면 내강리 521,,31,0.0,A01,A0101,A01011800,2773400,12,20211111194617,http://tong.visitkorea.or.kr/cms/resource/58/2773458_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/58/2773458_image2_1.png,127.3628475975,37.0622917746,6.0,20211111202422,0,16,,회암저수지,,"경기도 안성시 삼죽면에 위치한 저수지이다. 면적이 약 7,000 m²인 아담한 소류지 크기로, 유료 낚시터로 이용되고 있다. 수심은  24m,  좌대는 40석, 계곡수를 사용하여 물이 깨끗하다. 붕어가 주종인데 옥수수 미끼가 큰 고기 잡기에 좋다. 사면이 산으로 둘러싸여 아늑하며, 봄이면 저수지 주변에 피어난 벚꽃이 저수지와 잘 어울린다. 낚시터에 매점은 있지만, 식당이 없어 인근 음식점에서 배달음식을 주문하여 먹을 수 있다. 가까이에 한택식물원이 있다."
경기 안성시 원곡면 칠곡리,,31,0.0,A01,A0101,A01011800,2772184,12,20211110201330,http://tong.visitkorea.or.kr/cms/resource/72/2772672_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/72/2772672_image2_1.png,127.1597690238,37.0514504914,6.0,20211111002728,0,16,,칠곡저수지,17555,"경기도 안성시 원곡면 칠곡리에 위치한 저수지이다. 약 170,000 m²면적에 둘레는 약 2Km로 차로 드라이브를 하면 약 7분 정도, 도보는 30분 정도 소요된다. 바쁜 일상에서 벗어나 물멍하기 좋은 장소이다. 주변에 맛집과 저수지가  한 눈에 들어오는  카페가 있다. 평택제천간 고속도로 서안성 IC 에서 차량으로 7분 거리이다. 가까이에 독정저수지, 반제저수지, 만수저수지가 있다."
경기도 안성시 서운면 청룡길 17,,31,0.0,A01,A0101,A01011700,2751301,12,20210929230313,http://tong.visitkorea.or.kr/cms/resource/87/2764287_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/87/2764287_image2_1.png,127.2811982589,36.9044335076,6.0,20211028182154,0,16,,청룡지,17609,"경기도 안성시 서운면에 위치한 호수이다. 약 120,000㎡ 면적으로 주변에 농업용수를 제공하고 있다.  입구에 남사당 조형물이 있는 바우덕이 마을이 있고, 서운산과 좌성산 등산로가 있어 휴일이면 등산객들로 붐비는 곳이다 
모터보트, 오리 배, 수상 스키를 즐길 수 있는 레저 시설이 있고 봄이면 청룡호수부터 청룡사까지 약 1km의 길에  벚꽃이 피어 드라이브 코스와 산책코스로 좋다."
경기도 안성시 양성면 교동길 19-68,,31,0.0,A01,A0101,A01011800,2751299,12,20210929225749,http://tong.visitkorea.or.kr/cms/resource/41/2782441_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/41/2782441_image2_1.jpg,127.187116165,37.0653493761,6.0,20221026092644,0,16,,천덕제(동항저수지),17502,"경기 안성시 양성면에 위치한 저수지다. 천덕제라는 이름보다는 마을 이름에서 가져온 동항저수지로 더 알려져 있다. 약 30,000㎡ 면적으로 경작지에 공급할 농업용수로서는 규모가 작은 저수시설인 소류지(沼溜地)이다. 루어와 좌대 낚시를 즐기는 낚시꾼들이 찾는 곳으로  붕어, 배스가 잡힌다.  관리를 하지않는  무료 낚시터로  근처에 골프장이 있어 종종 골프공이 날아와 주의를 필요로 한다."
경기도 안성시 금광면 장죽리 산26-4,,31,0.0,A01,A0101,A01011800,2747175,12,20210917233448,http://tong.visitkorea.or.kr/cms/resource/26/2750526_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/26/2750526_image2_1.png,127.3135712637,36.9710375236,6.0,20210928194750,0,16,,마둔저수지,,경기도 안성시 금광면에 위치한 저수지이다. 1975년부터 조성된 저수지이며 서운산 북동 자락에 위치해 있다. 경치가 좋고  다듬어지지 않은 자연미가 있는 곳이다.  마둔 저수지 주변에 둘레길 6.5km을 조성하여 산책하기 좋다. 한 눈에 들어오는 서운산 자락들과 호수의 경치가 멋진 뷰를 자랑한다. 사랑하는 사람들과 함께 걸으며 멋진 추억과 힐링의 시간을 만들수 있는 좋은 장소이다.
경기도 안성시 금광면 배티로 185-39,,31,0.0,A01,A0101,A01010600,2747164,12,20210917232528,http://tong.visitkorea.or.kr/cms/resource/57/2750557_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/57/2750557_image2_1.png,127.313772043,36.9424352686,6.0,20210928195638,0,16,,서운산자연휴양림,17538,경기도 안성시 금광면에 위치한 휴양림이다. 청룡이 상스러운 구름을 타고 내려왔다고 하여 이름 붙여진 서운산 자락에 있다. 도심지에서는 느낄 수 없는 산속의 맑은 공기와  나무 등 자연환경이 좋다. 잔디광장에서는 아이들이 맘껏 뛰놀 수 있어 가족 단위 나들이 장소로 좋다. 드라마 '도깨비' 촬영지로 유명한 석남사로 이어진 산책로와 서운산 등산로가 조성되어 있어 가벼운 걷기를 하면서 자연의 품속에서 몸과 마음 모두 힐링할 수 있다.
경기도 안성시 양성면 미산리,,31,0.0,A01,A0101,A01011800,2747133,12,20210917201429,http://tong.visitkorea.or.kr/cms/resource/97/2750497_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/97/2750497_image2_1.png,127.2582690127,37.1308014272,6.0,20221109111136,2,16,,미산저수지,,경기도 안성에 있는 저수지이다. 수려한 풍경을 품고 있는 호수의 전경과 걷기 좋은 산책로는 일상에서 지친 심신을 치유해 준다. 저수지 주변에 예쁜 카페가 많아 데이트 장소로 많이 찾는다. 저수지 둘레길인 솔뫼길을 걷다 보면 미리내 성지도 만날 수 있는데 이곳에서는 우리나라 천주교 역사를 살펴볼 수 있다.
경기도 안성시 상촌새말길 3-120 석남사,,31,0.0,A01,A0101,A01010900,2738711,12,20210901195526,http://tong.visitkorea.or.kr/cms/resource/13/2740213_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/13/2740213_image2_1.jpg,127.3070755134,36.9392410718,6.0,20220421132540,0,16,,석남사계곡,17538,"안성 서운산 자락에 위치한 석남사는 통일신라 고승 석선이 세웠다. 대웅전과 영산전 두 불전을 중심으로 요사채, 누각, 탑, 부도, 마애불이 있다. 마애불은 고려 초기에 나머지 유적과 유물은 조선시대에 조성된 것으로 추정된다. 드라마 도깨비 촬영지. 석남사 옆 계곡에 시원한 물이 흘러 여름 더위를 식히기 좋다."
경기도 안성시 삼죽면 보삼로 634-16,,31,0.0,A01,A0101,A01011800,2737285,12,20210830185222,http://tong.visitkorea.or.kr/cms/resource/83/2739083_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/2739083_image2_1.jpg,127.363216824,37.0688493581,6.0,20221012100309,0,16,,덕산저수지,17514,안성시 삼죽면에 있는 저수지이다. 삼죽초등학교에서 KGC 인재개발원 쪽으로 드라이브를 할 수 있다.  호수 주위에 예쁜 집을 구경하며 산책하기 좋다.  호수에 작은 새들이 날갯짓하며 노니는 모습을 바라보는 것도 좋다.  인근에 덕산낚시터(0316724527)가 있다.
