addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경기도 안양시 동안구 동편로183번길 26,,31,,A02,A0203,A02030600,2874858,12,20221025143244,http://tong.visitkorea.or.kr/cms/resource/30/2874830_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/30/2874830_image3_1.jpg,126.970537349,37.4072531546,6,20221202161752,1,17,,동편마을 카페거리,13930,"인덕원역 8번 출구에서 도보로 10분 거리에 있는 카페 거리이다. 동편마을이 재개발되면서 주거지역에 개성 있는 카페들이 들어와 거리를 이룬 마을이다. 2022년 경기도 구석구석 관광 테마 공모사업에 선정된 곳이기도 하다. 도심 속에 잘 조성된 길을 따라 푸른 잔디와 산책로, 유럽풍 카페들이 늘어서 있다. 다양한 버스노선으로 대중교통 접근이 쉽다. 규모는 크지 않지만, 세련되고 현대적인 45층 건물들이 즐비하다. 1층은 대부분 카페로 사용하며 위층은 주거 공간이다. 프렌차이즈 커피보다는 작아도 주인 각자의 손길과 개성이 돋보이는 카페들이 많다. 카페 외에도 다양한 매장들과 체험 프로그램을 가진 매장들도 있다. 산책로는 유아차나 휠체어가 필요한 분들도 방문하기 좋게 잘 정비되어 있다. 안양 예술 공원, 점심 식사 후 동편 마을 카페, 마을 입구 수변 공원을 연결하여 당일 안양 즐기기 여행도 좋은 코스가 된다."
경기도 안양시 동안구 학의로 71,(비산동),31,0.0,A02,A0202,A02020700,2738405,12,20210901011451,http://tong.visitkorea.or.kr/cms/resource/07/2768307_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/07/2768307_image2_1.jpg,126.9472924745,37.3989037082,6,20221129111146,0,17,,학운공원,14043,"안양 사람들이 학운공원을 떠올리면 가장 먼저 얘기하는 것이 공원에서 가장 눈에 띄는 노란 건축물인 오픈 스쿨이다. APAP 작품 중 하나인 오픈 스쿨은 열린 학교를 위한 열린 장소라는 의미를 지닌 다목적 공간으로, 컨테이터 8개를 절묘하게 결합한 독특한 형태미를 보여준다.밖에서 보면 울창한 숲과 조화를 이룬 노란 건축물을 감상하는 재미가 있다. 이 밖에도 공원과 아파트 단지를 연결하는 지상 경사로에 오브제를 부착한 신형섭 작가의 리좀과 안양의 공공기관을 축소 제작해 높은 기둥 위에 올린 김상균 작가의 떠도는 섬들 같은 작품도 있다. 이 작품들은 모두 소나무 숲길, 은행나무길, 느티나무길, 왕벚나무길 등 다양한 수종의 나무들이 있는 학운공원의 산책로를 걷다가 우연히 만나게 된다. 예술작품을 만나기에 이보다더 편안한 방식이 또 있을까출처: 안양시청 홈페이지"
경기도 안양시 동안구 평촌대로 76,(호계동),31,0.0,A02,A0202,A02020700,2738397,12,20210901011329,http://tong.visitkorea.or.kr/cms/resource/94/2768294_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/94/2768294_image2_1.jpg,126.9639831531,37.3800145299,6,20211208223943,0,17,,자유공원,14105,"자유공원을 즐기는 방식은 이 공원의 이름에서 답을 얻을 수 있다. 자연이 주는 환경으로서의 즐거움, 공원이 주는 공간감. 이 둘이 한 곳에 모이면 자신이 누리고 있는 여유가 한없이 기분 좋아지는 지점이 있다. 뉴욕의 센트럴파크, 파리의 뤽상부르 궁전 공원에 수많은 사람들이 모이는 까닭이 바로 그것이다. 같은 맥락의 즐거움을 진하게 주는 곳이 자유공원이다. 각각 느끼는 자유로움을 위한 공원이라고 해도 좋을것 같다. 각종 교통 표지판과 신호등을 설치해 어린이를 위한 교통안전교육을 할 수 있는 어린이교통공원도 이곳에 있다. 안양에서 자라는 아이들이 공원의 즐거움을 처음 배우는 곳이라도 해도 좋을 이곳은 어른들에게도 마찬가지로 큰 즐거움을 선사한다. 역사에 관심이 많은 사람이라면 큰 돌덩이처럼 보이는 고인돌 5점을 보며 청동기 시대를 상상해 볼수도 있고, 클래식 음악 공연이 그리울 때는 평촌아트홀을 찾으면 된다. 한국을 처음 찾는 외국인과 같이 가기에도 그만이다. 물론 자유공원의 벤치나 정자에서 그냥 휴식만 취해도 된다. 이 모든 것이 한자리에 있다는 것이 자유공원의 가장 큰 장점이다.출처: 안양시청 홈페이지"
경기도 안양시 동안구 관양동 일대,(관양동),31,0.0,A02,A0203,A02030600,2738384,12,20210901010256,http://tong.visitkorea.or.kr/cms/resource/86/2768286_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/86/2768286_image2_1.jpg,126.961415984,37.4062669949,6,20221124104351,0,17,,수촌마을,13939,"수촌마을 먹거리촌은 여행자들이 찾는 관광지라기보다 진짜 그곳에 사는 사람들이 가는 동네 맛집이 모인 거리에 가깝다. 그런 까닭으로 다른 먹거리촌과 견주어 많이 알려져 있지 않고 검색으로 맛집을 찾는 데에도 한계가 있다고 느낄 수 있다. 그러니 어느 가게를 가야 할지 모르겠다면, 그 동네 사람들이 많이 가는 곳을 따라 들어가 그 사람이 시키는 메뉴를 시키면 절반은 성공이다. 된장찌개나 김치찌개, 치킨과 맥주, 순대국, 분식 등 우리가 가장 일상적으로 즐기는 메뉴를 맛볼 수 있다는 게 이 거리의 가장 큰 장점이다. 아는 맛이라 더 맛있는 음식을 즐기기에 좋다. 식당 창으로 들여다보이는 왁자지껄한 안양 시민들이 보인다면 오늘의 메뉴는 너 라고 크게 외쳐도 좋을 것이다.출처: 안양시청 홈페이지"
경기도 안양시 만안구 안양로 595,(석수동),31,0.0,A02,A0202,A02020100,2738364,12,20210901005945,http://tong.visitkorea.or.kr/cms/resource/74/2768274_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/74/2768274_image2_1.jpg,126.9027458698,37.4223668577,6,20221202141645,1,17,,석수체육공원,13904,"전체 부지면적 77,786㎡에, 야구장, 축구장, 배드민턴장 등 각종 체육시설과 어린이놀이터, 생태연못, 산책로 등 각종 편의시설을 갖춘 종합체육시설로 시민들의 건강증진과 여가선용의 장소로 많은 사랑을 받고 있다."
경기도 안양시 만안구 삼덕로 106,(안양동),31,0.0,A02,A0202,A02020700,2738181,12,20210831235801,http://tong.visitkorea.or.kr/cms/resource/29/2768229_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/29/2768229_image2_1.jpg,126.9164231011,37.3974588806,6,20211209001216,0,17,,삼덕공원,14002,"안양역에서 10분만 걸어가면 나오는 삼덕공원은 원래 인쇄용지를 생산하는 공장의 부지였다. 1961년부터 2003년까지 40년 넘게 굳건히 사업을 이어간 삼덕제지가 공장을 다른 지역으로 이전하면서 이 땅을 안양시에 기부해 시민공원으로 만들 것을 제안했다. 이를 기리기 위해 공장에 있던 굴뚝을 33로 축소한 모형 타워를 공원 한가운데에 설치했다. 시민들을 위한 기부에서 출발한 공원 탄생 의미에 걸맞게 삼덕공원은 도심에서 가장 가까운 휴식 공간이 되었다. 놀이터부터 간단한 음식과 함께 소풍을 즐길 수 있는 피크닉광장, 시원한 물줄기를 볼 수 있는 바닥분수, 체력단련장 등의 시설은 안양시민은 물론 도심 투어를 하는 관광객들에게도 넉넉한 쉼터 역할을 하고 있다."
경기 안양시 만안구 석수동,,31,0.0,A01,A0101,A01010900,2738157,12,20210831235153,http://tong.visitkorea.or.kr/cms/resource/35/2768235_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/35/2768235_image2_1.jpg,126.9164470663,37.4343018282,6,20221124163106,0,17,,삼막사계곡,,"도시를 잠시 벗어나 울창한 자연에서 여름 더위와 피로, 일상의 스트레스를 풀 수 있는 수도권 계곡 여행지이다. 삼막사를 드나드는 입구 초입에 있으며  삼성산에서 흐르는 물줄기인 삼막천으로 인하여 삼막사 계곡이 형성되었다. 가족 여행지로 아이들과 함께 여름 나기 좋은 장소이다."
경기도 안양시 만안구 석수동 18,,31,0.0,A02,A0202,A02020600,2738106,12,20210831234029,http://tong.visitkorea.or.kr/cms/resource/63/2768263_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/63/2768263_image2_1.jpg,126.9148779134,37.4289968598,6,20211209001241,0,17,,삼막애견공원,,"사람 살기 좋은 곳은 반려견도 살기 좋다. 전국 최대 규모의 반려동물 놀이터가 안양 석수동에 있다는 것은 그런 까닭으로 일견 당연하게 느껴진다. 반려견과 견주들이 산책과 휴식을 위해 필요한 모든 것이 구비된 이곳은 겨울에도, 밤에도 연일 문전성시를 이루는 중이다. 대형견, 중소형견의 놀이 공간이 분리되어 있으며 부대시설까지 완벽하다. 운동장 입구에서 강아지의 키를 잰 후40cm 이하는 중, 소형견 운동장으로, 40cm 이상은 대형견 운동장으로 나누어 입장한다. 반려견이 맘껏 뛰놀 수 있는 운동장과 다양한 시설물이 설치되어 있다. 반려견뿐만 아니라 견주를 위한 벤치와 테이블들도 많이 배치되어 있다. 동물 등록된 반려견만 입장 가능하며, 대형견종 중 관리자가 위험 우려가 있다고 판단되는 강아지와 싸운 이력이 있거나 중성화를 하지 않은 3개월 이상의 수컷 강아지는 입마개를 착용해야 한다."
경기도 안양시 동안구 평촌대로 489-29,(비산동),31,0.0,A02,A0202,A02020100,2738089,12,20210831232911,http://tong.visitkorea.or.kr/cms/resource/50/2768250_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/50/2768250_image2_1.jpg,126.9495196751,37.4122688638,6,20221202155309,0,17,,비산체육공원,13915,"비교적 최근인 2017년 12월에 문을 연 비산체육공원은 넓은 규모에 깔끔한 시설로 개장과 동시에 많은 이들의 관심을 모았다. 축구, 농구, 족구, 풋살 등 온갖 구기종목을 할 수 있는 전문 시설을 갖춘 체육공원인 동시에 관악산에 인접해 있어 맑은 공기를 마시며 뛰거나 걸을 수 있다는 것도 이곳만의 매력이다. 실제로 비산체육공원을 이용하는 사람들이 꼽는 두 가지 장점이 있는데, 하나는 58,954㎡에 이르는 넓은 규모로 실컷 뛰어 다니기 좋다는 것이고 또 다른 하나는 2면으로 이뤄진 축구장 중 한쪽이 천연잔디라는 점이다.
출처:안양시청 홈페이지"
경기도 안양시 만안구 예술공원로245번길 150,(석수동),31,0.0,A02,A0201,A02010800,2738081,12,20210831231507,http://tong.visitkorea.or.kr/cms/resource/20/2768420_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/20/2768420_image2_1.jpg,126.9344650383,37.4283389526,6,20211111195231,0,17,,염불사,13911,"염불사의 창건은 삼성산의 전설과 맞닿아 있다. 신라 문무왕 때 원효, 의상, 윤필 세 조사가 이 산에 들어와 원효대사는 삼막사를 창건하고, 의상대사가 연주암을 세웠으며, 윤필거사가 염불사를 창건해 각각 그 절에서 수도생활을 했다고 한다. 염불사의 가장 큰 자랑은 삼성산 중턱을 병풍처럼 두른 기암괴석과 울창한 숲이 어우러진 수려한 풍광. 절의 건물들이 서로의 위계에 따라 각기 다른 높이에 위치해 있어서 각 건물마다 전혀 다른 풍경을 감상할 수 있다. 특히 칠성각에서 내려다보는 풍경은 한 폭의 동양화를 보는 듯 아름답다.출처:안양시청 홈페이지"
