addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경기도 양주시 장흥면 일영로 346-26,,31,0.0,A01,A0101,A01010700,2789674,12,20211209002236,http://tong.visitkorea.or.kr/cms/resource/50/2795350_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/50/2795350_image2_1.jpg,126.9237507018,37.675532254,6.0,20211214195311,2,18,,일영허브랜드 (숲길정원),11525.0,"서울 구파발역에서 차로 10분 거리에 위치한 서울 근교 힐링 장소로 (구) 일영 허브랜드가 2021년 숲길 정원으로 리뉴얼 오픈했다. 16,528m² (5,000 평) 넓은 대지위에 수목원, 숲길 허브 족욕카페, 갓 구운 마늘빵이 유명한 베이커리, 리빙샵, 야외결혼식장 등이 조성되어 있다. 삼하리 일대는 전원일기를 비롯해 다양한 영화, 방송 프로그램의 배경으로 많이 등장할 만큼 전원풍경과 녹음이 아름답다. 족욕카페에서 커피와 족욕을 함께 즐길 수 있고, 베이커리에서 갓 구운 마늘빵을 맛볼 수 있다. 리빙 숍에서는 향초와 비누 등 리빙 소품을 판매하고 있으며, 식물원에선 다육이를 구매할 수도 있다. 반려견 동반 입장이 가능하다."
경기도 양주시 백석읍 권율로847번길 7-11,,31,0.0,A02,A0202,A02020400,2789664,12,20211209001628,http://tong.visitkorea.or.kr/cms/resource/61/2795361_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/61/2795361_image2_1.jpg,126.9605584227,37.7740186695,6.0,20211214195400,1,18,,토담참숯가마,11518.0,"기산 저수지 인근에 위치해 찜질방 옆으로 맑은 계곡물이 흘러 여름철엔 이열치열 뜨거운 찜질방과 함께 차가운 계곡물을 함께 즐길 수 있는 숯가마찜질방이다. 오두막식 방갈로와 황토로 지은 방갈로 등 다양한 휴식공간이 준비되어 있다. 특히 바비큐장이 있어 화로를 대여할 수 있어 고구마, 감자를 구워 먹을 수 있고 원한다면 닭백숙과 돼지 바비큐도 맛볼 수 있다. 8,264m²(2,500 평) 황토숯가마 중앙에 대형 TV가 설치되어 있어 찜질과 함께 여유를 즐길 수 있고, 부대시설로 남녀공용 휴게실과 남녀전용 휴게실이 따로 구분되어 있다. 식당과 스포츠마사지실이 있고 주차시설이 완비되어 있다."
경기도 양주시 장흥면 권율로 120,,31,0.0,A02,A0202,A02020600,2764961,12,20211029200638,http://tong.visitkorea.or.kr/cms/resource/31/2765031_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/31/2765031_image2_1.jpg,126.9505440668,37.7251130744,6.0,20220411111504,1,18,,두리랜드,11520.0,"탤런트 임채무 씨가 운영하는 곳으로 청소년에게는 사랑과 우정을, 어른들에게는 동심의 추억을 되찾아 드리는 남녀노소 누구나 즐길 수 있는 휴식공간이며 콘테츠 문화공간이다. 놀이공원의 규모 자체는 작지만, '어린이들을 위한 놀이 공간'으로 만들어져 가족 단위 관광객들이 많이 찾는 놀이동산으로 임채무 씨가 사비를 110억 투자했다고 한다. 스윙거, 회전목마, 우주전투기, 미니기차, 바이킹, 점프보트, 시뮬레이터, 범퍼카, 두리 체험카니발, 코인이용 놀이시설, 해골 왕국, 에어밧데리카, 키키 빌리지까지 총 13기종이 있다."
경기도 양주시 고덕로 187-55,(덕계동),31,0.0,A02,A0202,A02020100,2764950,12,20211029200333,http://tong.visitkorea.or.kr/cms/resource/12/2765012_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/12/2765012_image2_1.jpg,127.0640508693,37.8044531036,6.0,20220412162458,0,18,,고덕생활체육공원,11460.0,"양주시에 있는 스포츠 시설로 인조잔디 축구장과 육상 트랙, 체력단련시설, 인조 풋살구장, 농구 연습장과 관람석 801석으로 조성되어 있다. 봄에 벚꽃이 만개하면 고장산으로 연결된 산책로엔 하늘을 가릴 정도로 온통 하얀 벚꽃으로 덥혀 가족과 함께 운동하며 즐길 수 있는 체육시설이다"
경기도 양주시 장흥면 권율로 322-60,,31,0.0,A02,A0203,A02030600,2754497,12,20211007193248,http://tong.visitkorea.or.kr/cms/resource/06/2754206_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/06/2754206_image2_1.jpg,126.9582790525,37.7397809498,6.0,20211007193248,0,18,,장흥한옥수영장,11519.0,"장흥한옥수영장은 2017년 친환경 미네랄 해수풀 재단장 공사로 서북권 최고의 수질과 시설로 4면이 숲으로 둘러싸인 한국 무형문화재 전통한옥 복원팀이 혼을 담아 지은 약 14,800㎡의 전통 웰빙수영장을 즐길 수 있다. 서울, 수도권에서 30분 이내, 의정부와 구파발, 일산에서 20분 거리에 있는 국내 유일의 전통한옥 휴양지다. 최소한의 소금을 이용한 전기분해방식의 살균시스템으로 화학 소독제를 전혀 쓰지 않는 친환경 살균방식으로 수영장물에서 소독약 냄새가 나지 않고 아토피가 심한 어린이들도 안전하게 수영할 수 있는 친환경 수영장이다."
경기도 양주시 부흥로1399번길 15,(유양동),31,0.0,A02,A0201,A02010700,2754288,12,20211007010552,http://tong.visitkorea.or.kr/cms/resource/76/2754176_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/76/2754176_image2_1.jpg,127.0294656792,37.7857296593,6.0,20220526152747,0,18,,양주관아지,11498.0,"양주관아지는 경기도 양주시 유양동에 있는 조선시대의 관아지로 1999년 4월 23일 경기도의 기념물로 지정된 역사적 장소이다. 412년 동안 양주의 구읍(舊邑)이 있었던 곳으로 목민관이 살기 좋은 치세를 구상하던 장소인 금화정과 유양폭포, 그리고 1792년 정조대왕이 양주에 3일간 머물며 백성을 살피고 사대에서 활을 쏜 것을 기념하는 어사대비가 남아있다."
경기도 양주시 장흥면 권율로 194,,31,0.0,A02,A0202,A02020100,2754275,12,20211007004730,http://tong.visitkorea.or.kr/cms/resource/46/2754246_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/46/2754246_image2_1.jpg,126.9496384227,37.7311179147,6.0,20211007004730,0,18,,장흥돌고개유원지,11519.0,"서울에서 가까운 곳에 이러한 숲속 마을이 있다는 것이 믿어지지 않을 만큼 조용한 휴식을 원하는 이들의 요구에 부응하듯 아름다운 숲과 계곡이 있는 장흥 돌고개유원지가 있다.  계곡이랄 것까지는 없지만, 골골 흐르는 물가의 양옆으로 펜션과 실버타운,  맛집들로 가득한 숲속 유원지로서 유명하다. 주변 종합 문화단지인 장흥 아트파크, 밤나무숲공원, 야생화공원, 권율장군묘, 놀이동산 등이 있어 전통과 문화를 함께 즐길수 있다."
경기도 양주시 장흥면 호국로 332,,31,0.0,A02,A0202,A02020100,2754270,12,20211007004428,http://tong.visitkorea.or.kr/cms/resource/13/2754013_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/13/2754013_image2_1.jpg,126.9532941299,37.7140810753,6.0,20211007004428,1,18,,그랜드유원지,11521.0,"서울 근교로 당일치기 물놀이 나들이가 가능한 곳으로 물 좋은 계곡에서 취사 및 바비큐까지 가능한 사유지로 개인이 운영하는 유원지이다. 텐트 야영은 금지되어 있으나, 낮 시간 동안에 텐트를 치고 물놀이를 하며 휴식을 취할 수 있어 아이들과 가족이 함께 계곡에서 하루를 보내기에 좋은 장소이다"
경기도 양주시 장흥면 권율로 169,,31,0.0,A02,A0201,A02010800,2751570,12,20210930012659,,,126.9480913876,37.7295125175,6.0,20211208224025,0,18,,청련사,11519.0,"청련사는 827년(신라 흥덕왕 2년)에 안정사로 창건되었으며, 1395년(조선 태조 4년)에 무학대사 자초가 중창하였다는 설이 전해지고 있다. 이후 중창과 중수를 거듭하여, 1942년 주지 학봉이 법당을 중창하였으나, 한국전쟁 때 소실되었고 1965년에 복원하였다. 이후 2008년에 성동구 하왕십리에 있던 안정사를 장흥으로 이전하며 사찰 이름을 청련사로 이름을 바꾸었다."
경기도 양주시 장흥면 권율로 592,,31,0.0,A01,A0101,A01010600,2751550,12,20210930011814,,,126.9693997244,37.7585011917,6.0,20211105220553,1,18,,장흥자연휴양림,11519.0,"보편적으로 휴양림은 국립으로 운영되고 있지만, 이곳은 크라운제과에서 운영하는 아트밸리로 넓은 부지에 세계 최초로 시도되고 있는 드라이브스루(DiveThu)방식으로 경생조각작품전을 관람하는 곳이다. 33,000여 ㎡ 부지에 종합문화예술 테마파크로 조성하여 야외 곳곳에 있는 조각 작품을 차로 이동하며 구경할 수 있고 겨울에는 이곳에서 양주 눈꽃축제가 열리기도 하는 장소이다."
경기도 양주시 회천로 281,(고암동),31,0.0,A02,A0202,A02020100,2751365,12,20210929235003,http://tong.visitkorea.or.kr/cms/resource/54/2751354_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/54/2751354_image2_1.jpg,127.0709301174,37.828064366,6.0,20220412113330,0,18,,옥정체육공원,11457.0,"양주에 옥정지구 신도시를 만들면서 넓은 대지 위에 축구장, 농구장, 배드민턴장과 8개의 트랙을 갖춘 체육 시설을 조성하여 누구나 언제든 건강을 위해 땀 흘려 뛸 수 있도록 모든 시설을 제공하고 있다. 축구장을 자유롭게 사용할 수는 있지만, 일정 시간 대관하려면 양주시 시설관리공단의 인터넷 예약시스템을 통해 사전에 신청하여 사용할 수 있다. 체육공원 내에서는 자전거 탑승이 금지되어 있음으로 화장실 옆 자전거 보관소에 보관하고 편하게 운동을 즐길 수 있다."
경기도 양주시 백석읍 백은로 185,,31,0.0,A02,A0202,A02020100,2751290,12,20210929225234,http://tong.visitkorea.or.kr/cms/resource/96/2751396_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/2751396_image2_1.jpg,126.9833940975,37.8133533862,6.0,20221116175217,3,18,,백석생활체육공원,11503.0,"축구장, 야구장, 리틀야구장, 테니스장, 농구장, 족구장, 배드민턴장 등 다양한 체육 시설을 갖춘 체육공원으로 육상 트랙과 간단한 운동기구 등 생활체육시설도 갖추고 있다. 양주 불곡산이 보이고 공기 좋은 곳에 있는 이곳은 사람들이 붐비지 않아 어린이들과 함께 산책하며 운동하기에도 좋다."
경기도 양주시 월정로 14,(옥정동),31,0.0,A02,A0202,A02020700,2751283,12,20210929225011,http://tong.visitkorea.or.kr/cms/resource/21/2751421_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/21/2751421_image2_1.jpg,127.0811627046,37.8214847624,6.0,20221118155152,0,18,,선돌근린공원,11471.0,"옥정신도시를 조성하면서 마을의 경계를 나타내거나 농사의 풍요를 기원하는 대상으로 쓰였던 선돌(문화재로 지정)이 이곳으로 옮겨지며 선돌공원이라 이름 지어졌다. 공원에서는 양주의 캐릭터인 '감동이'를 만날 수 있으며, 독바위가 보이는 주변의 넓은 공간이 갑갑한 마음을 확 트이게 한다. 자연 소재로 동물 모양을 한 토피어스 정원이 있고 넓은 잔디밭이 조성돼 있어, 가족과 함께 산책을 즐기기에 좋은 공원이다."
경기도 양주시 은현면 강변서로 303,,31,,A02,A0202,A02020100,2751279,12,20210929224405,http://tong.visitkorea.or.kr/cms/resource/63/2751463_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/63/2751463_image2_1.jpg,127.0442612801,37.891595365,6.0,20210930013419,0,18,,신천생활체육공원,11426.0,"경기도 양주시와 동두천 경계에 있는 신천 생활체육공원은 29,300㎡ 부지에 축구장, 테니스장, 휴게실, 농구장, 인라인 경기장 등의 시설을 갖추고 있는 종합 체육공원이다. 또한, 파고라, 분수대, 어린이 놀이터, 조명 열주, 조명탑과 함께 공원 내 간단한 운동기구 등 다양한 생활체육 시설과 운동기구를 갖추고 있다. 체육시설을 대관할 경우 양주시 시설관리공단 통합예약 서비스(https:spots.yjfmc.o.k)를 통해 예약할 수 있다."
경기도 양주시 옥정동로7길 108,(옥정동),31,0.0,A02,A0202,A02020700,2751265,12,20210929201451,http://tong.visitkorea.or.kr/cms/resource/78/2751478_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/78/2751478_image2_1.jpg,127.0950336394,37.8221988195,6.0,20211006234436,0,18,,옥정중앙공원,11473.0,"tvN에서 방영된 사이코지만 괜찮아 제7회분에서 김수현(문강태 역)과 서예지(고문영 역) 커플이 걷던 호수 위 산책로가 있는 공원이다. 음악분수와 함께 아름다운 야경이 장관을 이루어 드라마에서도 데이트 장면에 삽입되었다. 옥정중앙공원은 광장 내 무궁화 언덕, 김삿갓 광장, 쉼터, 음악분수, 공연장 등으로 구성돼 있고 축제를 위한 복합휴게공간도 마련되어 있다. 특히 여름철에 운영하는 음악분수는 그 물줄기가 다양한 조명에 어울리며 리듬에 맞춰 춤사위를 펼치는 환상적인 경관을 연출한다."
경기도 양주시 옥정동 889,,31,0.0,A02,A0202,A02020700,2748342,12,20210924020258,http://tong.visitkorea.or.kr/cms/resource/98/2748298_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/98/2748298_image2_1.jpg,127.0772740814,37.8245982183,6.0,20220412133845,0,18,,독바위공원,,"독바위는 삼국시대에 고구려 것으로 추정되는 토각이 발견되어 붙여진 이름이며, 거대한 독바위 보루가 있고, 야외공연장과 맞은편에 갈대밭이 조성되어 있어 가족과 연인끼리 산책하기 좋은 곳이다. 길 따라 독바위 전망대까지 거리는 짧지만 가파르게 철계단 등으로 연결되어 있으며 양주시 전망을 내려다 보며 즐길 수 있다."
경기도 양주시 광사로 131-66,(광사동),31,0.0,A02,A0202,A02020700,2724713,12,20210708005757,http://tong.visitkorea.or.kr/cms/resource/56/2670556_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/2670556_image2_1.jpg,127.0818497786,37.7858528145,,20210727030524,1,18,,양주 나리공원,11494.0,"경기도 양주시에 있는 공원으로 계절마다 다양한 꽃들을 구경할 수 있다. 특히 9월엔 '천만송이 천일홍 축제'가 열리고 있으며, 다양한 행사가 열린다. 핑크뮬리에서 사진을 찍기 위해 많은 사람들이 찾는 사진 명소이기도 하다. "
경기도 양주시 백석읍 기산로 472,,31,0.0,A01,A0101,A01010600,2712562,12,20210330005433,,,126.942193438,37.7738766886,6.0,20221014142959,0,18,,국립아세안자연휴양림,11518.0,"장흥유원지의 인근에 위치하고 있는 아세안자연휴양림은 서울을 비롯한 인천 일산 의정부 등에서 1시간 이내의 근거리에 있어 수도권에서 가장 접근성이 좋은 자연휴양림이다. 또한 한·아세안간의 우호증진과 외국인근로자 및 다문화 가정의 사회적 화합을 유도하기 위하여 아세안 전통가옥을 테마로 조성하여 숙박시설로 활용하고 있어 다양한 해외의 문화체험과 숲체험을 동시에 경험할 수 있다. 휴양림 주변은 신갈나무, 졸참나무, 상수리나무 등 참나무류가 주종을 이루고 있으며, 골짜기 및 능선을 따라 크고 작은 기암이 있고 안고령 유원지로 이어지는 계곡에는 작은 폭포 및 소 등이 펼쳐져 있어 수려한 자연경관을 보유하고 있다."
경기도 양주시 장흥면,,31,0.0,A01,A0101,A01010900,2703426,12,20210111194732,,,126.9828219993,37.7137177596,6.0,20220519194440,0,18,,송추계곡,11522.0,"경기 양주시 장흥면 울대리에 위치한 계곡으로 북한산국립공원에 속해있으며, 소나무와 가래나무가 많은 계곡이라 하여 붙여진 이름이다. 계곡 주변에는 소나무, 국수나무, 당단풍나무 등 울창한 숲과 기암괴석이 계곡물과 조화를 이루어 수려한 경관을 자랑한다."
경기도 양주시 광사로 131-66,,31,0.0,A02,A0204,A02040800,2670558,12,20200903182557,http://tong.visitkorea.or.kr/cms/resource/56/2670556_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/2670556_image2_1.jpg,127.0818497786,37.7858528145,6.0,20220915104516,2,18,,나리농원,11494.0,전국 최대 규모의 천일홍 꽃 군락지가 조성되어 있는 자연친화형 힐링 공간이다. 매년 9월  10월이면 계절별 꽃밭 등 아름다운 모습을 감상할 수 있다.
