addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경기도 양평군 서종면 수능리,262-44,31,,A01,A0101,A01010400,2846008,12,20220830144507,http://tong.visitkorea.or.kr/cms/resource/91/2845991_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/2845991_image3_1.jpg,127.3910833511,37.5708528803,6.0,20220830145113,1,19,,벗고개,12504.0,"벗고개는 양평군 양서면 목왕리와 수능리 경계에 있는 고개이다. 벗고개에는 두 지역을 관통하는 벗고개 터널이 있다. 가평 화악터널 쌈지공원과 함께 서울 근교 3대 별 조망 명소이다. 인근 양평군 구둔역 폐역 보다도 별이 더 잘 보이는 곳으로 유명하다. 주말이면 전국에서 별을 관찰하고 사진에 담기 위해 모여든 인파로 북적인다. 다만 해가 지면 빛이 전혀 없는 산골짜기이기 때문에 안전 운행해야 한다. 일반 관광지처럼 주차장이나 편의 시설도 없고, 벗고개를 관리하는 조명이 있지 않기 때문에 주의해야 한다. 어둠이 벗고개를 찾아올 무렵이면 하늘에 별이 한가득하다. 벗고개는 금방이라도 머리 위로 쏟아질 듯한 황홀한 경험을 선사해주는 곳이다."
경기도 양평군 서종면 화서로 973,,31,0.0,A02,A0203,A02030600,2799706,12,20211216010813,http://tong.visitkorea.or.kr/cms/resource/35/2799935_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/35/2799935_image2_1.jpg,127.4484099859,37.6223673934,6.0,20220720150058,0,19,,김명희 조형 스튜디오,12500.0,"""조형스튜디오는 산촌생태마을 체험관인 숲속학교 아래 계곡에 걸쳐 있는 작은 다리 하나를 건너면 바로 오른쪽에 위치하고 있다. 하얀색의 외관과 잔디밭이 멀리서도 눈에 띄는 조형스튜디오는 입구부터 눈을 즐겁게 한다. 마당 가득 작가의 테라코타 작품들이 전시되어 있다. 우리나라를 대표하는 흙공예작가 김명희 선생의 작업공간이자 전시공간인 김명희 조형 스튜디오이다. 김명희 선생은 중국 민간공예 특급대사 위청청선생에게 사사한 한국 유일의 제자로 흙공예 특히 흙으로 인형을 만드는 분야에서는 국내외에서 명성이 자자하다.
"""
경기도 양평군 양평읍 충신로 333-6,,31,0.0,A02,A0201,A02010400,2795956,12,20211214222610,http://tong.visitkorea.or.kr/cms/resource/86/2796386_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/86/2796386_image2_1.jpg,127.5059146913,37.4711026589,6.0,20220513100121,0,19,,양평 창대리 고가,12563.0,이 건물은 약 200년 전에 세워진 경기지방의 전형적인 주거 모습을 간직한 가옥이다. 작은 언덕을 뒤로하여 수목이 우거진 주위와 앞으로 넓게 트인 농경지를 바라보는 좋은 자연경관 속에 동남향의 이상적인 방위를 택하여 세워졌다. 전체적으로 튼 ㅁ자 형태를 이루고 있는데 ㄱ자형의 안채를 중심으로 서남쪽 바깥으로 사랑채가 있고 그 옆으로 대문간이 있으며 대문간에서 직각으로 꺾여서 외양간·헛간 등이 딸려 있고 안채 뒤에도 따로 헛간채가 마련되어 있다. 경기지방의 중류 가옥의 전형(典刑)을 이룬다.
경기도 양평군 용문면 광탄리 306-12,,31,0.0,A02,A0201,A02010700,2795938,12,20211214221902,http://tong.visitkorea.or.kr/cms/resource/19/2796419_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/2796419_image2_1.jpg,127.6347184285,37.5143888977,6.0,20221121113054,0,19,,택승정,12513.0,"이 정자는 남원양씨들이 궁술을 연마하던 도장으로 부근의 봉황정에서 정자 앞 광장 끝에 과녁을 세우고 활을 쏘아 무술을 익힘으로써 문무겸전한 인재를 길러내어 이 고장을 빛냈다고 한다. 『택승의 뜻은 못가에서 활을 익히는 것은 선왕의 법도를 '택'이라 하고, 예절을 지켜 정자에 오르고 내리는 군자의 도리를 '승'이라 한다""는 데서 비롯됐다. 건물은 팔작지붕에 한식 골기를 얹었으며 자연 초석 위에 원주를 세운 굴도리집이다."
경기도 양평군 개군면 불곡부처울길 65-30,,31,0.0,A02,A0205,A02050200,2793002,12,20211213221814,http://tong.visitkorea.or.kr/cms/resource/23/2796123_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/2796123_image2_1.jpg,127.5485336532,37.4501891963,6.0,20211214225748,0,19,,불곡리미륵불,12566.0,"칠읍산 줄기의 하나인 부처울 마을 산기슭에 위치한 미륵당 안에 봉안되어 있는 석불입상이다. 땅 속에 묻혀 있던 것을 약 200년 전에 발굴했다. 얼마 전까지는 현재 위치에서 5m 뒤쪽 건물밖에 현존하는 좌대 위에 직립해 있었다고 한다. 미륵불이 묻혔던 곳에 절을 지어 미륵사(彌勒寺)라 칭했으나, 오랜 세월이 지나는 동안 절은 폐사되고 미륵불만 남아 오늘날까지 이곳 주민들의 신앙의 대상이 되고 있다. 불상의 조성연대는 고려 중기의 작품으로 추정하고 있다."
경기도 양평군 단월면 석산리 산24,,31,0.0,A01,A0101,A01010400,2792997,12,20211213221621,http://tong.visitkorea.or.kr/cms/resource/58/2796158_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/58/2796158_image2_1.jpg,127.6144834093,37.6353550517,6.0,20211214230009,0,19,,소리산,12525.0,"높이는 479m로 그리 높지는 않지만, 산세가 험한 편이며, 주민들이 소금강이라고 부를 정도로 경치가 아름답다. 산속 바위 벼랑에 수리가 서식했다고 하여 수리산으로 부르다가 소리산으로 바뀌었다는 이야기가 전해진다. 숲이 울창하고 계곡이 아름다워서 여름이면 가족단위 휴양객들이 많이 찾는다. 정상과 주능선이 바위로 이루어졌고, 산음천에 쪽은 바위 절벽이다. 산음리와 석산리 사이에 있는 용소계곡은 기암절벽으로, 풍부하고 맑은 물과 함께 곳곳에 조약돌이 깔린 공간이 있어 휴식공간으로 인기가 높다. 매년 3월에는 소리산 고로쇠 축제가 열린다."
경기도 양평군 서종면 약수터길 23-5,,31,0.0,A01,A0101,A01010900,2792940,12,20211213215950,http://tong.visitkorea.or.kr/cms/resource/82/2796082_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/82/2796082_image2_1.jpg,127.4480545903,37.6179595656,6.0,20221125102207,2,19,,명달리계곡,12500.0,명달리는 경기도 양평군 서종면에 자리 잡은 두메산골마을의 지명이다. 이 마을은 경기도의 오지로 꼽힐 정도로 개발의 발길이 닿지 않은 곳이다. 현재도 손가락으로 꼽을 수 있을 만큼의 사람들만 이곳을 지키고 있다. 삼태봉 기슭의 명달리 계곡이 때 묻지 않은 태고의 자연생태를 그대로 간직하고 있는 이유다. 사람들의 발길이 많지 않았던 이유로 이 계곡에는 각양각색의 야생화가 아직도 풍부하게 남아있다.
경기도 양평군 서종면 화서1로 241,,31,0.0,A02,A0201,A02010700,2792937,12,20211213215844,http://tong.visitkorea.or.kr/cms/resource/63/2796363_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/63/2796363_image2_1.jpg,127.4278002388,37.6399677501,6.0,20211214232957,0,19,,노산사지,12500.0,"노산사는 주자, 송시열, 화서 이항로 세 분의 영정과 위패를 모신 사당이다. 이항로 선생이 생전에 주자와 송시열의 영정을 그려 모시고, 항상 경모하던 뜻을 받들어 주자를 주벽으로 하고 송시열과 화서를 동서로 모셨다. 원래 330m² (100여 평)에 이르던 사당이 6.25 전쟁 때 불타 없어졌다. 그후, 사림들이 화서 선생을 추모하고 그 도학 정신을 계승하고자 1950년 현 위치에 사당을 짓고 매년 9월 15일 제사를 지내고 있다."
경기 양평군 개군면 상자포리 산36-1,,31,0.0,A02,A0205,A02050200,2792927,12,20211213215442,http://tong.visitkorea.or.kr/cms/resource/77/2796377_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/77/2796377_image2_1.jpg,127.547595909,37.4134045494,6.0,20221123160938,0,19,,상자포리마애여래입상,12568.0,"양평군과 여주시 접경지역인 개군면 상자포리 파사산 서북쪽 장고개 중턱, '상자포리 마애여래입상'이 있다. 큰 바위의 앞면을 깎은 후 선으로 새긴 불상이다. 화려하지 않지만 전체적인 균형이 잘 맞다. 사각형의 얼굴, 길쭉한 돌기둥 형태의 신체, 각이 진 팔꿈치 표현 등으로 미뤄보아 고려 전기의 불상으로 추정된다. 불상이 있는 자리에서 남한강이 보인다. 조선시대 여주는 교통의 요지로 번성했다. 당시의 융성함은 사라졌지만 뱃길을 오가던 이들의 여정을 두루 살피던 마애대불의 온화한 미소는 여전히 남았다."
경기도 양평군 서종면 수입리 381,,31,0.0,A01,A0101,A01010900,2792904,12,20211213214255,http://tong.visitkorea.or.kr/cms/resource/00/2796100_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/2796100_image2_1.jpg,127.3861123228,37.6413723793,6.0,20221129095021,0,19,,벽계구곡,12500.0,통방산(650m) 삼태골에서 발원하여 노문리와 수입리를 거쳐 북한강으로 흘러드는 계곡이다. 가마소를 비롯해 병풍소·박쥐소 등 깊은 소(沼)와 작은 폭포들이 이어져 노문 8경의 하나를 이룬다. 폭이 넓고 수심이 얕은 데다가 곳곳에 천연 수영장이 많아 어린이를 동반한 가족 피서지로 적합하다. 입구에 조선 후기 성리학자였던 화서 이항로가 태어난 집터인 노산사지와 생가가 있다. 계곡 오솔길을 따라가면 돌기둥 일주암이 나오고 그 아래에 수심이 깊은 자라 소가 있다.
