addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경기도 여주시 금사면 장흥로 355,,31,0,A02,A0203,A02030100,2789691,12,20211209003543,http://tong.visitkorea.or.kr/cms/resource/37/2794737_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/37/2794737_image2_1.jpg,127.4908739045,37.3912894061,6.0,20221116100231,0,20,,장흥리 산촌생태마을,12602,경기도 여주군 금사면에 있는 산속 호수가 있는 아담한 마을이다. 이른 봄 호수 옆으로 벚꽃이 만개할 때면 최고의 풍경을 자랑한다. 마을 뒤로 나지막한 산지가 있으며 앞으로는 주록천이 흐른다. 산속 호수 주변으로 산책로와 예쁜 쌈지공원이 있고 마을 뒤로 상두산 트레킹 코스와 체육공원 갖춰져 있어 단체 워크샵이나 가족들의 추억여행 코스로 안성맞춤인 곳이다. 마을 안에는 경순 군주와 변 씨의 자손들이 대대로 살아온 고택과 장흥리 사지가 있다.
경기도 여주시 금사면 장흥로 339,,31,0,A02,A0201,A02010400,2789663,12,20211209001401,http://tong.visitkorea.or.kr/cms/resource/31/2794731_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/31/2794731_image2_1.jpg,127.4887157556,37.3916893205,6.0,20211214035857,0,20,,장흥리변씨고택,12602,"금사면 장흥리 상두산 내 남쪽 골짜기인 절골 장흥사 터 바로 옆에 있다. 변 씨 고택은 안채와 사랑채, 문간채 그리고 사당으로 구성되어 있다. 경기도에서 주로 나타나는 공간 형태와는 달리, 변 씨 고택은 ㄷ자형의 안채에 중문간채가 마주 보는 배치를 하고 있다. 또 사랑채는 서편에 별도의 영역을 형성하고 있으며 문간채가 서남쪽으로 비스듬하게 자리하고 있다. 여주 장흥리 변 씨 고택은 조선 시대 궁가의 재정 상황에 의해 한양에서 지방으로 내려온 후손들이 묘를 지키는 제청을 중심으로, 생활공간을 형성해온 과정이 각종 기록과 고문서로 남아 있어 학술 가치가 높다. 또 사랑채의 경우, 공간구성이 특이하며 창호 세부의 변화 과정을 살펴볼 수 있다는 측면에서도 가치가 있다."
경기도 여주시 강변유원지길 164,(연양동),31,0,A02,A0202,A02020100,2781746,12,20211126211624,http://tong.visitkorea.or.kr/cms/resource/61/2781861_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/61/2781861_image2_1.jpg,127.6719437835,37.289412839,6.0,20220701160506,0,20,,금은모래강변공원,12634,"여주 남한강 주변의 자연공원이다. 우리나라 최대 생태공원으로, 아이누리놀이터, 순환산책로 등이  있다. 또한 계절별로 다양하고 특색있는 식물들은 금은모래강변공원의 볼거리이다. 남한강을 따라 자리잡고 있기 때문에 저녁시간에는 남한강의 일몰 풍경을 감상할 수 있다. 공원의 주변에는 폰박물관, 명성황후생가유적지, 신륵사, 여주아울렛 등이 있다. 뿐만아니라 공원의 옆으로는 여주 금은모래캠핑장이 자리하고 있어서 금은모래강변공원 안팎으로 다양한 즐길거리가 있다."
경기도 여주시 가남읍 대명산길 98,,31,0,A02,A0202,A02020700,2777865,12,20211123182854,http://tong.visitkorea.or.kr/cms/resource/71/2777971_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/2777971_image2_1.jpg,127.5349142281,37.2017093544,6.0,20221209143911,1,20,,가남체육공원,12662,"가남체육공원은 가남면 태평리에 위치한 주민들을 위한 다목적 체육활동 공원이다. 2003년 설립되어 2010년 확장 준공을 마쳤으며 태극기공원과 운동장으로 이루어져있 다. 족구장, 테니스장, 국궁장을 보유하고 있으며 약 500석의 관람석과 1,200명의 수용이 가능한 인조잔디 축구장이 있다. 또한, 봄이면 공원에 피는 벚꽃들로 인한 절경을 감상할 수 있다."
경기도 여주시 능서면 영릉로 308,,31,0,A01,A0101,A01011300,2766859,12,20211102235736,,,127.6202952195,37.3052183983,6.0,20221206133856,0,20,,양섬,12642,"경기도 여주시에 소재하고 있는 자연공원으로 양섬은 4대강 사업으로 조성된 인공섬이다. 남한강 한복판에 자리한 이 섬은 400,000㎡ 가량의 넓은 면적을 차지하고 있다. 여주의 세종대교 인근에 있어 오토캠핑장과 차박 캠핑에 용이하도록 운영 중이었으나 현재는 국립공원으로 야영과 취사 금지되어 방문객들의 소풍 나들이 장소가 되었다. 양섬에는 잔디공원과 야구장뿐만 아니라 자전거도로 또한 잘 되어있다. 서울에서 멀지 않다는 것과 여러 가지의 요소로 인해 주말 나들이 방문객들에게는 안성맞춤의 장소이다."
경기도 여주시 대신면 여양로 1935-69,,31,0,A02,A0202,A02020700,2766846,12,20211102235618,,,127.5483019696,37.3936374068,6.0,20211208182428,0,20,,당남지구공원,12608,"경기도 여주시 대신면 당남리 섬에 있는 공원이다. 이포 대교에 있는 당남지구공원은 가을이면 코스모스와 더불어 핑크 뮬리가 만발한다. 수도권에서 1시간 거리에 있어 주말을 맞은 가족들을 위한 나들이 장소로서도 안성맞춤이다. 넓은 들판과 꽃밭으로 힐링하기 좋은 당남지구공원은 오토캠핑장으로도 인기 있다. 또한 인근에는 신륵사관광지, 금은모래강변공원 등이 있어 여주로 나들이 나온 방문객이라면 한 번쯤 찾아가 소풍을 즐기기에 좋은 장소이다."
경기도 여주시 강변유원지길 105,(연양동),31,0,A02,A0202,A02020100,2766840,12,20211102235437,,,127.6669274639,37.2931095421,6.0,20211110003055,0,20,,여주강변유원지,12634,"경기도 여주시 연양동 소재의 강변유원지이다. 여주 강변유원지에는 산책로가 잘 구성되어 있어 가을이면 화려하고 풍성하게 피어난 코스모스를 구경할 수 있을 뿐 아니라 다양한 놀이시설로 가족 단위의 나들이객들이 방문하기에도 더할 나위 없이 좋은 유원지이다. 또한, 야생초화원, 연꽃 연못 등 충분한 볼거리들이 자리하고 있다. 인근에는 금은모래 캠핑장, 신륵사, 명성황후 생가 등이 있어 여주의 아름다운 경치를 구경하는 것만으로 주말이 아깝지 않은 나들이 장소이다."
경기도 여주시 주내로 13,(상동),31,0,A02,A0202,A02020700,2766152,12,20211102181305,http://tong.visitkorea.or.kr/cms/resource/31/2766931_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/31/2766931_image2_1.jpg,127.6476097273,37.294411815,6.0,20220412161831,0,20,,영월근린공원,12634,"영월 근린공원은 남한강 둔치에 자리 잡은 영월루를 중심으로 조성된 공원이다. 인근에는 신륵사, 명성황후 생가, 목아 박물관 등이 위치해 있다. 지역주민들뿐 아니라 나들이객들을 위한 싱그러운 숲길은 아이들의 체험학습 장소로도 손색없다. 공원 숲길을 따라 걷다 보면 만나는 영월루와 다양한 우리 문화재들을 구경하는 재미가 있다. 영월 근린공원의 자랑인 영월루 전망대에 오르면 한눈에 아름다운 남한강 풍경을 내려다볼 수 있다."
경기도 여주시 대신면 여양로 1954,,31,0,A01,A0101,A01011300,2743841,12,20210913231914,,,127.5474490612,37.4008671095,6.0,20210914181928,0,20,,당남리섬,12608,"경기도 여주시 대신면에 위치한 당남리섬은 수도권의 대표적인 경관농업단지로, 유채꽃, 라벤더, 메밀꽃, 코스모스, 핑크뮬리 등 계절별로 다양한 꽃들이 피어나는 곳으로 유명하다. 여주시는 올봄 유채꽃, 핑크뮬리, 케나프를 약 14,700㎡ 규모로 조성하기도 했다. 5배이상 이산화탄소를 흡수하는 환경정화식물인 케냐프 숲을 전국 최대 규모로 조성중이다."
경기도 여주시 황학산수목원길 73,(매룡동),31,0,A01,A0101,A01010700,2665727,12,20200729234549,http://tong.visitkorea.or.kr/cms/resource/21/2665621_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/21/2665621_image3_1.jpg,127.6478296403,37.2774193383,6.0,20210823180952,0,20,031-887-2741,황학산수목원,12653,"황학산 수목원은 자연을 아끼고 사랑하는 사람들을 위한 자연과 인간이 교감할 수 있는 공간이다. 습지원, 석정원, 산열매원, 미니가든, 항아리정원 등 식물의 생태와 기능에 따라 특색화한 14개의 테마정원으로 이루어져 있으며, 멸종위기에 처한 단양쑥부쟁이, 층층둥굴레 등의 보전과 복원, 산림문화 및 휴양서비스 제공을 위해 노력하고 있다."
