addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
"경기도 연천군 양연로 1510 선사관리사업소, 전곡구석기유적관",,31,,A02,A0201,A02010700,2927041,12,20221201162619,http://tong.visitkorea.or.kr/cms/resource/35/2927035_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/35/2927035_image3_1.jpg,127.0592674742,38.0139674669,6,20221201162636,0,21,,연천전곡리유적,11027,"연천전곡리유적지는 한탄강변에 있는 30만 전 구석기시대 유물이 발견된 곳이다. 이 지역에서 주먹도끼, 사냥돌, 주먹 찌르개, 긁개, 홍날, 찌르개 등 다양한 종류의 석기가 발견되었다. 특히 유럽과 아프리카 지방의 아슐리안 석기 형태를 갖춘 주먹도끼와 박편도끼가 동북아시아에서 처음 발견되어 주목받고 있다. 유적지에서 가장 눈길을 끄는 곳은 전곡선사박물관이다. 이곳에서는 발굴된 아슐리안 주먹도끼를 볼 수 있고 인류의 진화과정을 모형으로 볼 수 있다. 인근에 임진강 북안의 현무암 절벽 위에 만들어진 고구려성인 연천호로고루와 고려 태조 왕건의 위패가 모셔진 숭의전을 함께 둘러볼 수 있다."
경기도 연천군 전곡읍 신답리,307,31,,A01,A0102,A01020200,2876179,12,20221026145611,http://tong.visitkorea.or.kr/cms/resource/64/2876164_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/64/2876164_image3_1.jpg,127.1035210597,38.0377571607,6,20221026145623,1,21,,좌상바위,11025,"좌상바위는 연천군 전곡읍 신답리 한탄강 주변에 약 60m 높이의 불뚝 솟아있는 바위산이다. 중생대 백악기 말에 화산활동으로 분출한 용암이 굳으면서 형성된 현무암으로 경관이 압도적이다. 좌상바위 주변 하천에는 현무암을 비롯한 미산 층의 퇴적 기원 변성암, 화강암, 응​회암, 각력암, 편마암 등을 한자리에서 볼 수 있어 지질교육에 중요한 장소이다. 주변에 있는 재인폭포, 백의리층, 아우라지베개용암 등 유네스코 한탄강세계지질공원을 함께 돌아 볼 수 있다.
 반려동물 동반가능(목줄, 배변봉투 지참)"
경기도 연천군 연천읍 고문리,산21,31,,A01,A0101,A01010800,2843976,12,20220825100442,http://tong.visitkorea.or.kr/cms/resource/38/2843938_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/38/2843938_image3_1.jpg,127.1287066867,38.070442691,6,20220825100457,3,21,,재인폭포 출렁다리,11018,"재인폭포 출렁다리는 한탄강 재인폭포에 있는 길이 80ｍ, 폭 2m의 출렁다리다. 연천군은 재인폭포에 관광객 유치를 위해 출렁다리와 함께 2.5㎞ 산책로와 1만㎡ 꽃밭 등 관광시설을 조성하였다. 출렁다리에서는 재인폭포의 절경과 한탄강의 주상절리를 한눈에 바라보며 즐길 수 있다. 한탄강 재인폭포는 18.5m의 현무암 주상절리 절벽에서 물이 쏟아지며 장관을 연출하는 곳으로 재인폭포를 포함한 한탄강 유역의 화산활동 지역들은 독특한 지질과 지형적 가치로 유네스코 세계지질공원으로 등재됐다. 출렁다리와 이어지는 나무 데크 길을 따라 한탄강 계곡을 따라 걸으며 스카이워크 전망대에 오를 수 있다."
경기도 연천군 군남면 옥계리,832,31,,A02,A0205,A02050600,2841299,12,20220823101922,http://tong.visitkorea.or.kr/cms/resource/60/2841260_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/60/2841260_image3_1.jpg,127.0355665015,38.1220182974,6,20220825162949,0,21,,그리팅맨,11005,"그리팅맨은 임진강 연강 나룻길이 조성되며 북한과 4km 떨어진 해발 200m의 옥녀봉에 설치된 인공 조형물이다. 연천 그리팅맨은 10m 높이로 북녘을 바라보고 머리를 숙여 인사하는 거인의 모습을 하고 있다. 향후 임진강 건너편인 북녘땅, 황해북도 장풍 마량산에 그리팅맨이 건립되면 남북에 서로 마주 보고 인사하는 조형물로 한반도 평화를 상징하는 상징물이 될 것이다. 그리팅맨이 15도 각도로 고개 숙여 인사하는 모습은 상대방을 존중하면서도 자신을 잃지 않는 상태를 의미한다. 주변에 연천삼곶리돌무지무덤과 임진강 댑싸리공원, 군남홍수조절지 두루미테마파크 등이 있다."
경기도 연천군 중면 삼곶리,422,31,,A01,A0101,A01010700,2841245,12,20220823100353,http://tong.visitkorea.or.kr/cms/resource/18/2841218_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/18/2841218_image3_1.jpg,127.0171734736,38.1313446498,6,20220928133051,2,21,,임진강댑싸리공원,11004,"임진강 댑싸리 공원은 연천 삼곶리 돌무지무덤 앞 약 3만㎡ 규모로 댑싸리 2만여 그루를 심어 공원으로 조성한 곳이다. 댑싸리 외에 황화 코스모스, 국화, 백일홍, 천일홍, 마리골드, 일일초, 칸나 등 다양한 꽃들도 볼 수 있다. 겸허, 청초한 미인의 꽃말을 가진 댑싸리는 8월 말부터 불긋불긋해지고 9월 초 분홍색과 빨간색, 주황색으로 물들어 이색적인 분위기를 연출한다. 임진강 댑싸리 공원은 가족, 연인과 조용히 자연을 즐기면서 인생 사진을 남길 수 있는 곳으로 서울 근교에 자리해 당일치기 여행이 가능하다. 주변에 태풍전망대와 군남홍수조절지 두루미테마파크 등도 함께 관광할 수 있다.
반려동물 동반 가능 (단, 개목줄 착용, 배설물 처리를 위한 비닐봉지 등을 구비한 이용객에 한하여 허용)"
경기도 연천군 백학면 노아로297번길 179-55,,31,0.0,A03,A0302,A03020700,2754432,12,20211007182015,http://tong.visitkorea.or.kr/cms/resource/27/2754427_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/27/2754427_image2_1.jpg,126.9536442986,37.9975146948,6,20221111134016,0,21,,자유로CC,11049,"'백학이 노닌다'는 연천군 백학면에 임진강 건너 휴전선이 코앞에 있는 자유로CC는 임진강건너 휴전선이 코앞 에 있는 오염되지 않은 공기로 때묻지 않은 청정한 자연을 느낄 수 있는곳이다. 각각 '대한', '민국', '통일'이라 이름 붙여진 나인 홀 세 개를 합쳐 총 27홀의 골프코스로 구성되어 있다. Faiway는 4계절 푸르른 양잔디로서 최상의 잔디 상태를 유지하고 있다."
경기도 연천군 전곡읍 선사로 14-71,,31,0.0,A02,A0203,A02030600,2753854,12,20211006221202,http://tong.visitkorea.or.kr/cms/resource/17/2754017_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/17/2754017_image2_1.jpg,127.058550828,38.0155061633,6,20211008185816,0,21,,한탄강어린이교통랜드,11027,어린이 교통랜드는 성장기 어린이를 대상으로 교통안전 이론과 교통문화 체험을 통해 교통사고를 예방하고 교통안전에 대한 중요성을 인식시키는 어린이 교통안전 체험장이다. 2008년에 설립하여 주로 단체 교육 프로그램을 운영한다. 연중 평일 개방하며 단체교육을 우선으로 한다. 개인 관람은 단체교육이 없는 날이나 단체 교육 종료 후 관람할 수 있다. 교육 인원은 프로그램별로 최소 5명최대 30명이다.
경기도 연천군 신서면 평화로 3282-76,,31,0.0,A01,A0101,A01010500,2735336,12,20210819234618,http://tong.visitkorea.or.kr/cms/resource/76/2735276_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/76/2735276_image2_1.jpg,127.1612210451,38.2366849576,6,20211207221853,0,21,,역고드름,11001,"연천군과 강원도 철원군의 경계에 있는 3번 국도, 철원군을 알리는 경계 표지판을 앞두고 차탄천을 가로지르는 작은 교량을 건너면 역고드름을 알리는 표지판이 나타난다. 평화누리길 12코스가 끝나는 곳, 평화누리길 자전거길 7코스로도 연결되는 역고드름은 군남홍수조절지역고드름까지 28.2km 구간에 있다. 역고드름(승빙)은 고대산 자락의 폐터널 속에 열리는데 낙숫물이 지면에 있는 빙주에 떨어지며 자라거나, 열 분자 압력으로 지하수가 상승하여 지상의 빙주 속에 들어가며 자라는 원리로 생긴다. 12월 중순부터 자라서 3월까지만 볼 수 있으며, 안전 문제로 외부 관람을 하는 것이 좋다."
경기도 연천군 군남면 군중로 134,,31,0.0,A02,A0202,A02020100,2735298,12,20210819231348,http://tong.visitkorea.or.kr/cms/resource/52/2735352_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/52/2735352_image2_1.JPG,127.045065365,38.1310729674,6,20210820181051,0,21,,연천로하스파크,11005,"'연천 로하스파크 생태습지로 불리지만, 옥계마을 습지공원으로도 알려져 있다. 각종 포털 지도를 이용할 때는 연천 로하스파크로 검색하면 수월하다. 2008년2009년에 계단식 논을 살려서 생태습지로 조성했다. 생태습지에는 야생화와 수생동식물이 공존한다. 개구리가 많고 뱀도 출몰하기 때문에 반드시 정해진 길로 다녀야 하며 습지라 벌레가 좀 많은 편이다. 여름에는 시원한 수풀과 가을에는 전망대에 올라 로하스파크 풍경을 감상할 수 있다. 인근에 한옥 카페가 있고 연천미라클타운 숙박시설도 가깝다."
경기도 연천군 연천읍 동막로25번길 181,,31,0.0,A02,A0202,A02020400,2735286,12,20210819230756,http://tong.visitkorea.or.kr/cms/resource/37/2735337_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/37/2735337_image2_1.JPG,127.0812438106,38.0896590238,6,20220929114038,0,21,,동막골유황천,11011,"경기도 연천에 위치한 웰빙건강 가족레저타운 찜질방이다. 초대형 시설 9,900제곱미터 규모로 680미터에서 나오는 온천수인 청정자연수와 최고 시설을 자랑한다. 인근 군부대의 신병교육수료자와 가족들이 편해 지낼 수 있는 편의시설이 있다. 동막사거리에서 연천교차로 방향 우측에 위치하고 있으며, 셔틀버스를 운행하고 주차는 무료이다. 소금방 황토방 등 다양한 찜질방과 대형 탈의실이 있으며 노래방과 책 코너도 갖추고 있다."
