addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경기도 오산시 경기대로 742,(외삼미동),31,0,A02,A0202,A02020600,2783564,12,20211130201710,http://tong.visitkorea.or.kr/cms/resource/93/2784493_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/93/2784493_image2_1.jpg,127.0490281165,37.1846608982,6,20220720143054,2,22,,죽미령평화공원,18112.0,"6·25 전쟁 및 유엔군 초전(오산(죽미령) 전투) 70주년이 되는 2020.7.5. 에 정식 개장한 오산 죽미령 평화공원은 6·25 발발 10일 만인 1950.7.5. 북한군과 유엔군 지상군(미 스미스 특수임무부대)이 첫 교전을 치러 많은 희생을 치렀던 죽미령(현 위치)에 조성된 역사공원이다. 1955년 미 제24사단에 의해 세워진 구 유엔군 초전기념비를 비롯해 1982년 확장 개수된 신 유엔군 초전기념비, 2013년에 건립된 유엔군 초전기념관과 2020.7.5. 에 개관한 스미스 평화관을 아우르는 총면적 134,014.7㎡ 의 공원으로써 전망대, 미러 폰드, 잔디마당, 평화놀이터 등 방문객들이 평화로운 여가를 보낼 수 있도록 구성되어 있다. 오산 죽미령 평화공원은 전쟁의 시작에서, 평화의 시작으로를 기치로 유엔군 초전이 한반도 평화와 자유 수호의 첫 번째 역사였음을 가치 있게 재조명하는 한편, 감사와 추모를 넘어 평화적인 미래로 나아갈 때 희생의 가치가 더욱 빛날 것이라는 비전 아래 평화문화 플랫폼으로써 새롭게 발돋움하고 있다."
경기도 오산시 내삼미동 240,,31,0,A02,A0203,A02030600,2753107,12,20211006003500,http://tong.visitkorea.or.kr/cms/resource/59/2753059_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/59/2753059_image2_1.png,127.0639241304,37.1795978598,6,20211006003500,5,22,,드라마 아스달 연대기 촬영지,,"아스달 연대기 촬영장은 경기도 오산 내삼미동에 위치하며, 태고의 당 아스에서 벌어지는 일을 담은 tvN의 한국 최초 고대 인류사 판타지 드라마 아스달 연대기의 세트를 직접 볼 수 있는 곳이다. 드라마에 나오는 아스달 입구, 장터, 3층 탑, 꿈돌 광장 중앙탑, 군검부, 해족의 청동관, 연맹궁 전경 등을 구경할 수 있다. 평일 현장 선착순으로 인솔자의 지도 아래 무료관람이 가능하다. 주말과 공휴일에는 사전예약자만 입장이 가능하다."
경기도 오산시 지곶동 산136,,31,0,A01,A0101,A01010600,2753093,12,20211006001817,http://tong.visitkorea.or.kr/cms/resource/69/2753069_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/69/2753069_image2_1.jpg,127.0180588086,37.1807996812,6,20211006001817,1,22,,독산성산림욕장,,"독산성 산림욕장은 오산시의 독산성 및 세마대지 주변의 산림 20만 7,000m²에 조성한 산림욕장이다. 1999년에 개장하였으며 오산 시민들의 심신단련 및 휴식공간과 어린이들의 자연 체험장으로 활용되고 있다. 전망대와 휴게공간, 숲속 교실, 피크닉장, 수목관찰로 등이 있으며, 각종 체력단련 시설과 모험 극기 시설 등이 마련되어 있다. 오산시 시티투어의 역사탐방 코스와 광역코스를 신청하면, 독산성 산림욕장의 둘레길 산책과 독산성 투어 두 가지를 체험할 수 있다."
경기도 오산시 수목원로 541,(세교동),31,0,A02,A0202,A02020100,2753061,12,20211005234747,http://tong.visitkorea.or.kr/cms/resource/72/2753472_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/2753472_image2_1.jpg,127.0421427743,37.1794558214,6,20211006185454,1,22,,죽미체육공원,18107.0,"죽미체육공원은 경기도 오산시 금암동에 있는 시민을 위한 레저 공간이다. 축구장, 체육관, 테니스장, 암벽등반장, X게임장, 족구장, 농구장, 배드민턴장, 풋살장이 있어 다양한 스포츠를 즐길 수 있으며, 여름에는 워터파크를 개장하여 물놀이를 즐길 수 있다. 스포츠 외에도 공원 곳곳에 있는 운동기구로 가벼운 운동을 할 수 있고, 인라인스케이트를 타거나 산책을 할 수 있다."
경기도 오산시 경기대로632번길 89,(내삼미동),31,0,A02,A0202,A02020600,2752952,12,20211005224318,http://tong.visitkorea.or.kr/cms/resource/88/2753388_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/88/2753388_image2_1.jpeg,127.059477175,37.1844583293,6,20211006022257,2,22,,오마이쥬,18112.0,"오마이쥬는 경기도 오산시 외삼미동에 위치한 작은 규모의 동물원이다. 어린이들이 구경하기 좋은 곳으로 동물에게 먹이주기와 같은 동물체험을 할 수 있으며, 점핑 키즈카페가 있어 체험 후 트램펄린에서 놀이를 즐길 수 있다. 오마이쥬에 가는 길에 오산의 명소인 별빛터널을 지날 수 있어 가족과 함께하는 나들이 코스로 들리기 좋다."
경기도 오산시 독산성로270번길 24,(지곶동),31,0,A02,A0202,A02020600,2752942,12,20211005223953,http://tong.visitkorea.or.kr/cms/resource/79/2753379_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/79/2753379_image2_1.jpeg,127.0306382787,37.1788529077,6,20211006022206,1,22,,어린이천문대 동탄관측소,18102.0,"어린이천문대 동탄관측소는 경기도 오산시 지곶동에 있다. 2012년 설립되었고 야외 관측소와 야간 관측돔이 있으며 다양한 체험 프로그램을 운영한다. 또한 직접 개발한 천문프로그램을 통해 어린이들에게 우주 속에 숨은 과학적 지식을 알려주고, 만들기 실습을 통해 어린이들의 공간 지각능력과 천문학 지식을 동시에 익힐 수 있도록 한다."
경기도 오산시 지곶동 407-2,,31,0,A01,A0101,A01011800,2752932,12,20211005223549,http://tong.visitkorea.or.kr/cms/resource/73/2753373_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/73/2753373_image2_1.jpg,127.0195311378,37.1721590401,6,20211116234955,2,22,,서랑지,18102.0,"서랑지는 경기도 오산시 서랑동에 위치한 저수지로, 오산시에서 거의 유일하게 농촌의 풍경이 남아있는 서랑동의 중심에 있다. 겨울에는 눈썰매장이 개장하여 눈썰매를 탈 수 있다. 낚시는 불가능하며, 저수지 주변으로 데크 산책로가 있고 서랑 문화마을과 연결된 길이 있어 산책하기에 좋다. 주변에 독산성과 고인돌공원, 죽미령 평화공원 등 오산의 가볼 만한 곳이 모여 있어 여행 중 들리기 좋다."
경기도 오산시 북삼미로 40,,31,0,A02,A0203,A02030600,2733074,12,20210811235343,http://tong.visitkorea.or.kr/cms/resource/79/2733079_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/79/2733079_image2_1.jpg,127.0623298252,37.1797700344,6,20210812000035,5,22,,오산 드라마세트장,18112.0,"경기도 오산시 내삼미동에 위치한 드라마세트장에는 2개의 세트장이 위치하고 있다. 상고 시대를 배경으로 한 '아스달 연대기'은 이국적이고 웅장한 규모의 세트장이며, 대한제국 황실 정원을 모티브로 한 고풍스러운 '더 킹 : 영원의 군주' 세트장은 노란 은행나무가 인상적인 세트장이다. 촬영지인 관계로 자유관람이 불가하며 안내자의 인솔과 해설을 통해 관람이 가능하다. 관광 편의시설이자 관광객 안내센터인 어서오산 휴(休)센터에서는 포토존의 역할 뿐만 아니라 오산시 20대 청년들이 모여 예비마을기업으로 성장한 '오산청년 카페'가 자리잡고 있어 관람객들의 휴식공간 및 세트장의 전경을 바라볼 수 있는 전망대의 역할을 하고 있다."
경기도 오산시 경기대로 742,,31,0,A02,A0201,A02011000,2733063,12,20210811230904,http://tong.visitkorea.or.kr/cms/resource/64/2733064_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/64/2733064_image2_1.jpg,127.0490281165,37.1846608982,6,20220929103035,1,22,,오산 죽미령 평화공원,18112.0,"6·25전쟁 및 유엔군 초전(오산(죽미령) 전투) 70주년이 되는 2020.7.5.에 정식 개장한 오산 죽미령 평화공원은 6·25 발발 10일만인 1950.7.5. 북한군과 유엔군 지상군(미 스미스 특수임무부대)이 첫 교전을 치러 많은 희생을 치렀던 죽미령(현 위치)에 조성된 역사공원이다. 1955년 미 제24사단에 의해 세워진 구 유엔군 초전기념비를 비롯해 1982년 확장개수된 신 유엔군 초전기념비, 2013년에 건립된 유엔군 초전기념관과 2020.7.5.에 개관한 스미스 평화관을 아우르는 총면적 134,014.7㎡ 의 공원으로써 전망대, 미러폰드, 잔디마당, 평화놀이터 등 방문객들이 평화로운 여가를 보낼 수 있도록 구성되어 있다. 오산 죽미령 평화공원은 전쟁의 시작에서, 평화의 시작으로를 기치로 유엔군 초전이 한반도 평화와 자유 수호의 첫 번째 역사였음을 가치있게 재조명 하는 한편, 감사와 추모를 넘어 평화적인 미래로 나아갈 때 희생의 가치가 더욱 빛날 것이라는 비전 아래 평화문화 플랫폼으로써 새롭게 발돋움하고 있다."
경기도 오산시 오산천로 52,,31,0,A02,A0202,A02020700,2733049,12,20210811224652,http://tong.visitkorea.or.kr/cms/resource/50/2733050_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/50/2733050_image2_1.JPG,127.0645557783,37.1383054241,6,20221128172429,5,22,,맑음터공원,18130.0,"맑음터공원은 비위생매립지와 제2하수처리시설 부지 위에 조성된 대규모 생태공원으로, 공원 뿐만 아니라 생태체험관(에코리움), 각종 체험시설도 조성되어 시민의 문화 휴식 및 여가 공간을 제공한다."
