addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경기도 용인시 기흥구 동백중앙로54번길 50,(중동),31,0,A02,A0201,A02010800,2792841,12,20211213212450,http://tong.visitkorea.or.kr/cms/resource/26/2798326_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/26/2798326_image2_1.jpg,127.1671401974,37.2637344185,6.0,20221202141618,0,23,,보구정사,17014.0,"경기도 용인시 기흥구에 있는 사찰로 보구정사란 부처님의 말씀과 법을 영원히 지키고 보호하겠다는 뜻이 담겨 있다. 무엇보다 보구정사는 7080 콘서트를 겸한 연빛 축제가 열리는 사찰로 유명하다.  7,80년대 인기곡을 산사에 울리는 통기타 소리와 함께 즐길 수 있다. 빛의 축제인 루미나리에게 함께 열려 용인의 야경 명소로 사랑받는다."
경기도 용인시 처인구 포곡읍 에버랜드로 199,,31,0,A02,A0202,A02020600,2757454,12,20211015003914,http://tong.visitkorea.or.kr/cms/resource/09/2757509_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/09/2757509_image2_1.jpg,127.2013390401,37.2933788242,6.0,20221117112535,1,23,,애니멀원더스테이지에버랜드,17023.0,"인간과 자연이 함께 살아가는 곳이라는 테마를 가지고 구성된 애니멀 원더월드이다. 7가지 테마 공간에서 동물 친구들과 직접 어울릴 수 있다. 열대우림에 사는 화려한 부리의 코뿔새, 중동부 아프리카에서 온 커다란 발톱을 가진 자카, 보통 여우에 비해 귀가 큰 사막 여우 등 새롭고 신기한 3종 23마리의 동물들을 만날 수 있다. 매, 흰머리수리 등의 맹금류와 각종 새들을 한자리에서 볼 수 있는 판타스틱 윙스를 관람할 수 있다. 사자, 호랑이, 곰 등의 맹수를 사파리 월드 와일드 트램을 타고 관람할 수 있다."
경기도 용인시 수지구 동천로 484,(동천동),31,0,A02,A0201,A02010800,2757161,12,20211014183559,http://tong.visitkorea.or.kr/cms/resource/11/2774111_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/11/2774111_image2_1.jpg,127.0559451181,37.3487864621,6.0,20211208183031,0,23,,미륵사,16802.0,"용인시 수지구 고기리에서 동천동 방향, 일명 말구리고개에 있다. 1980년 주허 스님이 세운 작은 암자가 시작이다. 나무로 만들어진 천수천안관세음보살을 모시고 있다. 후벽에는 현세불인 석가모니 천불상이 있다. 보사전 동쪽 벽면에는 삼장탱화와 신중탱화가 있다. 안쪽으로 올라가면 사찰 법당 중 비로자나불을 본존불로 하는 대적광전이 있다."
경기도 용인시 수지구 광교마을로 128,(상현동),31,0,A02,A0202,A02020700,2751835,12,20210930182911,http://tong.visitkorea.or.kr/cms/resource/30/2751830_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/30/2751830_image2_1.jpg,127.0773974612,37.2948875354,6.0,20221206110902,0,23,,상현레스피아,16943.0,"용인시 수지구 상현동 하수처리장을 지하로 배치하고 상부에 축구장과 풋살장, 족구장 등 다양한 체육시설을 만들었다.  체육시설은 누구나 이용할 수 있고 단체로 행사 등을 진행하는 경우 용인시 관계 연락처를 통해 허가를 받아야 한다. 통계상 국내 네 명 가운데 한 명꼴로 반려동물을 키우는 시대에 발맞추어 반려견을 위한 놀이터를 갖춘 공원이다. 안전을 위해 중소형견과 대형견 입장 구역 문이 별도로 마련되어 있다."
경기도 용인시 처인구 이동읍 묵리 산81,,31,0,A01,A0101,A01011800,2751828,12,20210930182105,http://tong.visitkorea.or.kr/cms/resource/23/2751823_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/2751823_image2_1.jpg,127.2249622458,37.1823670917,6.0,20221115103851,0,23,,용덕지,,"용인 이동읍 묵리에 있는 저수지 산책로이다. 30분 정도 부담 없이 가볍게 산책 할 수 있다.  용덕저수지 산책로는 타로 카페 별꽃물 산책로를 시작으로 수변 쉼터, 왕벗나무, 목교, 전망 데크, 용덕낚시터, 안젤라 미술관으로 이어진다.  원점회귀 코스가 아닌 직선 코스라 시작점으로 다시 되돌아와야 한다. 저수지 둘레를 따라 데크길과 흙길이 번갈아 이어진다.  축조된 지 50년 넘은 계곡 저수지로 풍광과 일몰이 아름답다.  중간 중간 걷다가 쉴 수 있는 긴 벤치들이 있다."
경기도 용인시 처인구 남사읍 형제로17번길 78,,31,0,A01,A0101,A01011800,2751606,12,20210930015448,http://tong.visitkorea.or.kr/cms/resource/14/2752314_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/14/2752314_image2_1.jpg,127.1440148168,37.1538494915,6.0,20221114172617,1,23,,북리지,17118.0,"경기도 용인 화성산 자락에 있는 저수지이다. 산척동 반도 10차 아파트 단지와 화성 동탄물류단지 입구 등산로를 따라 북리 저수지까지 약 34Km 정도의 들길 산책로가 있다.  완만한 지형을 따라 전원주택 단지가 많다. 북리저수지에 있는 삼인낚시터는 붕어, 잉어 등 좌대 낚시를 하러 조사들에게 사랑받는 곳이다. 동탄, 용인 주민들이 가볍게 산책할만한 길이다."
경기도 용인시 처인구 남사읍 경기동로518번길 58,,31,0,A01,A0101,A01011800,2746700,12,20210917021616,http://tong.visitkorea.or.kr/cms/resource/13/2746613_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/13/2746613_image2_1.jpg,127.1691577355,37.1270141543,6.0,20221208174029,0,23,,창리저수지,17121.0,"호숫가 둘레 산책로를 걷다보면 노란 마타리가 무리지어 피어있고 반영과 일몰이 아름답다. 차로 5분 거리 창리에 선사시대 유적인 선돌이 있다.  창리천 건너편 감바위골 골짜기의 입구, 준일산업 공장 맞은편에서 선돌을 찾을 수 있다.  선돌의 크기는 길이 200cm, 너비 70cm, 두께 30cm이며, 재질은 응회암이다. 선돌의 전체적인 생김새는 긴 검을 거꾸로 세워놓은 모습이라 마을 사람들이 이 선돌을 '검바위'라고도 부른다. 선돌의 기능은 풍요를 기원하는 용도였을 것으로 추측한다."
경기도 용인시 수지구 포은대로 499,(죽전동),31,0,A02,A0202,A02020100,2736400,12,20210825193240,http://tong.visitkorea.or.kr/cms/resource/61/2739461_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/61/2739461_image2_1.jpg,127.1056717362,37.3282425121,6.0,20220411111037,0,23,,아르피아체육공원,16870.0,"기피시설이었던 하수처리장이 시민들이 선호하는 문화, 체육 공간으로 바뀌었다. 넓은 공간에서 가족, 친구, 동호회원 등 함께 또는 혼자서 즐길 수 있는 다양한 운동시설을 갖추고 있다. 어린이 놀이터도 있어 아이들과 즐거운 나들이 코스로도 좋다."
경기도 용인시 처인구 양지면 양대로 52,,31,0,A02,A0202,A02020100,2735015,12,20210819004019,http://tong.visitkorea.or.kr/cms/resource/29/2774129_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/29/2774129_image2_1.jpg,127.2886021812,37.2365841908,6.0,20220906091300,0,23,,양지체육공원,17158.0,"양지IC 바로 옆, 경기도 용인시 처인구에 위치해 있다. 인근 아파트 단지와 연계하여 남녀노소 누구나 운동, 여가, 휴식을 즐길 수 있는 다목적 체육공원이다.  계류연못, 테니스장, 놀이터, 화계, 축구장 등의 체육시설을 구비하고 있으며, 특히 마음껏 흙을 밟으며 놀 수 있는 모래놀이터는 도시에 사는 어린이들에게 친환경적인 놀이 기회를 제공한다. 또한 여성 축구회, 테니스클럽 등이 결성되어 시민들의 건강한 여가를 위한 공간으로 자리잡고 있다. 더불어 꽃잔디가 곱게 핀 산책로를 부담없이 거닐어 볼 수 있는, 사계절이 아름다운 체육공원이다."
경기도 용인시 수지구 신수로683번길 31,(풍덕천동),31,0,A02,A0202,A02020100,2735007,12,20210819003825,http://tong.visitkorea.or.kr/cms/resource/58/2738958_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/58/2738958_image2_1.jpg,127.0984695588,37.3301449403,6.0,20220412151655,0,23,,수지체육공원,16831.0,"풍덕초등학교 근처에 위치하고 있는 수지체육공원은 농구장, 테니스장, 인라인스케이트장 등의 다양한 운동시설을 무료로 이용할 수 있다. 단, 축구장은 예외이며, 용인시 수지체육회 홈페이지에서 예약 가능하다. 공원 내엔 각종 구기장 외에도 산책로와 트랙이 구비되어 있는데, 축구장 주변으로 걷기와 빨리 걷기 트랙이 있고, 게이트볼장 옆 정자부터 숲길로 이어지는 산책로가 있다. 숲길은 부담없이 걸을 수 있는 작은 동산으로, 숲길 들판에 돗자리를 펼치고 휴식을 취할 수 있다.  또한 공원 내에 미세먼지 농도 측정기가 있어 실시간 대기상태를 확인할 수 있다."
