addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경기도 의왕시 오매기백운산길 54-10 의왕어린이천문대,,31,,A02,A0202,A02020600,2859584,12,20220926145847,http://tong.visitkorea.or.kr/cms/resource/61/2859561_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/61/2859561_image3_1.jpg,126.9979334954,37.3568317139,6,20220926145858,0,24,,의왕어린이천문대,16065.0,"의왕어린이천문대는 경기도 의왕시 오전동에 있다. 어린이 천문대는 천체관측 시설과 천문 연구 활동을 중심으로 어린이에게 우주과학 및 자연과학에 대한 흥미와 관심을 고취하며, 주어진 문제를 창의적으로 사고하고 해결할 수 있는 능력을 함양케 하는 데 목적이 있다. 아빠와 함께하는 천체여행, 일일 천문 체험, 일일 별자리 체험 등 다양한 프로그램을 진행하고 있다. 반짝이는 별을 바라보면서 또는 관련 만들기를 통해 우주의 경이로움을 느끼고 과학적 사고력을 키울 수 있다."
경기도 의왕시 문화예술로 65,(내손동),31,0.0,A02,A0202,A02020100,2749170,12,20210924201939,,,126.9849674131,37.3780068044,6,20220412152738,1,24,,갈미한글공원,16038.0,"갈미 한글공원은 의왕시에서 태어난 국어학자 이희승 박사를 기념하여 만들어진 공원으로, 한글을 본떠 만든 조형물과 자연이 어우러져 있는 휴게 공간이다. 푸르른 자연으로 둘러싸여 있어 사계절별로 다른 풍경을 느낄 수 있고, 곳곳에 자연과 한글 디자인의 조형물들이 어우러져 있어 독특한 분위기를 자아낸다. 넓은 잔디밭과 동산이 있어 산책하며 거닐기에도 적합하다. 이곳에선 점심, 저녁 식사 후 많은 사람이 산책을 즐기는 모습을 쉽게 찾아볼 수 있다. 특히 한글날에는 의왕시 주민들과 함께 하는 공연, 이벤트 등 다채로운 기념행사가 열리고 있다."
경기도 의왕시 갈미1로 75,(내손동),31,0.0,A02,A0201,A02010800,2749098,12,20210924200616,http://tong.visitkorea.or.kr/cms/resource/16/2749016_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/16/2749016_image2_1.jpeg,126.9691495298,37.3736236971,6,20221108175303,0,24,,용화사,16043.0,"경기도 의왕시 내손동에 위치한 대한불교 조계종 용화사는 1943년 금강산에서 온 화응 큰스님이 안양에 창건한 사찰로 2004년부터 의왕시에 자리하게 되었다.
도심 속 포교를 위한 사찰답게 지하 1층 지상 4층의 현대식 건물을 하고 있으며 지하 1층은 공양간과 목욕탕, 1층에는 주차장과 종무소, 2층은 대웅전과 미륵전, 3층은 관음전과 요사채, 4층은 산신각과 전통찻집으로 조성되어 있다."
경기도 의왕시 양지편로 41-2,(청계동),31,0.0,A02,A0202,A02020700,2745573,12,20210915232109,,,126.9956966089,37.3916915204,6,20221124154940,0,24,,가막들공원,16007.0,가막들 공원은 경기도 의왕시 청계동에 위치한 공원이다. 어린이 놀이터는 물론 어린이들이 탈 수 있는 집라인이 있어 어린이와 함께 나들이 가기에 좋은 공원이다. 또한 쉼터와 산책로가 있으며 곳곳에 운동기구가 있어 간단한 운동과 휴식을 취할 수 있다.
경기도 의왕시 오전로 18,(왕곡동),31,0.0,A02,A0202,A02020100,2743336,12,20210910231531,,,126.9823712694,37.3479546867,6,20221206142152,0,24,,고천체육공원,16066.0,"고천 체육공원은 경기도 의왕시에 있는 체육공원이다. 축구장, 테니스장, 농구장을 이용할 수 있고, 운동기구를 갖추어 놓아 원하는 운동을 할 수 있으며, 산책길도 조성되어 있다. 또한 여름에는 어린이 놀이터가 물놀이를 할 수 있는 놀이터로 바뀌어 어린이들과 함께 물놀이도 할 수 있다."
경기도 의왕시 내손공원길 39,(내손동),31,0.0,A02,A0202,A02020100,2743329,12,20210910231141,,,126.9831923123,37.3873501338,6,20211112215914,0,24,,내손체육공원,16028.0,"내손체육공원은 경기도 의왕시 내손동에 있다. 축구장, 농구장, 족구장, 게이트볼장 등은 물론 다양한 운동기구를 갖추고 있어 원하는 운동을 마음껏 즐길 수 있다. 또한 주차 빌딩이 있어 주차에 편리하다."
경기도 의왕시 부곡공원길 6,(월암동),31,0.0,A02,A0202,A02020100,2743324,12,20210910230425,,,126.9587687887,37.3146970099,6,20211112220050,0,24,,부곡체육공원,16104.0,"부곡체육공원은 경기도 의왕시 월암동에 있는 종합 체육공원이다. 다목적 체육관, 축구장, 농구장, 게이트볼장, 테니스장, 어린이 놀이터 등 각종 스포츠 시설을 갖추고 있어 다양한 운동을 즐길 수 있다. 특히 축구장은 인조 잔디 필드를 갖추고 있어 축구 경기를 하기에 좋다."
경기도 의왕시 안양판교로 500,(청계동),31,0.0,A02,A0203,A02030600,2743315,12,20210910225519,,,127.0249744497,37.393586269,6,20211229020755,1,24,,청계산 도깨비도로,16011.0,"의왕 도깨비 도로는 안양판교로(국지도 57호선)에서 성남으로 가는 길목이 있는 하우고개에서 갈라지는 초입에서부터 100m에 이르는 구간을 말한다. 이곳에서 자동차 기어를 중립으로 놓고 브레이크에서 발을 떼면 차가 뒤로 올라가는 신기한 현상을 경험할 수 있다. 이런 현상은 안양판교로를 건설하면서 우연히 발견되었는데 주변 지형과 환경에 의한 착시현상에 의한 것으로, 세워둔 차가 저절로 언덕 위로 거슬러 올라가는 신비로운 체험을 하게 된다. 의왕 도깨비 도로는 특히 다른 곳에 비해 착시현상이 매우 심하여 많은 사람이 찾고 있다."
경기도 의왕시 학의동 474-1,,31,0.0,A01,A0101,A01010700,2742135,12,20210909194856,http://tong.visitkorea.or.kr/cms/resource/21/2742121_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/21/2742121_image2_1.jpg,127.0131257831,37.3844648924,6,20210909194856,0,24,,뿌리깊은나무숲,,"뿌리깊은나무숲은 경기도 의왕시 학의동에 있는 어린이를 위한 자연학습장이다. 실내외 모래놀이, 자석낚시놀이, 어린이 미로공원, 계절별 수확 활동(감자, 고구마 캐기등)같은 체험 활동이 가능하다. 여름에는 미니풀장이 마련되고, 그외 계절에는 피크닉캠핑존 등으로 꾸며 다양한 체험이 가능하다. 자연을 자주 접하지 못하는 어른과 아이들에게 그 자체로 또 하나의 놀이동산이 되어준다."
경기도 의왕시 고천동 191-6,,31,0.0,A02,A0201,A02010800,2742116,12,20210909193636,http://tong.visitkorea.or.kr/cms/resource/05/2742105_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/05/2742105_image2_1.jpg,126.9655200598,37.3466406494,6,20221206151234,0,24,,오봉정사,,"오봉정사는 경기 의왕시 고천동의 물 맑고 공기 청정한 오봉산에 있는 사찰이다. 몽월대종사가 인간성 회복과 의식의 함양이라는 이념으로 1975년에 기존의 사찰을 중창하여 재창건했다. 이후 오봉정사는 기도와 영가신위 도량으로서 여러 가지 면모를 갖추어 가며 실내 납골당 건립계획에 힘써왔다. 사찰중심의 납골공원이지만, 기독교관, 천주교관도 있어 종교에 따른 선택이 가능하다."
경기도 의왕시 청계동 19-4,,31,0.0,A01,A0101,A01010500,2742075,12,20210909191543,http://tong.visitkorea.or.kr/cms/resource/66/2742066_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/66/2742066_image2_1.jpg,127.0343092635,37.4095456967,6,20221103102848,2,24,,청계산맑은숲공원,,"의왕시 청계동 194번지 일원의 청계산맑은숲공원은 의왕시의 자연환경 및 경관을 활용한 여가와 교류, 휴식의 공간이다. 숲에서의 피톤치드욕, 산림욕을 통한 자연치유력 증진과 정신건강 치료활동을 목적으로 지어졌다. 전나무와 메타세쿼이아 수종의 피톤치드욕과 산림욕을 즐길 수 있는 숲 치유 공간이 마련되어 있다.  더불어 휴게광장, 생활체육시설, 산책로등을 설치해 몸이 불편한 사람도 불편함 없이 이용할 수 있는 무장애 공원(Baiefee pak)으로 꾸몄다."
