addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경기도 의정부시 호국로1162번길 73,(의정부동),31,0,A02,A0202,A02020700,2736428,12,20210825201201,http://tong.visitkorea.or.kr/cms/resource/98/2768398_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/98/2768398_image2_1.jpeg,127.0326389098,37.7404099947,6,20211207225530,0,25,,직동 근린공원,11622,"직동 근린공원은 의정부시가 42만 7천㎡의 부지에 총 6천억 원을 들여 조성한 공원이다
공원은 칸타 빌라 정원, 청파원, 힐빙 정원, 피크닉 정원 등 모두 4개 구역으로 나누어져 있고 안골 계곡까지 산책로로 이어져 있다. 축구장과 같은 다목적 체육 시설이 있고 주민 커뮤니티 공간, 야외공연장, 광장, 숲 속 쉼터, 어린이 야외 체험장 등을 잘 갖춰 인근 주민들의 사계절 휴식처로 인기가 많다. 봄이면 벚꽃과 함께 수많은 꽃구경이 가능하고 가족단위 피크닉을 위한 정자와 쉼터, 의자들이 곳곳에 있다"
경기도 의정부시 용민로 205,(낙양동),31,0,A02,A0202,A02020700,2736404,12,20210825193950,http://tong.visitkorea.or.kr/cms/resource/75/2768375_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/75/2768375_image2_1.jpg,127.0922999383,37.7470741862,6,20220411110818,0,25,,낙양물사랑공원,11769,"낙양물사랑 공공하수처리시설은 민락2 지구에서 발생하는 하수를 완벽한 처리공정을 통해 깨끗한 물로 재생시켜 방류하여 수질 및 환경개선에 기여하고 있으며, 하수처리시설은 지하화 하고 상부는 공원화해 주민친화 공간 (물놀이시설, 어린이놀이 시설 등)으로 이용되고 있다.출처 : 의정부시청 홈페이지"
경기도 의정부시 민락로 296,(민락동),31,0,A02,A0202,A02020700,2736387,12,20210825191229,http://tong.visitkorea.or.kr/cms/resource/19/2768419_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/2768419_image2_1.jpg,127.1099733113,37.7475661158,6,20221128155427,0,25,,송산사지 근린공원,11814,"송산사에 딸린 숲을 보존하고 송산사의 역사적 의의를 담아 전통양식으로 조성된 공원이다. 수경시설이 아름답게 조성돼 있는데 연못을 따라 길게 이어져 있는 냇물은 전통 정원의 모습을 그대로 갖추고 있다. 송산사지는 고려 시대 여섯 분의 위패를 봉안한 사당 송산사가 있던 터로 현재는 복원하였다. 산책로와 배롱나무원, 소나무 숲, 배드민턴장, 전통마당, 전통정원 ,입구광장, 공원 계류, 홍살문 등 둘러볼 곳이 많다"
경기도 의정부시 장곡로 22,(장암동),31,0,A02,A0202,A02020600,2660910,12,20200624223338,,,127.0532963098,37.7071336855,6,20221115105056,0,25,,아일랜드캐슬,11723," 코로나바이러스감염증19 공지사항 내용 : 임시휴장 (2020.02.24  추후공지시까지)ua hef""https:koean.visitkoea.o.knoticenews_detail.donwsid8cdd65e159f149048c9884001e40911"" title""여행정보 변동사항 페이지로 이동""→ 코로나바이러스감염증19 여행정보 변동사항 확인하기au수도권 북부 최대 규모 워터파크를 갖춘 아일랜드캐슬 리조트에서는 사계절 내내 따뜻한 온천수로 수(水)치료와 물놀이를 즐길 수 있다. 호텔과 온천·사우나·찜질방 등 스파 시설, 실내·외 워터파크를 고루 갖춘 이곳은 누구와 함께 찾아도 유쾌한 힐링 명소다."
경기도 의정부시 동일로122번길 153,(장암동),31,0,A02,A0201,A02010700,1955869,12,20141014190933,http://tong.visitkorea.or.kr/cms/resource/50/1051350_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/50/1051350_image3_1.jpg,127.0629900702,37.7001207881,6,20220725153924,3124,25,,노강서원,11725,"1695년(숙종 21)에 지방 유림의 공의로 숙종 15년의 민비(閔妃) 폐출 때 죽음으로써 이를 충간(忠諫)하였던 박태보(朴泰輔)를 기리기 위해 노량진에 창건하여 위패를 모셨다. 1697년에 조윤벽(趙潤璧) 등의 청액소(請額疏)로 노강(鷺江)이라 사액되었으며 1754년에 중건되었다. 대원군의 서원 철폐 당시 훼철되지 않고 남은 47개 서원 중의 하나이며, 선현배향과 지방교육의 일익을 담당하여왔다. 그 뒤 6·25동란 때 소실된 것을 1968년 현재의 위치로 옮겨 복원하였다. 경내의 건물로는 사우(祠宇)·동재(東齋)·서재(西齋)·삼문(三門)·고직사(庫直舍) 등이 있으며, 사우에는 박태보의 위패가 봉안되어 있다."
경기도 의정부시 송산로939번길 98,(산곡동),31,0,A02,A0203,A02030600,1032289,12,20100527012149,http://tong.visitkorea.or.kr/cms/resource/21/2687521_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/21/2687521_image3_1.jpg,127.1002002199,37.7121339517,6,20220620175840,54850,25,,담다헌 체험교육관,11799,"담다헌은 경기도 의정부시 산곡동, 거문돌(검은돌) 마을에 소재한 떡체험교육관이다. 경기도 선정 떡명장, 박경애 명장님께서 설립하신 떡체험교육관으로 2009년 10월 23일에 개관하였다.즐기고 배울 것이 많은 곳, 담다헌에서는 떡만들기(떡케이크)를 비롯하여 양갱만들기, 메주만들기, 장담그기, 김장담그기, 두부만들기 등의 체험프로그램과 주말농장을 운영(매년 분양)하고 있다. 인스턴트와 서구음식위주의 식습관을 갖은 어린이, 청소년들에게 체험을 통하여 우리의 건강한 먹거리를 알리고 담다헌의 손쉬운 떡레시피로 각 가정에서 직접 떡을 만들어 먹을 수 있도록 우리 떡을 널리 알리기 위한 노력을 하고 있다. 앞으로도 담다헌은 떡을 세계화하기 위한 새로운 떡레시피와 디자인 개발을 위해 힘쓸 것이다. 담다헌은 2010년 12월 24일 농림수산식품부 우수체험공간으로 지정되었다. "
경기도 의정부시 호국로1309번길 7,(의정부동) 일대,31,0,A02,A0203,A02030600,612807,12,20080821015515,http://tong.visitkorea.or.kr/cms/resource/61/1775961_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/61/1775961_image3_1.jpg,127.0491428378,37.7446209136,6,20220818154225,33724,25,,의정부 부대찌개거리,11689,"1998년도부터 음식점들이 하나 둘 생겨난 의정부의 대표적 부대찌개거리는 햄, 소시지, 다진쇠고기와 김치, 고추장, 야채 등 양념을 혼합한 것이 특징이다. "
경기도 의정부시 전좌로155번길 262,(호원동),31,0,A02,A0201,A02010800,488093,12,20080226002915,http://tong.visitkorea.or.kr/cms/resource/16/1053716_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/16/1053716_image3_1.jpg,127.0276177307,37.7199928365,6,20220603100639,23633,25,,회룡사(경기),11641,"서울에서 의정부로 가는 전철 1호선에는 망월사역과 회룡역이 있다. 바로 사찰명을 그대로 역사의 이름으로 쓰고 있는 것인데, 그만큼 이 두 사찰은 이 지역에서는 의미있고, 유서 깊음을 보여주는 것이다. 그런데 왜 절 이름을 회룡(回龍)이라 했을까 여기에는 조선의 개국(開國)과 초기 격동의 역사와 깊은 인연이 있다. 한자를 그대로 풀어 본다면 용이 돌아온다는 뜻으로 용은 바로 조선을 개국한 이성계를 말함이다. 1881년(고종 18)에 우송(友松)스님이 쓴 「회룡사중창기(回龍寺重倉記)」에는 1398년(태조 7) 태조가 함흥에서 한양의 궁성으로 돌아오는 길에 왕사인 무학을 방문했는데, 무학은 1394년에 정도전(鄭道傳)의 미움과 시기를 받아 이곳 토굴에서 몸을 숨기고 있던 중 태조의 방문을 받았던 것이다. 태조는 여기서 며칠을 머물렀고, 이에 절을 짓고는 임금이 환궁한다는 뜻으로 그 이름을 회룡(回龍)이라 했다고 적고 있다.  현재 회룡사(回龍寺)는 북한산의 대표적인 비구니사찰로 여러모로 관음도량의 모습을 갖추고 있다. 때문인지 경내에 제일 먼저 눈에 띄는 것은 역시 석조관음보살상이다. 1987년 조성하였다는 이 관음보살상은 북한산을 오르는 등산객들을 위해 봉안했다고 한다. 등산객들이 등산화를 벗고, 법당에 들어가 삼배를 올리는 수고로움을 덜기 위해 이 보살상을 세워 지나는 도중에도 가벼이 예를 올릴 수 있도록 했다는 것이다. 한편 회룡사는 이성계가 왕위에 오르기 위해 백일기도를 하던 중 관세음보살을 친견하였다는 이야기도 전하고 있다. 일체중생의 어떠한 어려움도 구제해준다는 관세음보살. 바로 회룡사의 비구니스님들에게서 이 관세음보살의 모습을 찾아볼 수 있지는 않을까   창건배경 및 역사  회룡사의 창건에 관해서는 신라 때 초창되었다는 설과 조선 초에 창건되었다는 두 가지의 견해가 있다.우선 1977년 봉선사에서 발행한 『봉선사본말사약지(奉先寺本末寺略誌)에 의하면 절은 681년(신문왕 1) 의상스님이 창건하여 법성사(法性寺)라 불렀다고 한다. 창건 이후에는 930년(경순왕 3) 동진국사(洞眞國師)가 재창하고, 1070년(문종 24) 혜거국사(慧炬國師)가 3창하였으며, 다시 1384년(우왕 10) 무학대사(無學大師)가 4창하고, 1403년(태종 3)에 회룡사로 고쳐 불렀다고 되어있다.  그러나 무학대사 이전의 사실은 전하는 자료가 없어 신빙성이 떨어진다고 볼 수 있다. 권상로가 편찬한 『한국사찰전서(韓國寺刹全書)하권의 회룡사항에는 한결같이 무학대사에 의하여 1384년(우왕 10) 또는 1395년(태조 4)에 처음 창건되었다고 기록하고 있어 상반됨을 볼 수 있다. 또 조선 초기에 편찬된 『신증동국여지승람(新增東國輿地勝覽)양주목 불우조에도 망월사·영국사 등과 함께 도봉산에 있는 절로 나와 있어 무학대사의 창건설이 더 신빙성을 갖는다고 볼 수 있겠다.  한편, 조선 초기의 무학대사에 의한 창건 이후 절이 어떤 변천을 거듭하였는지는 전하는 기록이 없어 잘 알 수는 없으나 1630년(인조 8)에 예순(禮順) 비구니에 의해 중창되었다고 전해지며, 조선 후기까지 폐사되지 않고 법등을 이어 왔음은 정조 때 편찬된 『범우고(梵宇攷)를 통해 알 수 있다. 이후 조선 후기의 연혁은 1881년(고종 18)에 우송(友松)이 쓴 「회룡사중창기」와 사성(師誠, 1836～1910)의 문집인 『극암집(克庵集)에 나오는 「양주도봉산회룡사중수기」를 통해 비교적 상세히 알 수 있다. 이에 의하면 세월이 지나면서 절이 퇴락하자 1878년(고종 15)에 혜봉 최성(慧峯 最性)이 상궁 박씨의 도움으로 절을 크게 중수하였고, 1881년에는 경해당 원삼(慶海堂 圓三)과 함께 유명한 장인들을 모아 당우와 요사를 새로 지었다. 또 이때 채사(彩師)들을 초빙하여 지장탱, 신중탱, 현왕탱과 무학대사의 진영을 조성했는데, 시주자는 상궁 하씨와 조씨 등이었다.  20세기에 들어와서는 1938년 비구니 순악(順岳)스님에 의하여 요사 건립 불사 등이 이루어 졌으나, 1950년 한국전쟁으로 절은 폐허가 된다. 이후 도준(道準)스님이 1954년부터 복구에 착수하여 연차적으로 승당과 대웅전, 약사전, 선실, 요사 등을 복원하였다. 1971년에 대웅전을 새로 짓고, 1987년에 석조관음보살상을 봉안하였으며, 그 이듬해에는 범종각을 지어 사물(四物)을 조성 봉안하였다. 또 1996년에는 혜주(慧珠)스님이 극락보전과 삼성각, 노전채를 새로 지었으며, 2000년에는 선원인 취선당(聚禪堂)을 개축하였고, 2001년에는 성견(性見)스님이 삼성각을 증축하여 오늘에 이른다."
경기도 의정부시 망월로28번길 356,(호원동),31,0,A02,A0201,A02010800,347038,12,20071221221405,,,127.0281624229,37.7095746145,6,20220617173902,21177,25,,원효사(경기),11645,"원효사는 경기도 의정부시 도봉산 기슭에 위치한 대한불교조계종 제25교구 본사인 봉선사의 말사이다.뛰어난 자연환경으로 말미암아 도봉산 기슭에는 무수히 많은 사찰들이 자리잡고 있으며, 그 중에서 망월사(望月寺), 회룡사(回龍寺) 등과 함께 원효사는 도봉산의 대표적인 사찰로 손꼽히고 있다. 원효사가 위치한 곳은 맑은 계곡과 함께 도봉산의 여러 암봉들이 마치 병풍처럼 감싸 안고 있는 그야말로 명당 중의 명당이다.
구전에 의하면 이곳은 신라 선덕여왕 때 원효스님이 수도한 곳으로, 지금의 나한전이 바로 스님이 기도했던 토굴이라 전한다. 또한 이곳은 원효스님 이후에도 많은 선승들이 깨달음을 얻기 위해 정진하였던 곳이기도 하다.
이를 증명하듯 불기(佛器)를 비롯해 깨진 그릇, 수저, 기왓장 등 고려시대와 조선시대의 유물들이 다수 출토된 바 있다. 이중 주목되는 유물은 숭령보중(崇寧寶重)이라 새겨진 동전으로 숭령이라는 연호는 송나라 휘종(徽宗) 때인 1102년에서 1106년 사이의 5년간 사용된 것으로 이 때 만들어진 화폐이다. 그러나 애석하게도 현재 남아 있는 문헌자료에서는 이곳에 절이 있었다는 기록은 찾아지지 않는다. 현재의 원효사가 재창된 것은 1954년의 일이다. 비구니 우일스님이 이곳의 석굴을 발견하고 수도하면서 절을 세우게 되는데, 원효스님이 안거하며 기도하던 곳이라 하여 절 이름을 원효사라 하고, 이를 기리기 위해 경내에는 원효스님의 동상을 세웠다."
경기도 의정부시 동일로122번길 177,(장암동),31,0,A02,A0201,A02010800,318197,12,20071205194207,http://tong.visitkorea.or.kr/cms/resource/49/1052249_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/49/1052249_image2_1.jpg,127.0663147378,37.7011346184,6,20220526135757,22819,25,,석림사(경기),11725,"석림사(石林寺)은 경기도 의정부시 장암동 148번지에 자리한 대한불교 조계종 제25교구 본사인 봉선사의 말사이다. 서울에는 일반인들이 쉽게 찾을 수 있는 쉼터들이 여럿 있다. 그 중 석림사가 자리한 수락산은 도봉산북한산과 함께 서울 시민의 쉼터로 널리 알려져 있으며, 계절에 상관없이 이 산의 풍경을 만끽하기 위해 많은 등산객과 관광객이 찾아 든다. 수락 8경이라 불리는 금류폭포은류폭포옥류폭포를 비롯한 기암 괴석과 샘들, 그리고 석림사, 박세당 고택, 노강서원 등 인근의 문화재들은 수락산의 자연환경과 더불어 많은 이들의 심신을 부드럽게 해주며, 고요한 자아의 쉼터로서 그 역할을 다한다. 현재 옛 유구는 찾을 수 없고 조선후기 매월당 김시습이 읊조린 석림암기만이 남아 있다.눈에 보이는 옛 유구는 없지만 석림암은 반남박씨 박세당의 원찰로서 뿐만 아니라, 수락산의 정기를 이은 고찰로서 현대인들의 심신의 안식처로 자리매김하고 있으며, 경기도의 지장도량으로 거듭나고 있다."
