addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경기도 이천시 경충대로2709번길 388,(관고동),31,0,A02,A0201,A02010800,2795484,12,20211214195250,http://tong.visitkorea.or.kr/cms/resource/10/2795810_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/10/2795810_image2_1.jpg,127.4155810827,37.2814368581,6.0,20221201153419,0,26,,영월암,17379,"대한불교 조계종 제2교구 본사 용주사의 말사인 영월암은 경기도 이천시 관고동에 있다. 설봉산의 정상 부근에 해당하는 높은 곳에 있어 이천 시내가 한눈에 내려다보인다. 설봉산은 이천의 주산으로 이천 시민을 위한 몸과 마음의 안식처이다. 그래서 산 정상을 이천 시민의 꿈과 희망을 간직한 곳이라 하여 희망봉이라 부르고 있다. 설봉산 아래에는 2001 세계도자기 엑스포를 거행한 곳으로 관고저수지를 중심으로 이천도자박물관이  있고, 주변으로는 넓은 공원이 형성되어 있다. 편안하고 숲이 우거진 산으로 등산로가 조성되어 있어 이천 시민을 비롯한 많은 사람이 이곳을 찾고 있다."
경기도 이천시 신둔면 도자예술로 57,,31,0,A02,A0203,A02030600,2767711,12,20211103223813,,,127.385216814,37.2937737683,6.0,20221025145954,0,26,,예스파크,17306,"경기도 이천시 신둔면 고척리 약 410,000m² 공간에 도자기를 비롯한 공예, 미술, 음악, 조각 사진 등 300여 개의 현대식 건물 공방이 자리한 마을이다. 다섯 곳에 공영주차장이 있다. 공영주차장에 주차를 하고 자연과 동화된 조형물을 보며 산책을 하다가 도자기 판매점을 방문해 그릇을 구경하고 마음에 드는 도자기를 구입할 수 있다.  카페에 들러 차를 마시며 잠시 쉬어가도 좋다. 중부고속도로 서이천IC에서 차량으로 5분 거리에 있다."
경기도 이천시 애련정로 67-16,(안흥동),31,0,A02,A0202,A02020300,2764342,12,20211028183841,http://tong.visitkorea.or.kr/cms/resource/52/2764352_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/52/2764352_image2_1.png,127.4514918514,37.2768880365,6.0,20221117174445,1,26,,이천설봉온천랜드,17372,"이천에서 나오는 100 천연 온천수 물을 이용하는 온천이다. 안흥 유원지 내에 4층 건물로 1층에는 여탕, 2층에는 식당과 찜질방, 3층에는 남탕, 4층에는 가족탕이 있다. 24시간 운영하나 감염병 예방을 위해서 이용 시간을 제한하고 있다. 이천 종합 터미널에서 걸어서 10분 거리에 있다. 가까이에 족욕과 산책을 할 수 있는 이천 온천공원이 있다."
경기도 이천시 애련정로136번길 84,(창전동),31,0,A02,A0202,A02020700,2764307,12,20211028181640,http://tong.visitkorea.or.kr/cms/resource/98/2764398_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/98/2764398_image2_1.png,127.4523805072,37.2822485437,6.0,20220412162007,0,26,,이천온천공원,17362,"경기 이천시 안흥동에 위치한 도심 속 근린공원이다. 약 84,000m2의 공간에 다목적운동장, X게임장, 게이트볼장, 관리사무소, 케스케이드, 어린이 놀이터, 잔디광장, 정자, 휴게광장, 운동시설, 주차장 등이 있다. 2017년 12월 인접한 안흥 유원지에서 온천수를 끌어와 설치한 노천 족욕장이 있다. 공원 여기저기 조형물이 있어 가벼운 산책을 하며 둘러볼 수 있다. 서희청소년문화센터가 바로 옆에 있다."
경기도 이천시 경충대로2422번길 17,(진리동),31,0,A02,A0202,A02020100,2763852,12,20211027235550,http://tong.visitkorea.or.kr/cms/resource/54/2764154_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/54/2764154_image2_1.png,127.4601135382,37.2683002969,6.0,20220411112542,0,26,,복하천수변공원,17378,"경기 이천시 진리동 하천 옆에 있는 수변공원이다. 약 14,000㎡ 공간에 족구장, 배드민턴장 등의 운동 시설과 산책로, 화장실, 취사장, 어린이 놀이터가 있다. 일명 삼겹살 공원으로 불리며 취사가 가능한 공원이다. 하천 변에 30여대가 주차할 수 있는 주차장이 있다. 복하천 수변에 조성되어 경치가 좋으며 가족단위 야외활동에 좋은 장소이다. 복하천 변 자전거도로 이용객들에게도 쉼터로 활용되고 있다. 경강선 이천역에서 차량으로 5분 거리에 있다."
경기도 이천시 부발읍 무촌로18번길 130,,31,0,A02,A0202,A02020600,2763838,12,20211027235153,http://tong.visitkorea.or.kr/cms/resource/88/2763888_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/88/2763888_image2_1.png,127.4820002003,37.2769663601,6.0,20220411161313,0,26,,서희테마파크,17325,"경기도 이천시 부발읍에 있는 고려 시대 서희를 주제로 한 테마공원이다. 청소년들이 할 수 있는 역사 체험과 전시관, 체험관, 영상관, 추모관으로 구성한 복합문화의 공간이다. 서희 역사 산책로에는 국내 유명 조각가들이 인연의 시작, 서희의 성장, 여요전쟁, 영웅의 활약 4단계의 이야기로 나누어 제작하여 설치한 조형 작품이 있어 산책로를 거닐며 감상할 수 있다."
경기도 이천시 모가면 공원로 30,,31,0,A02,A0202,A02020100,2763848,12,20211027235133,http://tong.visitkorea.or.kr/cms/resource/47/2764147_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/47/2764147_image2_1.png,127.4426205423,37.1751607431,6.0,20220411112939,0,26,,민주화운동기념공원,17406,"민주화를 위해 산화한 열사를 추모하고 기념하기 위해 조성된 공원으로 경기 이천시 모가면에 있다. 약 42,000㎡ 공간에 기념관, 민주묘역, 유영봉안소, 방문객 휴게소, 관리사무소 등이 있다. 기념관은 휴무일이 있지만, 묘역, 야외 조형물, 민주 광장 등은 연중 개방한다. 전체를 대략 관람하는데 약 3시간 정도 소요된다. 중부고속도로 남이천IC에서 차량으로 1분 거리에 있다."
경기도 이천시 설성면 성호로 354,,31,0,A01,A0101,A01010500,2763831,12,20211027234519,http://tong.visitkorea.or.kr/cms/resource/54/2763954_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/54/2763954_image2_1.png,127.5265139614,37.140044099,6.0,20221124130730,0,26,,성호호수연꽃단지,17411,"경기도 이천시 설성면 장천리 성호 호수에 있는 연꽃단지이다. 수 면적 약 320,000㎡의 넓은 성호 호수와 접해 있다. 2007년 이천시에서 연꽃단지를 조성하여 오랫동안 자라온 연잎이 6월이면 초록으로 자라기 시작하여 한여름에 절정을 이룬다.  파란 하늘과 흰 구름 분홍색 연꽃이 어우러져 사진작가들을 부르는 사진 명소이다. 한적한 시골길을 지나서 단지에 도착하면, 단지 가운데 놓인 테크길이 어서 오라고 손짓하는 듯하다. 파란 연잎 사이로 핀 연꽃을 보며 힐링하기 좋은 곳이다."
경기도 이천시 경충대로2697번길,(관고동),31,0,A01,A0101,A01011800,2763828,12,20211027234026,,,127.4283661249,37.2783457809,6.0,20220628175759,0,26,,설봉저수지,17379,"경기도 이천시 관고동에 위치한 저수지이다. 관고동에 있어 관고저수지라고도 한다. 약 54,000 m2 면적에 둘레는 약 1Km로 둘레길을 걸으면 15분 정도 소요된다. 설봉공원이 가까이 있어 저수지와 설봉공원을 크게 외곽으로 돌면 1시간가량 걸을 수 있다. 설봉공원 한편에 이천시립박물관이 있다. 계절에 따라 변하는 자연풍광을 감상 할 수 있다."
경기도 이천시 부발읍 경충대로 1917,,31,0,A02,A0202,A02020600,2763821,12,20211027233759,http://tong.visitkorea.or.kr/cms/resource/51/2763951_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/51/2763951_image2_1.png,127.5025410276,37.2412430862,6.0,20211028195939,0,26,,도드람테마파크,17405,"경기도 이천시 부발읍에 있는 돼지복합문화 공간이다. 돼지를 테마로 돼지의 일생과 다양한 정보를 이해하고 직접 수제 햄을 만들 수 있는 체험스쿨과 키즈랜드, 신선한 농축산물을 구매할 수 있는 하나로마트, 맛과 품질의 도드람 한돈을 숯불과 함께 즐길 수 있는 도드람 바베큐하우스로 구성된 공간이다. 건물 층별로 1층에에 하나로마트와 바베큐하우스가, 2층과 3층에는 키즈랜드가, 4층에는 체험스쿨이 있다."
