addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경기도 파주시 장뜰길 335,,31,,A02,A0202,A02020100,2930328,12,20221205160628,,,126.9762512484,37.9736595565,6.0,20221205160651,0,27,,플레이라움,10804.0,예약제 반려견 놀이터
경기도 파주시 필승로 396 파주장단콩웰빙마루,,31,,A02,A0202,A02020200,2911414,12,20221117140213,,,126.6832670288,37.7774244184,6.0,20221117140232,1,27,,파주장단콩웰빙마루,10862.0," 파주 특산품인 장단콩을 테마로 생산가공유통판매와 체험관광문화가 어우러진 신개념 농업 융복합단지 파주장단콩웰빙마루
  통일동산 관광특구 내 위치하여 산과 강이 인접한 청정 자연에 둘러싸여 2,000여개의 장(醬)이 익어가는 항아리 뷰가 보는 사람의 마음을 평안하게 하는 힐링 공간입니다.
  위생적으로 관리·생산하는 메주 및 장류 제조시설, 파주 농업인의 정성으로 키워낸 농산물을 가까이서 만날 수 있는 로컬푸드 매장, 파인다이닝을 구현하는 콩요리 전문 레스토랑해스밀래 The Tale, 장단콩 젤라또와 홍삼밀크티 등 파주 농산물과 제철과일로 특별한 디저트를 선보이는 해스밀래 카페, 남녀노소 참여가 가능한 쿠킹체험실을 갖추어 다채로움을 선사하는 복합 플랫폼입니다.
  2022년 제1회 장독분양 500구좌 조기완판, 경기관광공사 융복합 콘텐츠로 선정된 파주장단콩, 항아리 위를 거닐다 등 새롭고 유니크한 체험 결합상품들이 각광받으며 화제를 모으고 있습니다.

 탄소 발생을 줄이고 지역 농가를 살리는 로컬푸드 시스템을 확립
  지산지소(地産地消)를 실천하는 로컬푸드 매장을 운영 중에 있고, 전문음식점 해스밀래 The Tale에서는 파주장단콩 두부를 비롯한 지역 로컬푸드를 메인 식재료로 사용하고 있습니다.
 제로웨이스트를 실천하는 로컬푸드 매장 내 리필스테이션 코너
  대한민국 최초로 로컬푸드매장 내 제로웨이스트 리필스테이션 코너를 운영하고 있고, 파주쌀·파주장단콩·친환경세제 등을 판매하고 있습니다. 또한 매장에 방문하는 고객들에게 일회용 비닐 등의 사용 대신 에코백·종이봉투를 소정의 비용을 받고 판매하고 있습니다.
 신재생 에너지 태양광을 활용하여 자체 전력 수급
  33kwh 규모의 신재생 에너지 태양광시설 설치를 통한 일부 자체 전력을 수급하고 있습니다.
 친환경 도보·자전거 여행 연계 프로모션 기획 및 진행
  파주장단콩웰빙마루 사업장과 동선이 이어지는 4.2km 구간의 둘레길(살래길)과 연계한 이벤트를 운영하고 있으며, 임진각 평화누리길(자전거길) 라이더 대상 음료 프로모션 등 친환경 여행객들을 우대하는 프로모션 이벤트를 계속해서 기획·운영중에 있습니다.
 사업장 내 차량이동 제한 및 100 무동력카트 이용
  장(醬)이 익어가고 있는 항아리마당 주변 사업장 내(14,800평 부지)에는 철저한 위생관리 등을 위하여 일반차량은 출입을 통제하고 무동력 전동카트 운영하여 물건 등을 운반합니다."
경기도 파주시 임진각로 148-53 종합관광안내소,,31,,A02,A0201,A02011000,2831210,12,20220729162029,,,126.74040303,37.8905011326,6.0,20221026103750,0,27,,DMZ 생생누리,10808.0,"DMZ 생생누리는 DMZ를 보다 가깝고 생생하게 체험하고 즐길 수 있는 곳이라는 뜻을 담고 있다. DMZ와 접경지역의 역사, 상징성, 생태환경 등의 다양한 가치와 매력을 실감미디어콘텐츠로 구현하여 방문객들에게 재미있고 의미 있는 경험을 제공하는 곳이다."
경기도 파주시 탄현면 새오리로 69,,31,0.0,A02,A0202,A02020600,2782865,12,20211129231510,http://tong.visitkorea.or.kr/cms/resource/67/2782967_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/67/2782967_image2_1.jpg,126.6850109448,37.7904757053,6.0,20221026095503,2,27,,쥬라리움 파주점,10858.0,전국에 여러 지점이 있는 어린이 동물체험장이다. 그중 파주점은 프로방스마을 주차장에서 바로 연결되어 있어 접근이 편리하다. 프로방스 마을을 돌아보고 쥬라리움을 방문하여 동물 구경하고 키즈 카페 분위기도 즐길 수 있다. 다양한 동물이 있으며 직원의 안내에 따라 직접 만져볼 수 있어 어린이들의 호기심을 자극하여 준다. 동물에게 적합한 먹이 주기 체험도 가능하다. 동물 체험 후 어린이 놀이터에서 뛰어놀며 분위기를 바꿔 줄 수 있다. 놀고 있는 어린이들에게 직원들이 다니면서 스티커를 붙여 주어 재미를 더해 준다.
경기도 파주시 탄현면 평화로 668,,31,0.0,A02,A0203,A02030600,2782726,12,20211129213745,http://tong.visitkorea.or.kr/cms/resource/17/2783117_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/17/2783117_image2_1.jpg,126.7123393674,37.777391607,6.0,20221027105201,0,27,,고정아트,10860.0,"경기도 파주시에 있는 법정 세트장이다. 실재 법정 모습과 아주 유사하여 드라마나 영화의 법정 장면 촬영에 적합하다. 법정 장면 촬영지로 대여해서 이용할 수 있고 각종 방송 및 촬영 장비도 임대도 할 수 있다. 평소에 법정을 자주 접하기 어려운 일반인은 법정 분위기를 간접 체험할 수 있다. 가까운 곳에 영집궁시박물관, 작가의 숲 공예체험센터, 파주 장릉, 타임앤블래이드 박물관 등이 가까이 있어 수도권 북부 나들이 길에 들려볼 만하다."
경기도 파주시 문산읍 장산리 산21-3,,31,0.0,A02,A0205,A02050600,2782027,12,20211126224510,http://tong.visitkorea.or.kr/cms/resource/56/2782356_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/2782356_image2_1.jpg,126.7918343098,37.8946043525,6.0,20221212175724,4,27,,장산전망대,,"파주시 평화누리길8코스에 있는 장산전망대는 임진강부터 각종 산맥까지 넓은 시야로 즐길 수 있고 날씨가 좋을 경우 북한 개성까지 볼 수 있다. 날씨가 좋을 때는 밤하늘 별이 손에잡힐 듯하여 노지캠핑으로 인기가 있다. 본래 군사시설 보호구역으로 일반인 접근 금지였으나 파주시의 요청으로 출입이 허용되기 시작했다. 전망대에서는 취사금지, 드론촬영금지, 차량 진입 불가로 주차나 차박은 허용되지 않으므로 아래에 주차하고 10여분 걸어 올라간다. 도착 즈음 갈림길에서는 임진리화석정율지습지공원헬기장으로 방향을 잡으면 찾기 수월하다."
경기도 파주시 와석순환로172번길 35,(동패동),31,0.0,A02,A0202,A02020700,2782005,12,20211126224109,http://tong.visitkorea.or.kr/cms/resource/52/2782352_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/52/2782352_image2_1.jpg,126.7419995118,37.715535457,6.0,20220701155744,0,27,,운정건강공원(가온),10901.0,"파주시 운정신도시 동패동에 위치한, 공원 안에 다양한 시민체육시설을 이용할 수 있는 건강공원으로 127,127㎡ 규모이다. 지도에서 보면 건강공원은 두 곳이다. 큰 길을 사이에 두고 한 곳은 평지에 있고 물놀이터가 있어 유초등생과 가족들이 함께하기 좋다. 다른 한 곳은 언덕 위에 있는데 한울도서관과 운정다목적체육관을 비롯한 축구장, 테니스장, 암벽장, 게이트볼장 등 중고생 및 성인들을 위한 야외 체육시설이 많다. 체육시설에 따라 사전신청하고 사용료를 납부하기도 하니 확인이 필요하다."
경기도 파주시 광탄면 영장리 산50-17,,31,0.0,A01,A0101,A01010900,2765107,12,20211029215818,http://tong.visitkorea.or.kr/cms/resource/95/2765095_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/95/2765095_image2_1.JPG,126.9224597444,37.7523760603,6.0,20221125103948,0,27,,보광사계곡,,"보광사계곡은 파주시 광탄면 기산리와 영장리, 양주시 장흥계곡에 걸쳐 있는 고령산 자락에 있다. 고련산은 보광사 범종과 조선후기에 편찬한 양주목읍지에 각각 고령산으로 기록한, 높고 신령한 산이라 불려온 산이다. 이 중 보광사가 있는 계곡을 보광사계곡이라 한다. 비 온 직후에 물이 많고 시원하고 수심이 얕은 편이라 발 담그기 좋다. 계곡에서 보광사까지 산책하기 좋게 나무데크길이 조성되어 있다."
경기도 파주시 회동길 390,(문발동),31,0.0,A02,A0206,A02060300,2764988,12,20211029201250,http://tong.visitkorea.or.kr/cms/resource/37/2765037_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/37/2765037_image2_1.JPG,126.6937760801,37.7178732145,6.0,20220411110951,0,27,,파주라기파크,10881.0,"파주라기파크는 파주시 롯데아울렛 내에 있는 공룡 야외전시장이다. 티라노사우르스, 트리케라톱스, 파라사울롤로푸스, 프테라노돈, 브라키오사우르스 등 아이들에게 인기 있는 공룡을 1층 마당과 3층 어린이놀이터 옆에 전시하고 있다. 시간대별로 몇 차례 라이브 공연을 하는데 코로나로 중단하고 있다. 주차장은 롯데아울렛 A블록을 이용하는 것이 편리하다."
경기도 파주시 적성면 칠중1길 65,,31,0.0,A01,A0101,A01010900,2764968,12,20211029200824,http://tong.visitkorea.or.kr/cms/resource/29/2765029_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/29/2765029_image2_1.jpg,126.9195848574,37.9515416701,6.0,20221125112828,0,27,,퇴골계곡,10803.0,"파주시 적성면 마지리 퇴골에 있는 자연 발생 휴식지이다. 계곡 여행에 관해 안내하거나 관리하는 주체는 따로 있지 않다. 내비게이션에 적성 비룡회관을 검색해서 찾아가는 것이 찾기 쉽다. 비룡회관에서 비포장도로 약 500m 앞에 있다. 퇴골계곡은 물이 비교적 발목이나 종아리 정도 수심으로 인근 주민이 주로 가족 단위 물놀이를 한다. 계곡 입구 돌다리 상류보다 하류는 수심이 깊은 편이다. 야영과 취사가 금지되어 있고, 상류에 고려 목종대왕 유지비가 있다."
