addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경기도 평택시 고덕동,1968-1,31,,A02,A0202,A02020700,2865100,12,20221007152655,http://tong.visitkorea.or.kr/cms/resource/96/2865096_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/2865096_image3_1.jpg,127.0482070291,37.0464574132,6.0,20221205132713,0,28,,고덕수변공원,18014.0,"고덕수변공원은 고덕국제신도시 안에 주민들의 건강을 증진하고 여유를 즐길 수 있도록 만들어진 공간이다. 수변공원이라는 이름에 맞게 공원 가운데로 천이 흐르고 있다. 산책길이 잘 만들어져 있어 혼자 걷기도 좋고, 반려견과 함께 산책하기에도 좋고, 조깅을 해도 좋다. 시민들을 위한 체육 시설들이 설치되어 있으며, 아이들을 위한 그늘막이 설치된 모래놀이장과 놀이터도 있다. 어린이 놀이터는 여름(7월8월)에는 한시적으로 물놀이터로 운영된다. 주변에 간식을 살 수 있는 편의점과 치킨점이 있다.
 반려동물 동반가능"
경기도 평택시 고덕면 좌교리 1507,,31,0.0,A02,A0201,A02010500,2795402,12,20211214193211,http://tong.visitkorea.or.kr/cms/resource/25/2795825_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/25/2795825_image2_1.jpg,127.0190093748,37.0571639904,6.0,20211214215118,0,28,,민세 안재홍 선생 생가,,해방 전후의 대표적인 민족운동가이자 언론인이며 정치가인 민세 안재홍 선생이 살던 집으로 전형적인 경기도 지역 전통가옥의 특징을 잘 간직하고 있다. 특히 누마루가 설치된 사랑채는 고고하고 멋스러운 분위기를 자아낸다. 원래 대문간채까지 있었던 것이나 지금은 안채와 사랑채만 남아 있다. 전통가옥의 형태를 유지하면서도 유리창을 설치하는 등 시대적인 변화를 적절히 가미하고 있다. 1992년 12월 31일 경기도 기념물 제135호로 지정되었다.
경기도 평택시 진위면 은산길 80-15,,31,0.0,A02,A0201,A02010700,2795005,12,20211214181415,http://tong.visitkorea.or.kr/cms/resource/77/2795377_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/77/2795377_image2_1.jpg,127.1227382447,37.0800159763,6.0,20221125112203,0,28,,정도전 사당,17717.0,조선왕조와 수도 한양을 설계한 삼봉 정도전을 모신 사당으로 그의 원대한 정치 철학과 삶의 신념이 담긴 삼봉집목판(경기도 유형문화재 제132호)을 만날 수 있는 곳이다. 사당 문헌사가 자리한 돌계단 가장 높은 곳에 서면 후손들이 집성촌을 꾸린 산대마을 풍경이 한눈에 들어온다.
경기도 평택시 산단로52번길 21,(모곡동),31,0.0,A02,A0202,A02020700,2750380,12,20210928185355,http://tong.visitkorea.or.kr/cms/resource/67/2750367_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/67/2750367_image2_1.png,127.075852055,37.0354536194,6.0,20221108162428,0,28,,모곡공원,17746.0,"송탄공단에 위치한 근린공원이다.  넓은 잔디운동장과 운동기구 그리고 산책로가 있는 공원이다. 자연을 보면서 운동은 물론 산책하기에도 좋고 중간중간 쉼터도 마련되어 있어서 편하게 이용할 수 있다. 운동기구와 축구장, 배구장, 테니스장 등의 체육시설을 갖추고 있다."
경기도 평택시 지산로140번길 264,(지산동),31,0.0,A01,A0101,A01010600,2750350,12,20210928182846,http://tong.visitkorea.or.kr/cms/resource/77/2750577_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/77/2750577_image2_1.png,127.0745150809,37.0709744937,6.0,20221109145805,0,28,,부락산 산림체험장,17728.0,"시민들에게 건전한 여가 선용과 산림 체험을 할 수 있는 기회를 제공하고자 만든 어드벤처 모험 놀이 시설이다. 숲속에서 나무와 나무 사이를 와이어, 목재 구조물, 로프 등으로 연결해 공중에서 이동하며 자연을 즐기고 모험심을 길러주는 자연 친화적 레포츠 시설이다. 부락산은 하늘 숲길이라는 산책길도 있고 넓은 잔디 광장과 놀이터가 있는 문화공원도 있어서 자녀들과 함께 소풍하기 좋은 곳이다."
경기도 평택시 죽백동 800,,31,0.0,A01,A0101,A01011800,2750342,12,20210928182227,http://tong.visitkorea.or.kr/cms/resource/69/2750569_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/69/2750569_image2_1.png,127.119265751,37.0010222567,6.0,20221110171458,0,28,,배다리지,17862.0,"배다리 호수를 끼고 공원이 잘 조성된 저수지로 도심 속에 자리 잡고 있어 접근성이 좋다. 저수지 한가운데 분수가 있어 분수 가동 시간에는 분수 쇼도 볼 수 있다. 낮에는 자연과 어우러진 아름다운 풍경을 볼 수 있고, 밤에는 조명과 어우러진 멋진 야경을 볼 수 있다. 주변의 산책길을 걸으며 건강도 챙기며 힐링하기 좋은 곳이다."
경기도 평택시 죽백6로 20,(죽백동),31,0.0,A01,A0101,A01010500,2750338,12,20210928181206,http://tong.visitkorea.or.kr/cms/resource/47/2750547_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/47/2750547_image2_1.png,127.1194101477,37.0022804471,6.0,20210930003839,1,28,,배다리생태공원,17862.0,"도심에 있는 큰 규모의 공원으로 가족들과 나들이하기에 좋은 곳이다. 나무 데크 길과 운동기구, 쉼터 등이 잘 조성되어 있으며, 공원을 산책하다 보면 중간중간 저수지도 보인다. 공원 내  걷기 코스 길은  배다리 둘레길(A코스)과  배나무 둘레길(B코스)로 나뉘어 있다. 배다리 생태공원은 도심 속에 만들어진 깨끗한 자연환경 덕분에 환경부 지정 멸종위기 야생동물인 수원청개구리(Ⅰ급)와 금개구리(Ⅱ급)의 서식처이기도 하다.  조류 관찰대도 있어 오리, 뻐꾸기, 기러기, 왜가리 등의 다양한 새들을 관찰할 수 있다."
경기도 평택시 현덕면 평택호2길 183,,31,0.0,A01,A0101,A01011700,2747061,12,20210917192416,http://tong.visitkorea.or.kr/cms/resource/48/2750648_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/48/2750648_image2_1.png,126.926710293,36.9233611366,,20210928222319,1,28,,평택호,17972.0,"안성천 하구에 있는 담수호로, 저수량은 1억 2천만 톤이다. 충남 아산과 경기도 평택 사이에 방조제가 만들어지면서 생겨난 인공 호수다. 호수 주위로 끝없이 이어지는 목조 수변데크를 걸으면서 호수를 감상할 수 있고, 우리음악이 들리는 국내 최초의 소리 의자도 있다. 관광 단지 내 조성되어 있는 한국 소리터 평택호예술관 및 모래톱공원은 미술품 상설 전시와 음악회 등 다양한 공연을 즐기기에 좋다."
경기도 평택시 포승읍 도곡리 1108,,31,0.0,A02,A0202,A02020700,2747054,12,20210917191404,http://tong.visitkorea.or.kr/cms/resource/44/2750644_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/44/2750644_image2_1.png,126.8416827918,36.9913434571,6.0,20211115232752,0,28,,여술근린공원,17955.0,"평택시 포승읍에 있는 근린공원이다. 아담하고 길이 예뻐 산책하기에 좋은 곳이다. 모래가 깔린 미끄럼틀과 그네가 있어 어린이와 시간을 보내기도 좋다. 어린이 다목적 운동장, 축구장, 풋살경기장, 족구장 등 운동시설이  함께 있다. 근린공원 옆으로 포승공단 순환로가 있다. 운동시설을 이용하려면 평택시 안중 출장소 생활지원과에 전화 예약을 해야한다."
경기도 평택시 안중읍 학현4길 61,,31,0.0,A02,A0202,A02020700,2747049,12,20210917191225,http://tong.visitkorea.or.kr/cms/resource/32/2750632_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/32/2750632_image2_1.png,126.918450803,36.9928140856,6.0,20220412132339,0,28,,안중레포츠공원,17816.0,"경기도 평택시 안중에 있는 레포츠 공원이다. 풋살장, 축구장, 궁도장, 조깅트랙, 그라운드 골프장 등을 갖추고 있다. 공원을 둘러보는 반려견 산책 코스로도 좋다. 공원 내부에 평택 어린이 교통공원과 어린이 포토존이 있다. 어린이 교통공원은 39세의 어린이 교육장소로 사용하며, 사전예약이 필요하다. 토지와 마을을 수호해주는 신을 모시던 성황당, 가벼운 걷기를 할 수 있는 학현 근린공원이 인접해 있다."
경기도 평택시 신대동 621-10,,31,0.0,A02,A0202,A02020700,2747045,12,20210917190909,http://tong.visitkorea.or.kr/cms/resource/25/2750625_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/25/2750625_image2_1.png,127.0646736578,36.9939804305,6.0,20211115232634,0,28,,신대레포츠공원,17830.0,"경기도 평택시 신대동 통복천이 안성천으로 흘러들어 가는 지점에 있는 레포츠 공원. 과거 쓰레기  매립지를 레포츠 공원으로 탈바꿈시켰다.  작은 어린이 공원과  축구장, 테니스장 등의 시설을 갖추고 있으며, 다른 레포츠 공원들과는 색다르게 화궁장이라는 국궁장이 운영되는 곳이다. 미끄럼틀 등 어린이 놀이 시설이 있어 아이와 시간 보내며 놀기에도 좋다. 넓은 무료 주차장이 있다."
