addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경기도 포천시 윗찬물길 379-71,,31,,A01,A0101,A01011900,2932027,12,20221128185925,,,127.2705195383,38.1361376142,6.0,20221212181329,0,29,,옹장굴,11101,"옹장굴은 중생대 쥬라기 대보화강암이 풍화되어 형서된 쇄설성 퇴적층 위에 신생대 제4기 현무암질 용암류가 부정합으로 피복된 후, 현무암질 용암류 내에 발달한 수직절리를 따라 퇴적층이 차별 침식되면서 형성된 지하침식동굴이다.
  출처 : 국가지질공원"
경기도 포천시 군내면 하성북리,636-1,31,,A02,A0202,A02020100,2914895,12,20221122134216,http://tong.visitkorea.or.kr/cms/resource/76/2914876_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/76/2914876_image3_1.jpg,127.2106849148,37.8928649106,6.0,20221205112642,0,29,,청성역사공원,11151,"경기도 포천시 청성산(283m) 기슭에 있는 테마 공원이다. 1994년 9월에 개장하였으며 넓이는 121,000㎡이다. 한내사거리에서 가평읍 방면으로 300m쯤 가다 보면 도로변에 있다. 배드민턴장, 농구장, 풋살장 등의 운동시설과 광장, 어린이놀이터, 야외 공연장 등의 시설을 갖추고 있다. 운동시설 이외에 여러 현충 시설을 갖추고 있는데 6·25전쟁 참전 용사들을 위로하기 위한 충혼탑, 월남참전 기념탑, 호국무공수훈자공적비, 최익현 선생상 등이 있다. 산쪽으로는 산책로가 조성되어 있으며, 청성산 기슭에는 향교가 남아 있다. 산 정상에 삼국시대 축성된 포천 반월성지가 있다. 반월성지는 1998년 사적 제403호로 지정되었다. 궁예가 축성하였다고 전해지며 현재는 300m쯤의 석축만 남아 있다.  인근에 포천구읍리석불입상과 미륵불 등의 문화재가 있다.
 반려동물 동반 가능 (단, 개목줄 착용, 배설물 처리를 위한 비닐봉지 등을 구비해야 함)"
경기도 포천시 소흘읍 고모리,678-1,31,,A02,A0202,A02020100,2914808,12,20221122112517,http://tong.visitkorea.or.kr/cms/resource/94/2914794_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/94/2914794_image3_1.jpg,127.1643114573,37.7940311361,6.0,20221205112955,0,29,,고모호수공원,11185,"경기도 포천시 고모리 죽엽산(해발 600m) 중심부에 있는 공원이다. 고모저수지 주변에 조성된 호수주변공원으로  고무저수지는 면적 0.18㎢에 저수량 1,300톤 규모이다. 고모는 어떤 사람이 늙은 고모님(한자로 할미 '고')을 모시고 산 밑에 살았다 하여 붙여진 이름이다. 이 할미가 외로이 세상을 떠났는데  할미를 매장한 묘 앞에 있는 마을이라하여 이곳을 고모리라 부르게 되었다고 한다. 저수지 주변으로 2.6km 길이의 고모저수지 둘레길과 광장, 분수대, 쉼터, 운동시설 등을 갖추고 있다. 분수는 4월 중순부터 11월 중순까지 휴일 12:0017:30에 30분 간격으로 가동한다. 주변에 카페 갤러리, 레스토랑 등이 많아 나들이 겸 산책코스로 많은 사람들이 방문하고 있다.
 반려동물 동반 가능 (단, 개목줄 착용, 배설물 처리를 위한 비닐봉지 등을 구비해야 함)"
경기도 포천시 호국로 886,,31,,A02,A0203,A02030600,2820331,12,20220518092156,http://tong.visitkorea.or.kr/cms/resource/20/2820320_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/20/2820320_image2_1.jpg,127.1598714889,37.8454222915,6.0,20220614170341,3,29,,포천 파머스키친,11162,"생산자에게 안정적인 소득을 보장하고 소비자에게 포천 지역 농업의 관광적 가치를 전달하고자 안전하고 신선한 포천 지역의 농축산물을 사용한 BBQ밀키트를 개발했다. 포천의 농산물을 활용한 밀키트 사업 이외도 농장 체험 관광, 생산자와 소비자를 위한 플랫폼 사업을 한다."
경기도 포천시 비둘기낭길 52,,31,,A02,A0203,A02030600,2820298,12,20220517173641,http://tong.visitkorea.or.kr/cms/resource/96/2820296_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/2820296_image2_1.jpg,127.2263781906,38.0739440696,6.0,20220614142032,0,29,,비둘기낭99,11108,"'비둘기낭99'는 마을이 가지고 있는 다양한 문제를 해결하기 위해 마을 이장님을 중심으로 3인의 여성들이 똘똘 뭉친 마을공동체이다. 2020년 유네스코에 등재 된 한탄강 지질공원의 가치를 널리 알리고 자연환경을 보호하면서 한탄강 지질 공원 방문객의 니즈를 반영하여 지역 기반 농산물의 건강 도시락을 특색 있게 제공, 지역 관광 활성화와 지역 주민 수익 증대를 이루고 있다."
경기도 포천시 산정호수로 130,,31,,A02,A0203,A02030600,2820292,12,20220517170200,http://tong.visitkorea.or.kr/cms/resource/61/2820261_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/61/2820261_image2_1.jpg,127.2875587267,38.0729841938,6.0,20220614141913,0,29,,사르르목장,11104,"포천 피크닉은 목장사업 2세대들이 주민들과 단합하여 만든 주민사업체로 포천의 장점, 지역 주민과 청년들의 토박이로서의 장점, 그리고 새로운 시대에 맞는 융합을 통하여 지역 성장의 교두보 역할을 해내겠다는 비전과 의지를 가지고 만들어졌다.
포천을 방문하는 관광객들이라면 들려야 할 로컬 대표 맛집 탐방 명소로 자리 잡고자, 포천 지역의 농산물과 결합한 아이스크림을 개발하고 인스타 감성의 아기자기한 포토존까지 함께 제공한다.(산정호수 가는 길목에 9월 오픈예정)"
경기도 포천시 중앙로 168,3층,31,,A02,A0203,A02030600,2820274,12,20220517165051,http://tong.visitkorea.or.kr/cms/resource/56/2820256_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/2820256_image2_1.jpg,127.2064823011,37.9004222865,6.0,20220718105126,0,29,,누구나투어,11144,"㈜누구나투어는 MZ세대 개별 여행자를 대상으로 맞춤형 여행 상품을 온라인으로 판매하고 누구나그래퍼, 누구나소믈리에, 누구나아티스트, 누구나플로깅, 누구나스토리안, 누구나플레이어와 같은 누구나 이용할 수 있지만 포천 지역에서만 만나볼 수 있는 여행 상품을 판매하는 주민 여행사이다. 포천 지역의 다양한 기관이나 주민들과 협업하는 상품 개발하여 로컬 여행을 선두하고 ESG를 실천하고자 하는 여행자들의 가치 여행을 지향한다."
경기도 포천시 신북면 깊이울로 221,,31,0.0,A02,A0202,A02020100,2777870,12,20211123183440,http://tong.visitkorea.or.kr/cms/resource/80/2777980_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/80/2777980_image2_1.jpg,127.168796273,37.9205414753,6.0,20211123192137,0,29,,깊이울유원지,11136,"깊이울 유원지는 포천 신북면 심곡리 왕방산 계곡을 따라 자리하고 있다. 심곡리는 포천시의 다른 마을들처럼 사방이 산에 둘러싸여 있다. 남쪽으로는 해발 737m의 왕방산, 서쪽으로는 국사봉, 북쪽과 동쪽으로는 하늘봉과 덕령산 등이 에워싸고 있다. 심곡리는 깊은 계곡 속에 자리한 마을이라는 뜻이다. 왕방산 자락에 자리하여 산세가 빼어나고, 잣나무와 소나무로 둘러싸인 계곡에는 1급수의 맑은 물이 흐르는 곳이다. 송어가 여유롭게 헤엄치는 저수지와 둘레길, 꽃길이 아름답다. 빼어난 경치와 청정한 자연환경을 따라 계곡, 둘레길과 각종 편의 시설을 두루 갖추고 있는 최고의 휴양지이다. 계곡 내 왕방산 캠핑장은 마을에서 함께 운영하는 곳으로 일반 야영장과 카라반 시설을 두루 갖추어 캠핑을 즐기는 이들이 즐겨 찾는 곳이다."
경기도 포천시 원동교길 309,(동교동),31,0.0,A01,A0101,A01010600,2773252,12,20211111183101,http://tong.visitkorea.or.kr/cms/resource/78/2773378_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/78/2773378_image2_1.jpg,127.1192082361,37.8558647795,6.0,20211115193249,0,29,,천보산 자연휴양림,11163,"천보산 자연휴양림은 지정 면적 1.16㎢, 전용 면적 13,868㎡인 복합 휴양관이다. 하늘 밑 보배로운 산이라는 뜻인 해발 423m의 천보산은 포천시와 양주시의 경계 중앙에 솟아 있다. 오토캠핑장과 숲속의 집, 산림 문화 휴양관이 있다. 숲속의 집에는 5인실 4개, 8인실 3개가 있다. 산림 문화 휴양관에는 5인실 4개, 8인실 8개로 되어 있다.  황토방 5인실 4개, 황토방 8인실 9개가 있다. 오토캠핑장은 야영 데크 8개로 운영 중이다."
경기도 포천시 영북면 산정호수로 771,,31,0.0,A02,A0203,A02030600,2772347,12,20211110225926,,,127.3232777135,38.0718183205,6.0,20211118011925,1,29,,낭만닥터김사부촬영지,11103,2016년 11월부터 2017년 1월까지 방영되었던 SBS 드라마 '낭만닥터 김사부'의 촬영지이다. 본래는 2012년 운영을 중단한 가족호텔 자리이다. 돌담병원이라는 간판과 히포크라테스 선서문이 드라마 촬영지임을 알려준다. 내부는 들어갈 수 없고 외부에서 사진 찰영만 가능하다. 근처에 산정호수가 있어 산정호수 나들잇길에 들려보기에 좋다.
