addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경기도 하남시 덕풍공원로 100 덕풍근린공원 제2공영주차장,,31,,A02,A0202,A02020700,2902497,12,20221109092911,http://tong.visitkorea.or.kr/cms/resource/76/2902476_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/76/2902476_image3_1.jpg,127.1994156607,37.5361450909,6,20221109092941,0,30,,덕풍공원,12977,"덕풍공원은 하남시 덕풍동 아파트 단지들 사이에 있는 동네 근린공원이다. 주차는 덕풍공원 공영주차장이 세 곳이나 있어 편리하게 이용할 수 있다.  공영주차장 위에 배드민턴장, 다목적 운동장, 체력단련장이 있다. 산 오솔길 같은 산책로가 아기자기한 작은 공원이다. 공원을 한 바퀴 도는데 약 1시간 정도 소요되어 주민들이 동네 산책 코스로 이용하기 좋다. 전망대에서는 덕풍동이 한눈에 내려다 보인다. 어린이 놀이터도 있어 어린이와 같이 산책하기에도 좋다. 2005년 4월 하남시 향토 유적 제9호로 지정된 선성군 묘역이 근처에 있다. 
반려동물 동반 가능"
경기도 하남시 미사강변한강로 45,,31,,A02,A0202,A02020700,2900511,12,20221107162424,http://tong.visitkorea.or.kr/cms/resource/95/2900495_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/95/2900495_image3_1.jpg,127.1807495306,37.5768205853,6,20221107162516,0,30,,미사한강공원2호,12901,"﻿미사 한강공원 2호는 경기도 하남시 선동 IC에서 나오자마자 있는 근린공원이다. 주차는 무료로 개방되어 있는 공원 공영주차장에 하면 된다. 미사 한강공원은 1호부터 5호까지 있는데 공원이 모두 연결되어 있다. 근처 아파트가 많아 아파트 주민들뿐 아니라 미사에 놀러 온 이들에게 산책과 운동을 할 수 있는 공간이다. 공원 2호에는 숲속 놀이터와 숲속 도서관이 있어 어린이들에게 인기가 많은 곳이다. 플라워 갤러리는 공원을 찾는 이들의 포토존으로 사랑받고 있다. 공원의 탁 트인 공간을 조망할 수 있는 미사 강변 마루가 바로 옆에 있다.
 반려동물 동반 가능"
경기도 하남시 서하남로588번길 125,(교산동),31,0.0,A02,A0201,A02010800,2790497,12,20211209200706,http://tong.visitkorea.or.kr/cms/resource/65/2795865_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/65/2795865_image2_1.jpg,127.2086958887,37.51804736,6,20221123135255,0,30,,선법사,13018,"경기도 하남시에 자리한 한국불교 태고종 소속의 사찰이다. 산의 초입에 자리해 풍경소리와 새들의 지저귐이 맴도는 조용하고 그윽한 곳이다. 이곳에 있는 작은 약수를 백제 온조왕이 마셨다 하여 어용 샘으로 부르고 있다고 한다. 사찰 내에 있는 마애 약사여래좌상이 유명한데, 질병에서 모든 중생을 구제해 준다는 약사불을 형상화한 것으로 바위 남쪽면에 전체 높이 93㎝로 새겨져 있다. 태평 2년 정축 7월 29일이라는 명문이 새겨져 있는데, 이를 통해 만든 시기가 고려 경종 2년(977) 임을 알 수 있으며, 최소한 그 이전부터 사찰이 있었을 것으로 추정하고 있다."
경기도 하남시 미사강변한강로 45,(선동),31,0.0,A02,A0202,A02020700,2753125,12,20211006005032,,,127.1807495306,37.5768205853,6,20221122143349,0,30,,미사한강공원5호,12901,"구산은 한강변을 바라보고 있는 마을 뒷산의 모양이 거북이가 엎드려 있는 것 같다 해서 붙여진 이름 으로 미사 한강공원 5호는 바로 그 구산 주변 산책로를 중심으로 한 공원이다. 어린이 놀이시설과 함께 여름엔 샤워실을 갖춘 어린이 풀장을 운영한다.농구장과 같은 체육시설이 있고 산책로, 잔디광장, 우레탄이 깔린 트랙, 화장실 등 다양한 편의 시설이 있다. 건너편으로 예봉산과 검단산이 보이고 전망대에 서면 한강을 지나  구리, 남양주까지 조망이 가능한 명소이다. 문화, 예술, 역사, 체육 등 종합적인 콘텐츠를 즐길 수 있는 공원으로  14호 공원과 함께 산책과 휴식을 취할 수 있는 곳이다."
경기도 하남시 미사동 608,,31,0.0,A01,A0101,A01010700,2751657,12,20210930021450,http://tong.visitkorea.or.kr/cms/resource/10/2775410_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/10/2775410_image2_1.jpg,127.1961701961,37.5821813534,6,20221206161442,0,30,,하남 나무고아원,,"도시개발 사업으로 버려지는 수목을 옮겨와 생육한 후 가로수나 공원 및 녹지대 수목으로 이식하여 도시 숲으로 재탄생시키는 곳이다. 1999년 9월 하남시에서 개최한 국제환경박람회를 계기로 환경의 중요성을 재인식하고, 2004년 민원이 많았던 버즘나무를 옮겨 심은 것이 시초가 되었다. 그 후 메타세콰이아 1,700그루 등 수도권 경기 지역에서 기증받은 수목을 옮겨와 나무고아원을 조성하였다. 공원 내 킥보드는 사용할 수 없다."
경기도 하남시 미사동 2-13,,31,0.0,A02,A0202,A02020100,2751647,12,20210930021202,http://tong.visitkorea.or.kr/cms/resource/05/2775405_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/05/2775405_image2_1.jpg,127.2224381493,37.5507521458,6,20211117215917,1,30,,당정뜰(팔당팔화수변공원),,"덕풍천과 한강이 만나는 곳에 있는 삼각형 모양의 넓은 수변공원으로 물길과 돌이 모래를 옮겨와 자연적으로 생긴 생태공원이다. 2017년부터 2019년까지 서울지방국토 관리처에서 '한강(팔당) 지구 하천 정비사업'으로 연못, 산책로, 자전거 도로, 조류 관찰대 등의 시설을 정비하였다. 팔당팔화수변공원으로 불리던 이곳은 2020년에 하남시민을 대상으로 명칭 공모를 하여 '당정뜰'이 정식 지명이 되었다. 한강 변을 따라 조성된 산책로를 걷다 보면 메타세쿼이아 길과 갈대숲을 만날 수 있다."
경기도 하남시 미사대로 710,(신장동),31,0.0,A02,A0202,A02020100,2747065,12,20210917192642,http://tong.visitkorea.or.kr/cms/resource/77/2747077_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/77/2747077_image2_1.jpg,127.2194329709,37.5471219574,6,20210928023016,2,30,,유니온파크,12941,"유니온파크는 2015년 국내 최초로 지하에 폐기물 처리 시설과 하수처리시설을 함께 설치한 신개념 환경기초시설이다. 유니온파크가 조성된 계기는 기존의 노후화된 소각장이나 음식물 처리장 등의 시설 개선이 필요한 상태였으며 미사지구 등 인구가 급격하게 늘어나기 시작하면서 환경기초시설 확충을 위해 지어졌다. 지하에는 소각처리 시설, 재활용 선별 시설, 음식물 자원화 시설 등이 설치되어 있다. 지상에는 잔디광장, 어린이 물놀이 시설, 다목적 체육관, 야외 체육 시설 등 다양한 주민 친화 시설이 있다. 특히 유니온 파크 내에 있는 유니온 타워는 105m 높이의 전망대이다. 4층 전망대에서는 한강부터 시작해서 검단산, 미사리 조정 경기장 등 하남의 아름다운 경관을 한눈에 볼 수 있다."
경기도 하남시 미사강변한강로 131,(망월동),31,0.0,A02,A0202,A02020700,2746200,12,20210916200713,,,127.191176306,37.5786955558,6,20211007201409,2,30,,미사한강공원4호,12902,"미사한강공원 4호는 체육공원 1호다.  많은 운동 시설을 갖추고 있다.
다목적 잔디마당을 중심으로 다양한 운동 시설과 물놀이 시설이 있다. 
산책로 및 휴식처 등 쾌적한 쉼터가 마련되어 있어 누구나 운동, 여가, 그리고 휴식을 취할 수 있다.
바로 옆 전망대에 올라가면, 한강의 탁 트인 전망을 볼 수 있는데, 구리시와 남양주시까지 한눈에 들어온다."
경기도 하남시 망월동 739-1,,31,0.0,A02,A0202,A02020100,2738722,12,20210901201336,,,127.1876965295,37.5625084843,6,20220412160147,1,30,,미사호수공원,12914,"경기도 하남시 미사 강변도시를 개발하면서 망월천을 넓혀서 인공호수를 만들었고 그 주위에 공원을 조성하였다. 호수공원 주위에는 호수를 한 바퀴 돌 수 있는 산책로가 있고 중간에 상망교라는 다리가 있다. 수변공원 산책로 6.4km, 공원 산책로 5.5km, 호수길 1km, 숲속 산책로 1km 등 상당히 넓게 조성되어 있다. 주요 시설로는 바닥분수, 음악분수, 물놀이장, 잔디광장야외무대, 그리고 다목적구장이 있다."
경기도 하남시 미사대로 750,,31,0.0,A02,A0202,A02020600,2648177,12,20200220194340,http://tong.visitkorea.or.kr/cms/resource/88/2444088_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/88/2444088_image3_1.jpg,127.2237576241,37.5454888917,6,20221121101149,0,30,,아쿠아필드 하남,12942,청량한 물소리와 하늘 빛 자연을 한 눈에 품은 아쿠아필드는 감각 있는 사람들의 오감만족 힐링 클럽이다. 하늘과 맞닿은 인피니티풀에서 느긋이 즐기고 신비로운 오로라부터 구름 위의 휴식까지 8가지 테마의 찜질스파를 경험하는 곳 들어서는 공간마다 색다른 휴식이 기다리는 아쿠아필드에서 삶의 진짜 멋과 여유를 누릴 수 있다.  출처 : 아쿠아필드 하남
