addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경기도 화성시 동탄중심상가2길 21 지하주차장 33호,,31,,A02,A0202,A02020100,2903983,12,20221109202242,http://tong.visitkorea.or.kr/cms/resource/78/2903978_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/78/2903978_image3_1.jpg,127.0735808505,37.2060171988,6.0,20221109202256,2,31,,동탄 북광장,18453.0,"경기도 화성시 동탄 반석산 근린공원 근처에 있는 광장이다. 규모는 크지 않지만 광장 둘레로 맛집과 카페, 편의시설, 유흥시설이 밀집해 있는 곳이다. 소규모 공연이나 모임을 할 수 있는 야외무대가 있고 자전거 보관소가 있다. 야외무대는 시민 누구나 자유롭게 이용할 수 있는 시설이다. 반석산 근린공원 주변으로도 노작공원이 있고 분위기 좋은 맛집과 카페가 많아 주변 교통은 혼잡한 편이다. 광장 바로 앞에 무인으로 운영되는 한빛주차장이 있다. 한빛주차장은 공영주차장으로 1시간 30분 무료주차가 가능하다.
 반려동물 동반 가능(목줄, 배변봉투 지참)"
경기도 화성시 동탄공원로2길 22,,31,,A02,A0202,A02020700,2902731,12,20221109105146,http://tong.visitkorea.or.kr/cms/resource/43/2902443_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/43/2902443_image3_1.jpg,127.0635956544,37.2056892805,6.0,20221109105200,1,31,,동탄센트럴파크,18437.0,"동탄 센트럴파크는 경기도 화성시에 있는 스포츠 시설 및 공원이다. 2008년에 준공된 공원으로 축구 경기장을 비롯한 스포츠 시설이 설치되어 있으며 조깅이나 산책하기 좋은 도심 속 공원이다. 주요 공간으로는 체육공원, 썬큰공원, 반석산 생태학습장, 전통공원 등이 있어 입주민들에게 쾌적하고 안락한 환경을 제공하고 있다. 다양한 시설이 도입된 체육공원 공원의 중심부에 위치한 체육공원은 국내 최대의 규모로써, 인조잔디축구장, 풋살구장, 게이트볼장, 테니스장, 인라인스케이트장, 농구장, 인공암벽장, 배드민턴장, 파크 볼 장, 어린이 놀이터 등의 남녀노소 누구나 즐길 수 있는 다양한 체육시설이 도입되어 있다. 주민들을 위한 아나바다와 같은 중고장터가 열리기도 하고 분수와 연못을 비롯한 물놀이 공간도 조성되어 여름철에는 물놀이를 즐길 수 있다. 웅장하고 신나는 음악과 함께 음악분수를 시간에 맞춰 가동하기도 한다. 센트럴 파크 인근에는 맛집과 분위기 좋은 카페들이 많이 들어서 있다.
 반려동물 동반 가능 (단, 개목줄 착용, 배설물 처리를 위한 비닐봉지 등을 구비한 이용객에 한하여 허용)"
경기도 화성시 오산동,1060,31,,A02,A0202,A02020700,2902683,12,20221109103152,http://tong.visitkorea.or.kr/cms/resource/24/2902424_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/24/2902424_image3_1.jpg,127.0867020999,37.1982849947,6.0,20221109103206,0,31,,동탄여울공원,18486.0,"동탄여울공원은 화성시 오산천을 동쪽에 있는 근린공원이다. 넓고 잘 꾸며진 공원은 산책하기 좋고 자전거나 킥보드를 즐기기에도 적합하다. 평지만 있는 것이 아니고 오르막 내리막도 있어 지루하지 않게 산책을 할 수 있다. 전망대와 음악분수가 있어 가족 나들이 장소로도 인기가 있다. 다목적체육시설(배드민턴장, 테니스장, 농구장)과 축구장, 트랙형 운동장 등 운동하기 좋은 시설을 두루 갖추고 있다. 도그파크(반려견 놀이터)라는 반려 가족 놀이터도 있다. 음악분수는 5월부터 10월까지 금, 토, 일요일에 가동한다. 정해진 시간에 40분간 10곡 정도의 음악에 맞추어 화려한 분수 쇼를 펼친다. 음악 분수의 물이 흘러내리면서 벽천폭포가 만들어졌다. 음악분수와 같은 시간에 가동하며 저녁에는 아름다운 조명 쇼를 감상할 수 있다. 공원의 가장 높은 곳에 있는 로튠다 전망대는 둥근 돔 형태로 공원의 전체적인 풍경과 반석산을 바라볼 수 있다.
 반려동물 동반 가능 (단, 개목줄 착용, 배설물 처리를 위한 비닐봉지 등을 구비한 이용객에 한하여 허용)"
경기도 화성시 기안동,927,31,,A02,A0202,A02020700,2902649,12,20221109101708,http://tong.visitkorea.or.kr/cms/resource/03/2902403_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/03/2902403_image3_1.jpg,126.983647097,37.2146923683,6.0,20221109103341,0,31,,기배역사공원,18339.0,"경기도 화성시 융건릉 자락에 있는 공원이다. 융건릉에서 도보로 20분 거리에 있다. 체력 증진을 위한 게이트볼장과 여러 운동시설, 편안한 산책로 등을 두루 갖추고 있다. 게이트볼장 외에 홍재원, 대나무정원, 빗물 정원 등의 시설이 있다. 홍재원은 조선 제22대 임금 정조의 첫 번째 호인 홍재의 이름을 빌려 조성한 공간으로 전통 정원의 고즈넉한 분위기와 함께 휴식과 사색을 할 수 있는 공간이다. 빗물 정원은 빗물을 모아 땅에 스며들게 해 다양한 정화 식물을 키우는 곳이다. 주차장 왼쪽으로는 넓은 잔디 광장이 조성되어 있다. 어린이들이 마음껏 뛰어놀기에 좋고 가족 피크닉 장소로로 좋은 광장이다. 융건릉과 용주사를 방문하는 길에 함께 방문하면 좋다. 대중교통을 이용할 경우에는 수원시 환승센터에서 마을버스 승차 후 수원대 방향으로 가다가 융건로 버스 정류장에서 하차하면 된다.
 반려동물 동반 가능 (단, 놀이마당A는 불가)"
경기도 화성시 황계길 97-1 황계1리노인회관,,31,,A02,A0203,A02030600,2873040,12,20221024101200,http://tong.visitkorea.or.kr/cms/resource/38/2873038_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/38/2873038_image3_1.jpg,127.0136497178,37.2223697924,6.0,20221024101211,0,31,,황계동 정조마을,18347.0,"경기도 화성시에 있는 역사 마을이다. 황계동은 정조대왕이 사도세자의 묘(융릉)에 참배하러 가는 능 행차 길에 잠시 머물며 민정을 돌보고 휴식을 취하던 마을이다. 정조 승하 후에는 국장 행렬이 지나갔던 곳이다. 순조 등 후대 왕들의 능 행차는 국가 제사가 진행되기도 하였다. 화성시 제1호 도시재생 마을로 2018년부터는 황계동 마을 주민들이 자발적으로 마을 당상목 아래에서 성황대제를 재현해 왔다. 2022년 정조대왕 능 행차 재현 때에는 행렬이 마을 입구 황계동 제방도로를 지나갔다. 마을 내에는 황계 공원이 있고 마을 입구로는 황구지천이 흐른다. 근처에 세계문화유산 융건릉, 남수원골프장이 있다.
 반려동물 동반 가능 (단, 개목줄 착용, 배설물 처리를 위한 비닐봉지 등을 구비한 이용객에 한하여 허용)"
경기도 화성시 궁평항로 1069-11 궁평리어촌체험안내소,,31,,A01,A0101,A01011400,2863634,12,20221005135228,http://tong.visitkorea.or.kr/cms/resource/23/2863623_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/2863623_image3_1.jpg,126.6833853938,37.1162095733,6.0,20221005135239,0,31,,궁평항광장,18556.0,"경기도 화성시 궁평항에 있는 광장이다. 궁평항은 1991년부터 시작된 남양만 화옹지구 간척사업으로 만들어진 어항이다. 2008년 12월 19일 국가어항으로 지정되었다. 광장에는 어린이 물놀이 시설과 수산물직판장이 있다. 광장에서 연결된 방파제 끝으로 나 있는 해상 전망 데크와 바닷가에 있는 궁평낙조길을 따라 바닷길 산책이 가능하다. 사진 촬영이나 바다낚시, 근교 나들이 등으로 항시 방문객이 많은 곳이다. 주말에는 공영주차장에 주차가 어려운 경우도 많다. 해질 무렵에는 낙조가 아름다운 곳이다. 모터보트, 아르고, 어린이낚시, 갯벌 체험 등의 프로그램이 있다."
경기도 화성시 고온리안길 24-11,,31,,A01,A0101,A01010500,2863621,12,20221005134232,http://tong.visitkorea.or.kr/cms/resource/12/2863612_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/12/2863612_image3_1.jpg,126.7556891501,37.0436886746,6.0,20221005134249,0,31,,매향리평화생태공원,18570.0,"경기도 화성시 우정읍 매향리에 있는 공원이다. 54년간 미 공군사령부의 공군사격장으로 사용하던 쿠니사격장 부지였던 곳을 생태공원으로 조성하였다. 주민들의 노력으로 2005년 8월에 사격장을 폐쇄하였고 그 후 아픈 역사를 보존하고 관광객 유치를 통한 지역 경제 활성화를 목적으로 2021년 9월에 공원으로 재단장하였다. 잔디 마당, 매향정, 파고라, 작가정원, 습지생태원, 마을 숲 산책로, 평화기념관, 평화의 소녀상 등의 시설을 갖추고 있다. 생태공원 산책로와 함께 사격장이 있던 바닷가로 가벼운 산책도 할 수 있다. 유소년 야구장인 화성 드림파크가 바로 인접해 있고 공원 내에는 화성시 공예문화관이 있다. 드림파크를 가운데 두고 맞은 편에는 매향리 평화역사관이 있다."
경기도 화성시 동탄대로5길 21,라크몽 4~5층,31,,A02,A0202,A02020600,2810869,12,20220315174250,,,127.1051707463,37.166941727,6.0,20220531110059,0,31,,디스커버리 네이처스케이프 동탄점,18497.0,체험엔터테인먼트어드벤처가 결합된 국내 최초 인도어 네이처 파크이며 디스커버리가 재해석한 경이로운 지구의 대자연을 무대로 흥미로운 어드벤처 액티비티와 가상현실의 자연탐험을 통해 체험자 자신만의 모험과 지식을 얻고 힐링할 수 있는 공간으로 구성된 디스커버리 최초의 인도어 엔터테인먼트 센터이다.
경기도 화성시 향남읍 하길리 1409-1,,31,0.0,A02,A0202,A02020100,2798090,12,20211215185120,http://tong.visitkorea.or.kr/cms/resource/02/2799002_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/02/2799002_image2_1.jpg,126.9114015627,37.0893472521,6.0,20221206101207,0,31,,하길체육공원,18623.0,"경기도 화성시 향남읍 향남제약일반산업단지 부근에 있는 체육시설이다. 유료 인조잔디구장과 농구장, 중앙광장과 쉼터 벤치 시설을 갖추고 있다. 잔디구장 예약은 사용 3일전까지 화성도시공사에 온라인으로 예약한다. 각종 체육대회를 겸한 출장뷔페 등 행사진행이 가능하다. 진입로는 계단과 휠체어나 유모차 접근이 용이한 무장애 길 두 가지 길을 이용할 수 있다. 행사나 산책이 가능한 중앙광장과 그늘막 있는 벤치가 있다."
경기도 화성시 서신면 오얏리길 44-12,,31,0.0,A02,A0201,A02010400,2795012,12,20211214181754,http://tong.visitkorea.or.kr/cms/resource/21/2795421_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/21/2795421_image2_1.jpg,126.7008139024,37.1331940237,6.0,20221129141044,0,31,,화성 정시영 고택,18556.0,"1984년 1월 14일 국가 민속문화재 124호로 지정되었다. 나지막한 동산이 둘러 있는 아늑한 터에 남북으로 길게 자리 잡고 있는 전형적인 양반 가옥이다. 솟을대문에 1887년(고종 24)에 문을 세웠다고 기록되어 있으나, 안채와 사랑채는 이보다 약 50여 년 전에 지은 것으로 추정된다. 평면은 전체적으로 '월자(月字)'형으로 구성되어 있다. 대문이 정면이 아니라 북쪽 측면으로 나 있어 언뜻 보면 집의 규모가 작아 보이지만, 실제로는 50칸이 넘는 저택이다. 집 주위에 심은 호두나무, 대추나무, 감나무와 소나무가 뒷산의 참나무, 소나무와 자연스럽게 어우러져 자연에 파묻힌 듯한 공간구성이 아름다운 집이다."
