addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경상남도 거제시 거제중앙로 288,,36,,A01,A0101,A01010400,2815810,12,20220412174630,http://tong.visitkorea.or.kr/cms/resource/91/2815791_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/91/2815791_image2_1.JPG,128.6330110537,34.7843399541,6.0,20220520152116,0,1,,거제케이블카,53332.0,"거제의 자연 산과 노을, 숲과 바다, 경계 없는 자연 속으로 끝없이 펼쳐지는 천혜의 절경을 감상할 수 있는 거제 케이블카. 거제 파노라마 케이블카는 학동고개에서 노자산 정상을 연결하는 1.56km 구간의 케이블카이다. 상부전망대에서는 노자산과 다도해 전경을 경계 없이 360도로 접할 수 있으며, 총 45대의 캐빈 중 10대의 크리스탈 캐빈은 바닥이 유리로 되어있어 탑승하면 노자산 숲길을 걷는 듯한 느낌을 받을 수 있다."
경상남도 거제시 일운면 옥림4길 11,,36,0.0,A02,A0203,A02030600,2787084,12,20211207181232,,,128.7206683593,34.8500925247,6.0,20220720151804,0,1,,거제 옥화마을,53326.0,"옥화마을은 물이 맑아 예전부터 문어 주산지로 유명한 곳으로 조용히 힐링하기에 제격인 한적하고 깨끗한 어촌마을이다. 집집마다 담벼락에는 귀여운 벽화가 그려져 있으며, 마을 특산품인 문어 등을 주제로 바닷속 이야기가 주로 그려져 있다. 옥화마을은 원래 평범한 어촌마을이었지만, 미술을 전공한 이장님이 곳곳에 예쁜 벽화를 그리기 시작하면서, 지금은 떠오르는 거제의 핫플레이스가 되었다고 한다."
경남 거제시 남부면 저구리 산90-399,,36,0.0,A01,A0101,A01011400,2784401,12,20211201195825,http://tong.visitkorea.or.kr/cms/resource/52/2800552_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/52/2800552_image2_1.jpg,128.6002354169,34.7057314715,6.0,20221208113757,0,1,,홍포선착장,,"거제시 남부면 저구리에 위치한 홍포선착장은 일몰로 유명하다. 홍포 일몰은 홍포마을에서도 볼 수 있지만, 홍포선착장에서 탁 트인 시야를 통해 바다 너머 해가 지는 모습을 볼 수 있어 제대로 일몰을 감상하려면 홍포선착장이 제격이다. 오메가 일몰이라고 해서 해가 지면서 수평선과 만날 때 수면에 태양의 반영이 생겨 수학기호 오메가(Ω)와 비슷한 모양이 된다고 해서 그 이름이 붙었다. 홍포선착장에서는 이 오메가 일몰을 기대할 만하다. 낚시를 즐긴다면, 낚시하기 위해서도 찾기 좋으며, 주변에 낚시꾼도 쉽게 볼 수 있다."
경남 거제시 일운면 옥림리,,36,0.0,A01,A0101,A01011400,2784327,12,20211201191652,http://tong.visitkorea.or.kr/cms/resource/13/2800613_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/13/2800613_image2_1.jpg,128.7499249314,34.8207379987,6.0,20221207151326,0,1,,지심도선착장,53328.0,"장승포에서 지심도행 배를 타면 도착하는 선착장이다. 바로 앞에 지심도 휴게소가 마련되어 있으며, 인어공주를 사랑한 호랑이의 전설이 남아있는 범바위와 인어 동상을 만날 수 있다. 동백섬으로 불릴 만큼 동백꽃이 가득 피는 지심도는 12월 초부터 피기 시작해 봄기운이 무르익는 4월 하순 무렵이면 대부분의 꽃잎이 떨어진다. 그렇기에 늦겨울부터 초봄까지 지심도를 찾는 이들이 많다. 또한, 지심도는 오솔길이나 절벽 해안, 초원, 상록수림 등 쉽게 보기 어려운 천혜의 자연환경이 펼쳐져 있다. 이를 증명하듯 지심도 둘레길이 전국에서 걷고 싶은 길 17선에 선정되기도 했다."
경상남도 거제시 남부면 대포길 77,,36,0.0,A02,A0202,A02020800,2783944,12,20211130235622,http://tong.visitkorea.or.kr/cms/resource/09/2787209_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/09/2787209_image2_1.jpg,128.5860836217,34.7151107272,6.0,20221103134943,0,1,,장사도대포크루즈,53333.0,"거제에는 장사도로 향하는 유람선이 다양하다. 그 가운데 장사도까지 10분 안팎이면 도착하는 유람선은 저구항에서 출항하는 남부 유람선과 대포항에서 출항하는 대포 크루즈(유람선)가 있다. 장사도는 입도 인원에 제한이 있기 때문에 대포 크루즈를 이용하기로 결정했다면 홈페이지를 통해 온라인 예약을 하면 할인도 받을 수 있고 줄을 설 필요도 없어 시간 절약을 할 수 있다. 단, 장사도 입장권은 현장의 유람선 매표소에서 별도로 구매해야 한다. 또 크루즈 출항 당일엔 반드시 신분증을 지참해야 하는데 어른의 경우 주민등록증이나 운전면허증, 주민등록등본이 필요하고, 유아나 청소년은 의료보험증이나 주민등록등본으로 대체 가능하다. 대포항에는 최대 200대를 수용하는 무료 주차장이 있다. 장사도 상륙 관광 총 소요시간은 2시간 30분으로 장사도에서는 2시간 머문다."
경상남도 거제시 장목면 장목리 319-35,,36,0.0,A01,A0101,A01011400,2783924,12,20211130234754,http://tong.visitkorea.or.kr/cms/resource/99/2787199_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/99/2787199_image2_1.jpg,128.6806180864,34.9909704927,6.0,20211207191319,1,1,,장목항,,"경상남도 거제시 장목면에 위치해 있는 장목항은 임진왜란과 러일전쟁 당시 해군기지로 이용된 바 있는 항구이다. 구조라항, 다대포항, 대포 근포항, 지세포항, 외포항에 이어 거제시에서 6번째로 국가어항으로 승격되었다.  장목항에는 노란색의 잠수기들이 많이 정박되어 있는 모습을 볼 수 있는데 잠수부들은 바닷속 2040m까지 들어가 개조개나 키조개, 꼬막, 소라, 등을 채취한다. 그렇게 채취한 어패류는 잠수기 수협 거제지소 공판장에서 경매를 거쳐 판매된다. 거제 지역 최초의 현대식 활어시장인 거제 장목수산센터는 지하 1층, 지상 4층 규모로, 거가대교 관포 IC에 인접해 있어 거가대교를 넘어서면 만나게 되는 거제도 첫 번째 여행 코스이기도 하다."
경상남도 거제시 일운면 구조라로 73,,36,0.0,A01,A0101,A01011400,2783919,12,20211130234541,http://tong.visitkorea.or.kr/cms/resource/56/2787156_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/2787156_image2_1.jpg,128.6974938394,34.8032584477,6.0,20221103150621,2,1,,구조라항,53329.0,"경상남도 거제시 일운면에 위치해 있는 구조라항은 외도로 가는 유람선 선착장이 있어, 여행객들이 많이 찾는 항구이다. 주변엔  횟집, 식당, 편의점, 숙박업소 등이 자리하고 있다. 알록달록 꾸며진 마을 벽화들을 보면서 터널 같은 숲길을 따라 걷다 보면 구조라항과 마을 전체를 볼 수 있는 전망대를 만날 수 있다. 전망대에서 구조라항과 구조라해수욕장, 마을을 한눈에 감상할 수 있고, 산과 바다가 어우러진 다도해의 아름다운 풍경을 바라볼 수 있다. 구조라항은 관광뿐만 아니라 다양한 어종이 잡혀 낚시를 좋아하는 사람들에게 인기 있는 낚시 포인트이기도 하다."
경남 거제시 동부면 구천리 195-1,,36,0.0,A01,A0101,A01010500,2782737,12,20211129215845,http://tong.visitkorea.or.kr/cms/resource/50/2793950_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/50/2793950_image2_1.jpg,128.6374540388,34.8249105031,6.0,20221115135613,0,1,,수달생태공원,53332.0,"경남 거제시 동부면 구청 댐을 따라 내려오면 천연기념물 330호인 수달을 만날 수 있는 생태공원이 있다. 공원 내 안내도에서 수달의 집, 수달의 이동 통로, 서식지 등을 확인할 수 있다. 공원 내에는 곳곳에 수달 관련 조형물도 설치되어 있고, 깨끗한 산책로도 잘 조성되어 있어 어린이들과 함께 사진을 찍기에도 좋다. 입구는 좁은 편이지만, 안으로 들어가다 보면 꽤 넓게 조성되어 있고, 목련과 홍단풍 등 여러 나무가 심겨 있어 산책과 휴식을 즐기기에도 좋다. 수달은 깨끗한 지역에서 서식하는 동물로 놀라게 하면 공격할 수도 있으니 조심해야 한다."
경상남도 거제시 동부면 산촌리 761,,36,0.0,A01,A0101,A01010500,2778453,12,20211124191838,http://tong.visitkorea.or.kr/cms/resource/41/2794841_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/41/2794841_image2_1.jpg,128.593741021,34.8306757388,6.0,20221114103603,0,1,,억새군락지,,"거제 오수마을 산촌 간척지에 위치하여, 탁 트인 전망의 자연과 고즈넉함이 공존하는 곳이다. 바다와 바다에 인접한 강이 조화를 이루며 멋진 자연경관을 보여준다.  억새밭 주변으로 산책로가 있어 잠시 산책하기에도 좋다.  억새와 갈대가 함께 피어있으며 호수 안에는 물고기들을, 갈대밭 사이로는 많은 새도 볼 수 있는 곳이다.  바다를 매립해 만든 간척지여서 어촌과 농촌의 풍경이 함께 보인다.  거제의 관광지로 인생샷을 얻을 수 있는 포토존으로 널리 알려져 가을에 특히 많은 사람 이 찾는 곳이다."
경상남도 거제시 옥포동 1922-1,,36,0.0,A01,A0101,A01011400,2778435,12,20211124190423,http://tong.visitkorea.or.kr/cms/resource/51/2794851_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/51/2794851_image2_1.jpg,128.6992108031,34.8909958998,6.0,20221115132719,0,1,,옥포항,,"경남 거제시에 있는 항구다.  장승포 양지암 두툽바위 끝에서 외포 망월산 끝까지 6.2㎞의 거리다.  옥녀봉과 국사봉 사이에 있는 항구다. 거제는 왜적을 방어하는 전초기지 역할을 했고, 옥포는 군사적으로 요충지였기 때문에 옥포진과 조라진이 있었다. 항구를 벗어나면 거제와 부산 뱃길의 관문이며, 대마도가 나타난다. 일본과 가까운 곳으로 내륙으로 쉽게 접근이 용이한 곳이므로 일본의 침입이 먼저 있었던 곳이다. 임진왜란 때는 이순신 장군이 1592년 임진년 5월 7일 왜적을 최초로 무찔렀던 전투를 벌인 장소이기도 하다."
