addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경상남도 거창군 송계로 793,,36,,A02,A0202,A02020500,2931955,12,20221208150556,http://tong.visitkorea.or.kr/cms/resource/51/2931951_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/51/2931951_image3_1.JPG,127.8148145204,35.783915583,6.0,20221208150620,0,2,,하늘호수,50102,"경남 거창의 덕유산 자락에 자리잡은 20년의 천연허브화장품 제조유통 전문기업 하늘호수에서 자사의 노하우로 만든 천연화장품만들기 체험프로그램을 운영중이다. 한국관광공사 웰니스시설로도 선정되어 있고, 스킨, 에센스, 올인원워시 만들기 등을 직접 해볼 수 있으며, 체험 후엔 코스메틱카페에서 차를 즐길수 있다. 또한  체험당일에 한해서 하늘호수의 화장품을 할인된 가격으로 구매해 볼수도 있다. 예약은 필수다."
경상남도 거창군 의동1길 36,,36,,A01,A0102,A01020100,2865675,12,20221012101838,http://tong.visitkorea.or.kr/cms/resource/67/2865667_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/67/2865667_image3_1.JPG,127.927875797,35.7157308865,6.0,20221202151136,0,2,,거창은행나무길,50125,거창 학리 의동 마을 입구에 있는 은행나무길은 노랗게 물든 은행잎이 황금길을 만들어 가을의 풍미를 느낄 수 있는 명소이다. 관광 사진 공모전을 통해 알려지기 시작하여 많은 관광객이 찾는 곳이다. 그리 길지 않은 거리지만 여러 그루의 은행나무에서 떨어진 은행 나뭇잎이 황금빛 길을 만들어 멋진 장관을 이룬다. 해마다 가을이면 많은 인파가 이곳으로 몰려든다. 은행나무 길 포토존으로는 오래된 건물 지붕 위에 은행 나뭇잎이 쌓여있는 창고가 적격이다. 차로 10분 거리에 거창 사과테마파크 전시관도 있어 함께 방문하기 좋다.
경상남도 거창군 송계로 487,,36,,A02,A0203,A02030400,2819594,12,20220512161758,,,127.8299414871,35.7642430833,6.0,20220513091752,0,2,,거창목재문화체험장,50103,"거창 목재문화체험장은 대한민국 명승인 수승대 안에 위치한 목공 체험장이다. ​1, 2층은 로비전시실, 목재체험실, 영상관, 상설전시실, 기획전시, 유아체험공간으로 구성되어 있는데, 내부의 벽과 기둥이 모두 나무로 마감되어 있어 나뭇결이 주는 자연스럽고 아늑한 분위기를 느낄 수 있다. 곳곳에 나무로 만든 다양한 제품들이 많이 전시되어 있는데 일상에서 쓰기 좋은 실용적인 원목 도마, 책꽂이와 같은 생활용품을 비롯하여 서랍장, 나무키보드와 마우스, 소반과 나막신 등 다양한 원목 작품들도 전시되어 있다. 영상관은 나무가 주는 이로움과 편익에 대한 영상을 상영하고 목재 관련 세미나와 워크숍을 개최할 수 있는 공간이다. 나무 상상 놀이터는 친환경적인 놀이공간에서 자연과 나무를 주제로 한 다채로운 프로그램을 통하여 유·아동의 전인적 발달을 돕고 있다."
경상남도 거창군 웅양면 동호3길 2-3,,36,0.0,A02,A0203,A02030100,2796942,12,20211215012453,http://tong.visitkorea.or.kr/cms/resource/63/2798963_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/63/2798963_image2_1.jpg,127.9246849484,35.7989436198,6.0,20221201135509,0,2,,웅양면 동호마을,50113,솔향기 돌담마을로도 불리는 동호마을은 삼한시대부터 옛 터라고 하며 웅양면의 남북으로 흐르는 미수천의 동쪽에 자리하였다고 하여 봉변리로 칭하였으나 19세기 초 순조 때 이곳에 살던 진사 이지유의 호를 따 동호리라 부르게 되었다. 경남의 다른 지역보다 고도가 높은 해발 200m의 산간 분지로 대륙성 기후의 영향을 받아 달콤하고 맛있는 사과와 포도를 재배하는 아름다운 마을이다. 해마다 포도축제가 열리고 있으며 경상남도 문화재자료 제  122호인 거창 동호리 이 씨 고가가 있고 마을 입구에는 제15회 아름다운 숲으로 선정된 동호 숲이 있다.
경상남도 거창군 신원면 덕산리 산57번지,,36,0.0,A02,A0204,A02040400,2796956,12,20211215011527,http://tong.visitkorea.or.kr/cms/resource/34/2675634_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/34/2675634_image2_1.jpg,127.9163995903,35.5912836573,6.0,20211215182620,0,2,,감악산 풍력발전단지,,"경상남도 거창군 신원면 과정리, 덕산리 일원에 조성된 풍력 발전단지이다. 과거 해발 900m의 황무지였던 곳에 감국, 아스타 구절초, 샤스타데이지, 억새, 소국, 등을 식재하여 경관을 개선하였다. 전방으로는 거창읍의 전경이 후방으로는 합천호가 보여 아름다운 경관을 볼 수 있다. 또한 곳곳에 포토존이 설치되어 있어 사진찍기에 좋다."
경남 거창군 웅양면 동호리 1055-1,,36,0.0,A01,A0101,A01010400,2795779,12,20211214213615,http://tong.visitkorea.or.kr/cms/resource/09/2797509_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/09/2797509_image2_1.jpg,127.921948999,35.8019376764,6.0,20220706111625,0,2,,동호숲,50113,"동호 숲은 경남 거창군 웅양면 동호리에 위치한 전통 숲이다. 연안 이씨 집성촌이었던 동호마을은 덕유산국립공원, 가야산국립공원, 지리산국립공원에 둘러싸여 멋진 절경을 자랑하며 아름다운 동호 숲과 함께 전통문화가 공존하고 있다. 흘러내린 산자락에 돌담을 끼고 자리하여 아침, 저녁 높은 일교차와 풍부한 일조량의 기후조건으로 맛과 향이 뛰어난 포도를 특산품으로 하고 있다. 제15회 아름다운 숲 전국대회 공존상 수상의 숲으로 마을의 재물이 날아가 버리는 것을 막기 위해 마을 입구에 소나무를 심기 시작했는데 마을의 안녕을 비는 마음이 담겨 더욱 아름답고 우거진 숲을 이루게 되었다."
경상남도 거창군 가조면 도리 산 61-2,,36,0.0,A02,A0205,A02050600,2795531,12,20211214200257,http://tong.visitkorea.or.kr/cms/resource/02/2796502_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/02/2796502_image2_1.JPG,128.0749944833,35.6741354558,6.0,20221124111729,0,2,,오도산전망대,,"오도산은 도선국사가 깨달음을 얻은 곳이다. 오도산의 원래 이름은 하늘의 촛불이라는 뜻의 천촉산 또는 까마귀 대가리처럼 산꼭대기가 검다고 해서 오두산이라고도 불렀다. 높이가 1,134m며 주위에 두무산, 숙성산 등이 솟아 있고 1982년 한국통신이 오도산 정상에 중계소를 설치하면서 일반인들도 승용차로 쉽게 접근할 수 있게 되었다. 이곳은 일출 사진 촬영과 운해 그리고 야영을 하기 좋은 곳으로 알려져 사람들이 많이 찾아오는 명소가 됐다. 특히 오도산은 한국 표범의 마지막 서식지로도 알려져 있다. 마지막 잡힌 1962년의 표범이 마지막 표범으로 알려져 있다."
경상남도 거창군 가조면 의상봉길 830,거창항노화힐링랜드,36,0.0,A01,A0101,A01010600,2756141,12,20211013191645,,,128.0409208012,35.7366638755,6.0,20220511142731,0,2,,거창 항노화힐링랜드,50118,"거창 항노화 힐링랜드는 해발 1,046m의 우두산 자락에 위치한 힐링과 치유의 공간이다. 산림환경을 활용해 산책과 체험이 가능하며 국내 최초의 교각 없는 Y자형 출렁다리와 누구나 안전하고 편안하게 걸을 수 있는 무장애 데크 로드가 설치되어 있다. 걷기만 해도 스트레스가 풀린다는 피톤치드 가득한 숲길은 거창 항노화 힐링랜드의 자랑이다. 견암폭포를 배경으로 희귀식물을 감상할 수 있는 자생식물원이 조성되어 있고, 산림휴양관과 숲속의 집 등의 숙박시설도 갖추고 있다. 주변에는 기이한 암봉들이 많아 작은 금강산이라 불리는 아름다운 의상봉이 있고 비계산의 절경도 즐길 수 있는 최적의 자연 휴양 관광지이다."
경상남도 거창군 남상면 창포원길 21-1,,36,0.0,A01,A0101,A01010500,2755874,12,20211013015319,,,127.9395930601,35.6549990841,6.0,20220512101853,1,2,,거창창포원,50148,"거창 창포원은 공원면적 424,823㎡ 규모로 축구장 66배 크기의 대규모 수변생태공원이다.
합천댐을 조성하면서 생겨난 수몰지역이지만 국가하천인 황강의 수변경관과 어울리는 생태공원을 조성하여 하천 수질도 보호하고, 관광자원을 만들어 지역 경제 활성화에 도움을 주자는 취지에서 거창 창포원을 조성하게 되었다.
지금은 친환경 생태공원으로 사계절 관람이 가능한 거창의 새로운 명소가 되어 많은 관광객들이 찾고 있는 곳으로 봄에는 100만 본 이상의 꽃창포가 아름다운 군락을 이루고, 여름철에는 연꽃, 수련, 수국이 절정을 이룬다. 가을엔 국화와 단풍을 찾는 사람이 많고 겨울에는 열대식물원과 145,200㎡의 습지 주변으로 억새와 갈대밭이 펼쳐져 있어 4계절 내내 색다른 볼거리를 제공하고 있다."
경상남도 거창군 신원면 연수사길 456,,36,0.0,A02,A0203,A02030600,2755857,12,20211013014530,http://tong.visitkorea.or.kr/cms/resource/73/2774673_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/73/2774673_image2_1.JPG,127.9199604172,35.5901644033,6.0,20221207165258,0,2,,감악산항노화웰니스체험장,50153,"거창 항노화 웰니스 체험장은 거창의 명산으로 불리는 해발 952미터 감악산 정상 부근에 있다.
황무지였던 터에 감국, 아스타, 구절초 등을 심어 가꾼 산상화원으로 가을이면 보라색 아스타 국화가 아름답다. 풍력 발전소가 자리 잡은 정상이지만 차량 진입이 가능해 접근성이 좋은 곳으로
차박과 피크닉이 가능하고 거창 시내 전경과 합천호의 아름다운 경관을 한눈에 감상할 수 있다.
거창에서 가장 아름다운 일몰을 감상할 수도 있는 곳으로 밤이면 은하수와 별빛 체험을 위해 가족이나 연인들이 많이 찾는다."
경상남도 거창군 가조면 의상봉길 830,,36,0.0,A02,A0205,A02050100,2755856,12,20211013014203,http://tong.visitkorea.or.kr/cms/resource/22/2755922_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/22/2755922_image2_1.JPG,128.0409208012,35.7366638755,6.0,20221004161438,0,2,,우두산출렁다리,50118,"산의 형세가 소머리를 닮았다고 해서 이름 붙여진 경남 거창 우두산에 설치된 출렁다리다
해발 1,046미터인 산 중간쯤인 해발 620m에 설치돼 있으며 지상 높이로는 60m, 총 길이는 109m이다
국내 최초의 특수 공법인 와이어를 연결한 현수교 형식으로 45m, 24m, 40m 세 개의 다리를
Y자 모양으로 설치하였는데 깎아지른 협곡을 세 방향으로 연결한 국내 유일의 산악 보도교로 평가받고 있다. 성인을 기준으로 동시에 230명이 건널 수 있다
작은 금강산이라 불릴 만큼 아름다운 의상봉과 비계산 등의 명산을 둘러볼 수 있다. 
출렁다리까지 오르내리는 길도 산책 코스로 아름답고 폭포의 시원한 물줄기도 즐길 수 있다."
경상남도 거창군 가조면 의상봉길 830,,36,0.0,A02,A0203,A02030600,2657716,12,20200529191234,http://tong.visitkorea.or.kr/cms/resource/32/2649832_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/32/2649832_image3_1.jpg,128.0409208012,35.7366638755,6.0,20221012152027,0,2,,늘해랑누리길 (치유의숲),50118,"늘해랑누리길은 1.3km에 이르는 순환형 숲 산책로며, 이동 약자를 위해 전체 구간을 경사도 8 미만 무장애 데크 로드로 조성했다. 노약자나 어린이는 물론, 휠체어 이용자도 보호자의 도움을 받아 산림욕을 즐길 수 있다.  늘해랑누리길은 경남에서 가장 긴 무장애 산책로다."
경상남도 거창군 가조면 의상봉길 830,,36,0.0,A02,A0205,A02050100,2657715,12,20200529190830,http://tong.visitkorea.or.kr/cms/resource/29/2649829_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/29/2649829_image3_1.jpg,128.0409208012,35.7366638755,6.0,20220506172832,0,2,,거창 Y자형 출렁다리,50118," 코로나바이러스감염증19 공지사항 내용 : 현장발권 가능, 예약제 운영 ( 별도 안내시까지)ua hef""https:koean.visitkoea.o.knoticenews_detail.donwsid8cdd65e159f149048c9884001e40911"" title""여행정보 변동사항 페이지로 이동""→ 코로나바이러스감염증19 여행정보 변동사항 확인하기au 해발 620m에 설치된 출렁다리는 등산로가 상봉과 마장재로 갈리는 지점에 있다. 깎아지른 협곡을 세 방향으로 연결한 국내 유일의 산악 보도교다. 지상 높이 60m, 총 길이 109m다. 최대 하중 60t, 75kg 어른 800명, 동시 최대 수용 인원은 230명이다."
경상남도 거창군 위천면 원학길 410,,36,0.0,A02,A0203,A02030100,2632744,12,20191102012115,http://tong.visitkorea.or.kr/cms/resource/66/2721466_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/66/2721466_image2_1.jpg,127.8310611426,35.7527166324,6.0,20220421165712,0,2,,수승대체험휴양마을,50103,"거창 수승대체험휴양마을은 아름다운 자연과 맑은 물, 상쾌한 공기가 있는 청정마을로 도시생활에 지친 몸과 마음을 쉴 수 있는 곳이다. 사계절 많은 축제와 다양한 체험거리, 볼거리, 먹을거리를 제공하고 있어 가족과 함께 방문하기 좋은 곳이다."
경상남도 거창군 거창읍 거함대로 3372-71,,36,0.0,A02,A0204,A02040600,2469257,12,20161223181907,,,127.9265493539,35.6704082178,6.0,20220421141158,3264,2,,서울우유 거창공장,50147,"stong엄마도, 아빠도 먹고 자란 서울우유stong  이곳은 거창 청정지역에 자리 잡은 세계 제1의 최첨단, 친환경, 고효율, 청정우유 공장이다. 1937년 경성우유 협동조합으로 시작한 서울우유는 우리 국민에게 가장 친숙한 우유 브랜드일 것이다. 견학 프로그램의 주요 대상은 어머니 단체로 이곳에서 생산 공정을 살펴볼 수 있다."
경상남도 거창군 위천면 상천길 50-159,,36,0.0,A02,A0203,A02030100,1977633,12,20141218194456,http://tong.visitkorea.or.kr/cms/resource/80/1987580_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/80/1987580_image3_1.jpg,127.818542887,35.7496778653,6.0,20220729104323,8071,2,,거창 황금원숭이마을,50103,"황금원숭이 마을은 금원산(金猿山) 아래 위치한 마을로 금원(金猿)의 한자를 풀어 이름을 지었다고 한다. 마을 인근의 금원산 자연휴양림에서는 매년 12월말부터 2월 중순까지 얼음축제를 개최한다. 올해로 9회째를 맞는 축제는 얼음계곡, 얼음 미끄럼틀, 썰매장 등 추운날씨를 이용한 겨울놀이를 즐길 수 있다. 또한 세계 여러 나라의 건축물 등 다양한 얼음조각 작품도 감상할 수 있는 금원산의 작은 겨울왕국을 만날 수 있다."
경상남도 거창군 위천면 황산2길 137,,36,0.0,A02,A0201,A02010700,1960072,12,20141024233605,,,127.8401655643,35.7649320763,6.0,20221007134220,2497,2,,학림서원,50103,위천면 황산리 239번지 황산마을 뒤 정안동 어귀에 있다. 서기 1780년에 세워 삼괴당 권시민(三槐堂權時敏) 죽헌 조숙(竹軒曺淑) 박약재 강위용(博約齋姜渭龍) 금천 류세홍(金川柳世泓) 원암 곽인(猿岩郭訒) 난곡 우석일(蘭谷禹錫一)등 육 선생을 병향하였다. 1868년 국령에 의하여 훼철됨에 본당과 사우 등은 파옥되고 전사청만 남아 있다가 뒤에 문간채를 새로 세워 현존한다. 훼철과 동시 향사는 드리지 아니하고 매년 음력 4월13일에 후손들이 모여 회집을 한다.
경상남도 거창군 가북면 어인길 41,,36,0.0,A02,A0201,A02010700,1959958,12,20141024201300,,,127.9928054898,35.7410097415,6.0,20220902172824,1590,2,,용원서원,50116,1686년(숙종 12)에 지방유림의 공의로 문위(文緯)의 학문과 덕행을 추모하기 위해창건하여 위패를 모셨다. 그 뒤 변창후(卞昌後)를 추가 배향하여 선현배향과 지방교육의 일익을 담당하여 왔다. 1868년(고종 6)에 대원군의 서원철폐령으로 훼철되었다가 1989년에 서원이 복원되고 이어서 1991년에 사당을 복원하였다.
경상남도 거창군 신원면 오례길 127-3,,36,0.0,A02,A0201,A02010700,1959914,12,20141024192815,,,127.8908885133,35.5702439163,6.0,20210901232754,1039,2,,오례사,50153,"백촌 김문기(1399∼1456) 선생의 학문과 덕행을 추모하고 이를 계승하고자 세운 곳이다. 김문기 선생은 세종 8년(1426) 과거에 급제하여 여러 관직을 두루 거쳤으나 사육신과 함께 단종복위를 꾀한 사건으로 희생당하였다. 그 뒤 영조 7년(1731) 복관되고, 영조 33년(1757) 충의(忠毅)란 시호가 내려졌다. 오례사는 선생의 후손이 1870년에 세웠으며, 1994년에 크게 보수하여 오늘에 이른다. 현재 남아있는 건물은 외삼문, 추원재, 내삼문, 사당이 있다. 사당은 앞면 3칸·옆면 2칸 규모이며, 지붕은 옆면에서 볼 때 사람 인(人)자 모양인 맞배지붕이다. 추원재는 앞면 4칸·옆면 2칸이며, 지붕은 옆면에서 볼 때 여덟 팔(八)자 모양인 팔작지붕으로 꾸몄다.  출처 : 문화재청"
경상남도 거창군 북상면 계수나무길 18-47,,36,0.0,A02,A0201,A02010700,1959823,12,20141024181242,,,127.7387523751,35.7628332869,6.0,20220328171021,1683,2,,성천서원,50100,"동춘당 송준길은 율곡과 사계의 문인으로 학문에 뛰어나서 문묘에 배향되었는데, 병자호란 뒤 북상면 월성리에 와서 초당을 짓고 6년 가까이 거처하였으며 이 곳에서 제자들을 가르쳤다. 1703년 함양군 안의면 후암리에 당시 안음현감 정중만이 성천서원을 건립하였다가 1844년경 현재 거창 월성에 옮겨 지었다. 대원군 서원 훼철령으로 훼철되고 가까이 있던 월성초당도 6.25 동란 때 불탔다. 1977년 초당계에서 서원터에 동춘송선생월성초당유허비를 세웠다. 1716년 일휴당 이숙을 배향하고 1821년에 역천 송명흠을 배향했다"
