addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경상남도 고성군 무선2길 1039,,36,,A02,A0201,A02010800,2929795,12,20221205133013,http://tong.visitkorea.or.kr/cms/resource/89/2929689_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/89/2929689_image3_1.jpg,128.2049350263,34.9742582766,6,20221205133032,0,3,,보현암,52955,"보현암은 경남 고성군의 수태산에 있는 사찰로, 13ｍ 높이로 우뚝 솟은 금동 약사여래 대불이 있는 곳으로 유명하다. 산 중턱에 있어 경치가 좋고, 사찰 뒤쪽으로는 바다도 보인다. 특히 가을에는 산을 물들인 알록달록한 단풍이 커다란 불상과 어우러져 장관을 이룬다. '해동 제일 기도 도량'이라고 쓰여있는 일주문을 통과하면 사찰 건물이 보인다. 건물은 총 3층이며, 1층에는 불자들을 위한 염주 등을 판매하고 2층에는 법당이 있으며, 3층으로 올라가면 비로소 약사여래불 불상을 마주할 수 있다. 약사여래불은 중생의 아픈 몸과 마음을 치유하여 건강하게 살 수 있도록 베풀어주는 불상으로, 가족과 주변인들의 건강을 빌기 위해 오는 사람들이 많다. 차로 3분 거리에 역사가 깊은 문수암이 있어 함께 여행하기에도 좋다."
경상남도 고성군 하이면 월흥리 산3-1,,36,0.0,A02,A0205,A02050600,2787119,12,20211207183529,http://tong.visitkorea.or.kr/cms/resource/48/2791848_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/48/2791848_image2_1.jpg,128.16136011,34.9041570271,6,20221110113042,0,3,,병풍바위전망대,52963,"고성 병풍바위 전망대는 상족암군립공원 건너편에 자리한다. 이름 그대로 마치 병풍을 펼쳐놓은 듯 높은 바위가 길게 뻗은 모습이 눈길을 사로잡는다. 병풍바위로 향하는 길은 나무데크가 놓여 있어 누구나 부담 없이 걷기 좋다. 산책로 한쪽은 울창한 숲이, 다른 한쪽은 푸른 바다가 내내 이어지며 눈과 마음을 편안하게 만들어준다. 철썩이는 파도 소리를 들으며 걷다 보면 전망대에 이른다. 바다를 향해 길게 뻗은 전망대에선 아름다운 고성 앞바다를 한눈에 담을 수 있다. 상족암군립공원도 손에 닿을 듯 가깝게 느껴진다. 전망대 바닥 일부는 투명한 유리로 만들어져 발아래 아찔한 바다 풍경도 즐길 수 있다. 전망대 주변으로 펼쳐진 주상절리도 특별한 볼거리를 더한다."
경상남도 고성군 하일면 춘암리 790-7,,36,0.0,A01,A0101,A01011400,2784324,12,20211201191449,http://tong.visitkorea.or.kr/cms/resource/23/2799023_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/2799023_image2_1.jpg,128.1645210585,34.899815903,6,20221202152553,0,3,,맥전포항,,맥전포항이 있는 경상남도 고성군 하일면 춘암리는 사계절 온화한 기후를 가졌다 하여 봄 춘(春)에 바위 암(巖)을 붙여 만든 지명이다. 고즈넉하고 평화로운 풍경에 자리 잡은 맥전포항은 남동쪽에 있는 실리도가 남동풍을 막아주어 잔잔한 수면이 더욱 아름답게 일렁이는 곳이다. 동쪽 방파제를 향해 가면 거북선 놀이터와 음악 분수가 있고 서쪽 방파제를 향해 가면 국내 최초로 공룡 발자국이 발견된 고성군답게 공룡 산책로를 만날 수 있다. 멸치가 많이 잡히는 항구로 멸치를 잡는 광경이나 따사로운 햇볕에 건조하는 모습도 볼 수 있다.
경상남도 고성군 동해면 외곡1길 535,,36,0.0,A01,A0101,A01010400,2783371,12,20211130190201,http://tong.visitkorea.or.kr/cms/resource/03/2794003_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/03/2794003_image2_1.jpg,128.419976291,35.0146825836,6,20211214012527,0,3,,구절산,52920,None
경남 고성군 하일면 동화리 398-4,,36,0.0,A02,A0201,A02010200,2782806,12,20211129224840,http://tong.visitkorea.or.kr/cms/resource/15/2787715_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/15/2787715_image2_1.jpg,128.1894715907,34.9023771683,6,20211207235444,0,3,,고성소을비포성지,,"고성에는 조선 초기에 지어진 것으로 추정되는 소을비포성지가 일부가 남아 있다. 왜구의 침입을 막고자 하는 목적으로 쌓은 성으로, 바닷가로 돌출된 낮은 산의 해안 경사를 따라 타원형으로 쌓아 올린 산성으로 앞쪽이 바다를 향하고 있어서 자연환경을 잘 활용한 방어시설이다. 난중일기와 조선왕조실록 등에도 남해안의 왜구 방비를 목적으로 진이나 보를 설치하였다고 기록이 남아 있는데 이곳이 그러한 군사시설 중에 하나로 보인다. 현재 남은 성은 규모 200m 둘레 3m 높이의 성벽과 북쪽 성문의 흔적이 남아 있다. 바로 앞에 사량도가 있어서 태풍의 영향을 받지 않고 파도가 잔잔한 지역이라 요즘도 기상이 좋지 않을 때는 이곳 앞바다로 어선들이 대피하기도 한다. 고성의 해안가를 따라가다 보면 이곳에 도착할 수 있는데, 주차장과 산책로가 잘 갖춰져 있어서 돌로 포장된 계단과 길을 따라 가볍게 언덕 위로 올라가면 금세 탁 트인 넓은 공터가 펼쳐진다. 봄 여름이면 이곳에 초록빛의 잔디로 가득해지고 성벽 너머로 맑고 고요한 바다가 펼쳐져 장관을 이룬다. 이곳에서 바다를 내려다보면 자연환경을 활용한 선조들의 지혜가 느껴진다."
경상남도 고성군 회화면 당항만로 1116,,36,0.0,A02,A0202,A02020600,2782803,12,20211129224722,http://tong.visitkorea.or.kr/cms/resource/97/2787697_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/97/2787697_image2_1.jpg,128.3986687125,35.0563858594,6,20221103154048,1,3,,고성당항포랜드,52915,"당항포랜드는 고성 공룡엑스포를 위해 대규모로 구성된 관광지로써 다양한 볼거리와 즐길 거리를 갖추고 있는 물놀이 시설이다. 사계절 언제든 방문해도 좋겠으나, 아무래도 여름 휴가철에 가장 많이 찾게 되는데, 이곳에서 시원한 물놀이를 즐길 수 있어 가족 단위 피서객들에게 인기가 높다. 당항포관광지 입장료를 내 거나 오토캠핑장을 이용하면 대부분의 관람 시설은 무료이나, 일부 놀이기구와 야외풀장은 유료로 이용할 수 있다. 야외 풀장은 여름철 1개월간 한시적으로 운영되는데 2바퀴를 회전하며 내려오는 워터 슬라이드와 어린이용 미끄럼틀이 있고, 수심이 1m와 0.5m로 두 개로 나뉘어 있어서 가족 단위로 캠핑장을 찾은 경우 반나절이나 하루 정도를 이곳에서 물놀이로 충분히 즐길 수 있다. 주변에 공룡 관련 전시와 놀이공원, 박물관 등이 다양하여 휴가 계획을 알차게 세울 수 있는 곳이다. 수영복, 수영모, 구명조끼 등이 대여 가능하여, 준비하지 못했더라고 물놀이를 할 수 있도록 돕고 있다. 풀장 옆으로는 스탠드식 그늘막이 잘 설치되어 있고, 파라솔과 테이블도 준비되어 있어 휴식을 취하기 좋으나, 여름철에는 찾는 이들이 많아 일찍 입장하지 않으면 자리를 잡기 어려울 수도 있다. 풀장 내의 매점과 스낵바에서 간식과 음료 등의 구매가 가능하며, 외부음식물 반입도 가능하다."
경상남도 고성군 대가면 대가로 467-16,,36,0.0,A02,A0203,A02030600,2775365,12,20211117200656,,,128.2979979995,35.0167496142,6,20221207094717,0,3,,바다공룡(다이노씨 프로젝트),52928,"바다공룡은 바다마을의 유휴공간(폐학교, 폐공장)을 활용하여 코워킹 스페이스와 주거 공간으로 바꾸는 기업이다. 새롭게 탄생한 공간에 IT 직군의 개발자와 디자이너, 프리랜서 등의 디지털 노마드들을 초대한다. 1주일, 2주일 동안 조용한 바닷마을에서 청년들이 거주하며 한적한 경치도 즐기고 여행하듯 일하며 지내는 워케이션 경험을 제공한다. 워케이션은 글로벌 트렌드로 인도네시아 발리, 태국의 치앙마이 등의 디지털 노마드 문화이다. 전국 각지에서 청년들이 모여 서로를 알아가고 토이프로젝트도 하면서 시골의 정서를 배우고 힐링하는 시간을 갖는다."
경상남도 고성군 하이면 덕명4길 98,,36,0.0,A02,A0203,A02030600,2775351,12,20211117195850,,,128.1459559284,34.9030735428,6,20211117195850,0,3,,옹기랑,52963,"옹기랑은 옹기를 주테마로 숙박, 체험, 먹거리, 기념품 등 체류형 관광 서비스를 제공하고자 하는 곳이다. 옹기랑이 위치한 덕명마을은 옛날 옹기촌이 있던 곳으로, 옹기를 실제로 만들던 6군데 중 5군데가 없어지고 현재 마지막 한 곳이 옹기랑의 사업체 내 보존되고 있다. 아름다운 해안과 어우러진 절경에 실내·외 전시를 통해 약 2000점 옹기 관련 유물을 즐길 수 있다. 현재 관람 외 편의시설로 숙박과 카페를 이용할 수 있고, 옹기관련 체험과 식음 메뉴가 준비 중에 있다.  또한, 덕명마을의 해안을 무대로 해상관광 상품이 준비되어 있어 고객의 즐길거리를 더하고 있다. 인근에는 고성의 사진명소인 상족암 군립공원과 고성공룡박물관이 있다."
경상남도 고성군 고성읍 성내로 62-9,103호(금강상가),36,0.0,A02,A0203,A02030600,2775349,12,20211117195201,,,128.3163446935,34.9759878442,6,20220826095751,2,3,,고가담(가치를 담다),52935,"경남 고성군 고가담  가치를 담다는 고성군의 관광지를 스토리텔링하여 관광기념품을 제작 판매하는 사업체로 자개, 옻칠, 페브릭, 목공 전문분야의 작가들이 만들어 내는 체험 키트 및 문화 굿즈 개발 판매 사업을 주로 하고 있으며 교육 키트를 통한 사업, 고성 캠핑족의 문화체험 콘텐츠로 거듭나고 있다. 나만의 힐링 또는, 문화적 자극이 필요할 때 고.가.담을 찾아 힐링할 수 있다. 단체 체험 활동 가능하고 기업 및 지자체 등, 이용객의 선 예약제로 운영되고 있으며, 테마나 로고 작업 및 기념품 제작 문의가 가능하다."
경상남도 고성군 구만면 영회로 1749,아트인고성,36,0.0,A02,A0203,A02030600,2775348,12,20211117194841,,,128.3357010913,35.0903781398,6,20211123021328,0,3,,아트인고성,52908,"아트인고성에서는 경남 고성의 지역, 유무형 자원, 문화 아이템 등을 활용한 다양한 굿즈 및 기념품을 만나볼 수 있습니다. 고성 지역의 청년예술인들과 함께 굿즈를 활용한 다양한 창작공예품 체험도 제공하고 있습니다. 도자공예 기반으로 공룡을 모티브로 한 다양한 도자체험과 청년예술인들이 직접 제작한 공예품을 직접 만져보고 느낄 수 있는 시공간을 제공하며, 지역 예술공간과 협업을 통해 실내외 전시공간 및 기획 전시 등도 제공하고 있습니다."
