addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경상남도 김해시 율하4로 12,,36,,A02,A0202,A02020700,2865776,12,20221012104358,http://tong.visitkorea.or.kr/cms/resource/50/2865750_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/50/2865750_image3_1.JPG,128.8219454671,35.1673116447,6,20221012104411,0,4,,모산공원,51022,"김해 장유동에 있는 모산공원은 넓은 산책길과 숲 체험장, 유아 체험장 등이 있어 어린이와 함께 가기 좋은 공원이다. 유아 숲 체험장은 6세부터 13세까지 이용할 수 있으며 집라인, 경사 오르기, 흔들 다리, 널판 건너기, 흔들 포켓 등이 있어 어린이들에게 인기가 높다. 공원 곳곳에 벤치, 테이블이 마련되어 있어 편하게 이용할 수 있다. 넓은 잔디 구장과 트랙이 있어 언제든 운동을 할 수 있도록 개방해 놓았다. 여름에는 바닥분수 공원도 운영하고 있다. 어린아이와 어른들을 위한 다양한 공간이 마련되어 있어 남녀노소 힐링할 수 있는 공원이다. 공원 근처에 워터파크와 롯데 아울렛이 있어 함께 방문해도 좋다.
 반려동물 동반 가능(배변봉투, 리드줄 필히 지참)"
경상남도 김해시 가야로515번길 4,,36,,A02,A0203,A02030600,2821732,12,20220526095933,http://tong.visitkorea.or.kr/cms/resource/28/2821628_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/28/2821628_image3_1.jpg,128.889845996,35.2365662339,6,20220620141648,0,4,,예닮,50843,"예술을 담다, 옛것을 닮다라는 의미의 예닮은 이민경 대표가 김해시민들에게 전통문화와 예술을 알리고자 세운 단체이다. 일반 시민들뿐 아니라 소외계층까지, 우리 사회 모두의 일상에 문화예술이 자연스럽게 스며들 수 있게 하는 것이 목표다. 이를 도우려고 가야금을 전공한 딸 류다인씨와 그의 선후배들이 모였다. 예닮은 아이들에게 어린이용 8현 가야금을 이용하여 직접 연주법을 가르치고, 노인주간보호센터를 방문하여 전통 공예수업을 진행한다. 또한 장애인을 대상으로 가야금과 북 체험 행사를, 관광객을 대상으로 한복 대여, 매듭공예, 가야금 체험 등 전통 예술을 느끼고 배울 수 있도록 다양한 기회를 제공한다. 이름처럼 따뜻한 마음으로 누구나 전통문화와 예술을 즐길 수 있도록 적극적인 나눔 활동을 펼치고 있다."
경상남도 김해시 가락로 102,,36,,A02,A0203,A02030600,2821565,12,20220525131451,http://tong.visitkorea.or.kr/cms/resource/63/2821563_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/63/2821563_image3_1.jpg,128.8813523187,35.2355884098,6,20220620141503,0,4,,룰루낭만협동조합,50915,"룰루낭만 협동조합은 김해를 중심으로 호동이 농원, 삼계 풀잎센터, 성림가든, 송화도예, 우리 관광여행사 등 각자의 사업을 운영 중인 주민 5명이 모여 결성한 여행 전문 주민사업체이다. 이들은 국제 슬로시티인 김해를 찾는 여행객들이 마음을 정화하고 선물 같은 시간을 만들어 갈 수 있도록 다양한 여행상품을 기획하였다. 아이들에게는 울창한 숲속에서 곤충의 생태에 대해 깊이 있게 알 수 있는 야간 곤충캠프가, 성인에게는 전통 인도 요가를 하며 나를 찾고 마음을 열어가는 명상 여행이 인기 있다. 룰루낭만은 관광객들이 김해의 숨은 매력을 느끼고 낙동강변을 따라 마음을 정화하고 심신의 여유와 충만한 행복을 느낄 수 있도록 노력한다."
경상남도 김해시 분성로335번길 44,(동상동),36,0.0,A02,A0201,A02010200,2789656,12,20211209001054,http://tong.visitkorea.or.kr/cms/resource/25/2795425_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/25/2795425_image2_1.jpg,128.8818966557,35.237788173,6,20220720151201,1,4,,김해읍성,50915,"김해읍성은 조선왕조실록에 의하면 세종 16년(1434) 석성으로 축조되었다가, 문종(1451) 때 냇물과 우물을 포함한 둘레 4,418척, 높이 13척의 대규모 읍성으로 완성되었다고 한다. 김해읍지에 읍성의 4대문인 해동문과 해서문, 진남문과 공진문이 기록되어 있으나 일제강점기에 읍성 철거정책으로 철거되고 고종 32년 이후 거의 흔적이 없어졌다. 현재의 김해읍성 북문은 현 위치에 성벽과 옹성 일부가 남아있는 것을 2006년부터 하부구조와 축성기법을 조사, 분석하고 고지도류와 각종 문헌자료를 참고해 2008년에 복원했다. 현재는 문화재 보호법으로 인해 들어가 볼 수는 없다."
경상남도 김해시 진영읍 하계로 407-1,,36,0.0,A02,A0202,A02020700,2784256,12,20211201023617,,,128.7364688347,35.297509359,6,20211208224610,0,4,,금병공원,50868,"경남 김해시 진영읍 금병산 자락에 있는 공원으로 여래 저수지와 연결되어 있다. 테니스장, 축구장, 농구장, 족구장, 배드민턴장, 체력단련장 등과 곳곳에 다양한 운동기구를  갖추고 있으며, 여름철엔 인라인스케이트장에서 물놀이장을 개장한다. 어린이들을 위한 유아숲체험원도 있어 나무 사이 건너기, 밧줄 잡고 오르기, 통나무 오르기 등을 체험할 수 있다. 또한, 소설 마당 깊은 집으로 유명한 소설가 김원일 문학비도 있다. 소설 어둠의 집 노을 불의 제전은 금병공원과 여래 저수지를 배경으로 한 작품이라고 한다. 조릿대밭이 사방으로 펼쳐져 있고 봄에는 벚꽃이 만발해 아름다운 풍경을 연출한다. 다리를 건너면 여래 저수지로 통하고 산책길이 조성되어 있다. 부산에서 자동차로 40여 분 거리에 있으며 인근에 봉하마을과 노무현 생가, 진영역 철도박물관 등이 있다."
경상남도 김해시 금관대로 1088-28,(흥동),36,0.0,A02,A0201,A02010800,2784247,12,20211201023119,,,128.8508330542,35.2247307343,6,20211208225415,0,4,,대법륜사,50963,"대법륜사는 해발 165m의 나지막한 함박산 자락에 자리 잡고 있다. 김해에서 가장 큰 아미타불이 있는 사찰로 20m 높이의 거대한 불상은 서김해IC 근처에서도 쉽게 볼 수 있다. 또한, 이곳은 경상남도 문화재 2건을 보유하고 있다. 생전에 사후왕생을 기원하는 불사를 미리 행함으로써 죽은 후에 명부십왕의 심판을 받아 지옥에 떨어지는 것을 면할 수 있다는 예수시왕생칠재의 공덕을 설한 경전인 ｢불설예수시왕생칠경｣과 불교의례서인 ｢수륙무차평등재의촬요｣로 불교 경전을 연구하는데 중요한 자료로 인정되어 경상남도 문화재로 지정되었다.  김해국제공항과 20분 거리에 있으며 주차 공간도 넉넉하고 버스 정류장이 30m 거리에 있어 접근성이 좋다."
경상남도 김해시 대청계곡길 233,(대청동),36,0.0,A01,A0101,A01010500,2784242,12,20211201022850,,,128.7703078408,35.1843837869,6,20221107093152,0,4,,대청계곡대나무숲,50991,"김해시에 있는 장유대청계곡은 불모산 자락에 양 갈래로 형성된 6km의 긴 계곡으로 산림이 울창하고 맑은 물이 폭포를 이루는 등 자연경관이 빼어난 곳이다. 이곳에 대나무 숲을 조성하였다. 대청 계곡 대나무숲은 축구장 면적의 4배에 달하는 2.8㏊ 규모에 대나무가 40를 차지하고 상수리나무, 해송, 활엽수가 섞여 있다. 산책로가 조성되어 있고 한 바퀴 도는데 1020분 소요된다. 숲 군데군데 어린이 놀이터와 판다 모양의 놀이기구, 벤치, 평상 등을 갖춘 휴식공간이 있고, 집라인도 설치되어 있어 인기가 높다. 대나무숲 끝까지 가면 유아 숲 체험장이 있다. 유아 숲 체험장은 창의  놀이 공간, 체험 놀이 공간, 신체발달 공간, 기타 놀이 공간, 대피소 등으로 꾸며져 있다. 또한,  멀지 않은 곳에는 율하 카페거리가 있어 산책 후, 커피 한 잔의 여유를 누릴 수도 있다."
경상남도 김해시 내외로 67,(내동),36,0.0,A02,A0202,A02020700,2784238,12,20211201022637,,,128.8645982338,35.235246474,6,20220506110823,0,4,,거북공원,50952,"거북공원은 경상남도 김해시 내외로에 있다.  27,225㎡ 부지에 다양한 수목과 화초류가 있어 도시에서 계절을 느낄 수 있으며, 특히 봄에는 만발한 벚꽃으로 절경을 이루는 곳이다. 아름드리나무 등 숲이 잘 조성되어 있고 그늘막도 설치되어 있다. 휴게시설과 어린이 놀이터는 물론 다양한 계층이 즐길 수 있는 운동기구를 갖추고 있어 인근에 거주하는 김해시민들이 특히 자주 찾는 공원이다. 또한, 숲길을 거닐며 교통표지를 익힐 수 있어 어린이와 시민들에게 교통안전에 대한 교육의 장으로도 활용할 수 있다. 주말에는 프리마켓이 열리기도 하며, 익스트림 게임장도 있어 다양한 모험레포츠를 즐길 수 있다. 주변에 이름난 맛집과 카페도 많다."
경상남도 김해시 관동로27번길 5-37,(관동동),36,0.0,A01,A0101,A01010500,2784231,12,20211201022439,,,128.8053715489,35.1807042847,6,20220506110956,0,4,,반룡산공원,51005,"김해시 장유동에 있는 작은 공원으로 다른 공원들과 달리 산자락을 따라 조성되어 있다.  장미원, 이팝나무군락지, 포켓 쉼터, 잔디마당, 어린이 놀이터, 파빌리온(정자), 계류, 벽천(분수대) 등으로 꾸며져 있다. 계류는 산골짜기에 흐르는 시냇물이라는 뜻으로 물이 흘러가는 길을 만들어놓았고 벽천은 건축물의 벽면에 붙인 조각물의 입에서 물이 흘러나오거나 뿜어져 나오도록 만든 분수대를 말한다. 또한, 이팝나무군락지뿐만 아니라 종려나무와 팔손이 군락지도 있고 자전거를 타기에도 적합한 산책로가 조성되어 있다. 공원에는 전망대가 있는데 빽빽한 숲 때문에 도심지를 조망할 순 없지만 아무 상념 없이 쉬어가기 좋은 곳이다. 어린이들과 가볍게 산책하기 좋은 곳으로 근처에 유아 숲 체험장과 김해 목재 문화박물관이 있다."
경상남도 김해시 한림면 시산리 54-1,,36,0.0,A01,A0101,A01010500,2784228,12,20211201022232,,,128.782096981,35.3415163609,6,20220506111626,0,4,,술뫼생태공원,,"경남 김해 한림면에 위치한 술뫼 생태공원은 나들이 겸 천천히 산책하기 좋은 곳이다. 4대강 살리기 사업의 일환으로 조성된 공원으로 오산 습지, 한림 습지, 메타세콰이어길, 단풍나무길, 왕벚나무길, 갯버들군락지 등으로 구성되어 있다. 공원 입구 도로변에 양귀비꽃이 늘어서 있고 안으로 들어서면 드넓은 금계국밭이 펼쳐져 있다. 이곳은 데크를 따라 무성한 숲이 자리하고 있어, 사람이 다닐 곳만 길이 조성되어 있고 나머지는 자연 모습 그대로이다. 산책로는 자전거를 타기에도 좋게 잘 정비되어 있어 자전거 라이딩 명소로 꼽히기도 한다. 공원 한가운데 팔각정이 있어 쉬어갈 수 있다. 공원 바로 옆에 넓은 잔디밭이 펼쳐져 있고 술뫼 생태공원 둘레길과 김해에서 가장 큰 파크골프장도 있다."
