addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경상남도 남해군 동부대로1662번길 18-8 전도마을공동작업장,,36,,A02,A0203,A02030100,2929912,12,20221205135151,http://tong.visitkorea.or.kr/cms/resource/99/2929899_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/99/2929899_image3_1.jpg,128.0202520969,34.8315959999,6,20221205135219,0,5,,전도갯벌체험장,52445,"남해의 전도 마을은 다양한 갯벌 생물들을 만날 수 있는 갯벌 체험 프로그램을 운영한다. 체험은 쏙 잡기와 조개 체험으로 이뤄졌다. 체험 이용 시 마을에서 장화와 체험용 도구를 대여해 준다. 대표 체험은 쏙 잡기 체험이다. 쏙은 남해와 서해에서 볼 수 있는 갯가재로, 몸길이 10cm에 작은 갑각류다. 쏙을 잡는 방법은 갯벌에 연탄처럼 구멍 뚫린 곳에 된장 푼 물을 풀고, 붓으로 살살 건드려주면 쏙이 집게발로 붓을 무는데, 이때를 놓치지 말고 재빠르게 잡으면 된다. 직접 잡은 쏙은 체험관 1층에서 즉석에서 튀겨 줘 시식할 수도 있는데, 바삭하고 고소한 식감이 일품이다. 남해의 자랑 죽방렴과 독일 마을이 주변에 있어 함께 둘러보기 좋다."
경상남도 남해군 미조로 254,,36,,A02,A0202,A02020200,2819469,12,20220512101732,http://tong.visitkorea.or.kr/cms/resource/23/2819423_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/2819423_image2_1.jpg,128.0463668508,34.7095906655,6,20220520164312,5,5,010-9759-7726,스페이스미조,52442,"스페이스 미조는 남해 미조항 어민들의 생활과 함께 했던 냉동창고를 리모델링한 복합문화공간이다. 1986년 지어진 이 건물은 얼음과 물고기를 저장하던 어항의 주요 시설이었으나 2002년 새 냉동창고가 지어짐에 따라 유휴건물로 방치되었다. 그 후 2022년 스페이스 미조 프로젝트의 일환으로 이 건물은 지역 문화를 품은 복합문화공간으로 재탄생하였다. 4층으로 이루어진 스페이스 미조는 지역 복합문화공간으로서 전시관, 공연장, 아티스트 레지던시, 카페, 레스토랑으로 구성되며 남해 미조의 문화 거점시설로 가동하면서 지역 문화 활성화를 위한 문화 프로그램을 운영하고 있다."
경상남도 남해군 창선면 동대리,461-4,36,,A01,A0101,A01010500,2819273,12,20220511112433,,,128.0093214145,34.8734383427,6,20220512133723,0,5,,산들예술원,52450,"남해 목향장미꽃 명소로 유명한 산들예술원은 창선면 도로를 달리다 보면 도로 바로 옆에 목향장미 군락지가 있으며 연인과 함께 , 가족과 함께  방문하여 아름다운 사진으로 남길 수 있는 공간이며, 거대하고 풍성한 목향장미 꽃과 함께 사진 찍기  좋은 5월의 봄꽃 여행지이다."
경상남도 남해군 남면 덕월리 1154-2,,36,0.0,A01,A0101,A01011200,2796918,12,20211215012051,http://tong.visitkorea.or.kr/cms/resource/04/2800704_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/04/2800704_image2_1.jpg,127.8464962268,34.7861730476,6,20211216195732,0,5,,구미동해변 (구미동해수욕장),,"구미동 해수욕장은 모래가 아닌 올망졸망한 크기의 자갈이 500m쯤 펼쳐져 있고, 시원하게 자란 활엽수림이 자갈밭을 감싸고 있어 안온한 분위기를 준다. 주변에 식당을 겸하는 민박집이 여러 개 있다. 편의 시설들이 있어 불편하지 않으며 텐트를 치고 야영을 하는데도 어려움이 없다. 자갈밭을 지나 해변을 따라가면 갖가지 형상을 한 바위들이 잇따라 서 있다. 아름다운 쪽빛 바다로 이름이 높은 남해도 안에서도 조용하고 깨끗한 해수욕장으로 첫손에 꼽히는 곳이 바로 구미동 해수욕장이다. 모래밭 대신 고운 자갈이 가득 깔려 있어 색다른 운치가 있고 이 자갈밭 뒤로는 아름드리 활엽수가 울창하게 드리워져 있다. 해안가 방파제를 돌아 남쪽으로 조금 내려가면 제법 그럴싸한 기암 지대가 나온다."
경상남도 남해군 창선면 흥선로1505번길 7-25,,36,0.0,A01,A0101,A01011400,2782831,12,20211129230301,http://tong.visitkorea.or.kr/cms/resource/95/2787795_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/95/2787795_image2_1.jpg,128.0663227446,34.8442759456,6,20221103103608,0,5,,장포항,52455,"장포항은 남해군 창선면 진동리에 속한다. 창선면은 본래 창선도라 불리는 작은 섬이다. 지금은 연륙교 덕분으로 교통이 편리한 섬 아닌 섬이 되었다. 남해군 지족마을과는 1980년에 개통한 창선교로 이어지며, 북동쪽으로는 2003년 삼천포대교와 늑도대교, 창선대교로 육지와 연결되었다. 장포항은 창선도에서 가장 동쪽에 위치한 방파제 길이 약 300m의 작은 항구다. 소형 낚싯배만이 고요한 장포항에 오고 간다. 빨간 등대와 하얀 등대, 항구 주변 갯바위는 잘 알려진 장포항권 낚시 포인트다. 장포항 주변 갯바위에선 감성돔, 볼락, 열기 등이 잘 잡혀 주말이면 낚시꾼을 갯바위 포인트로 날라주는 어선들로 항구는 붐빈다, 항구 주변은 언제나 깨끗한 편인데, 마을 주민들이 관리하기 때문이다. 항구 뒤편 언덕에 골프장이 운영되고 있으며, 이곳 옆으로 2km쯤 걸으면 모상개해수욕장에 닿을 수 있다."
경상남도 남해군 남면 선구리 1310-17,,36,0.0,A01,A0101,A01011200,2782780,12,20211129223327,http://tong.visitkorea.or.kr/cms/resource/83/2787783_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/2787783_image2_1.jpg,127.8577048307,34.7372676069,6,20220621181054,0,5,,선구몽돌해변,,"남해 바래길 1코스인 다랭이 지겟길에 속하는 선구 몽돌해변은 남해군 남면 선구마을 앞에 자리한다. 몽돌해변은 남해에서도 몽돌이 특히 둥글고 예쁘기로 소문났다. 몇 해 전부터 몽돌을 가져가지 말아 달라는 경고판이 등장했고 해양경찰이 단속을 벌일 정도이다. 선구 몽돌해변은 옆 마을인 향촌마을의 몽돌해변과 이어진다. 해변 길이는 약 1km다. 남해의 다른 몽돌해변에 비해 유난히 둥글고 예쁜 몽돌은 소리 또한 맑고 좋아, 파도가 조금만 높아도 몽돌이 부딪히는 소리가 마을 전체로 퍼질 정도이다. 몽돌해변 양옆에 자리하는 선구방파제와 향촌 방파제는 잘 알려진 낚시 포인트다. 선구마을과 항촌마을은 낚시어선업 자율공동체를 운영 한다. 방파제 낚시는 물론 선상낚시가 가능하다. 도다리나 볼락 등 다양한 어종 낚시가 가능하며, 호래기라 불리는 꼴뚜기도 종종 낚인다. 옹기종기 모인 선구마을의 어촌 풍경은 담벼락마저 멋스럽다. 이곳은 매년 음력 보름날에 지내는 당산제와 지방민속놀이인 줄끗기로 유명하다. 봄이면 마을과 해변 사이에 흐드러지게 피는 유채꽃과 벚꽃 풍경이 장관을 이룬다. 몽돌해변 주변으로 펜션과 캠핑장 등 숙박시설이 여럿이다."
경상남도 남해군 설천면 노량리,,36,0.0,A01,A0101,A01010500,2778903,12,20211124234033,http://tong.visitkorea.or.kr/cms/resource/97/2795497_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/97/2795497_image2_1.jpg,127.8763369117,34.9389231113,6,20211214200019,0,5,,왕지벚꽃길,,"왕지벚꽃길은 남해대교를 지나 충무공 이순신의 사당인 충렬사가 있는 노량삼거리에서 문의리까지 설천로를 따라 이어진 약 5km 구간의 벚꽃길을 가리킨다. 이 벚꽃길에는 무려 1,170여 그루의 왕벚나무가 해안선을 따라 벚꽃터널을 이룬다. 벚꽃이 떨어질 무렵에는 유채꽃이 만발해 따스한 봄의 정취를 마음껏 즐길 수 있다. 노란 유채꽃과 핑크빛 벚꽃이 어우러진 풍경 너머 푸른 바다와 주황색 남해대교가 상큼한 색의 조화를 이룬다. 산자락을 오르며 흐드러진 벚꽃터널을 즐기고 싶다면 오른쪽 도로를, 남해대교와 벚꽃을 함께 즐기고 싶다면 해안도로를 따라 드라이브 코스를 선택하면 된다. 왕지벚꽃길 끝자락은 남해의 인기 여행지인 상상 양떼목장 편백숲으로 이어진다."
경상남도 남해군 삼동면 동부대로1503번길 4-3,,36,0.0,A02,A0203,A02030100,2774810,12,20211117000255,http://tong.visitkorea.or.kr/cms/resource/51/2774851_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/51/2774851_image2_1.jpg,128.0346287585,34.8261857474,6,20211122184830,3,5,,둔촌갯벌체험장,52445,"둔촌 갯벌체험장은 마을의 풍부한 갯벌 자원인 쏙과 바지락, 우럭조개 위주로 유료 체험장을 운영 중이다. 해마다 많은 가족 단위의 체험객들이 방문하고 있으며 다른 마을에서 볼 수 없는 전통 쏙 잡이 체험을 즐길 수 있으며 직접 잡은 재료를 이용해 먹거리 체험도 즐길 수 있어 관광객들에게 인기를 얻고 있다. 바지락과 우럭 조개 체험은 자연 서식지인 좋은 생태 조건에서 상품성 좋은 개체를 채취할 수 있으며 매년 자원조성 사업을 통해 일정한 개체의 보존을 위해 노력하고 있다. 마을 주민들이 합심해 깨끗한 환경을 가꾸고 다채롭고 아름다운 볼거리를 제공해 다시 찾는 보물섬 남해를 실현하고 있는 대표적인 바다 생태체험 마을이다. 체험 당일 홈페이지에서 날씨와 물때를 확인 후 방문하는 것이 좋다."
경상남도 남해군 남해읍 망운로9번길 12,,36,0.0,A02,A0203,A02030600,2763703,12,20211027224948,http://tong.visitkorea.or.kr/cms/resource/39/2764139_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/39/2764139_image2_1.jpg,127.8924936602,34.8377430726,6,20220818155813,0,5,,미국마을,52425,"호구산을 병풍 삼아 남쪽으로 앵강만과 노도가 한눈에 펼쳐지는 용소마을에 조성된 미국마을은 모국에 돌아와 노후생활을 보내고자 하는 재미교포를 위해 만들어진 정착 마을이다. 미국마을 이름에 걸맞게 미국풍 건축양식으로 지어진 22가구의 주택과 민박형 펜션이 있어 미국 문화를 체험해 볼 수 있다. 미국마을 주택은 모두 목재로 지어졌고 집마다 개성이 뚜렷해 보는 재미가 쏠쏠하다. 규모는 그리 크지 않지만, 조용하게 산책하기 좋다. 미국마을 입구에서부터 언덕으로 올라가면 '용문사' 가 있다. 남해 지역에서 가장 크고 오래된 사찰로 신라 시대 원효대사가 금산에 지었던 보광사라는 절의 후신이라고 전해진다. 
펜션 내 취사 가능"
경상남도 남해군 미조면 송정리 1379,,36,0.0,A01,A0101,A01011200,2755214,12,20211008223526,http://tong.visitkorea.or.kr/cms/resource/34/2755234_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/34/2755234_image2_1.jpg,128.013252693,34.7243467683,6,20220623164839,0,5,,천하몽돌해수욕장,52441,"천하 몽돌해수욕장은 접안시설이 없어 배를 댈 수 없다 보니 청정 해수욕장 그 자체다. 또한 금산에서 내려온 하천물이 바다로 곧바로 흘러 들어가서 해변가 바닷물이 계곡물처럼 투명하며 크고 작은 몽돌이 해변 전체에 깔려 있어 아쿠아슈즈 착용은 필수다. 규모가 작고 도로변에서 보이지 않아 아는 사람만 찾는 조용한 해변인데 시설이 알차고 바닷물이 매우 깨끗하다.  천하 몽돌해수욕장만의 특별한 점은, 밀물과 썰물의 조화로 1년 중 한 번 먼바다에서 모래가 밀려와 몽돌해변 한편을 덮으면서 몽돌백사장이 된다는 것이다. 보통 7월 말부터 8월 말까지 1개월 정도가 그 기간이다. 아담한 야영장도 있는데, 텐트 자리에는 나무로 된 데크가 마련되어 있다. 야영장은 7개 정도로 크지 않은 규모지만, 샤워장과 화장실, 식수대가 바로 옆에 있어 이용하기 편하다."
