addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경상남도 밀양시 삼문동,1-1,36,,A02,A0202,A02020700,2865799,12,20221012105049,http://tong.visitkorea.or.kr/cms/resource/87/2865787_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/87/2865787_image3_1.JPG,128.75683679,35.4899242029,6,20221012105104,0,7,,밀양강둔치,50436,"밀양시 삼문동에 있는 밀양강 둔치는 제방을 따라 길게 이어진 산책로가 있어 가볍게 걷기 좋은 곳이다. 밀양강을 따라 걷다 보면 강 건너로 밀양의 보물 영남루까지 한눈에 담을 수 있어 아름다운 풍경을 감상할 수 있다. 또 '밀양 아리랑 길'이라 해서 영남루 수변공원길, 추화산성길, 금시당길 몇 가지 산책코스가 있어 취향에 맞게 선택하여 걸을 수 있고 아름다운 숲 대회에서 우수상을 받은 곰솔 650본이 있는 소나무길 삼문 송림도 볼 수 있다. 그뿐만 아니라 자연 속에 노출된 바위나 동굴 벽에 여러 가지 동물이나 기하학적 상징 문양을 새겨놓은 암각화 조각 공원도 있어 구경하는 재미가 있다."
경상남도 밀양시 도래재로 462,,36,,A01,A0101,A01010600,2858372,12,20220922110906,http://tong.visitkorea.or.kr/cms/resource/06/2858306_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/06/2858306_image3_1.jpg,128.939152321,35.5565728431,6,20220922110920,0,7,,밀양 도래재 자연휴양림,50418,"밀양 도래재 자연휴양림은 밀양 IC에서 30분 거리에 위치하고 있으며 지방도를 끼고 있어 접근성이 뛰어나다. 천황산을 병풍처럼 두른 해발 400m 고지에 입지하여 앞이 탁 트인 시원한 경관을 갖추고 있다. 콘도형 산림휴양관 2동과 펜션형 3동을 초함한 총 25개의 객실과, 숲과 가까운 곳에 야영테크 15개가 있어 산림욕을 통한 힐링이 가능하다. 체험프로그램으로 올바른 숲 체험 방법을 안내하는 숲해설과 자연 재료를 활용한 만들기 체험인 목공예체험, 산림 속 요가와 명상을 통해 일상에서 지친 몸과 마음을 자연의 에너지로 회복하는 요가 체험이 있다."
경상남도 밀양시 노상하1길 27,,36,,A02,A0203,A02030600,2822120,12,20220527142831,http://tong.visitkorea.or.kr/cms/resource/43/2822043_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/43/2822043_image3_1.jpg,128.7508344413,35.4934514731,6,20220531135441,0,7,,의열체험관,50427,의열체험관은 의열투쟁으로 지켜낸 소중한 조국의 가치와 독립운동가들의 숭고한 희생정신을 체험을 통해 기억하는 공간이다. 체험자가 직접 비밀독립투사가 되어 임무를 무사히 완수하면 대한민국의 자랑스런 의열단원이 되어 의열단증을 발급 받을 수 있는 체험을 진행한다.
경상남도 밀양시 무안면 화봉리 1453,,36,0.0,A01,A0101,A01011800,2796833,12,20211215005535,http://tong.visitkorea.or.kr/cms/resource/47/2797847_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/47/2797847_image2_1.JPG,128.6048522413,35.5134798733,6,20211215050716,0,7,,밀양영안지,,영안지는 그리 높지 않은 평범한 산골짜기에 있는 다목적 저수지이다. 일교차가 심한 환절기 아침이면 영안지에서 피어오르는 물안개가 멋진 장관을 이룬다. 50여 미터의 둑으로 만들어진 영안지는 서당골 오토캠핑장이 인기를 끌면서 그 이름이 알려지기 시작했다.계곡 상류에 있는 서당골 오토캠핑장에서 내려다보면 산과 물이 어우러진 풍경이 특히 아름답다. 또한 캠핑장 측이 위치를 설명할 때 영안지로 검색해서 오면 쉽게 길을 찾을 수 있다라고 안내를 하면서 더욱 알려지는 계기가 되었다. 저수지와 어우러진 자연의 풍경이 캠핑 마니아들에게 잊지 못할 추억을 선사할 만큼 아름다운 곳이다.
경상남도 밀양시 부북면 퇴로2길 26-1,,36,0.0,A02,A0201,A02010400,2793068,12,20211213224422,http://tong.visitkorea.or.kr/cms/resource/49/2794149_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/49/2794149_image2_1.jpg,128.700501154,35.5511468261,6,20211214014605,0,7,,여주이씨고가,50401,"밀양 부북면 퇴로리에 자리한 여주이씨 고가는 문화재로 지정된 한옥으로 여주이씨의 종택으로 조선 후기 항재 이익구 선생이 건립해 100여 년 동안 5대에 걸쳐 보존된 전통 한옥이다. 기와를 얹은 토담으로 경계를 가른 넓은 대지에 남향으로 지은 기와집으로 안채, 동서익랑, 중사랑채, 종가사랑채, 별채 등으로 구성되어 있어 원형 그대로의 모습이 잘 보존돼 있다는 평가를 받고 있으며, 이웃한 이병수 고가와 중문으로 연결된 독특한 구조로 되어 있다. 청덕당이라는 당호를 가지고 있는 안채는 정면 7칸, 측면 2칸 규모의 홑처마 팔작지붕 건물로, 여주이씨 자유헌공파의 종택이다. 퇴로마을 서쪽 산기슭에는 서고정사와 한서암 등 여주 이씨의 유적들이 자리하고 있다. 문화재로 지정된 곳이지만, 아직도 여주이씨 후손들이 생활하며 거주하고 있으며 체험객이 머무는 공간이므로 가급적 조용히 관람해야 한다."
경상남도 밀양시 부북면 퇴로로 233,,36,0.0,A02,A0203,A02030100,2793058,12,20211213224225,http://tong.visitkorea.or.kr/cms/resource/61/2794261_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/61/2794261_image2_1.jpg,128.7006512013,35.5489470763,6,20221116135120,0,7,,퇴로고가마을,50401,"밀양 부북면 퇴로리에 위치한 퇴로리 고가 마을은 조선 시대에 건립된 여주 이씨 종택을 비롯해 여러 채의 고택이 있어 문화재적 가치와 더불어 한적한 시골 마을의 전형을 그대로 느낄 수 있는 곳이다. 퇴로리 고가마을 골목을 걷다 보면 진흙을 발라 낮게 조성한 토담과 빛바랜 아청색의 기와가 흘러간 세월의 무게를 잘 느끼게 해주는 곳이다. 토담 사이로 난 길을 따라 어디든 걸어도  고요하면서 편안한 분위기를 잘 느낄 수 있다. 특히 여주 이씨 고가는 배우 강부자 주연의 영화 오구' 촬영지로도 많이 알려졌으며, 봄이면 마당에 심어놓은 나무들이 꽃을 피우고, 가을이면 감나무에 감이 주렁주렁 매달려 있는 운치를 감상할 수 있는 곳이다. 또한, 전통 문화관에서는 떡 만들기, 고구마 캐기, 치즈 만들기, 아기소 우유 주기 등 다양한 체험을 즐길 수 있으며, 저렴한 가격으로 고택에서의 숙박 체험까지 가능해 가족 여행객들에게 시골 여행의 참맛을 알려준다. 또한 이곳은 고택체험, 농촌체험, 밀양 치즈 스쿨 등 가족과 함께 할 수 있는 다양한 체험 프로그램을 운영하고 있어 아이들에게는 우리 문화재의 소중함을, 어른들에게는 어린 시절 시골집에서 경험했던 소소한 추억을 선사하고 있다.		
체험행사와 고가 펜션 숙박은 사전에 인터넷이나 전화 등을 통해 예약해야 하며, 선착순으로 이뤄진다."
경상남도 밀양시 부북면 추원재길 58,,36,0.0,A02,A0201,A02010500,2793043,12,20211213223840,http://tong.visitkorea.or.kr/cms/resource/52/2794052_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/52/2794052_image2_1.jpg,128.7184875366,35.4839019544,6,20221116141919,2,7,,추원재/김종직선생생가,50404,"추원재는 조선전기 성리학의 거두인 김종직의 생가터로, 1389년 김종직의 부친인 김숙자 선생이 지었고, 1810년 김종직을 따르던 선비들과 후손들이 합의하여 낡은 건물을 중수·개조해 그 이름을 추원재라 하고, 당호를 전심당이라고 지었다. 추원재가 위치한 밀양 제대리는 김종직의 외가였고, 그는 이곳에서 태어나 생장했고, 일생을 마쳤다. 추원재 정원에는 김종직의 흉상이 세워져 있으며 팔각지붕과 7개의 계단이 인상적인 대문 안으로 들어서면 기둥 사이 하얀 벽과 단조로운 멋이 있는 지붕의 추원재가 드러난다. 강직한 선비의 모습을 닮아 있는 이곳은 전심당이라는 당호로 불리고 있다. 전심당의 뜻은성리학의 전수자라는 의미로, 이는 김종직을 두고 하는 말이지만,전심은 동방의 성리학이 포은 정몽주, 야은 길재, 강호 김숙자에서 김종직, 김굉필, 정일두 등에게 전해졌다는 의미로 지어졌다. 추원재 뒷산에는 김종직의 묘소가 있다. 그의 묘소는 원래 자리에서 조금 아래로 내려온 것이라고 전해지는데, 이는 묘역 정비 과정에서 본래 자리를 확인한 후 지난 2009년 5월 중창을 마친 후 기적비를 건립했다."
경상남도 밀양시 중앙로 324,(내일동),36,0.0,A02,A0201,A02010100,2793042,12,20211213223610,http://tong.visitkorea.or.kr/cms/resource/07/2794207_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/07/2794207_image2_1.jpg,128.7552701989,35.4921711431,6,20221115105430,2,7,,천진궁,50431,"천진궁(天眞宮)은 영남루 경내 북쪽에 위치한 건물로, 우리나라 시조인 단군을 비롯해 8대 왕조의 위패가 모셔져 있는 성스러운 곳이다. 위패의 배열은 중앙에 단군 영정을 시작으로, 좌측에는 부여, 고구려, 가야, 고려의 시조 위패와 우측으로는 신라, 백제, 발해, 조선 시대의 시조들의 위패가 모셔져 있다. 음력 3월 15일 어천 대제와 10월 3일 개천 대제 일 년에 두 번 제사를 지낸다. 단군 영정을 봉안한 곳은 전국적으로 크게 25개소가 있지만, 8대 왕조 시조까지 봉안한 곳은 밀양의 천진궁이 유일하다. 그래서 이곳을 잘 아는 학자들은 천진궁을 두고 밀양 선비와 전국 유림의 국가관, 민족사관을 엿 볼 수 있는 곳으로 평가하고 있다. 천진궁의 규모는 정면 3칸, 측면 2칸의 단층 팔작의 기둥과 지붕을 연결하는 고유의 건축양식인 주심포식 건물로, 대리석으로 기단을 쌓고 그 위에 높은 기둥을 세워 웅장한 위용을 느끼게 한다. 건축적인 가치를 지니고 있는 천진궁은 역사적인 아픔이 고스란히 녹아 있는 장소이기도 하다. 일제강점기 당시 일제는 조선왕조의 정통성을 말살하기 위해 역대 시조의 위패를 땅에 묻고 감옥으로 사용했다고 한다. 이는 우리나라 민족의 최대 수난사로 기억되고 있으며, 해방 이후 이를 복원하려는 지역민의 노력은 단지 옛 건물의 복원이 아닌, 민족의 정통성 회복을 추구하고자 했던 밀양인의 민족정신을 의미 있게 잘 보여준다."
경남 밀양시 교동 62-3,(교동),36,0.0,A02,A0201,A02010200,2793017,12,20211213222356,http://tong.visitkorea.or.kr/cms/resource/36/2794236_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/36/2794236_image2_1.jpg,128.7692630997,35.5037506523,6,20221116101455,0,7,,추화산성,50420,"추화산성은 밀양시를 감싸고 있는 추화산 해발 240m 정상 주변을 둘러쌓아 축조한 테뫼식 산성이다. 추화라는 이름은 밀양의 옛 지명에서 기인한 것이며, 역사적으로는 삼국시대와 후삼국 시대, 고려 등 전투가 빈번하게 발발된 군사요충지였다. 현재는 밀양아리랑 2코스, 3코스에 포함된 곳으로, 봉수대와 공원, 정자 등이 조성돼 있어 트래킹이나 등산으로 지친 몸을 잠시 쉬었다 갈 수 있다. 추화산에 조성된 산성은 등산객들이 많이 찾는 등산로다. 크고 작은 돌을 차곡차곡 쌓아 만든 산성 테두리에 올라서면 밀양강과 밀양 시내 일대를 한눈에 담을 수 있다. 추화산성은 돌을 쌓아 올린 석축 성벽으로 그 중심에 봉수대가 자리하고 있다. 성벽을 비롯한 다른 시설물 대부분이 흔적으로만 남아 있지만, 산마루 서남쪽에는 300m 정도의 성벽이 비교적 양호한 상태로 보존되어 있다. 또한 경사면에 받침돌을 얹고, 위로 갈수록 폭을 좁게 만들었다는 사실과 돌과 흙으로 쌓은 토석혼축 부분은 땅을 다지지 않은 채 양쪽을 향해 겉 쌓기를 하고, 중간에 흙을 채워 넣는 공법이 특징이다. 성의 구조는 동·서·남쪽에 군사들이 드나들 수 있는 문 터를 두었고, 주변에 우물과 연못, 부속건물 등을 배치했다고 한다."
경상남도 밀양시 영남루1길 16-11,(내일동),36,0.0,A02,A0201,A02010200,2792873,12,20211213213142,http://tong.visitkorea.or.kr/cms/resource/93/2794993_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/93/2794993_image2_1.jpg,128.7564395511,35.4918128719,6,20220720150952,0,7,,밀양읍성,50431,"밀양 읍성은 외세의 침략 속에서 밀양 백성을 보호하기 위해 만들어졌지만, 구한 말, 일본의 지배 앞에서 허무하게 무너져버린 역사적 아픔이 녹아 있는 곳이다. 1479년 성종 때 완성된 밀양 읍성은 다른 읍성들에 비해 100년 이상 일찍 만들어졌으며, 동국여지승람 기록에 따르면 밀양 읍성은 둘레가 4,670척(1.423km), 높이 9척(2.74m)의 성 안에 우물 4개와 연못 1곳이 있다. 또한 밀주징신록에는 동문 1칸, 서문 1칸, 정문인 남문 중층 3칸, 북문 1칸이 있다고 기록돼 있다. 밀양 읍성은 1902년 일제에 의해 경부선 철도 조성 시 사대문과 성벽이 헐리고, 성돌이 철로 공사에 이용됐다. 그래서 그 옛날 웅장하고, 거대했던 밀양 읍성의 모습은 사라졌지만, 최근 밀양시는 영남루 앞 남천강변에서 동문 고개까지 읍성의 성벽 일부를 복원했다. 돌을 차곡차곡 쌓아 조성된 밀양 읍성에는 령(令)이라는 글자가 적힌 색색의 깃발이 곳곳에서 펄럭이고 있어, 행정적· 군사적 기능을 함께 수행했다는 엄숙한 분위기가 느껴진다. 읍성 가장 높은 곳에 위치한 무봉대는 주변 산과 밀양강 사이에 포근하게 둘러싸인 밀양시 일대를 한눈에 감상할 수 있어, 그 옛날 이곳에서 밀양 백성들의 삶을 보살피고 함께 했던 읍성의 애환을 느낄 수가 있다."
