addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경상남도 사천시 서포면 비토리,,36,,A01,A0101,A01011300,2860855,12,20220927132543,,,127.996319935,34.9743379116,6.0,20220927154845,1,8,,월등도,52545,"비토리에 속하는 0.1㎢의 작은 섬이다.
'돌당도'로도 불리는데, 별주부전에 나오는 토끼가 용궁에 들러 돌아오는 길에 발을 디딘 섬이라는 설이 있다.
하루에 두 번, 물이 빠지는 썰물 때에는 2시간 동안 모세의 기적처럼 바닷길이 열리면 차량을 통한 진입이 가능하다."
경상남도 사천시 실안동 818-1,,36,0.0,A01,A0101,A01010500,2791454,12,20211210182948,http://tong.visitkorea.or.kr/cms/resource/91/2797991_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/2797991_image2_1.jpg,128.0456221624,34.9364402531,6.0,20221125102943,0,8,,실안해안도로,,"길이 약 6km의 사천 실안해안도로는 사천만 해안을 끼고도는 해안 도로이다. 해안 도로 앞바다에는 저도, 마도, 둥근 섬, 신 섬, 늑도, 학 섬, 초양 섬, 모개 섬, 코 섬 등 크고 작은 섬이 떠 있다. '실안낙조'는 사천 8경 중 하나로 손에 꼽힌다. 사천공항에서 국도를 타고 삼천포 방향으로 쭉 가다 실안소공원을 지나면 일몰을 감상하기 좋은 해안 도로가 펼쳐진다. 도로 적당한 곳에 차를 잠시 세우고 해변으로 떨어지는 태양을 바라보고 있으면 그곳이 바로 일몰 포인트가 된다. 삼천포 대교 방향으로 해안 도로를 달리다 보면 사천 바다 케이블카가 나온다. 사천 케이블카는 국내 최장 구간으로 사천의 멋스러운 섬과 바다, 산을 한눈에 담을 수 있어 사천에 방문한다면 케이블카와 실안해안도로 방문을 추천한다."
경상남도 사천시 서포면 용궁로 132,,36,0.0,A02,A0202,A02020600,2785918,12,20211206185652,http://tong.visitkorea.or.kr/cms/resource/18/2797618_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/18/2797618_image2_1.jpg,127.9820991194,34.9680939175,6.0,20220506092709,1,8,,별주부전테마파크,52545,"아름다운 해안선을 따라 걷다 보면 나오는 별주부전테마파크는 별주부전을 테마로 한 공원답게 토끼, 거북이를 곳곳에서 볼 수 있다. 경남 사천에 위치한 비토섬은 토끼와 거북을 닮은 섬이 마주 보고 있어 별주부전의 고향으로 알려져 테마파크가 조성되었다. 벚꽃이 피는 시기에는 산책로에 벚꽃 터널이 형성되며 산책로 입구에 거대한 토끼 석상과 살아 움직이는 토끼들을 볼 수 있어 아이들과 함께 와도 좋다. 오르막을 살짝 오르면 멋진 바다 뷰도 볼 수 있고 전망대는 물론 아기자기한 조형물과 놀이터, 물놀이장, 캠핑장, 미로 숲 등이 있어 가족들과 함께 나들이하기 좋은 곳이다."
경상남도 사천시 신항만1길 76,(향촌동),36,0.0,A01,A0101,A01011400,2785764,12,20211203225242,,,128.0882659026,34.9269587354,6.0,20221214152156,0,8,,삼천포신항,52565,"경상남도 사천에 위치한 삼천포 신항은 지역 관리 무역항으로 지정된 국제항이다. 2006년 7월 착공 이후, 부두, 방파제, 물양장 등을 건설해 완성한 항구로 2만 500t급 카페리호인 오션 비스타 제주호가 운항하면서 비행기로만 가던 제주여행 교통편에 다변화를 주었다. 여객정원 891명, 차량 승용차 기준 300대를 한꺼번에 실어 나를 수 있는 오션 비스타 제주호는 화, 목, 토, 일 15시에 출항해 6시간 후 제주항에 도착해 여행을 즐길 수 있다.  제주여행뿐 아니라 주변에 진널 방파제, 남일대 해수욕장, 통창 공원, 중앙시장 등이 있어, 보고 즐길 거리가 풍부하다."
경상남도 사천시 팔포3길 56-55,(동금동),36,0.0,A01,A0101,A01011400,2785763,12,20211203225023,http://tong.visitkorea.or.kr/cms/resource/70/2797970_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/70/2797970_image2_1.JPG,128.0796389046,34.9259586951,6.0,20221130134207,0,8,,삼천포 팔포항,52567,"삼천포 팔포항은 인근 주민들의 어선이 접안해 있고, 낚싯배, 수산물 운반선 등의 화물선들도 이용하는 무역항이다. 2012년 어항구로 지정되면서 수산물의 유통 판매, 보관시설과 어업인 복지시설 등의 설치가 가능해져 사량도 여객선 터미널, 해경 파출소, 건어물 경매장인 수협 위판장 등의 시설을 갖추게 되었고, 삼천포 해운에서 운행하는 사량도, 수우도 방면 여객선인 가자 세계로호도 운항되고 있다. 2002년부터 해마다 가을이면 열리는 사천의 대표 축제인 '사천시 삼천포항 자연산 전어축제' 가 열리고 있어 축제 기간에 맞춰 방문하면 살아 숨 쉬는 제철 수산물을 만끽할 수 있다."
경상남도 사천시 용현면 사천대교로 75-61,,36,0.0,A02,A0201,A02010600,2784264,12,20211201024207,http://tong.visitkorea.or.kr/cms/resource/98/2798498_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/98/2798498_image2_1.JPG,128.040620983,34.9985498643,6.0,20220720150652,0,8,,거북선마을,52540,"경남 사천시 용현면 사천대교 아래의 사천 거북선 마을은 사천만을 끼고 있으면서 농업과 어업의 비율이 비슷한 반농반어의 시골 마을이다. 이곳은 임진왜란 당시(1592년) 이순신 장군이 최초로 거북선을 출전시켜 왜선을 격퇴한 사천해전이 펼쳐진 곳으로 영농조합 만들어 체험 마을로 거듭났다. 지역 특색을 살려 갯벌 체험, 최초 거북선 길 탐방, 거북선 열쇠고리 만들기 체험, 쑥 잡기 체험, 굴 체험, 농촌 체험 등 다양한 프로그램을 운영하며 해마다 사천 거북선 마을 노을 축제를 열고 있다. 또한, 다양한 시설을 갖추어 즐길 거리가 많다. 풋살장과 10면의 야영장도 준비돼 있어 바닷가에서의 캠핑을 즐길 수 있으며 사천만을 끼고 조성된 10㎞가량의 해안 산책로가 조성되어 있다. 또한 식당, 샤워장 등의 부대시설도 함께 갖추고 있는 어울림터에서는 각종 교육, 세미나, 실내 체험 활동이 가능하다. 이순신 장군의 승전지이며 넓은 갯벌과 아름다운 석양이 있는 힐링 명소로 농촌체험과 바다체험, 음식체험, 역사체험을 골고루 할 수 있는 공간이다."
경상남도 사천시 서포면 비토리 산47-9,,36,0.0,A02,A0202,A02020600,2784199,12,20211201020138,http://tong.visitkorea.or.kr/cms/resource/15/2798515_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/15/2798515_image2_1.JPG,127.9717640693,34.962077744,6.0,20220506092943,0,8,,비토해양낚시공원,,"비토 해양낚시공원은 뛰어난 자연경관과 사계절 풍부한 해산물로 널리 알려진 비토섬에 있으며 비토어촌계가 위탁 운영하고 있다. 청정해역 수자원 보호구역에 위치한 낚시공원은 바다 위를 걷는 다리(보행교 228m), 산책로(보행 테크 316m), 부양식 낚시 잔교(낚시터 135m 2개소), 해상펜션 4동, 정자 시설(3동), 어린이 놀이터(2개소), 바다 생태체험장, 관리사무실 등으로 구성되어 있다. 특히 이곳은 전국에서 유일하게 혼합밑밥 사용금지로 환경과 수자원을 보호하고 있다. 계절에 따라 볼락, 도다리, 감성돔, 농어 등의 고급 어종들을 맛볼 수 있다.  주변에 사천 8경의 한곳인 비토섬 갯벌, 별주부전의 전설이 서려 있는 별주부전 테마파크, 비토 국민 여가 캠핑장 등이 있다."
경상남도 사천시 사남면 외국기업로 107,,36,0.0,A02,A0202,A02020700,2784169,12,20211201015019,http://tong.visitkorea.or.kr/cms/resource/82/2799182_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/82/2799182_image2_1.JPG,128.0624702126,35.0611321144,6.0,20220506113256,0,8,,초전공원,52534,"사천시 사남면에 있는 초전공원은 사천시를 대표하는 생활체육 공원으로 진사 지방산업단지 입주업체 노동자와 배후 주거 단지 입주민들의 유일한 쉼터 역할을 하는 곳이다. 2007년 12월에 조성된 이곳엔 33,057여 ㎡(1만여 평)의 저수지에 조성된 연꽃단지가 있다. 연꽃이 피는 여름에는 조선홍연, 궁중연, 가시연, 백련 등 다양한 연꽃이 만발해 아름다운 풍경을 연출하고, 연밭 저수지 주변에 나무다리가 설치돼 있어 연꽃이나 다양한 식물, 생물들을 조금 더 가까이에서 볼 수 있다. 또 소나무로 둘러싸인 테크 산책로가 있으며 곳곳에 평상과 벤치가 일광욕과 산림욕을 즐길 수도 있다. 인공폭포와 정자도 있어 휴식을 취할 수도 있으며 넓은 잔디 운동장 한편에는 햇빛을 가리기 위한 거대 차광막이 설치되어 있다. 야외무대에서는 음악회, 야외 돗자리 무료 영화 상영 등 각종 문화행사가 열리기도 한다. 또한, 테니스장, 족구장, 게이트볼장 등이 조성되어 있고 공원 곳곳에 운동기구도 설치되어 있어 가벼운 운동을 할 수도 있다. 산책과 운동은 물론 어린이들이 신나게 뛰어놀 수 있는 최적의 장소이다."
경상남도 사천시 사남면 종천리 657,,36,0.0,A01,A0101,A01010900,2784153,12,20211201014743,http://tong.visitkorea.or.kr/cms/resource/33/2799133_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/33/2799133_image2_1.JPG,128.1340651647,35.0146163813,6.0,20220518104317,0,8,,용소계곡,,"용소계곡은 남일대해수욕장, 용두공원과 함께 사천의 3대 여름철 물놀이 장소로 꼽히는 곳이다. 물이 많을 때는 다이빙을 할 수 있는 곳도 있고, 드론을 날리기 위해 찾는 이들도 있다. 계곡 뒤쪽으로는 평상과 잡화, 음식 등을 팔고 있어 간단하게 식사를 해결할 수도 있다. 계곡은 길게 이어져 있으며 데크 길이 조성되어 있다. 인근에 자연발생적으로 만들어진 용소 계곡 유원지와 캠핑장이 있다. 인근에 와룡 교류센터 건물에서 화장실 등 편의시설을 이용할 수 있다. 이곳에는 전자레인지와 뜨거운 물, 컵라면, 음료를 파는 간단한 무인매점이 운영되고 있다."
경남 사천시 실안동 1248,(실안동),36,0.0,A01,A0101,A01011100,2782734,12,20211129215222,http://tong.visitkorea.or.kr/cms/resource/96/2794296_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/2794296_image2_1.jpg,128.0397279925,34.945694667,6.0,20221115094152,0,8,,실안낙조,52554,"사천팔경 중 제2경인 실안낙조는 전국 9대 일몰지의 하나로, 해 질 녘 부채꼴 모양의 참나무 말뚝으로 만든 죽방렴과 섬, 바다, 그리고 일몰이 환상적인 조화를 이룬다. 삼천포 대교 옆 아름다운 실안노을 길에서 보는 낙조는 주변 바다의 죽방렴과 옹기종기 떠 있는 그림 같은 섬들 그리고 등대가 어우러져 한 폭의 작품과 같은 경관을 연출한다. 사진 전문가들이 즐겨 찾는 곳이며 실안 낙조 근처에는 사천지역의 대표적인 어업 중 하나인 전통 어장 죽방렴이 해 질 무렵 절경을 뽐낸다."
