addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경상남도 산청군 금서면 특리,산81,36,,A02,A0205,A02050100,2900711,12,20221107171134,http://tong.visitkorea.or.kr/cms/resource/90/2900690_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/90/2900690_image3_1.jpg,127.8283447971,35.4365995769,6,20221107171148,0,9,,무릉교,52229,"무릉교는 동의보감촌 남동쪽으로 흘러내려가는 무릉 계곡 위를 걸으면서 왕산·필봉과 동의보감촌의 경치를 만끽할 수 있는 출렁다리다. 멀리는 군립 공원인 웅석봉과 철쭉과 억새가 장관을 연출하는 황매산 등 산청의 전경이 한눈에 들어온다. 무릉교는 일반적인 난간 형태와는 다르게 육각형의 구조물 70개를 터널처럼 연결한 점이 특이하다. 육각형은 기체험장의 '귀감석'을 상징한다. 관광객들이 다리를 건너가면 필봉산 등산로와 산책로 등과 연결된다. 또한 케이블을 따라 조명을 설치하여 야간 경관도 뛰어나다. 동의학 선관 입구 건너편 메인 주차장 위로 임시주차장이 2개 더 있다. 인근 지역 연계 관광지로는 동의보감촌, 산청한방자연휴양림 등이 있다."
경상남도 산청군 둔철산로 680-6,,36,,A01,A0101,A01010400,2892257,12,20221101110451,,,127.9719696718,35.383294251,6,20221101110517,0,9,,대성산,52261,"대성산은 고요하고 유서 깊은 정취암을 품은 산이다. 대성산은 의상대사가 창건했다는 정취암으로 해서 전설을 두 가지나 갖고 있다. 이웃 정수산에 있는 율곡사를 창건한 원효대사와 함께 종종 도력을 겨뤘다고 한다. 정취암의 의상은 하늘에서 내려주는 음식을 먹으며 수도를 하고 있는데 하루는 점심때에 맞춰 율곡사에서 보리죽을 먹고 있던 원효가 밥을 얻어먹으러 왔다고 한다. 그러나 아무리 기다려도 하늘에서 음식이 내려오지 않는지라 원효는 돌아가고 말았다. 그런데 원효가 돌아가자 선녀가 음식을 가지고 내려오는지라 의상이 까닭을 물으니 원효를 호위하는 여덟 신장이 길을 막아 내려오지 못했다고 하자 의상은 깨달은 바가 있어 이후부터 음식을 사양했다고 한다. 원효와 의상의 관계를 상징하는 말로 사실 여부에 관계없이 같은 길을 걷는 도반끼리의 우정을 느낄 수 있다.
또 하나는 고려말에 내한(內翰)이라는 벼슬을 한 문가학이 등과하기 전에 정취암에서 공부를 하고 있었는데 정월 초하루가 되자 스님들이 모두 피신을 가는 것이었다. 가학이 이유를 물은 즉 설날 밤이 되면 요물이 나타나 나이 어린 상좌를 잡아간다는 것이다. 가학은 피하기보다 술과 안주를 마련하고 요물을 기다리니 이윽고 여인이 나타나는지라 술을 먹여 잡고 보니 늙은 여우였다.
여우는 잡힘을 알고 둔갑술의 비법이 적힌 책을 주는 조건으로 풀려났는데 도망가면서 몸을 완전히 감추는 부분을 가져가 버렸다고 한다. 가학은 그 후 벼슬길에 나아갔다가 역모를 꾀하다 적발되자 몸을 감추지 못해 잡혀 목숨을 잃었다고 한다.
대성산 깊숙이 자리한 지리적 환경과 울창한 숲, 거대한 바위 더미들로 인해 생겨난 전설로 인물 많은 산청의 한 단면을 볼 수 있다.
출처: 산청군청"
경상남도 산청군 차황면 황매산로 1202-217,,36,0.0,A01,A0101,A01010500,2796914,12,20211215011554,http://tong.visitkorea.or.kr/cms/resource/71/2797871_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/71/2797871_image2_1.JPG,127.9577739929,35.4768695483,6,20220706112120,1,9,,황매산미리내파크 / 황매산영화주제공원,52207,"황매산 미리내 파크는 영화 은행나무침대 Ⅱ인 『단적비연수를 촬영했던 곳으로 산속에 작은 원시 마을이 조성되어 있다.경상남도 산청군과 ㈜ 강제규 필름에서 공동으로 투자하여 제작한 영화 촬영이 끝난 후 촬영에 쓰였던 31채의 원시부족 가옥을 복원하고 10여 개의 풍차와 은행나무 고목, 대장간, 칼, 활, 봉화대, 벽화는 물론 주인공의 캐릭터 등 1,000여 점의 소품과 영화 관련 자료들을 모아 우리나라 최초의 영화 주제 공원을 만들었다. 이후 영화 주제 공원은 「은행나무 침대 2」, 「천군」등의 영화와 드라마 「바람의 나라」, 「주몽」, 「태왕사신기」를 촬영하는 등 촬영지로 각광받고 있다. 해발 1,103.5m의 황매산은 산의 모양이 매화가 피어있는 모습과 같다 하여 붙여진 이름으로 5월이면 수 십 만평의 고원에 펼쳐지는 철쭉들로 전국 최고의 철쭉 군락지로 알려진 곳이다"
경상남도 산청군 산청읍 산청대로1381번길 17,(성심원),36,0.0,A02,A0201,A02010900,2795193,12,20211214185226,http://tong.visitkorea.or.kr/cms/resource/92/2795992_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/2795992_image2_1.jpg,127.9082226331,35.3784131148,6,20220720150118,1,9,,성심원,52227,"성심원은 가톨릭 재단법인 프란체스코회(작은형제회)에서 운영하는 사회복지시설이다. 1958년 진주에 머물던 한센인들이 새로운 삶의 공간을 찾아 이곳으로 옮겨오면서 시작되었다. 한때는 300명이 넘는 한센인 가족들이 함께 살며 농축산 관련 시설을 마련하고 생활을 일구어 왔으나, 의학 기술이 발달하고 한센병의 치료가 가능해지면서 자연스레 인구가 줄었다. 1995년부터 사회복지기관으로 운영되면서 하나둘 현대적 시설로 개선하였고, 지금은 여유 공간을 지리산 둘레길을 찾는 순례객들 또는 도시민들에게 일상을 떠나 자신을 찾는 피정의 공간으로 개방하고 있다."
경상남도 산청군 금서면 화계오봉로540번길 57,,36,0.0,A02,A0201,A02010600,2795184,12,20211214185048,http://tong.visitkorea.or.kr/cms/resource/64/2795964_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/64/2795964_image2_1.jpg,127.7813798422,35.4233252461,6,20211214223027,0,9,,방곡마을,52228,"지리산 동북쪽 화림사 아래 위치한 마을로 약초와 밭농사를 주요 소득원으로 한다. 한때 혈곡(血谷)이 되었던 아픈 역사가 있는 장소로, 6.25전쟁 중, 국군의 공비 토벌 명목으로 수천 명의 민간인 학살이 있었던 곳이다. 삼청함양추모공원과 추모비가 있어 매년 합동 위령제와 추모식이 열린다. 방곡마을은 체험마을로도 지정되어 농촌체험, 민박, 수영장 등의 시설을 갖추고 손님을 맞이하고 있다. 시골 마을이지만 둘레길 탐방객과 지리산 등산객, 계곡 물놀이, 체험마을 등 있어 여름철에 찾는 이들이 많다."
경상남도 산청군 금서면 친환경로2211번길 85-3,,36,0.0,A02,A0203,A02030100,2795032,12,20211214182244,http://tong.visitkorea.or.kr/cms/resource/21/2795521_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/21/2795521_image2_1.jpg,127.8263902548,35.4047198086,6,20220720151030,0,9,,수철마을,52231,"산청군 금서면에 위치한 작은 산골마을로, 쌍재와 고동재라 불리는 두 개의 재가 솟아있는 곳이다. 수철마을이라는 이름은 무쇠로 솥이나 농기구를 만들던 철점이 있어서 붙은 것으로 무쇠점, 또는 수철동이라고 부르기도 하였다. 가야왕국이 마지막으로 쇠를 구웠던 곳이라는 전설이 있다. 마을을 오가는 관문인 고동재는 길 모양새가 경사가 가파르고 고동 껍질처럼 동글동글하면서 말려 올라가는 듯해서 그렇게 불리었다고 한다. 실제로 걷다 보면 뱅글뱅글 돌면서 오르내리는 느낌이 든다. 약초를 재배하는 약초단지가 있다."
경상남도 산청군 금서면 친환경로2506번길 85,,36,0.0,A02,A0201,A02010600,2794635,12,20211214031744,http://tong.visitkorea.or.kr/cms/resource/19/2795919_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/2795919_image2_1.jpg,127.858476053,35.414735912,6,20220720150820,0,9,,대장마을,52214,"경호강 물줄기에 자리한 이 마을은 신라 때 어느 대장이 쉬고 간 곳이라 해서 대장마을이라는 이름이 붙었다고 전해진다. 마을 곳곳 담벼락에 알록달록한 벽화가 그려져 정겹다. 경호강은 겨울에 언 강이 거울처럼 맑다는 뜻인데, 경호강 북쪽은 덕유산과 지리산자락이 병풍처럼 하늘을 가로막아 여름에 몰려오는 습한 비구름이 산자락에 부딪혀 넘어가면서 큰비를 뿌리는 지역이다. 대장마을은 이 경호강 상류에 위치해 강폭이 넓고 수량이 많으며, 유속이 빨라 여름철 수상레저인 래프팅을 즐기는 방문객들에게 인기가 많은 곳이다."
경상남도 산청군 시천면 송하중태길 23,,36,0.0,A02,A0201,A02010600,2794604,12,20211214030707,http://tong.visitkorea.or.kr/cms/resource/30/2796030_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/30/2796030_image2_1.jpg,127.8383731702,35.2748430026,6,20220720150000,0,9,,송하마을,52240,"송하마을은 평평하고 근방에서 가장 넓은 논이 펼쳐지는 마을로, ''천평(川坪)들''이라고 하는데, 다른 말로 ''금환락지(金環洛池)''라 부르고 있다. 금환락지는 옛 선인들이 최고의 명당자리라고 여겨왔던 곳을 부르던 이름이다. 지리산 둘레길 중에서는 구례 운조루가 금환락지라고 불린다. 이 들판을 둘러싼 옥녀봉은 옥녀가 하늘로 올라가며 금가락지를 빠뜨렸다는 전설이 있다. 덕천강 하류 쪽에서 울며 마을로 들어와도 금환락지를 지나면 풍요와 기쁨으로 웃으며 나간다는 말이 전해진다."
경상남도 산청군 산청읍 웅석봉로151번길 104-7,,36,0.0,A02,A0203,A02030100,2792673,12,20211213193746,http://tong.visitkorea.or.kr/cms/resource/01/2795601_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/01/2795601_image2_1.jpg,127.8863850835,35.4004713495,6,20211214205737,0,9,,한밭마을,52227,"'한밭'은 광활한 넓은 밭을 이르는 말이지만. 깊고 높은 지리산 자락과 제법 넓은 경호강 줄기를 끼고 살아온 마을인지라 작은 시골 마을이지만 '한밭'이라는 이름이 붙었다. 한밭마을의 당산은 두 군데가 있다. 마을 입구의 '할배당산'과 마을 안쪽 논 한복판에 '할매당산'이 있다. 할매당산이 쓰러지기 전까지는 그 높이가 3m에 달했다고 한다. 마을이 풍수지리적으로 '배설'의 형국인 탓에 강물이 자주 범람하여 수해를 입는데, 마을 곳곳에 있는 큰 바위들은 오래전 누군가 마을이 물에 떠내려가지 않기 위해 북두칠성의 형상으로 바위를 가져다 놓았다는 설이 있다."
경상남도 산청군 금서면 친환경로2211번길 85-3,,36,0.0,A02,A0203,A02030100,2792669,12,20211213193556,http://tong.visitkorea.or.kr/cms/resource/90/2795590_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/90/2795590_image2_1.jpg,127.8263902548,35.4047198086,6,20221130112825,0,9,,지막마을,52231,"'지막'은 '종이로 막을 쳤다'라는 뜻으로 지막마을은 닥나무가 많아 닥종이를 만들던 마을이다. 지금은 주요 소득원이 밭농사이지만, 한때는 닥종이를 집마다 널어 장관을 이루었다고 전해진다. 종이를 만들어 국가에 바치던 특수지방행정단위를 '지막'이라고 부르기도 했다. 또한 백년초를 '지초'라고도 하는데, 지막마을은 지초가 지천으로 피어 향기가 마을을 가득 메우던 곳이기도 하다. 지초는 초여름에 피는 꽃으로 향이 짙고 효능이 남달라 산삼에 버금가는 약초였다고 알려진다. 마을 곁으로 지막계곡이 흘러 물놀이나 캠핑을 즐기러 오는 사람들도 있다."
