addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경상남도 양산시 물금읍 범어리,2768-1,36,,A02,A0202,A02020700,2862787,12,20221004104055,http://tong.visitkorea.or.kr/cms/resource/53/2862753_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/53/2862753_image3_1.JPG,129.0071196158,35.3191424627,6,20221004104106,0,10,,수학체험공원,50652.0,"양산 증산에 있는 수학체험공원은 부산대양산캠퍼스역 3번 출구에서 도보로 약 10분 거리에 있다. 일반 공원으로 운영하다 수학을 쉽게 접할 수 있는 수학체험공원으로 새롭게 단장한 곳이다. 공원 곳곳에 뫼비우스 모양의 정글짐, 수학 구조물, 펜로즈 삼각형, 멩거 스펀지 등 다양한 작품들이 있다. 조형물마다 소개 글과 특징이 적혀 있어 어린이들이 흥미롭게 다가갈 수 있게 만들어 놓았다. 또 메인 놀이터에는 수학 원리를 적용한 구조물과 수학기호 등 놀면서 사고력과 창의력을 발달시킬 수 있도록 만들어 놓아 어린이들이 가장 즐거워하는 장소다. 재미와 볼거리가 많은 양산 수학체험공원은 이색적인 공원으로 어린이와 함께 방문하기 좋다.
반려동물 동반 가능"
경상남도 양산시 증산역로 177 라피에스타,5층,36,,A02,A0203,A02030600,2820158,12,20220517141307,http://tong.visitkorea.or.kr/cms/resource/44/2820144_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/44/2820144_image2_1.jpg,129.0094085584,35.309915763,6,20220620141120,0,10,,서리단길뮤지션협동조합,50653.0,"양산시 물금리 서리단길 트랜디 거리 조성 사업이 추진되면서, 서리단길 뮤지션 협동조합은 지역 관광 활성화를 위해 다양한 문화공연 프로그램을 개발하고 있다. 서리단길은 특히 80년 넘게 이어오는 전통 방식의 막걸리 양조장이 인기 있는 여행지로, 최근 들어  레트로한 느낌을 좋아하는 젊은 층이 많이 찾고 있다. 서리단길 뮤지션 협동조합은 이곳을 찾은 관광객들의 추억에 여운을 남기고 다시 찾고 싶은 환경을 만들고자 전통 음악을 주제로 하는 예술 공연을 상시 펼친다. 또한 증산 신도시에 라피아트홀을 개관하여 관객과 가깝게 소통하기 위해 노력한다. 이곳은 기타, 드럼, 시 낭송, 연극 등 장르 불문 다양한 문화공연을 쉽게 접할 수 있는 관광두레 공연장으로, 양산을 대표하는 문화센터로 발전해 나갈 계획이다."
경상남도 양산시 평산동,,36,0.0,A01,A0101,A01010800,2796807,12,20211215005337,http://tong.visitkorea.or.kr/cms/resource/93/2797793_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/93/2797793_image2_1.jpg,129.1471278987,35.3817074821,6,20221118134057,0,10,,무지개폭포,,양산시의 동부에 있는 무지개폭포는 인근 부산광역시 기장군과 경계를 이루고 울산광역시민의 식수원인 회야강의 발원지이기도 하다. 계곡이 깊고 물이 깨끗하며 기암괴석과 울창한 수목이 어우러진 수려한 계곡으로 여름철에는 좋은 피서지로 주목을 받고 있다. 무지개폭포로 가는 길목에서 우측으로 올라가면 계곡 주변에서 휴식을 즐길 수 있다. 무지개폭포는 뚜렷한 전설은 없으나 옛날 인근 주민들이 나무를 하고 쉬어가는 곳으로 휴식을 즐기고 있는 가운데 폭포에서 떨어지는 물이 떨어지면서 무지개가 형성되어 현재까지 무지개폭포로 알려져 있다.
경상남도 양산시 물금읍 신주2길 25,,36,0.0,A02,A0202,A02020100,2784445,12,20211201200836,http://tong.visitkorea.or.kr/cms/resource/97/2784497_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/97/2784497_image2_1.JPG,129.021109564,35.3372184703,6,20220407175222,0,10,,양산워터파크,50604.0,"양산시 물금읍에 있는 워터파크 공원은 산책로, 호수, 미술 작품이 있는 공원이다. 이름에서 알 수 있듯 물을 주제로 공원을 조성하였다. 특히 여름에는 바닥 분수에서 물이 나와 어린이들이 자주 찾는 곳이다. 공원 곳곳 조형물과 예술 작품들이 자리 잡고 있다. 워터파크 공원 중앙 부분에는 넓고 아름다운 호수가 있는데 시원한 물줄기의 분수가 뿜어져 나와 기분이 절로 상쾌해진다. 호수에는 연꽃 등 다양한 수생식물과 생물이 살고 있어 도심 속에서 자연을 느낄 수 있다. 봄, 여름에는 다양한 꽃들이 피어 꽃구경하기도 좋으며 가을에는 울긋불긋 단풍이 진 산책로를 걸으며 힐링할 수 있는 곳이다."
경상남도 양산시 동면 강변로 264,,36,0.0,A02,A0205,A02050600,2784427,12,20211201200408,http://tong.visitkorea.or.kr/cms/resource/13/2784513_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/13/2784513_image2_1.JPG,129.0241623789,35.3262280939,6,20221031093616,0,10,,양산타워,50635.0,"양산타워는 지역난방공사의 소각장 굴뚝을 타워로 만든 것으로 꼭대기에서 연기가 계속 나온다. 다른 도시의 타워와는 달리 무료로 입장이 가능하며 양산의 랜드마크로 야경이 아름다운 곳이다. 양산시 유물에는 어떤 것들이 있는지 알 수 있는 전시실이 마련되어 있어, 교육의 장으로도 널리 활용되고 있다. 타워의 꼭대기 6층은 홍보관이고 5층엔 북카페가 있다. 북카페에서는 양산시를 내려다보며 책을 읽을 수 있는 힐링 장소로 여행객들의 사랑을 받고 있다."
경상남도 양산시 물금읍 백호로 23,,36,0.0,A02,A0202,A02020100,2784416,12,20211201200105,http://tong.visitkorea.or.kr/cms/resource/90/2784490_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/90/2784490_image2_1.JPG,128.9993368922,35.3216475933,6,20220407175138,0,10,,양산디자인공원,50613.0,"부산대학교 양산 캠퍼스 옆에 위치한 디자인공원은 도심 속 공원으로 산책로와 자전거 도로가 잘 되어 있어 주말이 되면 방문하는 사람들로 붐빈다. 산책로 중간중간 운동기구가 있어 지역 주민들이 산책도 하고 운동도 할 수 있는 일석이조의 힐링 공간이다. 여름에는 물놀이도 할 수 있는 물놀이장도 있고, 어린이들이 마음껏 뛰어놀 수 있는 어린이 놀이터, 쉼터, 전망대, 축구장 등 즐길 거리가 많다. 디자인공원에서 가장 손꼽는 장소는 2021년 10월에 완공된 석가산 폭포로 폭포수 옆으로 연꽃, 옥잠화 등 다양한 화초류가 식재되어 계절마다 변화하는 꽃을 감상할 수 있다. 특히 석가산 폭포는 야간에 조명을 비추어 연못 속과 폭포의 웅장한 외관을 볼 수 있고 동굴 안 천장부에는 파노라마 LED가 설치되어 다양한 볼거리를 제공한다."
경상남도 양산시 명동 452-1,,36,0.0,A02,A0202,A02020700,2784360,12,20211201193829,http://tong.visitkorea.or.kr/cms/resource/88/2784388_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/88/2784388_image2_1.JPG,129.1665783919,35.4029026874,6,20220701153457,0,10,,명동공원 / 명동근린공원,,"양산시 명동에 위치한 명동공원은 잔디광장, 연꽃단지, 미로원, 분수 2개 등을 갖추고 있으며 휴양 시설 및 어린이 놀이 시설, 체육시설, 야외무대, 편의시설, 관리 시설 등으로 이루어져 있다. 공원 숲길을 걸으면 맑은 공기와 탁 트인 풍경을 보며 힐링할 수 있으며 숲길 사이사이 벤치가 있어 쉬어가며 편하게 산책할 수 있다. 공원 안에는 양산 최초의 23m 워터 슬라이드 물놀이장 시설도 갖추었다. 또한 명동공원은 연못, 놀이터, 야외무대, 족구, 배드민턴장 등이 있어 가족, 친구, 연인들이 함께 방문하여 휴식과 스트레스를 풀 수 도 있고 다양한 이벤트를 경험할 수 있는 공원이다."
경상남도 양산시 동면 강변로 54,,36,0.0,A02,A0202,A02020700,2784354,12,20211201193404,http://tong.visitkorea.or.kr/cms/resource/37/2784437_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/37/2784437_image2_1.JPG,129.0216020413,35.3062386233,6,20220407175355,0,10,,수질정화공원,50639.0,"하수처리시설이 있는 곳의 주변 부지를 시민을 위해 공원으로 조성한 곳이다. 어린이 놀이터, 운동장, 잔디광장, 인라인스케이트장, 야외 공연장 등을 갖추고 있으며 화려하지는 않지만, 시민들이 편하게 쉬어갈 수 있는 곳이다. 양산수질정화공원에 있는 의자들은 어린아이들이 직접 그린 그림을 실물로 제작 설치하여 아이들의 상상력과 창의력을 볼 수 있는 재미가 있다. 공원 내 어린이들이 좋아하는 공간 중 하나인 어린이 놀이터에서는 모래 놀이를 할 수 있으며 다육식물원도 있는데 주말에는 개방하지 않고, 주중 10시16시까지 개방하니 시간 확인 후 방문해야 한다. 양산수질정화공원은 산책로와 놀이터, 축구장 등 다양한 즐길 거리가 많아 가족, 친구들과 가기 좋은 곳이다."
경상남도 양산시 동면 가산리 799,,36,0.0,A02,A0202,A02020100,2784347,12,20211201193109,http://tong.visitkorea.or.kr/cms/resource/72/2784372_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/72/2784372_image2_1.JPG,129.0178748959,35.295064808,6,20220407175307,0,10,,가산수변공원,,"양산시 동면 양산천 낙동강 고수부지에 위치한 가산 수변공원은 2012년 4대강 사업 이후 낙동강 변에 조성된 수변공원이다. 면적은 610,000m², 자전거 길 3,802m², 산책로 2,554m² 규모로 조성되어 있으며 쉼터광장, 어린이 교통공원, 골프장, 축구장, 풋살장 등 다양한 생활 체육시설을 갖추고 있다. 체육시설은 공단 홈페이지를 통해 회원가입 후 이용할 수 있다. 낙동강의 자연경관을 보며 자전거를 타거나 산책을 하며 힐링 할 수 있는 편안한 휴식처를 제공한다."
경상남도 양산시 하북면 통도사로 108,,36,0.0,A02,A0201,A02010800,2784332,12,20211201192342,http://tong.visitkorea.or.kr/cms/resource/53/2784353_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/53/2784353_image2_1.JPG,129.0646293478,35.4886883698,6,20221031102632,0,10,,통도사자장암,50501.0,"대한불교조계종 제15교구 본사인 통도사에는 19개의 크고 작은 암자가 있다. 암자마다 각각의 특색을 지니고 있는데 그중 자장암은 신라 진평왕 때 승려 자장이 바위벽 아래에 움집을 짓고 수도하던 게 시초라고 한다. 그 뒤 연대는 미상이나 회봉(檜峰)이 중건하였고, 1870년(고종 7)에 한 차례의 중수를 거쳐 1963년에 용복(龍福)이 중건하여 오늘에 이르고 있다. 통도사에서 암자로 가는 길의 계곡은 세계문화유산 청정 보호 지역으로 출입이 금지되어 있지만, 보는 것만으로도 시원함이 압도한다. 경내에 들어서면 자장전 앞에 높이 약 4m의 마애불이 눈에 들어오는데 1896년 조성된 것으로 마애불의 중앙에는 아미타불좌상, 그리고 좌우에는 각각 대세지보살과 관세음보살이 음각되어 있다. 자장전 뒤에는 자장율사가 당으로부터 가져온 부처의 진신사리탑이 있다. 자장암의 전체 건물은 5동 23칸이다."
