addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경상남도 의령군 의령읍 수암로 248-17,,36,0,A02,A0201,A02010800,2784361,12,20211201194013,http://tong.visitkorea.or.kr/cms/resource/24/2784424_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/24/2784424_image2_1.JPG,128.2279186453,35.3075323564,6,20221028094824,1,12,,수암사,52158,"경상남도 의령군 의령읍 수암로 벽화산 기슭에 있는 사찰로 2012년 '용국사'에서 '수암사'로 명칭이 변경되었다. 대지면적 26만 4,000㎡의 대규모 사찰이며 진입로 양쪽에 옥석으로 만든 높이 2.8m의 관음상 333개가 줄지어 서 있어 이곳을 방문하는 사람들은 그 웅장함에 놀란다. 수암사 입구 쪽에는 보물 제373호 의령 보천사지 삼층석탑과 보물 제472호 의령 보천사지 승탑이 있다. 사찰 내에서 가장 큰 대적광전 내부에 들어가면 수많은 불상을 볼 수 있으며 내부 출입은 30명 이내로 제한하고 있다. 산속에서 사찰이 주는 고즈넉함과 편안함을 느낄 수 있는 곳이다."
경상남도 의령군 지정면 성산리 675-1,,36,0,A02,A0202,A02020100,2784331,12,20211201192249,http://tong.visitkorea.or.kr/cms/resource/61/2784461_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/61/2784461_image2_1.JPG,128.4295707603,35.3977119477,6,20220701153725,1,12,,호국의병의숲친수공원,,"의령에 있는 호국 의병의 숲 친수공원은 낙동강과 남강이 합류하는 곳으로 임진왜란 당시 곽재우 장국이 의병을 이끌고 첫 승리를 한 곳이다. 이곳에 아름다운 수변 생태 공간을 만들어 후손에게 물려주고, 승리를 이끈 곽재우 장군의 기강 전투를 기념하기 위해 공원을 조성했다. 넓고 길게 뻗어 있는 길 중간중간 댑싸리, 메밀꽃, 핑크 뮬리, 코스모스 등 다양한 꽃을 감상할 수 있다. 또 넓은 주차장과 자전거 도로, 산책로, 낙동강을 바라볼 수 있는 전망 테크까지 갖추어 가족, 연인, 친구들과 함께 나들이하기 좋은 곳이다. 특히 가을이 되면 솜사탕 모양의 댑싸리(식물)가 가득 핀 호국 의병의 숲은 사진찍기 좋은 곳으로 이름나 많은 사람이 찾고 있다."
경상남도 의령군 의령읍 서동리 644-1,,36,0,A02,A0205,A02050100,2782691,12,20211129200352,http://tong.visitkorea.or.kr/cms/resource/25/2783925_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/25/2783925_image2_1.JPG,128.256252121,35.3131350123,6,20221026140114,0,12,,의령구름다리,,"의령천 정비사업의 일환으로 지난 2005년 준공된 의령 구름다리는 총 길이 258m, 주탑 높이는 48m에 달한다. 구조물의 붉은색은 임진왜란 최초의 의병장이자 의령 출신인 곽재우 장군이 여러 전투에서 입었다고 전하는 홍의를 모티프로 했다. 이 외에도 전통복식의 고유 색깔들을 차용해 의령천 주변의 빼어난 경치와 조화를 이루도록 했다. 주탑의 18개 흰색고리는 곽재우 장군과 17 장령을 상징하는 충익사 의병탑을 형상화 했다. 또 주탑과 보행로를 따라 400여개의 LED 조명을 설치해 밤에는 화려한 야경을 뽐낸다. 구름다리 인근에는 수변공원과 인공폭포, 산책로 등이 조성돼 있다. 특히 산책로는 남산 둘레길과 읍내를 연결해 주민들이 즐겨 걷는 코스다."
경상남도 의령군 대의면 신전리,,36,0,A01,A0101,A01010500,2652449,12,20200414014440,http://tong.visitkorea.or.kr/cms/resource/18/2675618_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/18/2675618_image2_1.JPG,128.194241584,35.3913639762,6,20220314102743,0,12,,한우산 드라이브코스,52130,"의령 한우산 드라이브 코스는 잘 정비된 길과 아름다운 자연 절경으로 사시사철 많은 드라이브 관광객들이 방문하고 있다. 한우산 정상으로 오르는 길은 대표적으로 가례면에서 오르는 길과 궁류면에서 오르는 길 2가지 길이 있으며 궁류면 방면으로 갈 경우 일붕사, 봉황대, 벽계관광지 등 명소를 거칠 수 있어 볼거리가 풍부하다.
한우산은 가을철에는 오색찬란한 단풍과 억새들이 절경을 연출하며, 정상부근에 위치한 도깨비 숲에는 도깨비 조형물 등 다양한 볼거리가 있어 즐거움을 선사한다.
 참고 : 평일(월금)  정상 차량진입 가능, 주말  쇠목재까지 차량진입 가능 (정상까지 걸어서 3040분 소요)    
 주변관광지 : 벽계관광지, 일붕사, 봉황대"
경상남도 의령군 의령읍 수암로 146,,36,0,A02,A0203,A02030100,2041032,12,20151113011920,,,128.2396842527,35.30853801,6,20220922153710,3159,12,,의령 청미래체험휴양마을,52158,"청미래마을은 의령읍에서 5분 이내이며, 물 맑고 돌이 많아 수암마을이라 불린다. 마을내 관세음보살상 333개가 위치한 수암사가 있는 청정지역이다. 의령의 특산품인 망개떡 만들기 체험이 있어 내가 직접 만든 떡을 먹어보고 만들 수 있으며, 기온차가 심한 고랭지에서 자란 고추, 배추, 무 포함 대봉감 단지에서 얻을 수 있는 홍시를 넣은 김치담기가 특이하다. 달콤한 망개떡과 알싸한 김치가 있는 청미래마을에서 농촌체험의 재미를 느낄 수 있다."
경상남도 의령군 용덕면 덕암로5길 5-2,(용덕면),36,0,A02,A0201,A02010700,1960065,12,20141024232158,,,128.2755802555,35.3402684153,6,20220824150805,2103,12,,태암서원,52128,"두문동 72현의 한분인 문원공(文元公) 전조생(田祖生)과 그의 손자 전자수(田子壽)를 향사하기 위해 1789년(정조 13)에 유림과 담양전씨 후손들에 의해 건립되었다. 태암서원은 1868년(고종 5) 대원군의 서원철폐령으로 철폐되었다가 그 뒤 후손들에 의해 다시 중건되었으며, 매년 음력 2월말 丁日과 10월 10일의 춘추 2회에 걸쳐 유림에 의한 향사가 봉행된다."
경상남도 의령군 유곡면 청정로16길 57-57,,36,0,A02,A0201,A02010700,1960007,12,20141024223055,,,128.3176658591,35.4285092322,6,20221013172821,1728,12,,의양서원,52113,"생육신의 한 사람인 추강 남효온(秋江 南孝溫)등 4位를 모시기 위해 세운 서원이다. 1861년(철종 12)에 창건되었지만 곧 서원철폐령에 의해 훼철되었다가, 1924년에 재건되었다."
경상남도 의령군 유곡면 마장로 226-14,,36,0,A02,A0201,A02010700,1959903,12,20141024191946,http://tong.visitkorea.or.kr/cms/resource/50/2708750_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/50/2708750_image2_1.jpg,128.2952729829,35.4432960508,6,20220420165513,1676,12,,예동서원,52113,"오랫동안 남계서원(藍溪書院)으로 알려졌는데 최근에 예동서원으로 바꾸었다. 학덕높고 절의의 큰 선비 표연말(表沿沫)을 추모향사하는 서원이다. 서원에는 경모당(景慕堂), 숭보사(崇報祠)와 기적비가 있다. 남계 표연말의 자는 소유(少游)이고 호가 남계(濫溪)로 1431년에 출생했고, 1498년 서거했다. 성종때 문과에 급제한 뒤 부제학, 이조참판겸 홍문관 예문관 대제학에 올랐고 연산군때 무오사화로 유배되어 그곳에서 세상을 떠났다. 중종때 신원됨과 함께 이조판서에 추증된 학덕높은 큰 선비였다. 김종직의 문인으로 김굉필, 정여창등과 함께 문행이 세상에 알려졌다. 묘소는 경북 상주에 있다.함양의 구천서원(龜川書院), 남계서원(濫溪書院)과 함창의 임호서원(臨湖書院)에서 표연말을 향사하였고 마장리에는 경모당과 숭보사와 기적비가 세워졌으며 예동서원에서 향사하고 있다."
경상남도 의령군 부림면 미타로 26-5,(부림면),36,0,A02,A0201,A02010700,1959865,12,20141024185745,,,128.3233836271,35.4720516489,6,20220420165406,970,12,,신계서원,52107,"1467년(세조 13) 이시애 난을 평정한 공신인 정준(鄭俊)을 모시기 위해 세운 서원이다. 1861년(철종 12)에 이 지역 향토 사람들이 뜻을 모아 창건하였으나, 1868년(고종 5)의 서원철폐령에 의해 훼철되었다. 그 후 1956년에 중수하였지만 그 또한 풍파에 의해 손상되어서 1994년에 본원의 건물을 세우고 2000년 6월에 현재의 상태로 복원하였다."
경상남도 의령군 대의면 모의로 323,,36,0,A02,A0201,A02010700,1959584,12,20141024013513,,,128.1480930571,35.3840056454,6,20220926180531,1347,12,,미연서원,52130,"허목(許穆)을 모시기 위해 세운 서원이다. 1825년(순조 25)에 창건하였다. 그 후 1868년(고종 5)에 훼철되었다가. 1901년에 이의정(二宜亭)과 영당(影堂)을 지었으며, 1975년에 서원을 복원하였다. 건립 당시 정당(正堂)의 기와는 창녕에서 가지고 왔는데 창녕까지는 창녕사람이, 그리고 의령까지는 의령군민이 부역으로 날랐다고 한다. 이곳의 장판각에는 미수기언이라는 책판이 있는데 이 책판은 경상남도 유형문화재로 지정되어 있다."
경상남도 의령군 의령읍 벽화로 629-12,(의령읍),36,0,A02,A0201,A02010700,1959541,12,20141024000635,,,128.2535690239,35.3131016338,6,20221121131430,1959,12,,덕곡서원,52158,"이황(李滉)을 향사하기 위해 건립된 것이다. 퇴계 이황이 의령을 방문하게 된 동기는 선생의 장인인 허찬(許瓚)이 30여 년간 경북 영천군 초곡동(영주시 문정동)에서 우거하다가 출생고향인 가례촌으로 낙향하면서 이곳 처가댁을 방문하는데서 비롯되었다. 선생 사후 1654년(효종 5) 선생의 유학사상과 덕행을 추앙하고 후대에 전해야한다는 유림들의 건의에 따라 의령현감 윤순거가 덕곡촌 입구에 덕곡서원을 건립하였고, 1660년(현종 원년)에 사액서원이 되어 지역유학교육의 중추가 되었다. 이후 1871년(고종 8년) 흥선대원군의 서원철폐령으로 목조건물 전부가 철거되었으나, 1902년(고종 39년) 유림들이 강당과 솟을대문을 복원하였고 1992년 사우각이 복원되었다"
