addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경상남도 진주시 충무공동 183,,36,,A01,A0101,A01010500,2894553,12,20221103103614,http://tong.visitkorea.or.kr/cms/resource/51/2894551_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/51/2894551_image3_1.jpg,128.1457513788,35.1829948991,6.0,20221103103626,0,13,,물초울공원,52831.0,"진주 혁신도시에 있는 물초울공원은 넓은 규모의 공원으로 산책로와 물놀이를 할 수 있는 물놀이장, 놀이터로 이루어져 있다. 공원 주변으로 영천강과 갈전천이 흐르고, 공원 안에는 저류지가 있어 운치가 있다. 여름에 특히 인기가 많은 물놀이장에는 그늘막과 나룻배, 진주성 모형의 미끄럼틀이 있어 사계절 내내 이용할 수 있다. 물놀이장은 7월부터 8월까지 진주 통합예약 시스템에서 사전 예약 후 이용할 수 있다. 물초울 공원에 오면 모래놀이, 흔들 놀이, 스카이 시소, 포크레인 모래놀이, 바구니 그네, 엄마와 함께 타는 그네, 짚라인 등 다양한 놀이가 있는 어린이 놀이터가 있어 아이와 함께 방문하면 좋다. 공원 내 도보를 위해 고무칩 포장을 하여 자전거와 킥보드는 출입 불가이다. 물초울공원 근처 차로 15분 거리에 진주성도 있어 함께 둘러보는 것도 좋다.
 반려동물 동반 가능(목줄 착용 및 배변도구 지참)"
경상남도 진주시 강남로 320,,36,,A02,A0202,A02020700,2894545,12,20221103102715,http://tong.visitkorea.or.kr/cms/resource/41/2894541_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/41/2894541_image3_1.jpg,128.0821985047,35.1872460687,6.0,20221103102726,1,13,,남가람공원,52707.0,"진주 남가람공원은 남강 바로 옆 대나무 숲길 쪽에 자리하고 있다. 남강 쪽은 자전거길이 있어 자전거를 타고 가는 것을 추천한다. 남가람공원에는 자전거 보관소는 있지만 전용 주차장이 따로 없다. 3월에 방문하면 벚꽃과 산책길 곳곳에 핀 다양한 꽃들을 구경할 수 있다. 공원 끝 쪽에는 화장실과 매점이 있고, 물놀이 분수대가 있어 여름에는 이곳에서 더위를 식힐 수 있다. 남가람공원에는 울창한 대나무숲이 있는 남가람 별빛 길이 있는데 꼭 한번 둘러봐야 한다. 빼곡하게 자리 잡은 대나무 숲길은 밤이 되면 숲길에 조명이 켜져 더욱 빛을 발한다. 또 공원 곳곳에 의자와 정자가 있어 편히 쉬어갈 수 있다. 특히 진주성을 배경으로 사진을 찍을 수 있는 포토존도 마련되어 남가람공원에 가면 꼭 가봐야 한다. 근처 경남지역의 역사와 문화를 전시한 국립진주 박물관도 가까이 있어 함께 방문하기 좋다.
 반려동물 동반 가능(목줄 착용 및 배변도구 지참)"
경상남도 진주시 진주대로1706번길 212,,36,,A02,A0203,A02030600,2820707,12,20220519142654,http://tong.visitkorea.or.kr/cms/resource/00/2820700_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/2820700_image2_1.jpg,128.0303378833,35.2358980065,6.0,20220614171618,0,13,,프로스트맥주협동조합 (망경동 에일맥주. 진주유등축제 흑맥주. 촉석루라거맥주. 진주석류에일맥주),52640.0,"명석면 비실마을 3만평에서 생산하는 연꽃, 연잎. 연근을 이용한 수제 맥주을 생산하여 수제맥주 만들기 체험과 함께 마을 관광상품으로 개발하고 있다. 
비실 마을에서 홉(Hop faming)을 직접 재배하고 그것을 맥주 양조장에서 양조하면 제품의신선함이 경쟁력이 될 수 있기에 로컬 크래프트 맥주와 신선한 맥주를 찾을 수 있는 관광상품으로 개발이 가능한 기업이다. 특히 홉을 수확하는 시기에 홉 수확 체험 행사를 통해서 홉을 책이나 인터넷으로만 봤던 사람들에게 직접 수확하는 경험을 나누고 수확한 홉을 바로 양조장으로 가져가 수제맥주만들기체험도 가능한 곳이다. 이로 인해 관광객은 하루의 짧은 시간 동안 자연풍경이 가득한 곳에서 농업의 1차 산업과 2차 산업, 그리고 3차 산업을 동시에 경험할 수 있고 농업의 6차산업의 발전을 직접 리더하는 업체이다.(마을에서 맥주를 만들고 사람들은 로컬 크래프트 맥주를 찾아오니 이것이 바로 6차산업 관광) 
또한 지역에서 소외 될수 있는 시골에서 수제맥주 제조, 유통, 판매를 위한 비실마을 청년 일자리창출과 주민고용 창출이 가능한 뜻이 있는 기업으로 성장하고 있다. 프로스트 운영은 북카페를 통해 예약제로 소규모 모임도 가능하며, 음악과 맥주 한 잔, 독서를 즐길 수 있는 여유있는 문화적인 공간이기도 하다."
경상남도 진주시 범골로54번길 30-9,드림IT밸리 B606호,36,,A02,A0203,A02030600,2820706,12,20220519141839,http://tong.visitkorea.or.kr/cms/resource/95/2820695_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/95/2820695_image2_1.jpg,128.1327307213,35.1669436949,6.0,20220614171523,0,13,,폴링 인 진주,52818.0,폴링 인 진주는 진주여행 로컬 브랜드로써 진주에 진주다운 여행을 만들어 나가는 회사이다. 진주 내에 무장애 여행과 더불어 다양한 여행을 선보일 예정이다.
경상남도 진주시 강남로325번길 7-1,,36,,A02,A0203,A02030600,2820705,12,20220519140744,http://tong.visitkorea.or.kr/cms/resource/86/2820686_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/86/2820686_image2_1.jpg,128.0821790879,35.1862572903,6.0,20220519140851,0,13,,배건네공작소,52707.0,"배건네공작소는 처음 커뮤니티모임에서 만난 주민들이 모여 만든 협동조합이다. 경남 진주 배건네 마을, 촉석루를 바라보는 이 작은 마을이야기에서 우리가 진주다를 품고 경남 진주만의 이야기를 발굴하고 마을 주민의 일상생활과 문화활동을 콘텐츠로 만드는 곳이다. 현재 배건네공작소에서는 문화기획, 지역아카이브, 스토리텔링을 통해 진주관광상품을 만들어 판매하기 위해 열심히 준비중에 있다."
경상남도 진주시 광제산로 368,,36,,A02,A0203,A02030600,2820208,12,20220517151442,http://tong.visitkorea.or.kr/cms/resource/01/2820201_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/01/2820201_image2_1.jpg,128.0427587304,35.2466692375,6.0,20220614141641,0,13,,하모예,52641.0,하모예는 그래 잘 될거야라는 뜻의 진주 방언 하모와 예술을 뜻하는 예를 결합하여 만든 이름으로 긍정의 의미를 담은 진주 방언과 창의성 및 전통성을 바탕으로 한 예술성의 결합을 함축하고 있다. 하모예는 유네스코 공예민속 예술창의도시에 어울리는 진주시 문화유산과 함께하는 공예 관광 기념품 제작을 핵심 과제로 삼고 진주시를 대표하는 다양한 문화유산을 표현하는 관광 기념품을 개발 및 판매하면서 동시에 진주시를 찾는 많은 관광객들의 오감을 만족 시킬 수 있는 체험 프로그램을 제공하고 있다.
경상남도 진주시 죽곡길 7,,36,,A02,A0203,A02030600,2817792,12,20220426175704,http://tong.visitkorea.or.kr/cms/resource/70/2817570_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/70/2817570_image3_1.JPG,128.1857894328,35.0817097701,6.0,20220426175738,0,13,,밀알영농조합,52843.0,"밀알영농조합은 우리밀인 앉은뱅이밀로 요리하고, 먹고, 놀고, 농사체험 프로그램을 운영한다. 지역의 농가와 계약재배를 통해 밀을 생산하고 밀가루, 국수, 빵, 과자 등 다양한 우리밀 식품과 밀키트를 개발하고 판매한다. 체험장은 고소한 냄새를 맡고, 부드러운 밀가루를 만지고 뒹굴며 놀 수 있는 가루방과 통밀방으로 나뉘어져 있다. 밀 수확시기인 6월이면 밀 축제가 펼쳐진다. 수확과 타작을 직접 해보고 이제는 사라지고 없는 추억의 밀서리도 체험할 수 있다."
경상남도 진주시 판문로 155,(판문동),36,0.0,A02,A0203,A02030600,2796959,12,20211215012931,http://tong.visitkorea.or.kr/cms/resource/09/2799309_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/09/2799309_image2_1.JPG,128.0404245533,35.1810488016,6.0,20221129095342,0,13,,정글어드벤처,52648.0,"3D 영상관, 몰펀 블록체험, 오감각 퍼포먼스 미술체험, 리틀 셰프 쿠킹클래스, 정글북트리도서관, 세미나실, 공연장, 생일파티룸과 부모님 휴게실 등 다양한 ROOM 완비로 편리하게 이용하실 수 있는 에듀플레이 공간이다. 다양한 체험과 경험을 선물하는 정글어드벤처로 어린이들과 즐거운 추억을 만들기 좋다. 어린이들이 좋아하는 공룡, 로봇, 킹콩 등의 포토존이 있으며 식사와 차를 즐길 수 있는 커피숍과 200석 대규모 공연장, 세미나실, 정글북트리도서관이 있다."
경상남도 진주시 가좌동 857-1,,36,0.0,A02,A0205,A02050500,2788897,12,20211208184806,http://tong.visitkorea.or.kr/cms/resource/47/2792447_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/47/2792447_image2_1.jpg,128.1046167991,35.1563110565,6.0,20221108105242,0,13,,진치령터널,,"진치령 터널은 경상남도 진주 가좌동과 주약동을 연결하는 터널이다. 과거 경전남부선 철도가 지나는 터널이었던 이곳은 일제강점기인 1925년에 건설되었다. 하지만 복선 전철 개통으로 사용하지 않고 방치돼 오던 폐 터널을 진주시에서 천정동 주약철도 건널목부터 경상대까지 약 2.5km 구간에 자전거도로를 조성하면서 새로운 여행지로 거듭났다. 산책로도 잘 다듬어져 있어 누구나 부담 없이 걷기에 좋은 코스다. 짙푸른 녹음에 둘러싸인 터널 풍경도 이채롭지만, 터널 안으로 들어서면 알록달록한 조명이 눈길을 사로잡는다. '힘내요, 당신 조금만 더 걸어요', '건강한 습관으로 가벼워지세요' 등 다양한 메시지를 담은 로고 라이트를 비롯해 꽃과 나비 등 함께 사진 찍기 좋은 포토존도 걷는 재미를 더한다."
경상남도 진주시 내동면 삼계로 453,,36,0.0,A02,A0202,A02020700,2788143,12,20211208012902,http://tong.visitkorea.or.kr/cms/resource/59/2790659_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/59/2790659_image2_1.JPG,128.0304287282,35.1612758486,6.0,20220701152242,1,13,,남강댐노을공원,52848.0,"진주 남강과 진양호 사이에 자리한 남강댐 노을공원은 걷기 좋은 산책로와 널찍한 운동장, 보기만 해도 넉넉해지는 댐 풍경이 한데 어우러져 시민들이 즐겨 찾는 휴식처다. 공원 곳곳에 크고 작은 나무데크가 설치되어 주말이면 피크닉을 즐기려는 이들로 북적인다. 도심을 잠시 벗어나 울창한 숲길을 걷는 기분도 상쾌하다. 진양호를 한눈에 담을 수 있는 전망대와 곳곳에 자리한 포토존도 사진 찍기에 좋다. 동심을 자극하는 조각공원도 아이들과 함께 뛰어놀기에 제격이다. 무엇보다 가장 매력적인 것은 이름처럼 아름다운 노을이다. 해 질 녘 남강댐 노을공원에서 진양호를 바라보고 있노라면 붉게 타오르는 일몰이 황홀한 풍경을 빚어낸다. 특히 맑은 날 진양호에 비친 저녁 하늘은 아름다운 노을을 더욱더 화려하게 빛낸다."
