addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경상남도 창녕군 창녕읍 화왕산관룡사길 171,,36,0,A02,A0201,A02010800,2785626,12,20211203191255,http://tong.visitkorea.or.kr/cms/resource/78/2797478_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/78/2797478_image2_1.JPG,128.5535506584,35.5327739823,6.0,20221123104635,0,15,,용선대,50335.0,"억새로 유명한 창녕 화왕산에는 소박한 사찰 관룡사가 있고 그곳에서 500m를 걸으면 용선대를 만날 수 있다. 석조여래 좌상으로 유명한 용선대는 천년을 이어 온 통일신라시대의 불상이다. 보물 295호로 지정돼 있으며 아래에서 보면 까마득한 벼랑 같지만 관룡사에서는 가깝게 느껴지는 곳이다. 우포늪, 화왕산 억새밭과 함께 창녕을 찾은 관광객들이라면 꼭 찾아봐야 할 용선대는 창녕의 보물이고  절벽 끝에 앉아 묵묵히 세상을 내려다보는 모습은 많은 것을 느끼게 한다."
경상남도 창녕군 영산면 서리 139-3,,36,0,A01,A0101,A01011700,2785613,12,20211203190356,http://tong.visitkorea.or.kr/cms/resource/76/2797476_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/76/2797476_image2_1.JPG,128.5281772356,35.4546684338,6.0,20221123104923,0,15,,연지못,,"창녕의 연지못은 선조들이 영산 고을의 화재를 예방하고 농사에도 이롭게 하기 위해 만든 저수지이다. 그 모양이 벼루 모양을 닮았다 해서 연지(硯池)라 불렸으며 영산 호국공원과 인접하여 있다. 연못 가운데 다섯 개의 섬들이 떠 있어 아름답고 그중 가장 큰 섬 두 개는 다리로 연결돼 있어 산책로를 따라 들어가 볼 수 있다. 연못을 공원화하여 해마다 유등제가 열리고 있으며 놀이터와 운동기구, 건강 지압시설 등 다양한 부대시설이 마련되어 있어 사시사철 산책이나 나들이하기 좋다. 특히 수양벚꽃이 개화하는 시기엔 관광객이 붐빌 만큼 아름다운 풍경을 연출한다. 또한 반영 샷 한 장으로 핫플레이스가 된 영산만년교가 바로 앞에 있어 연지못을 한 바퀴 돌고 만년교로 이동하는 발길이 많은 곳이다."
경상남도 창녕군 창녕읍 교리159,,36,0,A02,A0202,A02020100,2782676,12,20211129195332,http://tong.visitkorea.or.kr/cms/resource/99/2795099_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/99/2795099_image2_1.jpg,128.4989189773,35.5461714751,6.0,20220506130903,0,15,,명덕생태수변공원,50317.0,"창녕읍에 자리한 수변공원으로 주민들이 즐겨 산책하는 코스다. 과거 농업용수 공급을 위해 만들어졌던 명덕저수지를 현대적으로 공원화시켰다. 걷기 좋은 나무 데크길은 물론 저수지에 다양한 수생식물을 심어 계절마다 다채로운 풍광을 즐길 수 있다. 저수지 가운데로 아치형의 디자인이 돋보이는 구름다리가 놓였고, 그 양쪽으로 울타리를 설치해 안전하게 수변 경치를 즐길 수 있도록 했다. 구름다리 건너 팔각정에선 잠시 걸음을 쉬어가며 이야기를 나누기에도 좋다. 이처럼 낮에도 주민들의 휴식처가 되어주는 명덕 생태 수변공원은 밤이 되면 색다른 매력을 펼쳐 보인다. 구름다리에 알록달록한 조명을 설치해 로맨틱한 야경을 선사하는 것. 아름다운 야경이 저수지에 비쳐 일렁이는 모습도 눈과 마음을 사로잡는다."
경상남도 창녕군 이방면 옥천리 756,,36,0,A02,A0205,A02050100,2774931,12,20211117003711,http://tong.visitkorea.or.kr/cms/resource/45/2774945_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/45/2774945_image2_1.JPG,128.4015193902,35.5391538284,6.0,20221201105041,0,15,,우포출렁다리,,"우포늪은 자연 습지인 우포, 사지포, 목포, 쪽지벌과 복원습지 산밖벌로 이루어져 있다. 이 중 산밖벌은 늪을 메워 농경지로 조성한 곳을 다시 습지로 복원한 곳으로 산 밖 굼 턱진 곳의 벌이란 뜻을 가진 우포늪의 막내이다. 산밖벌은 습지복원지구와 생태관찰지구로 조성돼 있다. 산밖벌과 함께 토평천 하류에 설치된 우포출렁다리는 2016년 11월에 개통, 쪽지벌과 산밖벌을 이어주는 교량으로 우포늪의 새로운 명물로 자리 잡고 있다. 가을바람 맞으며 탐방로를 거닐다 보면 산밖벌 끝머리 제방 쪽 토평천 하류에 설치된 길이 98.8m, 보행 폭 2m의 우포출렁다리(창녕군 이방면 옥천리 756번지)가 나온다. 우포늪에는 둘레길이 잘 조성되어 있는데, 우포출렁다리와 산밖벌까지 탐방하는 9.7㎞, 3시간 30분 코스 등 다양하게 구성되어 있다."
경남 창녕군 부곡면 학포리 421,,36,0,A01,A0101,A01010500,2774824,12,20211117000839,http://tong.visitkorea.or.kr/cms/resource/36/2774836_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/36/2774836_image2_1.JPG,128.6396723451,35.3775124855,6.0,20220411104314,0,15,,학포수변생태공원,,학포수변생태공원은 창녕군 부곡면 학포리 신포마을 낙동강 변에 있는 공원으로 4대강 조성 당시 지어진 공원이다. 사방이 확 트인 초록의 풍광은 이곳을 찾는 외지인에게 창녕의 자연을 아낌없이 전해준다. 공원이 넓고 광활하게 펼쳐져 있으며 라이더들의 명소인 낙동강 자전거길이 공원을 가로질러 간다. 자전거길뿐만 아니라 산책로도 잘 조성되어 있다. 이정표와 갈림길 표지판이 곳곳에 설치되어 있어 산책이나 자전거를 즐기기에 불편함이 없다. 시원한 강바람을 맞으며 달리기 좋아 주민들의 건강한 문화생활을 영위하는 공원으로도 널리 알려져 있다.
경상남도 창녕군 창녕읍 계성화왕산로 638,,36,0,A01,A0101,A01010900,2774811,12,20211117000311,http://tong.visitkorea.or.kr/cms/resource/18/2774818_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/18/2774818_image2_1.jpg,128.5511151405,35.5188893927,6.0,20211209003515,0,15,,옥천계곡,50335.0,창녕의 대표 계곡인 옥천계곡은 화왕산에서 시작하여 계성으로 흘러 최종적으로는 낙동강과 만난다. 산 정상 해발 757m에서 골짜기마다 굽이굽이 흘러내린 물길로 형성된 계곡은 시원하고 장쾌한 물줄기와 화왕산 숲에서 불어오는 청량한 바람으로 여름철 피서객들의 최적 휴양지로 주목받고 있다. 주차장에서 등산로를 따라가다 보면 숲과 바위가 어우러진 계곡이 나온다. 아무 곳에나 자리를 잡고 발을 담그면 그곳이 절로 피서지가 된다. 계곡 근처에는 관룡사와 용선대라는 훌륭한 볼거리가 있어 잠시 들러보기에도 좋다.
경남 창녕군 남지읍 남지리 835-25,,36,0,A02,A0202,A02020100,2750692,12,20210928223133,,,128.4715924261,35.3847586113,6.0,20220412113948,0,15,,남지체육공원,50355.0,"남지 체육공원은 창녕군 남지읍 남지리에 위치한 공원으로 64,623㎥ 면적을 가지고 있으며, 축구장, 농구, 인라인스케이트장, 배구, 족구, 게이트볼, 씨름장 등 각종 체육시설이 잘 갖추어 있어 많은 시민들이 찾는 휴식공간이다. 남지 체육공원은 낙동강과 남강이 합류하는 지점에 위치해 있으며, 강을 따라 걷기 좋은 산책로가 조성되어 있다. 이곳에서는 영화 속에나 등장할법한 아름다운 풍경의 초록빛으로 뒤덮인 드넓은 공원을 마주할 수 있으며, 봄이 되면 노란빛으로 물든 유채꽃 군락을 볼 수 있다."
경상남도 창녕군 영산면 원다리길 42,,36,0,A02,A0205,A02050100,2714735,12,20210428032013,,,128.5296521436,35.4533102803,6.0,20220302102554,0,15,,만년교,50348.0,"창녕 영산 만년교는 마을 실개천 위에 무지개 모양으로 만들어 놓은 돌다리로, 실개천이 남산에서 흘러내린다 하여 남천교(南川橋)라고도 불린다. 
 개천 양쪽의 자연 암반을 바닥돌로 삼고 그 위에 잘 다듬어진 화강암 석재를 층층이 쌓아 무지개 모양의 홍예(虹霓)를 이루고 있다. 그 위로는 둥글둥글한 자연석을 쌓아 올리고 맨 위에 얇게 흙을 깔아 다리 위로 사람이 다닐 수 있는 길을 만들어 놓았다. 노면은 곡선을 그리며 양 끝을 길게 늘이고 있어 다리의 분위기를 한결 아늑하게 해준다. 
조선 정조 4년(1780)에 처음 쌓은 것을 고종 29년(1892)에 다시 쌓아 놓은 것으로, 지금도 마을 사람들이 통행할 만큼 튼튼하여 홍수 등에도 전혀 피해가 없다고 한다.
(출처: 문화재청)"
경상남도 창녕군 이방면 이방로 623,,36,0,A02,A0203,A02030600,2713277,12,20210407232732,http://tong.visitkorea.or.kr/cms/resource/84/2534884_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/84/2534884_image3_1.jpg,128.3836226903,35.5777908098,,20221128165628,1,15,,산토끼 노래동산,50301.0,"창녕군 이방면 이방초등학교 뒷산에 자리한 산토끼노래동산은 동요 산토끼를 모티브로 한 체험 시설이다. 동요 산토끼는 1928년 고 이일래 선생이 창녕 이방초등학교에 재직하면서 작사, 작곡한 곡으로 지금까지도 모든 사람이 아는 국민동요다. 산토끼노래동산은 이름처럼 토끼를 주로 하는 공간을 선사한다. 토끼마을, 토끼동굴, 토끼먹이체험장 등 토끼와 관련된 다양한 체험을 할 수 있다. 주차장과 안내소가 있는 입구에서부터 다양한 체험을 즐기며 들어서면 산토끼동요관이 나온다. 산토끼의 서식환경을 살펴볼 수 있는 전시장과 이일래선생 기념관, 동요감상실, 생태환경전시관을 갖췄다. 언덕 가장 위쪽에는 근래에 완공한 작은 동물원을 운영한다.지정된 먹이를 주면서 동물과 교감할 수 있고 유리창 안 동물들의 생활을 엿볼 수 있다. 곳곳에 설치된 귀여운 조형물과 바닥에 그려진 트릭아트도 소소한 볼거리와 재미를 선사한다. 미로정원과 어린이놀이터 등 아이들이 마음껏 뛰어놀 수 있는 놀이시설과 편한 휴식을 취할 수 있는 편의시설도 마련했다. 밝고 명랑한 동요 소리가 동산 가득 울려 퍼져 남녀노소 누구나 동심으로 돌아간 듯 즐거운 시간을 만들기 좋다."
경상남도 창녕군 창녕읍 술정리,,36,0,A02,A0205,A02050200,2031654,12,20151001221712,http://tong.visitkorea.or.kr/cms/resource/60/2007460_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/60/2007460_image3_1.jpg,128.4961916176,35.5396304965,6.0,20220930135349,2293,15,,창녕 술정리 동 삼층석탑,50324.0,"탑이 세워져 있는 창녕군 지역은 삼국시대부터 신라의 영역에 속해 있던 곳이며, 진흥왕 때부터 신라의 정치·군사상의 요지가 되었다. 탑은 2단의 기단(基壇)에 3층의 탑신(塔身)을 올린 형태로, 통일신라 석탑의 일반적인 모습이다. 기단에는 위·아래층 모두 각면의 모서리와 가운데에 기둥 모양이 새겨져 있고, 탑신 역시 몸돌의 모서리마다 기둥모양을 한 조각이 있다. 지붕돌은 수평을 이루던 처마가 네 귀퉁이에서 살짝 치켜 올라가 간결한 모습이며, 밑면에는 5단의 받침을 두었다. 1965년 탑을 해체, 복원할 당시 3층 몸돌에서 뚜껑달린 청동잔형사리용기 등의 유물들이 발견되었고, 바닥돌 주위에 돌림돌을 놓았던 구조도 밝혀졌다. 8세기 중엽인 통일신라시대에 세워진 탑으로, 위로 올라가면서 적당한 비율로 줄어드는 몸돌로 인해 충분한 안정감과 아름다움이 느껴진다. 세부적인 수법도 정교하여 경주 불국사 삼층석탑(국보)과 비길만한 기품이 있으며, 삼국시대부터 신라 영역에 속해있던 창녕의 지역적인 특성으로 볼 때, 경주 중심의 탑 건립 경향이 지방으로 확산되는 과정을 보여주고 있어 중요한 가치를 지니고 있다.   출처 문화재청"
