addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경상남도 창원시 의창구 반계동,산39-8,36,,A02,A0202,A02020700,2867933,12,20221017094529,http://tong.visitkorea.or.kr/cms/resource/09/2867909_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/09/2867909_image3_1.JPG,128.6114506354,35.2447185646,6.0,20221017094544,0,16,,팔용근린공원,51403,"창원 의창구에 있는 팔룡근린공원은 팔용터널 창원 요금소 우측 상단부 팔용산 자락에 있다. 옛 죽전마을 터에 조성된 공원 입구에는 죽전 기림비가 있다. 기림비는 죽전마을 사람들의 실향의 아픔을 달래기 위해 만들어진 비다. 공장과 산으로 둘러싸인 팔룡근린공원은 체력단련장, 잔디광장, 산책로, 피크닉장, 중앙광장 등 다양한 편의 시설이 있어 가볍게 들르기 좋다. 특히 팔룡근린공원은 창원의 명산 팔룡산을 올라갈 수 있는 등산길이 연결되어 많은 사람이 찾는다. 공원에서 가까운 팔룡산에는 봉암수원지, 돌탑공원, 자연학습장 등 여러 근린시설이 있어 산책 및 등산 코스로 함께 둘러보기 좋다.
 반려동물 동반 가능(목줄, 배변봉투 지참)"
경상남도 창원시 성산구 중앙동,501-44,36,,A02,A0202,A02020700,2867908,12,20221014172346,http://tong.visitkorea.or.kr/cms/resource/04/2867904_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/04/2867904_image3_1.JPG,128.6807450799,35.2262607873,6.0,20221014172404,0,16,,창원광장,51411,"경상남도 창원 시청 앞에 조성된 창원광장은 아름다운 광장이자 창원의 랜드마크이다. 광장 기준 동쪽은 성산구 신월동, 서쪽은 중앙동, 남쪽은 상남동, 북쪽은 용호동이다. 둘레 664m, 지름 211m, 면적 3만 5,097㎡로 동양 최대의 원형 광장으로 알려져 있다. 조성 당시에는 '3호 광장'으로 불리었고, 현재는 창원광장이 공식 명칭이지만 주민들은 아직도 '시청 앞 로터리', '도청 앞 로터리'라고 부른다. 큰 규모의 창원광장은 다양한 행사 장소로도 이용되며, 전시에는 광장 지하에 있는 방공호에서 정부청사 역할을 하게 된다. 그 옆 큰 8차선 대로도 전시에는 전투기 활주로로 사용된다고 한다. 접근성이 좋은 창원광장은 볼거리 많은 용지호수공원과 용지문화공원도 가까이 있으니 함께 방문해도 좋다.
 반려동물 동반 가능(목줄 착용 및 배변봉투 지참)"
경상남도 창원시 마산합포구 드림베이대로 361,,36,,A02,A0202,A02020700,2864214,12,20221006104640,http://tong.visitkorea.or.kr/cms/resource/85/2864185_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/85/2864185_image3_1.JPG,128.5901742863,35.1575501862,6.0,20221006104653,0,16,,가포해안변공원,51755,"경상남도 창원시 마산합포구 가포신항도로 끝자락에 있는 가포해안변공원은 탁 트인 바다 조망과 일출을 볼 수 있어 새해가 되면 많은 해돋이 관광객들이 방문하는 곳이다. 해안을 보며 걸을 수 있는 가포해안변 공원은 흙포장 산책로와 나무 데크, 해안 전망대, 정자 등이 있어 가족이나 연인과 함께 방문하기 좋다. 해안로를 따라 걷다 보면 마창대교가 한눈에 보이고, 밤에는 마창대교의 멋진 야경을 즐길 수 있는 곳이다. 가포해안변공원 곳곳에 벤치와 테이블이 있어 쉬어갈 수 있고, 간단한 음식 등을 먹을 수 있어 좋다. 나무 데크 산책로를 따라 걷다 보면 가포수변공원으로 길이 이어진다. 연인들의 데이트 코스로도 유명한 곳으로 저녁에 방문한다면 스카이워크 전망대 위에서 마창대교와 멋진 야경을 꼭 봐야 한다.
 반려동물 동반 가능(목줄, 배변봉투 지참)"
경상남도 창원시 마산합포구 월남동1가,47-4,36,,A02,A0202,A02020700,2864150,12,20221006102804,http://tong.visitkorea.or.kr/cms/resource/47/2864147_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/47/2864147_image3_1.JPG,128.564064675,35.1866103409,6.0,20221202143417,0,16,,3.15해양누리공원,51740,"마산만 해안로를 따라 걷기 좋은 3.15 해양누리공원은 경상남도 창원시 마산합포구 월남동에 있다. 반월 중앙동, 해운동, 월영동 사이 해변을 따라 서항부두, 제1부두, 중앙 부두 공간을 공원으로 조성하여 시민들에게 개방하였다. 마산만 바다를 배경으로 조성된 3.15 해양누리공원은 크게 레포츠 공간, 중심 공간, 문화 예술공간, 역사상징 공간으로 나누어져 있다. 레포츠 공간은 그라운드골프장, 테니스장, 농구장, 바닥분수 물놀이장 놀이터 등 다양한 스포츠를 즐길 수 있는 곳이고 중심 공간은 대공연장, 잔디공원, 해양 신도시와 연결된 보도교가 있다. 마산항 근대역사 박물관이 있는 문화 예술공간과 민주주의 전당이 있는 역사상징 공간도 둘러볼 만하다. 낮에는 바다 풍경을 보며 산책할 수 있고, 밤이 되면 공원 곳곳 조명 시설이 설치되어 있어 멋진 야경을 감상할 수 있는 3.15 해양누리공원은 창원을 찾는다면 꼭 한번은 와봐야 할 만큼 유명한 곳이다.
 반려동물 동반 가능(목줄, 배변봉투 지참)"
경상남도 창원시 성산구 반송로 159 현대아파트,,36,,A02,A0202,A02020700,2864066,12,20221005173012,http://tong.visitkorea.or.kr/cms/resource/61/2864061_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/61/2864061_image3_1.JPG,128.6738898028,35.2380926673,6.0,20221005173022,1,16,,반송공원,51425,"경상남도 창원시 성산구 퇴촌동에 있는 반송공원은 반림 럭키 아파트부터 반림 현대 아파트, 반송 대동 아파트에 이르는 2.3km 산책로에 탄성포장이 되어 있어 산책코스로 많이 이용하는 공원이다. 도심 내 있어 접근성이 좋고, 다목적 운동장, 족구장, 배드민턴장, 놀이터, 벤치, 산책로, 화장실, 주차장 등 주요 시설을 갖추고 있어 편리하다.. 반림 현대아파트 반송공원 방면은 지압 보드, 축구장, 놀이터 등 공원 시설이 잘 조성되어 있어 아이와 함께 이용하기 좋다. 또 반송 건강 길, 반송 일반길, 반송 편백길, 반송 수변길 등 다양한 코스가 조성돼 있다. 반송 건강 길은 왕복 2030분 코스로 아이들과 오르고 내리기도 수월하다. 중간중간 이정표 안내도 잘되어 있고, 벤치도 있어 편히 이용할 수 있다. 공원 정상에는 가볍게 운동할 수 있는 운동기구도 설치돼 있다. 아래로 내려가다 보면 사계절 다양한 모습을 보여주는 반송 편백길도 있다. 근처 용지 호수공원도 가까이 있어 함께 방문하기 좋다.
 반려동물 동반 가능(목줄 착용 및 배변도구 지참)"
경상남도 창원시 진해구 천자로 160 해양레포츠스쿨,,36,,A02,A0202,A02020700,2864059,12,20221005172116,http://tong.visitkorea.or.kr/cms/resource/54/2864054_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/54/2864054_image3_1.JPG,128.6883328216,35.1413537848,6.0,20221005172128,0,16,,소죽도공원,51657,"경상남도 창원시 진해구 덕산동에 있는 소죽도 공원은 바다가 바로 앞에 있어 가볍게 산책하거나 나들이 하기 좋은 곳이다. 전용 주차장이 없지만 근처 에너지과학관 주차장을 이용할 수 있다. 공원 입구 좌측으로 큰 탑이 있는데 이 탑은 해외참전기념탑으로 국가 보훈처에서 지정한 현충 시설이다. 여러 국가에서 일어난 전쟁에 파견됐던 해외 참전 용사들의 명예와 사기를 높여주기 위해 건립되었다. 소죽도 공원은 바닥이 평평하고, 잔디가 있어 돗자리나 텐트를 가지고 방문하는 사람들이 많다. 이곳의 가장 큰 매력은 공원 바깥으로 데크 로드가 있어 바다 가까이에서 산책할 수 있고 소죽도 정상으로 올라갈 수 있는 계단을 이용할 수도 있다. 근처 진해루 해변공원도 가까이 있어 함께 둘러보기 좋다.
 반려동물 동반 가능(목줄 착용 및 배변도구 지참)"
경상남도 창원시 마산합포구 동성동,177-1,36,,A02,A0202,A02020100,2864052,12,20221005171220,http://tong.visitkorea.or.kr/cms/resource/29/2864029_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/29/2864029_image3_1.JPG,128.5771907762,35.2063250321,6.0,20221005171231,0,16,,오동동문화광장,51728,"경상남도 창원시 마산 합포구에 있는 오동동 문화광장은 오래된 주택과 점포를 철거하고 2011년 문화 예술 공연이 가능한 야외광장으로 만들어진 곳이다. 창원시 일상 통합예약 사이트에 들어가면 공연장 예약을 할 수 있다. 대상자는 성인, 영아, 유아, 초등, 청소년 등 누구나 사용할 수 있으며 접수와 운영 기간은 상시로 받고 있다. 예약은 공연장소 사용일 기준 60일 전부터 1일 전까지 가능하며 관리자 승인 후 이용이 가능하다. 공연 내용은 정치적, 상업적 공연은 불가하다. 문화 공연뿐 아니라 광장 안에 미디어 글라스가 있어 프러포즈와 각종 이벤트를 진행할 수 있고, 밤이 되면 조명이 비치는 조형물이 있어 볼거리가 다양하다. 광장 바로 옆 오동동 문화의 거리도 있어 함께 방문해 보는 것도 좋다."
경상남도 창원시 성산구 중앙대로186번길 13,,36,,A02,A0202,A02020700,2863958,12,20221005154526,http://tong.visitkorea.or.kr/cms/resource/44/2863944_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/44/2863944_image3_1.JPG,128.68710833,35.229346668,6.0,20221005154755,0,16,,용지공원(용지문화공원),51444,"경상남도 창원시 성산구 용지동에 있는 용지문화공원은 면적 32만 5,000㎡로 창원시를 대표하는 공원이다. 시내 한가운데 자리 잡고 있어 접근성이 좋고, 잔디에서 뛰어놀 수 있어 아이와 반려동물을 데리고 산책하는 사람들이 많다. 2020년 창원조각비엔날레 출품작의 조각품들이 전시되어 있어 다양한 조형물들을 감상하며 산책할 수 있다. 흔들의자나 벤치 같은 휴식 공간이 있고 새영남포정사, 창원시민 헌장비 등 창원시를 상징하는 여러 기념유적과 〈고향의 봄〉을 작사한 이원수 노래비가 있다. 학생들의 소풍 장소나 시민들의 휴식 장소로 많이 이용되며 야외무대에서는 주말을 이용해 음악회 등 문화행사가 자주 열린다. 호수 안에 있는 분수는 지름 12m, 물높이 20m로서 13가지 형태의 물보라를 뿜어 올리며 장관을 이룬다.
 반려동물 동반 가능(목줄 착용 및 배변도구 지참)"
경상남도 창원시 성산구 두대로 46 두대자율방범소,,36,,A02,A0202,A02020700,2863914,12,20221005152533,http://tong.visitkorea.or.kr/cms/resource/09/2863909_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/09/2863909_image3_1.JPG,128.6489393694,35.232020672,6.0,20221202143545,0,16,,창원시 어린이교통공원,51416,"창원시 어린이교통공원은 창원시 의창구 대원동에 있다. 교통법규나 교통 표지판 등 올바른 교통문화에 대해 배울 수 있고, 놀이터와 뛰어놀기 좋은 잔디가 조성된 공원이다. 홈페이지 예약을 통해 이용할 수 있으며 만 3세부터 초등학생까지 체험이 가능하다. 교통 안전교육뿐 아니라 로보카 폴리 관람, 방송국 스튜디오 체험 등 다양한 프로그램이 있다. 전화 예약은 불가하지만 전화문의는 가능하다. 교육 프로그램 신청을 하지 않아도 가족 단위로 공원을 찾아 보행 안전교육, 횡단보도 체험, 신호등 원리와 교통 표지판 이해하기 등 아이들과 자유로운 시간을 보낼 수 있다. 또한 자전거 운전면허시험장도 있어 재미와 호기심을 느낄 수 있다. 다양한 식물을 볼 수 있는 창원 수목원도 가까이 있다.
 반려동물 동반 가능(목줄 착용 및 배변도구 지참)"
경상남도 창원시 성산구 외동반림로 256,,36,,A02,A0203,A02030400,2811428,12,20220318163115,,,128.6803197538,35.2396953823,6.0,20220321153848,0,16,010-3927-9688,옴샨티센트하우스,51428,"옴샨티하우스는 창원에 위치한 공방이다. 캔들, 디퓨저, 향수 등을 구매할 수 있다. 또한, 원데이클래스를 통해 직접 만들 수 있는 경험을 할 수 있으며 취미반과 자격증반도 운영하고 있다."
