addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경상남도 통영시 산유길 112,,36,,A01,A0101,A01010500,2929965,12,20221205140119,http://tong.visitkorea.or.kr/cms/resource/30/2929930_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/30/2929930_image3_1.jpg,128.4042001203,34.7950068878,6,20221205140144,0,17,,산유골수목공원,53086.0,"통영시 산양읍 박경리 기념관 맞은편으로 걸어서 15분 정도 거리에 있는 조용한 수목원이다. 입구는 작은 시골길처럼 고요하다. 차량은 출입이 금지되고 있기 때문에 박경리 기념관에 주차 후 걸어서 이동하면 된다. 공원 자체도 작은 편이라 한 바퀴를 도는데 15분에서 20분 정도면 충분하다. 배롱나무 길과 생태 연못, 잔디 광장, 숲속 쉼터, 전망대로 이루어져 있는데, 약간의 오르막길을 제외하면 모두 평탄하여 유모차를 끌고 산책하기에도 좋은 곳이다. 산책길을 따라 잘 정돈된 나무와 수목, 꽃들이 있어 마치 유럽의 어느 정원을 걷는 느낌마저 든다. 가을이 되면 밤나무에 잘 익은 밤나무도 만나볼 수 있다. 다만 공원 내 식물 및 열매 채취는 금지되어 있다. 이 밖에도 킥보드와 반려동물 출입도 금지다.
 반려동물 동반 불가"
경상남도 통영시 욕지면 서산리,633-7,36,,A01,A0101,A01011200,2929834,12,20221205133706,http://tong.visitkorea.or.kr/cms/resource/12/2929812_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/12/2929812_image3_1.jpg,128.2351160242,34.642554251,6,20221205133723,0,17,,도동해변,53100.0,"통영시 욕지면 서산리 도동마을에 있는 도동 해변은 규모는 작지만 까만 몽돌이 깔려 있어 독특한 매력이 있는 해변이다. 넓은 몽돌밭과 해안 절벽을 비롯해 소나무 숲이 어우러져 수영과 휴식을 동시에 즐길 수 있다. 물 속이 훤히 보일 정도로 맑고 깨끗한 수질과 바다 위에 떠 있는 형형색색의 기암괴석이 절경을 이룬다. 이 때문에 스노클링 하기 좋은 곳으로 이름을 알리게 되어 매년 여름이면 관광객들이 즐겨 찾는다. 그늘막과 튜브, 갓 잡은 해산물을 판매하며, 물이 깨끗해 바다에서 직접 소라 등을 채집할 수도 있다. 주차장은 넓은 편이며, 바닷가 바로 근처에는 따로 샤워장과 화장실이 없어 걸어서 5분 거리에 있는 마을 공용 화장실을 이용해야 한다.
 반려동물 동반 불가"
경상남도 통영시 산양일주로 1361-96 한려해상국립공원 생태탐방연수원,,36,,A01,A0101,A01010100,2809926,12,20220308171054,,,128.3895323516,34.779777773,6,20220315141148,0,17,,한려해상 국립공원 생태탐방원,53087.0,"한려해상 국립공원 생태탐방원은 국립공원공단에서 생태관광프로그램 운영을 위해 설치한 시설이며, 설립목적은 생태관광 수요 증가에 대비한 기반시설 확충 및 지역사회 생태교육 기능 강화 필요성 대두 및 자연체험형 탐방서비스 제공을 통한 국민의 생태복지 증진이다. 탐방원 건물 디자인은 일몰과 리아스식 해안이 조화를 이루는 자연친화적인 형태로 100명이 동시에 이용할 수 있는 다목적 강당, 강의실, 체험실습실, 생활관 등을 조성하여, 특히 생활관의 외형은 동양의 나폴리답게 유럽풍의 색감으로 단장했다. 운영 계획으로는 부산, 대구, 대전, 광주, 서울, 경기 수도권 시민을 타겟으로 통영시의 대표적 관광자원(케이블카, 루지, 어드벤처타워, 출렁다리 등)과 국립공원의 자연생태자원(천혜의 비경 일몰, 바다백리길, 만지도 명품마을, 한산도 제승당 등)을 접목한 힐링형 관광상품과 통영지역의 청소년을 위해 전국 국립공원에서 진행되고 있는 자유학년제 진로체험, 인성교육, 해양청소년자원보호단 등의 환경교육 프로그램을 제공할 예정이다."
경상남도 통영시 봉수로 107-82 통영용화사,,36,,A02,A0203,A02030600,2809797,12,20220308140458,,,128.4157012705,34.8188905343,6,20220308140515,0,17,,봉수골,53078.0,"미륵산 용화사로 가는 거리인 통영 봉수골은 '봉수가 있는 마을'이라는 뜻으로, 미륵산에 있는 봉수를 뜻하는 이름이다.
약 1km가 안되는 마을 길이지만 통영의 대표적인 벚꽃 명소로 봄의 정취를 느낄 수 있는 장소이다.
도시재생사업으로 봉수골 주변 건물들의 간판이 복고풍으로 바뀌어 구경하는 재미도 있다."
경상남도 통영시 동충1길 9,(항남동),36,0.0,A02,A0203,A02030600,2793140,12,20211213225924,http://tong.visitkorea.or.kr/cms/resource/90/2796790_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/90/2796790_image2_1.jpg,128.4223362459,34.8401327219,6,20211215005516,3,17,,통영시티투어,53054.0,"통영을 찾은 여행객이라면 반드시 들러야 할 통영의 필수 여행지를 설명과 함께 돌아보는 시티투어 프로그램이다. 우리들의 진정한 영웅 이순신을 만나는 한산도 제승당, 통영의 유일한 국보이며 삼도수군 통제영의 중심 건물 세병관, 한국 현대문학의 어머니 박경리(박경리 기념관), 세계적인 음악가이자 민족의 혼을 음악으로 승화시킨 윤이상, 한국의 피카소로 불리는 전혁림 화백의 미술관까지, 통영의 역사와 문화를 상세한 해설과 함께 살펴볼 수 있다."
경상남도 통영시 산양읍 궁항길 46-8,,36,0.0,A02,A0203,A02030100,2789684,12,20211209002858,http://tong.visitkorea.or.kr/cms/resource/24/2795624_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/24/2795624_image2_1.jpg,128.3817849882,34.810938041,6,20221130094903,0,17,,궁항어촌체험마을,53083.0,"통영시내 남쪽 미륵도 방면 삼덕리에 위치한 작은 어촌마을이다. 마을은 종합안내센터, 체력단련장, 샤워장, 숙박시설, 어업체험 등의 시설을 갖추고 다양한 체험 프로그램을 제공하고 있다. 어촌체험은 날씨가 나쁘지 않은 한 매일 갯벌에 물이 빠지는 시기에 맞춰 선착순으로 들어가 체험할 수 있다. 바지락, 해삼, 고둥, 돌게 등을 직접 잡을 수 있으며 동시에 스노클링을 즐길 수 있다. 숙박시설이 있어 7인실부터 최대 20인까지 인원에 따라 가족여행이 가능하다. 숙소 바로 앞 해수욕장을 이용할 수 있어 여름철 피서지로도 좋다."
경상남도 통영시 한산면 추봉리,,36,0.0,A01,A0101,A01011200,2789633,12,20211209000414,http://tong.visitkorea.or.kr/cms/resource/69/2795669_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/69/2795669_image2_1.jpg,128.5500245312,34.7574359126,6,20220623165142,0,17,,추봉도몽돌해수욕장 (봉암해수욕장),,"한려해상 국립공원 내 추봉도 봉암마을 앞 몽돌해변으로 봉암해수욕장이라고도 부른다. 인적이 드문 섬마을인 데다 파도도 높지 않아 귀를 기울이면 물결에 몽돌 구르는 소리가 들린다. 해변을 따라 산책로가 조성되어있고 마을 주변으로는 해송 고목과 멍게양식장, 횟집과 펜션, 작은 매점이 있다. 배를 타고 한산도에 입도한 후 한산도와 연결된 추봉교를 통해 추봉도로 들어갈 수 있다. 몽돌은 국립공원의 자원으로 반출 시 과태료가 부과되며 몽돌해수욕장에서의 취사, 야영, 흡연은 금지다."
경상남도 통영시 욕지면 서산리,,36,0.0,A01,A0101,A01011200,2789631,12,20211209000237,http://tong.visitkorea.or.kr/cms/resource/63/2795663_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/63/2795663_image2_1.jpg,128.1858250998,34.5644870946,6,20220627164734,0,17,,덕동몽돌해수욕장,,"통영 욕지도에 위치한 해수욕장으로 백사장이 아닌 몽돌이 깔려있다. 욕지도 자체가 바위로 뒤덮여 있어 인근 유동, 흰작살 등의 해수욕장도 마찬가지로 둥근 몽돌 자갈을 볼 수 있다. 덕동 해수욕장은 욕지도의 해수욕장 중 가장 아담하고 인적이 드물며 아름다운 해수욕장으로 꼽힌다. 해수욕장 길이는 300m가량이며 마을 앞바다에 작은 섬이 있어 파도를 막아주는 덕분에 수면이 잔잔해 어린이들이 물놀이를 즐기기에도 알맞다. 주변 갯바위는 바다 낚시터로 알려져 있어 낚시꾼들에게 인기가 많다."
경남 통영시 용남면 원평리 293-43,,36,0.0,A01,A0101,A01011400,2789335,12,20211208213935,http://tong.visitkorea.or.kr/cms/resource/30/2800730_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/30/2800730_image2_1.JPG,128.4629394703,34.8998073293,6,20221208130636,0,17,,적촌선착장,53023.0,"통영 주민들에게도 잘 알려지지 않은 적촌 선착장은 아주 작은 선착장이다. 무료로 주차장도 이용할 수 있으며 배에 차를 실을 수도 있으나 약 56대 정도까지만 가능하다. 이 배는 지도로 가는데, 지도는 바다의 마고 할멈이 육지에 오르기 전 펼친 것이 섬이 되었다는 전설을 가지고 있는 섬이다. 종이 섬으로도 불리는 지도에는 해안 산책로, 숲길, 해안도로 등이 마련되어 있다. 숲길에는 고사리가 가득하고, 사람이 적어 한가하게 숲을 즐길 수 있다."
경남 통영시 산양읍 미남리 1035-8,,36,0.0,A01,A0101,A01011400,2789314,12,20211208212723,http://tong.visitkorea.or.kr/cms/resource/14/2800614_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/14/2800614_image2_1.JPG,128.4216049415,34.7651910852,6,20211216201552,0,17,,척포항,53087.0,"낚싯배나 어선이 모이은 항구이다. 다른 섬으로 가는 배편이 거의 없어  조용하고 평화로운 항구로 가끔 낚시꾼들만 찾을 뿐 다른 곳처럼 관광객을 찾기 힘들다. 이곳을 알고 있는 낚시꾼들은 자주 이곳을 찾을 만큼 낚시 명소로 알려져 있다. 산양읍사무소부터 산양일주도로, 달아전망대, 신봉삼거리까지 이어진 미륵도 달아길에 속해 있으며, 이 길은 섬과 항구, 바다를 돌아나가며 특별한 경관을 선물한다. 한국의 아름다운 길 100선에도 선정되었을 정도로 미륵도 달아길은 아름다운 해안도로로 꼽힌다."
