addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경상남도 하동군 화개로 1425,,36,,A02,A0203,A02030100,2911436,12,20221117142115,,,127.646825771,35.2889852665,6.0,20221117142135,0,18,,하동 탄소없는 마을,52300," 탄소없는 마을은 자연환경이 우수하고 생태적으로 보전가치가 높은 지리산에 위치하여 하동군의 관광명소인 칠불사를 비롯해 서산대사길 등 곳곳에 역사와 문화자원을 간직하고 있음

  또한, 탄소없는 마을은 천혜의 자연을 잘 지키면서 방문객이 힐링과 치유를 할 수 있는 다양한 생태관광 프로그램 개발이 가능하며, 2018년도에 이어 2021년도 신규 마을 추가지정에 따라 경상남도 대표 생태관광지로 재지정되었음

  현재 운영하는 프로그램 : 탄소없는 마을 자유 관람 프로그램(11개 마을), 생태체험 프로그램(의신마을설산습지) 

  탄소없는 마을은 신재생에너지 등 친환경 에너지 자급률 100를 통한 에너지 자립마을로 조성하여, 탄소·쓰레기·화석연로·자동차가 없는 4무(無) 마을. 하동군은 탄소없는 11개 마을을 지정하여 마을주민 스스로가 환경 파수꾼이 되어 마을을 지키고 보존해 신재생 에너지 자립마을로 육성하고 있음. 화개면 목통·의신마을에 소수력, 태양광, 소형풍력 등 융·복합 신재생에너지 발전 설비를 구축하여 연 1억 2천만의 주민소득을 창출하고 있음.

  또한, 2018년도에 경남도 지정 생태관광지 탄소 없는 마을로 선정된 마을 주민들의 다양한 의견을 대변하고 주도적으로 사업에 참여하는 탄소없는 마을 운영협의회를 구성하고, 자연 그대로의 주변 환경을 최대한 보존하면서 생태관광을 즐길 수 있도록 협의회 정관 및 지속가능한 탄소없는 마을 만들기 7개의 실천약속을 만들었음. 마을 주민은 환경의 가치가 최고의 자산임을 명심하고 지역 문화를 잘 보전하고 지속가능한 저탄소마을로 성장하기 위해 물과 전기절약, 쓰레기 절감 등 친환경 생활을 실천하고 있음

  현재 탄소없는 마을 생태관광 활성화사업을 추진하여 마을별 프로그램(탄소없는 마을 자유관람, 설산습지 생태체험 프로그램)을 운영하거나 컨텐츠를 개발하고 있음."
경상남도 하동군 북천면 직전1길 7,,36,0.0,A02,A0203,A02030100,2798697,12,20211215220319,http://tong.visitkorea.or.kr/cms/resource/88/2799388_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/88/2799388_image2_1.jpg,127.8763352892,35.1086151616,6.0,20221202112727,0,18,,직전산촌생태마을,52318,"경남 하동 북천면에 위치한 직전마을은 봄 가을 꽃축제로 유명한 산촌마을이다. 70여 가구 140여명이 거주하는 소규모 마을이지만 마을 주민들의 노력으로 매년 양귀비축제, 코스모스메밀꽃 축제를 열어 전국에서 수많은 관광객이 방문하는 등 전국적인 관광명소로 거듭나고 있다.  하동북천 코스모스 메밀꽃 축제는 경남의 대표적인 가을 축제로, 1만 2천 평의 들판을 수놓은 코스모스와 메밀꽃의 향연을 만나볼 수 있다."
경상남도 하동군 적량면 공드림재길 155,,36,0.0,A02,A0204,A02040800,2795855,12,20211214215338,http://tong.visitkorea.or.kr/cms/resource/47/2796847_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/47/2796847_image2_1.JPG,127.7792162975,35.0985284803,6.0,20211215010544,0,18,,양탕국커피문화관광농원,52320,"양탕국은 대한제국이 태동할 즈음에 인천항을 통해서 이 땅에 들어온 서양 탕국이라는 의미로 일부 민간의 백성들 사이에서 친근하게 부르던 조선 시대 커피 명칭이다. 따라서 중국이나 일본의 ""가배, 고히""와 같은 차음 형식이 아니라 우리만의 독창적인 명칭으로서 우리 민족의 자긍심이 담긴 무형의 문화유산임을 널리 알리고자 하는 곳이다. 숙식을 받으며 커피 전반에 관한 정보를 얻고 배울 수 있다. 양탕국 커피문화 관광농원의 체험시설로는 양탕국 한옥 카페체험장(카페관), 한옥 음악당(대청마루 한옥 체험장), 재래식 한옥 체험장(구들방 체험장), 로스팅 체험장, 양탕국커피문화교육원 등이 있다."
경상남도 하동군 청암면 하존길 51,,36,0.0,A02,A0203,A02030600,2793110,12,20211213225248,http://tong.visitkorea.or.kr/cms/resource/64/2796864_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/64/2796864_image2_1.jpg,127.7887174325,35.1297001411,6.0,20221123130633,0,18,,하존티마을,52310,존티마을은 하존티마을과 상존티마을로 나뉜다. 하존티마을은 도로가에서 마을 전체를 조망할 수 있을 정도로 산 아래에 위치하고 있다. 마을로 접어드는 길목에는 대숲이 크게 자리하고 있어 아름다움을 더한다. 하존티마을에서 금포정은 용심정을 지나 상존티마을로 넘어가는 고개이다.
경상남도 하동군 청암면 청학로 625,,36,0.0,A02,A0203,A02030600,2793102,12,20211213225136,http://tong.visitkorea.or.kr/cms/resource/83/2796883_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/2796883_image2_1.jpg,127.8031183288,35.1534060589,6.0,20211215011625,0,18,,화월마을,52310,평촌마을을 지나 삼화실로 향하는 길목에서 만날 수 있는 마을이 화월마을이다. 화월마을은 함박골(咸花)과 버드리(반월伴月)의 두 마을을 합하여 행정상으로 부르는 이름이다. 반월마을은 마을 일대에 버드나무가 많아 버드리라 불리다 반월이라고 부르게 되었다. 마을 앞 청암천 냇가에 자생의 버드나무가 울창했다고 하였으나 논에 피해가 있다고 하여 오래전에 베었다고 한다. 마을 이름을 반월이라 한 것은 마을 뒷산이 반달처럼 생겼다고 하는데서 연유한 것이라고 한다. 평촌마을의 넓은 들을 걷다 보면 관점교를 건너기 전에 징검다리가 있다. 여러 모양의 돌들을 모아 만든 돌다리가 편안한 시멘트 다리보다 더 운치가 있다.
경상남도 하동군 적량면 이정길 30-7,,36,0.0,A02,A0203,A02030100,2793012,12,20211213222026,http://tong.visitkorea.or.kr/cms/resource/59/2796659_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/59/2796659_image2_1.jpg,127.7721442331,35.1164041236,6.0,20221125102448,0,18,,이정마을,52320,"동촌에서 이정마을로 이어지는 마을길 따라 마을의 주요 소득원 중의 하나인 취나물을 재배하는 비닐하우스들이 즐비하게 들어서 있다. 예전에 이 마을 뒤, 배나무골에 배나무가 많아, 언제부터인가 이곳은 배나무정 또는 배남정이 등으로 불리었다. 이것을 한자로 표기한 것이 이정이다. 이정 삼거리는 동네 사람들의 만남의 장소이며, 나그네가 회포를 풀고 가는 곳이다. 마을 중심에 자리 잡은 정자 옆 두 그루의 커다란 정자나무는 조금 쉬어가라고 청하는 듯 편안한 그늘을 제공한다. 정자나무들은 마을의 수호수로서 이 마을의 대소사와 궂은일, 좋은 일을 가리지 않고 100여 년 동안 마을을 지켜봐 왔다."
경상남도 하동군 청암면 청학로 679-8,,36,0.0,A02,A0203,A02030100,2793005,12,20211213221759,http://tong.visitkorea.or.kr/cms/resource/42/2796642_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/42/2796642_image2_1.jpg,127.7981464628,35.1565111776,6.0,20221124142421,0,18,,평촌마을,52310,하동호에서 흘러나오는 물줄기 따라 청암면 체육공원을 옆에 두고 쭉 내려오면 면소재지인 평촌마을이다. 하동읍으로 나가는 버스가 다니는 길목이라 교통도 편리하다. 평촌을 창촌(倉村)이라고도 했다. 큰들(大坪)을 끼고 있어 창평이라는 말이 마을 풍경과 어울린다. 또한 청암지서 뒤 몬당에 당산이 있었기에 평촌을 당산몰이라 불렀다고도 한다. 평촌마을에는 편의시설이 있어 둘레길 걷기에 필요한 준비물을 구입하거나 식사를 할 수 있다.
경상남도 하동군 적량면 동촌길 21-2,,36,0.0,A02,A0203,A02030100,2792996,12,20211213221641,http://tong.visitkorea.or.kr/cms/resource/64/2796664_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/64/2796664_image2_1.jpg,127.7702859793,35.1196203964,6.0,20211215002439,0,18,,삼화실,52320,"적량면의 동리(東里)와 서리(西里)의 7개 마을을 합하여 삼화실이라고 하는데, 동촌마을은 존티재에서 넘어와 삼화실의 첫 관문 역할을 하고 있다. 삼화실 동촌마을에 있는 구삼화초교에 지리산둘레길 안내센터를 리모델링할 계획이며, 준비가 끝나면 게스트하우스와 편익시설이 갖추어져서 이용객들의 사랑을 받을 것으로 여겨진다."
경상남도 하동군 하동읍 매화골먹점길 186,,36,0.0,A02,A0203,A02030100,2792992,12,20211213221535,http://tong.visitkorea.or.kr/cms/resource/89/2796689_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/89/2796689_image2_1.jpg,127.7150824616,35.120916507,6.0,20221125100719,0,18,,먹점마을,52322,"먹점마을은 읍사무소에서 서북쪽으로 약 10Km의 거리의 구자산 중턱에 자리한 산골마을이다. 봄이면 하얀 매화꽃들로 별천지 세상이 된다. 먹점마을의 매화나무들은 광양처럼 대규모 농장의 위엄을 자랑하거나 관광객을 위해 잘 다듬어지지 않았기에 오히려 시골마을 사람들의 질박한 삶의 향취가 베어난다. 먹점마을 골짜기가 내려다 보이는 이 지점에서 둘레길은 마을을 들르지 않고, 바로 먹점재와 미동고개로 이어진다. 먹점재에 오르면 시원한 바람이 불어온다. 강바람이다. 저 멀리 섬진강이 보인다. 임도를 따라 걷는 길이다. 등산로 표지판이 눈에 들어온다. 가파른 산길을 좋아한다면 구제봉 먹점 등산로를 따라 걸어도 된다. 지리산 둘레길의 맛은 인근의 등산로나 걷는 길을 찾아 걷기 계획을 세우면 자신만의 지리산 둘레길을 만들 수도 있다는 점이다."
경상남도 하동군 악양면 개치미동길 91,,36,0.0,A02,A0203,A02030100,2792984,12,20211213221306,http://tong.visitkorea.or.kr/cms/resource/80/2796680_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/80/2796680_image2_1.jpg,127.703388798,35.1304457859,6.0,20211215002909,0,18,,미동마을,52308,"미동마을에선 임도를 따라 걷다가 솔방울이 뒹구는 솔숲으로 난 숲 속 길로 들어선다. 고라니 발자국이며 족제비 발자국이 선명한 숲길이다. 사시사철 푸르른 소나무의 솔향이 그동안의 피곤을 녹여준다. 봄이면 지천에 이름 모를 들꽃들이 탐방객을 맞이 할 것이다. 날래고 조심성 많은 야생동물을 야외에서 맞닥뜨릴 기회란 흔치 않다. 그래서 야외에 나온 우리들은 그 흔한 다람쥐만 만나더라도 환성을 지르며 야단법석을 떨어 댄다. 그런 우리에게 이러한 야생동물 흔적들은, 낮 동안 인간들이 독점했던 지리산 자락에 어둠이 찾아오면, 야생동물들은 산이나 강가 은둔지에서 나와 강에서 목을 축인다. 고라니, 삵, 너구리, 수달, 멧돼지 같은 야생동물들의 활동이 시작된다는 것을 실감하게 되면, 지리산 주변이 우리의 독점물이 아니라 많은 생명들이 함께 살아가는 생명의 땅임을 깨닫게 한다."
