addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경상남도 함안군 군북면 하림리,,36,,A01,A0101,A01010400,2891725,12,20221031173944,,,128.2932226898,35.2536395921,6.0,20221103092912,0,19,,방어산,52068,"방어산은 함안군 군북면과 진주시 지수면을 경계 짓는 산으로 웅산이라고 불려지기도 했다.
방어산은 괘방산(451m)과 능선으로 연결되어 있어 두 산을 함께 오르는 등산로가 있다. 웅산이라고도 불렀으며, 정상에 서면 지리산이 아득히 보이고, 동남쪽에는 여항산이 보인다. 정상에는 옛날 성의 자취가 남아 있다. 전설에 따르면 양쪽 겨드랑이에 날개가 달려 날아다니며, 300근짜리 활을 쏘는 묵신우(墨神祐)라는 장군이 병자호란 때 성을 쌓고 성문을 닫은 채 한 달을 버티다가 비로소 적을 물리쳤다고 한다. 그때 장군이 타던 말의 발굽 핏자국이 아직도 바위에 선연하다. 산의 7부 능선에는 보물로 지정된 높이 5m의 거대한 방어산 마애불이 있으며, 산은 높지 않으나, 군데군데 암반이 많고 능선이 제법 굴곡되어 있어 산행의 즐거움을 느낄 수 있다.

산행은 방어산만 오르는 코스와 괘방산과 함께 오르는 코스가 있다. 방어산만 오르려면 하림리 낙동마을 뒤쪽에서 시작하여 마애사, 방어산 마애불을 거쳐 정상에 오른 후 군북면 박곡리 구 남강휴게소로 하산하면 2시간 정도 소요된다. 다른 코스는 하림마을에서 마당바위를 거쳐 정상으로 가는 등산로가 있는데, 정상에서 괘방산까지 산행하려면 방어산고개와 전망대, 괘방산을 거쳐 어석재로 하산하면 5시간 30분 정도 소요된다. 정상은 큰 바위로 되어 있어 장군대라고 부르기도 하며, 이곳에서 50m 아래와 200m 아래 지점에는 마당바위와 흔들바위가 각각 있다. 흔들바위는 높이 8m, 폭6.5m의 끄덕바위라고도 부르며, 기울어진 쪽으로 부자가 난다는 전설이 있다.
(출처 : 함안문화관광)"
경상남도 함안군 산인면 입곡리,1126-1,36,,A02,A0202,A02020700,2865500,12,20221011172356,http://tong.visitkorea.or.kr/cms/resource/81/2865481_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/81/2865481_image3_1.JPG,128.4457758312,35.2598194219,6.0,20221011172407,0,19,,입곡문화공원,52072,"함안군 산인면 입곡리에 있는 입곡 문화공원은 입곡군립공원 공설운동장 안 골짜기에 있다. 연못, 산책로, 무늬화단, 유리온실, 미로원, 박제 전시관 등 볼거리가 많다. 유리온실에는 먼나무, 녹나무, 굴거리나무, 하귤나무 등의 교목류를 비롯해 관음죽, 멀꿀, 중대 가리나무, 탐라산수국 등의 관목류와 아름다운 꽃들이 심겨 있다. 야생화 꽃밭에는 원추리, 상사화, 기린초, 쑥부쟁이, 꽃창포, 수선화 등이 식재되어 있어 사계절 내내 다양한 야생화를 볼 수 있다. 입곡 문화공원 입구에는 44종의 멸종 위기에 처한 동물의 모습을 전시해 놓은 박제 전시관도 있고, 미로공원도 있어 가족, 친구, 연인과 함께 즐거운 시간을 보낼 수 있다. 근처에 문화재로 지정된 무진정도 가까이 있어 함께 둘러보기 좋다.
 반려동물 동반 가능(목줄 착용 및 배변도구 지참)"
경상남도 함안군 가야읍 왕궁1길 38-20,,36,0.0,A01,A0101,A01010700,2754745,12,20211008000013,http://tong.visitkorea.or.kr/cms/resource/15/2755215_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/15/2755215_image2_1.JPG,128.3949658344,35.2805661724,6.0,20221109163639,1,19,,함안연꽃테마파크,52035,"함안 연꽃 테마파크는 옛 가야 지구의 천연 늪지를 활용해 만든 자연 친화적인 테마공원이다. 공원의 탄생 배경에는 700여 년 세월을 거슬러 올라가는 이야기가 있다. 2009년 5월 함안 성산산성(사적 제67호)에서 연꽃 씨앗이 출토되었는데, 연꽃 씨앗은 연대 추정 상 700여 년 전 고려 시대 것으로 밝혀졌다. 이듬해 2010년에 함안박물관에서 파종한 씨앗이 꽃을 피우는 기염을 토하며 또 한 번 세상을 놀라게 했다. 함안군은 이 연꽃의 이름을 아라가야라는 함안 역사에서 따와 아라홍련이라 지었다. 그리고 아라홍련의 부활을 기념해 연꽃을 주제로 한 공원을 조성한 것이 바로 함안 연꽃 테마파크다. 연꽃 주제 공원답게 홍련, 백련, 수련, 가시 연까지 다양한 연꽃을 감상할 수 있다. 특히 함안에서만 볼 수 있는 아라홍련도 있다. 연꽃의 개화 시기는 7월부터 8월까지이며, 연꽃 사이로 징검다리가 있어 가까이에서 꽃을 감상할 수 있다. 또한 곳곳에 포토존과 정자 쉼터가 마련되어 있어 여유 있게 즐길 수 있다."
경상남도 함안군 가야읍 함안대로 619-1,,36,0.0,A02,A0202,A02020700,2754741,12,20211007235747,http://tong.visitkorea.or.kr/cms/resource/77/2755077_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/77/2755077_image2_1.jpg,128.4012763189,35.2833215314,6.0,20220411174608,2,19,,함주공원,52036,"함주공원은 함안 군민들의 건강증진과 정서적 함양을 위한 공간으로 계절 따라 변하는 풍경을 오감으로 느낄 수 있는 문화 체육공원이다. 기존의 함안공설운동장 인근 부지에 추가로 다목적 잔디 구장을 만들어 지역 스포츠인들의 요람이 되고 있다. 여름에는 물놀이장으로 활용되는 어린이 놀이터와 어린이를 위한 작은 도서관도 있다. 다목적구장에는 넓은 평상이 구비되어 있어 가족 나들이하기에 안성맞춤이다. 특히 야간에 알록달록 화려한 빛을 내는 하트 터널은 인기 만점이다. 곳곳에 정성 들여 가꾼 소나무의 모습도 볼 수 있다. 공원 안쪽으로 걸어 들어가면 작은 돌다리가 있는데, 돌다리 밑으로 연못과 작은 정자가 있어 소나무와 자연스럽게 조화를 이룬다. 정자를 지나면 다양한 조각 작품이 전시되어 있어 조각 작품들을 감상하며 잠시 쉬어갈 수도 있다."
경상남도 함안군 여항면 주서1길 50-1,,36,0.0,A01,A0101,A01011800,2754715,12,20211007233140,http://tong.visitkorea.or.kr/cms/resource/75/2755175_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/75/2755175_image2_1.JPG,128.4260345512,35.2062250886,6.0,20211008223001,0,19,,봉성저수지,52073,"봉성저수지는 경남 함안군의 자연 명물인 여항산 아래에 있다. 이곳은 함안 여항산 둘레길의 주요 지점이며, 저수지 주변에 산책로를 조성하여 방문객과 주민들에게 다양한 즐길 거리를 제공하고 있다. 봉성저수지 둘레길은 총 2.9km의 거리로 약 1시간 정도 소요된다. 저수지를 따라 걷다 보면 저수지의 시원한 풍경을 볼 수 있고 숲길이 있어 산림욕 하기에도 좋다. 둘레길을 걷다 보면 포토존이 나오는데 여항산 자락과 여항면의 집들이 모여있는 정겨운 풍경을 담을 수 있다. 여항면에서는 마을 조성 사업을 계속 펼치며 야간관광객 안전 및 볼거리 제공을 위해 봉성저수지 데크길에 경관용 태양광 조명 등을 설치했고, 수국 꽃길에 솟대 60기와 소원 기원 목간 300개 등을 설치하는 등 '금계천 솟대 거리'를 조성하기도 했다. 조명이 설치된 저수지의 야경이 특히 아름답다."
경상남도 함안군 법수면 강주4길 37,,36,0.0,A02,A0203,A02030100,2745423,12,20210915192809,,,128.3331507132,35.3213521361,6.0,20220923092913,0,19,,강주 해바라기 마을,52059,"함안군 법수면에 소재하고 있는 강주 마을은 주민들이 힘을 합쳐 자체적으로 해바라기 꽃밭을 조성했다. 전체 해바라기 식재면적은 법수면 강주리 주변 48,000㎡에 이른다. 또한 전통과 문화를 부흥시켜보자는 취지로 축제 한마당도 함께 펼쳐진다."
경상남도 함안군 법수면 악양길 43,,36,0.0,B01,B0102,B01020100,2713259,12,20210407222825,http://tong.visitkorea.or.kr/cms/resource/27/2608027_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/27/2608027_image3_1.jpg,128.3870874192,35.33002991,6.0,20220421170808,0,19,,함안경비행장 (성우항공산업),52057,함안에서 경비행기로 하늘 드라이브를 즐기는 것은 특별한 경험이 된다. 개양귀비가 알록달록하게 수놓은 악양둑길 비행장에 모인 경비행기를 보는 것만으로도 가슴은 두근거린다. 부르릉 소리를 내며 프로펠러가 돌고 땅 위를 미끄러지던 경비행기가 하늘로 날아오른다. 비행하는 10여 분간 하늘에서 함안의 아름다운 풍경을 두 눈에 담을 수 있다.
경상남도 함안군 칠서면 삼칠로 1235-50,,36,0.0,A01,A0101,A01010500,2712922,12,20210401222018,,,128.5092306571,35.3898253912,6.0,20220426173139,0,19,,강나루생태공원,52004,"낙동강을 끼고 광활하게 펼쳐진 함안 강나루생태공원은 봄이 되면 넓은 들판에 청보리가 펼쳐진다. 생태공원의 청보리는 함안 6경에 속해 있을 정도로 장관이다. 또한 강나루생태공원 내에는 오토캠핑장이 조성되어 있는데 풍요로운 여가생활을 위해 함안군 공공 야영장이다. 캠핑장 외에도 산책로, 자전거도로, 축구장, 농구장, 인라인 스케이트장 등 체육시설이 마련되어 있다. 작약집단지가 있고 곳곳에 포토존이 마련되어 있어서 사랑하는 사람들과 즐거운 시간을 보낼 수 있다.

(출처: 함안군청)"
경상남도 함안군 대산면 하기2길 208-49,,36,0.0,A01,A0101,A01010500,2663204,12,20200711000614,,,128.3979695152,35.340567809,,20220826113331,0,19,,악양생태공원,52012,"남강의 수려한 자연경관과 더불어 전국 최장 길이의 둑방과 주변 수변 및 습지와 연계하여 자연친화적인 문화공간으로 조성하였으며, 어린이 놀이시설, 야외공연장, 방문자센터 등의 시설이 마련되어 있다. 또한 다양한 야생화 및 핑크뮬리 식재로 볼거리를 제공하여 자연속에서 힐링을 원하는 탐방객을 맞이하고 있다."
경상남도 함안군 산인면 입곡공원길 225,,36,0.0,A01,A0101,A01010500,2652451,12,20200414015025,,,128.4479060644,35.2648800029,6.0,20220713161530,1,19,,입곡 저수지 드라이브길,52072,"함안군 산인면에는 뱀이 기어가듯, 구불구불 흐르는 입곡저수지가 있다. 저수지를 중심으로 왼편에는 깍아지른 절벽에 우거진 송림이, 오른편으로는 완만한 경사지에 활엽수림과 침엽수림이 멋진 조화를 이룬다. 크고 작은 산봉우리들이 저수지를 중심으로 협곡을 이루고 있는 이곳에는 수려한 자연풍광과 함께 전설을 간직하고 있는 형형색색의 바위와 기암절벽이 그대로 보존돼 있다. 입곡저수지 주변을 도는 드라이브 코스는 신비로움과 자연 속 색다른 휴식과 여유를 제공한다.   위치 : 함안군 산인면 입곡리 11811"
