addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경상남도 함양군 안의면 율림길 19,,36,0,A02,A0203,A02030100,2793093,12,20211213224925,http://tong.visitkorea.or.kr/cms/resource/96/2796996_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/2796996_image2_1.jpg,127.806325381,35.6135625123,6,20211215014845,0,20,,다송헌체험농장,50013,"함양군 안의면에 다송헌 체험농장이 있다. 다송헌을 일군 이는 우리가 정말 알아야 할 우리 놀이 100가지의 저자인 이철수 씨이다. 중학교 교사 출신으로 27년 동안 안의중학교에서 농업을 가르쳤다. 그리고 퇴직한 뒤 같은 교사 출신인 부인과 함께 아이들을 가르치던 경험을 바탕으로 교육농장을 일궜다. 다송헌에는 몇 가지 특별함이 있는데, 첫째는 16,528m²(5,000평) 규모의 소나무 숲이 있다는 점이다. 넓은 소나무 숲에서 전래놀이체험, 숲 관찰, 현장학습 등의 다양한 체험활동을 하며 맘껏 뛰어놀 수 있다. 둘째는 1 급수 강을 끼고 있다는 점이다. 깨끗하고 넓은 강에서 여름에는 물놀이와 뗏목 타기, 겨울에는 썰매 타기를 할 수 있다. 세 번째는 다양한 놀잇감 만들기 프로그램이다. 우리 농작물과 나무들을 이용한 놀잇감 만들기 프로그램을 사시사철 제공한다. 다송헌은 새로운 것을 추구하고 따뜻한 가슴으로 준비하는 체험교육농장이다. 숙박시설도 갖추고 있어 단체여행자들에게 추천할 만하다."
경상남도 함양군 마천면 금계안길 3,,36,0,A02,A0203,A02030100,2792712,12,20211213195708,http://tong.visitkorea.or.kr/cms/resource/31/2795731_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/31/2795731_image2_1.jpg,127.6852804692,35.4047645387,6,20221130101124,0,20,,의탄마을,50056,"지리산 둘레길 4코스 6개의 산중 마을 중 두 번째 마을이다. 금계마을에서 지금은 폐교된 의탄분교와 의탄교를 지난 곳에 있다. 지리산 동북산자락 산악활동의 전진기지 역할을 하는 곳으로 의탄마을, 의중마을, 의평마을 중 중심이 되는 마을이다. 가락국 구형왕이 추성에 있을 때 이곳에서 참나무 숯을 굽지 않았나 하는 추측설이 있어 '숯 탄' 자를 썼다는 설도 있고, 여울목이라고 하여 '여울 탄' 자를 썼을 것이라는 추측도 전해진다. 형성 연대는 알 수 없으나 함양 박씨와 경주 정씨가 남원에서 들어와 살았다는 기록이 있다."
경상남도 함양군 마천면 의중길 38-2,,36,0,A02,A0203,A02030100,2792709,12,20211213195538,http://tong.visitkorea.or.kr/cms/resource/19/2795719_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/2795719_image2_1.jpg,127.6896162709,35.401989928,6,20221201151611,0,20,,의중마을,50056,"의탄마을을 지나 고갯길을 넘으면 낮은 주택들과 소박한 골목이 여기저기 뻗은 의중마을이 나타난다. 5월이면 옻나무가 푸르른 마을로 옻칠 전통을 이어오는 작업장에서 생칠 채취하는 모습을 볼 수 있다. 옻나무에 흠을 내어 진액을 받아내는 것을 생칠, 옻나무를 잘라다 구워 진액을 받아내는 것을 화칠이라고 한다. 약이 귀하던 시절 이 마을 일대에서는 땅속에는 금, 땅 위에는 옻이 있다고 할 정도로 의중마을의 화칠로 받아낸 옻나무 진액을 받아다 보약으로 마셨다고 한다. 지리산 둘레길 4코스의 세 번째 마을이다."
경상남도 함양군 휴천면 운서리 1075,,36,0,A02,A0203,A02030100,2792706,12,20211213195215,http://tong.visitkorea.or.kr/cms/resource/04/2795704_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/04/2795704_image2_1.jpg,127.7431581883,35.4242022506,6,20221129111343,0,20,,운서마을,,"휴천면에서 사람이 살 수 있는 공간이 가장 좁은 마을로, 민가가 밀집되어 있기보다 드문드문 서있다. 식용식물이 자생하기로 유명한 곳으로 품질 좋은 산채류가 자라는 곳이다. 인근 남호리 절터 마을과 동호마을에서 점필재 김종직 선생이 함양군수로 부임한 뒤, 백성들의 차 공출에 대한 폐해를 줄이기 위해 차나무를 재배했다는 기록이 전해지며 그것을 기념한다는 사적비가 마을 앞에 서 있다. 1472년 지리산을 탐방하고 쓴 김종직의 유두류록에 따르면 '한 여인이 바위 사이에다 돌을 쌓고 들어가 도를 닦다 하늘로 올라갔다'는 독녀암을 지금의 함양 독바위로 보고 있다."
경상남도 함양군 휴천면 세동길 42,,36,0,A02,A0203,A02030100,2792699,12,20211213195025,http://tong.visitkorea.or.kr/cms/resource/95/2795695_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/95/2795695_image2_1.jpg,127.7266847908,35.4185220463,6,20221129111640,0,20,,송전마을,50053,지리산 둘레길 4코스에서 네 번째 만나는 마을로 세동마을이라고도 한다. 마을의 행정구역인 휴천면 중에서는 가장 오지에 속하는 마을이나 둘레길에서 4km를 차지하는 긴 구간이자 산촌생태마을로 지정되어 여행자들을 맞이하는 각양각색의 민박집들이 많다. 송전마을은 사도세자가 들렀던 곳으로 이곳의 당산굿은 사도세자의 죽음을 애도하는 의미로 술 한잔을 더 올리는 전통이 있다고 한다. 과거에는 화장실 밑에서 재래종 돼지인 일명 똥돼지를 키우던 마을이자 닥종이를 생산하는 것으로도 유명했다. 지금도 담벼락 밑에서 자라는 닥나무들을 볼 수 있고 닥종이를 삶던 가마가 있는 검게 그을린 돌무더기를 확인할 수 있다.
경상남도 함양군 마천면 금계안길 11-3,,36,0,A02,A0203,A02030100,2792695,12,20211213194852,http://tong.visitkorea.or.kr/cms/resource/82/2795682_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/82/2795682_image2_1.jpg,127.6855387662,35.4052867067,6,20220720145222,0,20,,금계마을,50056,"지리산 둘레길 3코스 종착지에 있는 마지막 마을로 강변과 산이 만나는 지점에 있다. 마천면 소재의 마을로 일조량이 좋고 경관이 수월하다. ''동구 마천 큰애기는 곶감 깎으러 다 나가고""라는 노랫말처럼 가을이면 감을 깎아 매달아 말리는 풍경을 볼 수 있다. 유명한 휴양 명소인 지리산 칠선계곡이 있고 고사리, 곶감 등을 주요 작물로 재배한다. 지리산 둘레길 안내센터가 있어 민박 사업과 연계하여 농가 소득을 창출하기도 한다. 마을 내 별도의 귀농, 귀촌인 집단 거주단지가 조성되어 있고 앞으로도 추가 귀촌, 귀농인을 받을 계획이다."
경상남도 함양군 병곡면 병곡지곡로 333,,36,0,A01,A0101,A01010600,2790512,12,20211209211929,http://tong.visitkorea.or.kr/cms/resource/74/2792874_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/74/2792874_image2_1.jpg,127.7150482787,35.5779815896,6,20220720151324,0,20,,대봉산자연휴양림,50028,"천왕봉의 남쪽 우거진 숲과 계곡에 산행과 숲 치유 및 명상 등 휴양과 자연 생태교육 등을 위해 조성되었다. 입구에서부터 계곡을 따라 도로가 조성되어 있다. 입구에 휴양림 관리시설과 대형 주차장이 있고 상류 쪽으로 가면 도로변을 따라 시설들이 배치되어 있다. 계곡을 따라 양옆으로는 소나무군락, 일본잎갈나무 등 침엽수림과 신갈나무, 층층나무, 산벚나무, 고로쇠나무, 때죽나무 등의 활엽수가 자생한다. 자연휴양림에서 천왕봉으로 이어지는 골짜기의 상류부에는 대봉산 생태숲이 있다. 예로부터 산삼이 많이 나는 것으로 알려져 있다. 숙소, 산책로, 어린이 학습장, 전망대 등 여러 가지 시설이 갖추어져 있다."
경상남도 함양군 병곡면 병곡지곡로 315,,36,0,A02,A0203,A02030100,2789683,12,20211209002918,http://tong.visitkorea.or.kr/cms/resource/55/2795155_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/55/2795155_image2_1.jpg,127.7163874763,35.561841773,6,20211214185400,0,20,,마평산촌생태마을,50028,"함양에서 가장 주목받는 산삼 휴양 밸리 옆에 자리 잡고 있는 산촌마을이다. 함양을 대표하는 관광지이자 역사유적지인 개평 한옥마을이 10여 분의 거리에 있고, 함양의 랜드마크로 통하는 상림도 10여 분이면 닿을 수 있는 거리다. 그 때문에 함양을 중심으로 액티브한 지리산 여행을 준비 중이라면 마평 산촌생태 마을을 염두에 둘만 하다. 주요 농산물로는 밤·깻잎·산나물 등이 있다. 마평 산촌생태 마을에서는 체험장·숙박시설·식당을 운영하고 있다."
경상남도 함양군 휴천면 송전길 198,,36,0,A02,A0203,A02030100,2789682,12,20211209002752,http://tong.visitkorea.or.kr/cms/resource/71/2795171_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/2795171_image2_1.jpg,127.7272319139,35.4204329514,6,20211214185450,0,20,,송전산촌생태마을,50053,"경남 함양군 휴천면에 위치한 오지마을이다. 지리산을 뒤로하고 앞으로는 엄천강이 흐르는 지형적 여건 때문에 오지마을로 불리던 마을은 2007년 산촌생태마을로 지정되고, 휴양소 관리부터 체험프로그램까지 마을 주민들이 참여하여 지금까지 함께 만들어왔다. 송전마을에서 조금만 나오면 벽송사와 서암정사가 있다. 벽송사는 조선 시대 벽송 지엄이 창건한 사찰로, 한국전쟁 당시 소실된 것을 중건해 지금에 이른다. 오도재와 지안재도 함양 여행에서 빼놓을 수 없는 곳이다."
경상남도 함양군 마천면 창원아랫길 45,,36,0,A02,A0203,A02030100,2789680,12,20211209002618,http://tong.visitkorea.or.kr/cms/resource/81/2795181_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/81/2795181_image2_1.jpg,127.6770751355,35.4239122315,6,20220720150110,0,20,,창원산촌생태마을,50056,"지리산 천왕봉이 바라다보이는 마을이다. 조선 시대 마천면 내의 각종 세로 거둔 물품들을 보관한 창고가 있었다는 유래에서 창말(창고 마을)이었다가 이웃 원정마을과 합쳐져 현재 창원이 되었다. 다랑논과 장작 담, 마을 골목, 집집마다 호두나무와 감나무가 줄지어 있고 아직도 닥종이 뜨는 집이 있다. 함양으로 가는 오도재 길목 마을로 마을 어귀 당산에는 300여 년 된 네다섯 그루의 느티나무와 참나무가 둥그렇고 널찍한 당산 터를 이루고 있다. 재 넘어가는 길손들의 안녕을 빌고 쉼터를 제공하는 풍요롭고 넉넉한 농심의 지리산 산촌마을이다."
